wavelength,reflectivity
1300.0,48.18
1302.0,48.08
1304.0,48.03
1306.0,47.87
1308.0,47.98
1310.0,48.06
1312.0,48.0
1314.0,48.09
1316.0,48.14
1318.0,47.98
1320.0,47.97
1322.0,47.88
1324.0,47.78
1326.0,47.76
1328.0,47.61
1330.0,47.64
1332.0,47.83
1334.0,47.87
1336.0,47.83
1338.0,47.82
1340.0,47.74
1342.0,47.79
1344.0,47.85
1346.0,47.79
1348.0,47.79
1350.0,47.79
1352.0,47.79
1354.0,47.82
1356.0,47.85
1358.0,47.88
1360.0,47.91
1362.0,47.94
1364.0,47.98
1366.0,47.99
1368.0,48.0
1370.0,48.01
1372.0,48.01
1374.0,48.01
1376.0,48.02
1378.0,48.0
1380.0,47.95
1382.0,47.89
1384.0,47.79
1386.0,47.68
1388.0,47.49
1390.0,47.27
1392.0,47.05
1394.0,46.78
1396.0,46.5
1398.0,46.28
1400.0,46.06
1402.0,45.87
1404.0,45.72
1406.0,45.57
1408.0,45.46
1410.0,45.47
1412.0,45.61
1414.0,45.82
1416.0,46.09
1418.0,46.4
1420.0,46.72
1422.0,47.05
1424.0,47.35
1426.0,47.6
1428.0,47.8
1430.0,47.99
1432.0,48.16
1434.0,48.31
1436.0,48.42
1438.0,48.48
1440.0,48.62
1442.0,48.7
1444.0,48.77
1446.0,48.86
1448.0,48.93
1450.0,49.01
1452.0,49.11
1454.0,49.15
1456.0,49.18
1458.0,49.26
1460.0,49.34
1462.0,49.42
1464.0,49.49
1466.0,49.52
1468.0,49.57
1470.0,49.63
1472.0,49.7
1474.0,49.8
1476.0,49.88
1478.0,49.96
1480.0,50.04
1482.0,50.08
1484.0,50.18
1486.0,50.28
1488.0,50.36
1490.0,50.44
1492.0,50.54
1494.0,50.625
1496.0,50.73
1498.0,50.85
1500.0,50.92
1502.0,50.97
1504.0,51.05
1506.0,51.13
1508.0,51.22
1510.0,51.31
1512.0,51.39
1514.0,51.44
1516.0,51.51
1518.0,51.595
1520.0,51.66
1522.0,51.73
1524.0,51.82
1526.0,51.89
1528.0,51.955
1530.0,52.04
1532.0,52.1
1534.0,52.135
1536.0,52.22
1538.0,52.27
1540.0,52.34
1542.0,52.45
1544.0,52.54
1546.0,52.59
1548.0,52.65
1550.0,52.68
1552.0,52.73
1554.0,52.8
1556.0,52.86
1558.0,52.95
1560.0,53.05
1562.0,53.12
1564.0,53.16
1566.0,53.175
1568.0,53.26
1570.0,53.34
1572.0,53.4
1574.0,53.44
1576.0,53.5
1578.0,53.55
1580.0,53.62
1582.0,53.67
1584.0,53.74
1586.0,53.785
1588.0,53.81
1590.0,53.84
1592.0,53.92
1594.0,53.965
1596.0,54.03
1598.0,54.04
1600.0,54.06
1602.0,54.1
1604.0,54.14
1606.0,54.17
1608.0,54.22
1610.0,54.27
1612.0,54.31
1614.0,54.325
1616.0,54.37
1618.0,54.42
1620.0,54.47
1622.0,54.49
1624.0,54.53
1626.0,54.54
1628.0,54.55
1630.0,54.57
1632.0,54.63
1634.0,54.685
1636.0,54.68
1638.0,54.65
1640.0,54.64
1642.0,54.68
1644.0,54.7
1646.0,54.66
1648.0,54.59
1650.0,54.61
1652.0,54.65
1654.0,54.685
1656.0,54.73
1658.0,54.8
1660.0,54.86
1662.0,54.88
1664.0,54.85
1666.0,54.81
1668.0,54.79
1670.0,54.78
1672.0,54.78
1674.0,54.81
1676.0,54.865
1678.0,54.9
1680.0,54.86
1682.0,54.84
1684.0,54.865
1686.0,54.935
1688.0,54.98
1690.0,55.03
1692.0,55.03
1694.0,55.04
1696.0,55.06
1698.0,55.08
1700.0,55.13
1702.0,55.18
1704.0,55.18
1706.0,55.17
1708.0,55.17
1710.0,55.14
1712.0,55.115
1714.0,55.16
1716.0,55.18
1718.0,55.2
1720.0,55.2
1722.0,55.2
1724.0,55.22
1726.0,55.24
1728.0,55.21
1730.0,55.25
1732.0,55.26
1734.0,55.27
1736.0,55.25
1738.0,55.24
1740.0,55.26
1742.0,55.25
1744.0,55.23
1746.0,55.24
1748.0,55.23
1750.0,55.28
1752.0,55.31
1754.0,55.31
1756.0,55.34
1758.0,55.36
1760.0,55.35
