wavelength,reflectivity
1300.0,58.025
1302.0,58.02
1304.0,58.09
1306.0,58.18
1308.0,58.35
1310.0,58.44
1312.0,58.4
1314.0,58.12
1316.0,57.79
1318.0,57.57
1320.0,57.54
1322.0,57.55
1324.0,57.58
1326.0,57.57
1328.0,57.5
1330.0,57.43
1332.0,57.36
1334.0,57.32
1336.0,57.3
1338.0,57.28
1340.0,57.19
1342.0,57.07
1344.0,57.01
1346.0,56.91
1348.0,56.77
1350.0,56.62
1352.0,56.43
1354.0,56.3
1356.0,56.265
1358.0,56.29
1360.0,56.335
1362.0,56.37
1364.0,56.39
1366.0,56.37
1368.0,56.29
1370.0,56.14
1372.0,55.93
1374.0,55.65
1376.0,55.34
1378.0,54.99
1380.0,54.6
1382.0,54.19
1384.0,53.715
1386.0,53.175
1388.0,52.62
1390.0,52.13
1392.0,51.775
1394.0,51.61
1396.0,51.54
1398.0,51.55
1400.0,51.57
1402.0,51.56
1404.0,51.5
1406.0,51.34
1408.0,51.0
1410.0,50.48
1412.0,49.87
1414.0,49.43
1416.0,49.28
1418.0,49.33
1420.0,49.3
1422.0,48.89
1424.0,48.14
1426.0,47.37
1428.0,46.87
1430.0,46.85
1432.0,47.31
1434.0,48.05
1436.0,48.94
1438.0,49.82
1440.0,50.65
1442.0,51.27
1444.0,51.72
1446.0,51.99
1448.0,52.06
1450.0,52.0
1452.0,51.87
1454.0,51.63
1456.0,51.34
1458.0,51.05
1460.0,50.75
1462.0,50.5
1464.0,50.35
1466.0,50.21
1468.0,50.07
1470.0,49.84
1472.0,49.45
1474.0,48.77
1476.0,47.73
1478.0,46.31
1480.0,44.79
1482.0,43.56
1484.0,43.19
1486.0,43.89
1488.0,45.42
1490.0,47.32
1492.0,49.14
1494.0,50.55
1496.0,51.51
1498.0,52.13
1500.0,52.54
1502.0,52.85
1504.0,53.17
1506.0,53.52
1508.0,53.89
1510.0,54.31
1512.0,54.73
1514.0,55.14
1516.0,55.52
1518.0,55.88
1520.0,56.13
1522.0,56.32
1524.0,56.445
1526.0,56.6
1528.0,56.74
1530.0,56.85
1532.0,56.94
1534.0,57.01
1536.0,57.08
1538.0,57.15
1540.0,57.23
1542.0,57.34
1544.0,57.415
1546.0,57.485
1548.0,57.53
1550.0,57.59
1552.0,57.64
1554.0,57.7
1556.0,57.71
1558.0,57.72
1560.0,57.72
1562.0,57.71
1564.0,57.72
1566.0,57.77
1568.0,57.83
1570.0,57.88
1572.0,57.88
1574.0,57.87
1576.0,57.83
1578.0,57.81
1580.0,57.78
1582.0,57.77
1584.0,57.79
1586.0,57.82
1588.0,57.87
1590.0,57.92
1592.0,57.94
1594.0,57.95
1596.0,57.94
1598.0,57.96
1600.0,57.98
1602.0,57.98
1604.0,58.0
1606.0,58.04
1608.0,58.06
1610.0,58.04
1612.0,58.01
1614.0,57.98
1616.0,58.01
1618.0,58.025
1620.0,58.05
1622.0,58.06
1624.0,58.07
1626.0,58.07
1628.0,58.04
1630.0,58.05
1632.0,58.04
1634.0,58.04
1636.0,58.06
1638.0,58.05
1640.0,58.07
1642.0,58.05
1644.0,58.01
1646.0,58.01
1648.0,58.0
1650.0,58.01
1652.0,57.97
1654.0,57.88
1656.0,57.84
1658.0,57.81
1660.0,57.77
1662.0,57.7
1664.0,57.64
1666.0,57.64
1668.0,57.63
1670.0,57.59
1672.0,57.46
1674.0,57.37
1676.0,57.32
1678.0,57.32
1680.0,57.305
1682.0,57.26
1684.0,57.21
1686.0,57.17
