wavelength,reflectivity
1300.0,52.36
1302.0,52.2
1304.0,52.17
1306.0,52.3
1308.0,52.35
1310.0,52.17
1312.0,52.16
1314.0,52.18
1316.0,52.13
1318.0,52.12
1320.0,52.24
1322.0,52.16
1324.0,52.205
1326.0,52.28
1328.0,52.22
1330.0,52.17
1332.0,52.19
1334.0,52.17
1336.0,52.17
1338.0,52.24
1340.0,52.3
1342.0,52.3
1344.0,52.33
1346.0,52.35
1348.0,52.37
1350.0,52.38
1352.0,52.42
1354.0,52.42
1356.0,52.41
1358.0,52.45
1360.0,52.55
1362.0,52.64
1364.0,52.69
1366.0,52.72
1368.0,52.72
1370.0,52.74
1372.0,52.72
1374.0,52.71
1376.0,52.7
1378.0,52.73
1380.0,52.76
1382.0,52.77
1384.0,52.73
1386.0,52.68
1388.0,52.58
1390.0,52.45
1392.0,52.27
1394.0,52.135
1396.0,52.02
1398.0,51.87
1400.0,51.73
1402.0,51.595
1404.0,51.5
1406.0,51.43
1408.0,51.39
1410.0,51.41
1412.0,51.5
1414.0,51.63
1416.0,51.82
1418.0,52.05
1420.0,52.28
1422.0,52.49
1424.0,52.65
1426.0,52.78
1428.0,52.95
1430.0,53.09
1432.0,53.24
1434.0,53.37
1436.0,53.5
1438.0,53.6
1440.0,53.65
1442.0,53.73
1444.0,53.81
1446.0,53.895
1448.0,53.99
1450.0,54.03
1452.0,54.07
1454.0,54.145
1456.0,54.21
1458.0,54.29
1460.0,54.37
1462.0,54.43
1464.0,54.505
1466.0,54.575
1468.0,54.65
1470.0,54.685
1472.0,54.71
1474.0,54.77
1476.0,54.86
1478.0,54.935
1480.0,55.02
1482.0,55.08
1484.0,55.18
1486.0,55.31
1488.0,55.41
1490.0,55.46
1492.0,55.51
1494.0,55.57
1496.0,55.69
1498.0,55.79
1500.0,55.88
1502.0,55.99
1504.0,56.07
1506.0,56.14
1508.0,56.22
1510.0,56.28
1512.0,56.36
1514.0,56.42
1516.0,56.48
1518.0,56.515
1520.0,56.58
1522.0,56.64
1524.0,56.695
1526.0,56.79
1528.0,56.87
1530.0,56.95
1532.0,57.03
