wavelength,reflectivity
1300.0,57.2
1302.0,57.09
1304.0,57.04
1306.0,56.98
1308.0,56.82
1310.0,56.91
1312.0,56.94
1314.0,56.99
1316.0,57.04
1318.0,57.05
1320.0,56.94
1322.0,56.84
1324.0,56.79
1326.0,56.74
1328.0,56.74
1330.0,56.78
1332.0,56.8
1334.0,56.77
1336.0,56.68
1338.0,56.61
1340.0,56.57
1342.0,56.57
1344.0,56.57
1346.0,56.56
1348.0,56.54
1350.0,56.59
1352.0,56.515
1354.0,56.46
1356.0,56.35
1358.0,56.35
1360.0,56.38
1362.0,56.41
1364.0,56.37
1366.0,56.31
1368.0,56.25
1370.0,56.26
1372.0,56.29
1374.0,56.28
1376.0,56.26
1378.0,56.23
1380.0,56.19
1382.0,56.15
1384.0,56.1
1386.0,56.03
1388.0,55.94
1390.0,55.85
1392.0,55.725
1394.0,55.62
1396.0,55.5
1398.0,55.34
1400.0,55.115
1402.0,54.935
1404.0,54.74
1406.0,54.56
1408.0,54.43
1410.0,54.26
1412.0,54.075
1414.0,53.91
1416.0,53.73
1418.0,53.52
1420.0,53.33
1422.0,53.13
1424.0,52.95
1426.0,52.84
1428.0,52.745
1430.0,52.66
1432.0,52.53
1434.0,52.385
1436.0,52.22
1438.0,52.01
1440.0,51.775
1442.0,51.595
1444.0,51.33
1446.0,51.15
1448.0,51.04
1450.0,50.96
1452.0,51.02
1454.0,51.15
1456.0,51.31
1458.0,51.49
1460.0,51.68
1462.0,51.845
1464.0,51.99
1466.0,52.12
1468.0,52.22
1470.0,52.3
1472.0,52.38
1474.0,52.46
1476.0,52.53
1478.0,52.61
1480.0,52.68
1482.0,52.72
1484.0,52.77
1486.0,52.815
1488.0,52.86
1490.0,52.89
1492.0,52.89
1494.0,52.9
1496.0,52.94
1498.0,53.03
1500.0,53.16
1502.0,53.31
1504.0,53.5
1506.0,53.7
1508.0,53.89
1510.0,54.05
1512.0,54.19
1514.0,54.31
1516.0,54.43
1518.0,54.53
1520.0,54.62
1522.0,54.68
1524.0,54.71
1526.0,54.73
1528.0,54.75
1530.0,54.77
1532.0,54.79
1534.0,54.82
1536.0,54.83
1538.0,54.84
1540.0,54.89
1542.0,54.93
1544.0,54.99
1546.0,55.06
1548.0,55.17
1550.0,55.32
1552.0,55.51
1554.0,55.65
1556.0,55.76
1558.0,55.86
1560.0,55.98
1562.0,56.11
1564.0,56.21
1566.0,56.28
1568.0,56.32
1570.0,56.38
1572.0,56.46
1574.0,56.515
1576.0,56.61
1578.0,56.69
1580.0,56.74
1582.0,56.74
1584.0,56.73
1586.0,56.77
1588.0,56.87
1590.0,57.0
1592.0,57.09
1594.0,57.15
1596.0,57.17
1598.0,57.18
1600.0,57.21
1602.0,57.26
1604.0,57.26
1606.0,57.33
1608.0,57.4
1610.0,57.45
1612.0,57.48
1614.0,57.485
1616.0,57.51
1618.0,57.54
1620.0,57.56
1622.0,57.59
1624.0,57.62
1626.0,57.66
1628.0,57.65
1630.0,57.64
1632.0,57.665
1634.0,57.69
1636.0,57.73
1638.0,57.78
1640.0,57.78
1642.0,57.79
1644.0,57.78
1646.0,57.76
1648.0,57.77
1650.0,57.8
1652.0,57.845
1654.0,57.9
1656.0,57.91
1658.0,57.88
1660.0,57.86
1662.0,57.83
1664.0,57.82
1666.0,57.8
1668.0,57.76
1670.0,57.77
1672.0,57.75
1674.0,57.75
1676.0,57.73
1678.0,57.7
1680.0,57.72
1682.0,57.77
1684.0,57.79
1686.0,57.78
1688.0,57.74
1690.0,57.71
1692.0,57.71
1694.0,57.74
1696.0,57.77
1698.0,57.76
1700.0,57.72
1702.0,57.68
1704.0,57.63
1706.0,57.59
1708.0,57.55
1710.0,57.51
1712.0,57.46
1714.0,57.43
1716.0,57.37
1718.0,57.305
1720.0,57.23
1722.0,57.12
1724.0,57.02
1726.0,56.93
1728.0,56.85
1730.0,56.8
1732.0,56.72
1734.0,56.64
1736.0,56.53
1738.0,56.39
1740.0,56.29
1742.0,56.16
1744.0,56.05
1746.0,56.0
1748.0,55.95
1750.0,55.88
1752.0,55.835
1754.0,55.79
1756.0,55.78
1758.0,55.83
1760.0,55.87
1762.0,55.9
1764.0,55.92
1766.0,55.97
1768.0,56.01
1770.0,56.05
1772.0,56.05
1774.0,56.05
1776.0,56.03
1778.0,56.04
1780.0,56.06
1782.0,56.08
1784.0,56.13
1786.0,56.18
1788.0,56.22
1790.0,56.28
1792.0,56.33
1794.0,56.39
1796.0,56.41
1798.0,56.44
1800.0,56.48
1802.0,56.55
1804.0,56.625
1806.0,56.65
1808.0,56.64
1810.0,56.65
1812.0,56.68
1814.0,56.71
1816.0,56.72
1818.0,56.73
1820.0,56.695
1822.0,56.68
1824.0,56.65
1826.0,56.64
1828.0,56.67
1830.0,56.68
1832.0,56.695
1834.0,56.68
1836.0,56.62
1838.0,56.57
1840.0,56.51
1842.0,56.445
1844.0,56.42
1846.0,56.38
1848.0,56.3
1850.0,56.23
1852.0,56.14
1854.0,56.01
1856.0,55.87
1858.0,55.72
1860.0,55.54
1862.0,55.365
1864.0,55.17
1866.0,54.95
1868.0,54.7
1870.0,54.39
1872.0,54.04
1874.0,53.65
1876.0,53.25
1878.0,52.87
1880.0,52.46
1882.0,52.06
1884.0,51.61
1886.0,51.13
1888.0,50.625
1890.0,50.06
1892.0,49.49
1894.0,48.91
1896.0,48.34
1898.0,47.8
1900.0,47.24
1902.0,46.67
1904.0,46.06
1906.0,45.51
1908.0,45.01
1910.0,44.54
1912.0,44.06
1914.0,43.55
1916.0,43.06
1918.0,42.62
1920.0,42.18
1922.0,41.76
1924.0,41.34
1926.0,40.93
1928.0,40.56
1930.0,40.19
1932.0,39.8
1934.0,39.44
1936.0,39.14
1938.0,38.9
1940.0,38.7
1942.0,38.55
1944.0,38.475
1946.0,38.47
1948.0,38.49
1950.0,38.52
1952.0,38.59
1954.0,38.72
1956.0,38.93
1958.0,39.23
1960.0,39.535
1962.0,39.86
1964.0,40.16
1966.0,40.43
1968.0,40.65
1970.0,40.78
1972.0,40.89
1974.0,40.95
1976.0,41.05
1978.0,41.2
1980.0,41.39
1982.0,41.63
1984.0,41.85
1986.0,42.07
1988.0,42.33
1990.0,42.61
1992.0,42.93
1994.0,43.27
1996.0,43.71
1998.0,44.22
2000.0,44.75
2002.0,45.32
2004.0,45.85
2006.0,46.37
2008.0,46.83
2010.0,47.19
2012.0,47.58
2014.0,47.93
2016.0,48.24
2018.0,48.53
2020.0,48.75
2022.0,48.98
2024.0,49.18
2026.0,49.39
2028.0,49.59
2030.0,49.78
2032.0,49.92
2034.0,50.06
2036.0,50.22
2038.0,50.36
2040.0,50.48
2042.0,50.6
2044.0,50.71
2046.0,50.805
2048.0,50.9
2050.0,50.95
2052.0,50.985
2054.0,51.055
2056.0,51.09
2058.0,51.13
2060.0,51.15
2062.0,51.165
2064.0,51.2
2066.0,51.25
2068.0,51.3
2070.0,51.34
2072.0,51.345
2074.0,51.345
2076.0,51.37
2078.0,51.39
2080.0,51.41
2082.0,51.39
2084.0,51.36
2086.0,51.32
2088.0,51.3
2090.0,51.28
2092.0,51.3
2094.0,51.31
2096.0,51.29
2098.0,51.235
2100.0,51.15
2102.0,51.12
2104.0,51.11
2106.0,51.08
2108.0,51.0
2110.0,50.94
2112.0,50.92
2114.0,50.9
2116.0,50.87
2118.0,50.82
2120.0,50.77
2122.0,50.7
2124.0,50.62
2126.0,50.54
2128.0,50.48
2130.0,50.44
2132.0,50.43
2134.0,50.4
2136.0,50.36
2138.0,50.32
2140.0,50.29
2142.0,50.25
2144.0,50.18
2146.0,50.11
2148.0,50.06
2150.0,50.0
2152.0,49.92
2154.0,49.89
2156.0,49.85
2158.0,49.8
2160.0,49.71
2162.0,49.69
2164.0,49.69
2166.0,49.68
2168.0,49.64
2170.0,49.55
2172.0,49.47
2174.0,49.35
2176.0,49.3
2178.0,49.21
2180.0,49.16
2182.0,49.08
2184.0,49.01
2186.0,48.96
2188.0,48.92
2190.0,48.86
2192.0,48.76
2194.0,48.68
2196.0,48.61
2198.0,48.56
2200.0,48.49
2202.0,48.43
2204.0,48.37
2206.0,48.28
2208.0,48.13
2210.0,48.04
2212.0,47.97
2214.0,47.93
2216.0,47.84
2218.0,47.75
2220.0,47.74
2222.0,47.76
2224.0,47.87
2226.0,47.99
2228.0,48.13
2230.0,48.25
2232.0,48.36
2234.0,48.48
2236.0,48.54
2238.0,48.61
2240.0,48.66
2242.0,48.75
2244.0,48.79
2246.0,48.76
2248.0,48.75
2250.0,48.73
2252.0,48.68
2254.0,48.62
2256.0,48.59
2258.0,48.62
2260.0,48.57
2262.0,48.48
2264.0,48.38
2266.0,48.39
2268.0,48.39
2270.0,48.44
2272.0,48.5
2274.0,48.61
2276.0,48.66
2278.0,48.69
2280.0,48.74
2282.0,48.77
2284.0,48.77
2286.0,48.77
2288.0,48.78
2290.0,48.81
2292.0,48.81
2294.0,48.75
2296.0,48.71
2298.0,48.7
2300.0,48.64
2302.0,48.6
2304.0,48.59
2306.0,48.56
2308.0,48.51
2310.0,48.45
2312.0,48.43
2314.0,48.41
2316.0,48.35
2318.0,48.23
2320.0,48.13
2322.0,48.07
2324.0,48.03
2326.0,47.92
2328.0,47.77
2330.0,47.69
2332.0,47.58
2334.0,47.49
2336.0,47.37
2338.0,47.28
2340.0,47.15
2342.0,46.96
2344.0,46.77
2346.0,46.6
2348.0,46.45
2350.0,46.32
2352.0,46.18
2354.0,46.12
2356.0,46.02
2358.0,45.94
2360.0,45.89
2362.0,45.77
2364.0,45.58
2366.0,45.35
2368.0,45.25
2370.0,45.12
2372.0,44.94
2374.0,44.75
2376.0,44.56
2378.0,44.33
2380.0,44.17
2382.0,43.97
2384.0,43.73
2386.0,43.49
2388.0,43.24
2390.0,42.9
2392.0,42.59
2394.0,42.29
2396.0,42.06
2398.0,41.91
2400.0,41.7
2402.0,41.34
2404.0,41.0
2406.0,40.72
2408.0,40.53
2410.0,40.29
2412.0,40.11
2414.0,39.87
2416.0,39.65
