wavelength,reflectivity
1300.0,53.17
1302.0,52.95
1304.0,52.9
1306.0,53.29
1308.0,53.68
1310.0,53.64
1312.0,53.68
1314.0,53.71
1316.0,53.715
1318.0,53.76
1320.0,53.785
1322.0,53.715
1324.0,53.74
1326.0,53.71
1328.0,53.73
1330.0,53.715
1332.0,53.75
1334.0,53.77
1336.0,53.85
1338.0,53.84
1340.0,53.83
1342.0,53.8
1344.0,53.83
1346.0,53.88
1348.0,53.95
1350.0,53.965
1352.0,54.02
1354.0,54.07
1356.0,54.1
1358.0,54.12
1360.0,54.11
1362.0,54.14
1364.0,54.2
1366.0,54.26
1368.0,54.3
1370.0,54.32
1372.0,54.325
1374.0,54.35
1376.0,54.34
1378.0,54.3
1380.0,54.21
1382.0,54.07
1384.0,53.89
1386.0,53.62
1388.0,53.35
1390.0,53.08
1392.0,52.84
1394.0,52.71
1396.0,52.56
1398.0,52.4
1400.0,52.26
1402.0,52.135
1404.0,52.1
1406.0,52.16
1408.0,52.26
1410.0,52.38
1412.0,52.56
1414.0,52.79
1416.0,53.06
1418.0,53.33
1420.0,53.535
1422.0,53.7
1424.0,53.8
1426.0,53.895
1428.0,54.0
1430.0,54.1
1432.0,54.19
1434.0,54.26
1436.0,54.35
1438.0,54.44
1440.0,54.505
1442.0,54.57
1444.0,54.61
1446.0,54.67
1448.0,54.78
1450.0,54.865
1452.0,54.92
1454.0,54.95
1456.0,54.98
1458.0,55.04
1460.0,55.115
1462.0,55.18
1464.0,55.24
1466.0,55.32
1468.0,55.36
1470.0,55.41
1472.0,55.41
1474.0,55.35
1476.0,55.34
1478.0,55.32
1480.0,55.32
1482.0,55.35
1484.0,55.38
1486.0,55.47
1488.0,55.61
1490.0,55.77
1492.0,55.905
1494.0,56.04
1496.0,56.16
1498.0,56.265
1500.0,56.37
1502.0,56.41
1504.0,56.445
1506.0,56.515
1508.0,56.58
1510.0,56.66
1512.0,56.73
1514.0,56.78
1516.0,56.78
1518.0,56.82
1520.0,56.87
1522.0,56.92
1524.0,56.98
1526.0,57.03
1528.0,57.055
1530.0,57.1
1532.0,57.15
1534.0,57.19
1536.0,57.22
1538.0,57.25
1540.0,57.27
1542.0,57.3
1544.0,57.33
1546.0,57.36
1548.0,57.35
1550.0,57.35
1552.0,57.35
1554.0,57.35
1556.0,57.38
1558.0,57.4
1560.0,57.4
1562.0,57.415
1564.0,57.46
1566.0,57.485
1568.0,57.52
1570.0,57.52
1572.0,57.51
1574.0,57.53
1576.0,57.57
1578.0,57.58
1580.0,57.595
1582.0,57.62
1584.0,57.64
1586.0,57.69
1588.0,57.71
1590.0,57.73
1592.0,57.75
1594.0,57.78
1596.0,57.83
1598.0,57.9
1600.0,57.87
1602.0,57.9
1604.0,57.9
1606.0,57.93
1608.0,57.95
1610.0,57.94
1612.0,57.93
1614.0,57.92
1616.0,57.91
1618.0,57.92
1620.0,57.93
1622.0,57.95
1624.0,57.93
1626.0,57.95
1628.0,57.95
1630.0,57.92
1632.0,57.9
1634.0,57.88
1636.0,57.88
1638.0,57.94
1640.0,57.98
1642.0,57.95
1644.0,57.9
1646.0,57.84
1648.0,57.82
1650.0,57.8
1652.0,57.82
1654.0,57.83
1656.0,57.845
1658.0,57.87
1660.0,57.88
1662.0,57.88
1664.0,57.86
1666.0,57.87
1668.0,57.86
1670.0,57.88
1672.0,57.86
1674.0,57.88
1676.0,57.87
1678.0,57.9
1680.0,57.93
1682.0,57.96
1684.0,57.98
1686.0,57.98
1688.0,57.94
1690.0,57.94
1692.0,57.99
1694.0,58.025
1696.0,58.07
1698.0,58.07
1700.0,58.08
1702.0,58.095
1704.0,58.12
1706.0,58.16
1708.0,58.16
1710.0,58.18
1712.0,58.22
1714.0,58.205
1716.0,58.24
1718.0,58.23
1720.0,58.22
1722.0,58.22
1724.0,58.205
1726.0,58.25
1728.0,58.29
1730.0,58.31
1732.0,58.31
1734.0,58.32
1736.0,58.36
1738.0,58.41
1740.0,58.45
1742.0,58.45
1744.0,58.455
1746.0,58.455
1748.0,58.48
1750.0,58.5
1752.0,58.5
1754.0,58.48
1756.0,58.455
1758.0,58.45
1760.0,58.455
1762.0,58.48
1764.0,58.49
1766.0,58.49
1768.0,58.49
1770.0,58.5
1772.0,58.49
1774.0,58.51
1776.0,58.52
1778.0,58.53
1780.0,58.54
1782.0,58.54
1784.0,58.55
1786.0,58.54
1788.0,58.5
1790.0,58.48
1792.0,58.49
1794.0,58.52
1796.0,58.56
1798.0,58.56
1800.0,58.52
1802.0,58.53
1804.0,58.53
1806.0,58.54
1808.0,58.56
1810.0,58.55
1812.0,58.56
1814.0,58.59
1816.0,58.59
1818.0,58.55
1820.0,58.5
1822.0,58.455
1824.0,58.44
1826.0,58.41
1828.0,58.38
1830.0,58.35
1832.0,58.33
1834.0,58.32
1836.0,58.25
1838.0,58.18
1840.0,58.16
1842.0,58.17
1844.0,58.18
1846.0,58.14
1848.0,58.13
1850.0,58.16
1852.0,58.19
1854.0,58.16
1856.0,58.07
1858.0,57.98
1860.0,57.95
1862.0,57.95
1864.0,57.91
1866.0,57.87
1868.0,57.8
1870.0,57.72
1872.0,57.63
1874.0,57.52
1876.0,57.41
1878.0,57.27
1880.0,57.13
1882.0,56.99
1884.0,56.87
1886.0,56.73
1888.0,56.56
1890.0,56.33
1892.0,55.98
1894.0,55.62
1896.0,55.29
1898.0,54.98
1900.0,54.68
1902.0,54.325
1904.0,54.02
1906.0,53.73
1908.0,53.52
1910.0,53.42
1912.0,53.37
1914.0,53.32
1916.0,53.25
1918.0,53.28
1920.0,53.33
1922.0,53.39
1924.0,53.43
1926.0,53.47
1928.0,53.58
1930.0,53.67
1932.0,53.76
1934.0,53.83
1936.0,53.93
1938.0,54.03
1940.0,54.12
1942.0,54.145
1944.0,54.19
1946.0,54.27
1948.0,54.35
1950.0,54.41
1952.0,54.46
1954.0,54.53
1956.0,54.59
1958.0,54.65
1960.0,54.7
1962.0,54.71
1964.0,54.73
1966.0,54.755
1968.0,54.79
1970.0,54.82
1972.0,54.85
1974.0,54.88
1976.0,54.92
1978.0,54.95
1980.0,54.99
1982.0,55.07
1984.0,55.15
1986.0,55.21
1988.0,55.24
1990.0,55.29
1992.0,55.33
1994.0,55.38
1996.0,55.44
1998.0,55.49
2000.0,55.545
2002.0,55.59
2004.0,55.655
2006.0,55.74
2008.0,55.82
2010.0,55.9
2012.0,55.96
2014.0,56.02
2016.0,56.07
2018.0,56.085
2020.0,56.13
2022.0,56.17
2024.0,56.25
2026.0,56.31
2028.0,56.37
2030.0,56.41
2032.0,56.445
2034.0,56.54
2036.0,56.6
2038.0,56.69
2040.0,56.79
2042.0,56.83
2044.0,56.81
2046.0,56.83
2048.0,56.85
2050.0,56.92
2052.0,56.97
2054.0,56.99
2056.0,57.01
2058.0,57.02
2060.0,57.03
2062.0,57.07
2064.0,57.13
2066.0,57.16
2068.0,57.19
2070.0,57.16
2072.0,57.17
2074.0,57.19
2076.0,57.19
2078.0,57.21
2080.0,57.21
2082.0,57.23
2084.0,57.18
2086.0,57.16
2088.0,57.18
2090.0,57.18
2092.0,57.19
2094.0,57.13
2096.0,57.09
2098.0,57.07
2100.0,57.05
2102.0,57.055
2104.0,57.055
2106.0,57.03
2108.0,56.99
2110.0,56.92
2112.0,56.9
2114.0,56.91
