wavelength,reflectivity
1300.0,62.84
1302.0,62.69
1304.0,62.55
1306.0,62.515
1308.0,62.695
1310.0,62.89
1312.0,62.96
1314.0,63.02
1316.0,63.16
1318.0,63.21
1320.0,63.22
1322.0,63.28
1324.0,63.485
1326.0,63.66
1328.0,63.76
1330.0,63.71
1332.0,63.6
1334.0,63.52
1336.0,63.55
1338.0,63.7
1340.0,63.8
1342.0,63.89
1344.0,63.91
1346.0,63.75
1348.0,63.71
1350.0,63.7
1352.0,63.59
1354.0,63.45
1356.0,63.18
1358.0,62.9
1360.0,62.74
1362.0,62.64
1364.0,62.64
1366.0,62.71
1368.0,62.81
1370.0,62.945
1372.0,62.96
1374.0,62.6
1376.0,61.71
1378.0,60.29
1380.0,58.61
1382.0,57.02
1384.0,55.75
1386.0,54.89
1388.0,54.37
1390.0,54.03
1392.0,53.69
1394.0,53.44
1396.0,53.31
1398.0,53.38
1400.0,53.785
1402.0,54.5
1404.0,55.43
1406.0,56.61
1408.0,57.91
1410.0,59.19
1412.0,60.42
1414.0,61.47
1416.0,62.335
1418.0,63.05
1420.0,63.555
1422.0,63.9
1424.0,64.18
1426.0,64.39
1428.0,64.57
1430.0,64.7
1432.0,64.87
1434.0,64.99
1436.0,65.14
1438.0,65.23
1440.0,65.35
1442.0,65.44
1444.0,65.56
1446.0,65.605
1448.0,65.63
1450.0,65.67
1452.0,65.76
1454.0,65.84
1456.0,65.94
1458.0,66.0
1460.0,66.06
1462.0,66.12
1464.0,66.15
1466.0,66.18
1468.0,66.16
1470.0,66.17
1472.0,66.17
1474.0,66.18
1476.0,66.25
1478.0,66.35
1480.0,66.41
1482.0,66.52
1484.0,66.54
1486.0,66.56
1488.0,66.61
1490.0,66.62
1492.0,66.64
1494.0,66.68
1496.0,66.68
1498.0,66.73
1500.0,66.78
1502.0,66.82
1504.0,66.85
1506.0,66.82
1508.0,66.8
1510.0,66.825
1512.0,66.89
1514.0,66.99
1516.0,67.02
1518.0,67.0
1520.0,66.98
1522.0,66.99
1524.0,67.02
1526.0,67.05
1528.0,67.075
1530.0,67.1
1532.0,67.12
1534.0,67.14
1536.0,67.14
1538.0,67.15
1540.0,67.13
1542.0,67.16
1544.0,67.185
1546.0,67.21
1548.0,67.24
1550.0,67.25
1552.0,67.255
1554.0,67.3
1556.0,67.35
1558.0,67.365
1560.0,67.39
1562.0,67.39
1564.0,67.4
1566.0,67.43
1568.0,67.45
1570.0,67.45
1572.0,67.5
1574.0,67.5
1576.0,67.52
1578.0,67.53
1580.0,67.51
1582.0,67.52
1584.0,67.55
1586.0,67.59
1588.0,67.615
1590.0,67.64
1592.0,67.67
1594.0,67.65
1596.0,67.615
1598.0,67.615
1600.0,67.64
1602.0,67.65
1604.0,67.68
1606.0,67.67
1608.0,67.68
1610.0,67.71
1612.0,67.74
1614.0,67.76
1616.0,67.76
1618.0,67.77
1620.0,67.77
1622.0,67.795
1624.0,67.795
1626.0,67.84
1628.0,67.86
1630.0,67.865
1632.0,67.89
1634.0,67.88
1636.0,67.88
1638.0,67.89
1640.0,67.88
1642.0,67.865
1644.0,67.86
1646.0,67.795
1648.0,67.84
1650.0,67.89
1652.0,67.89
1654.0,67.92
1656.0,67.94
1658.0,67.95
1660.0,67.96
1662.0,67.93
1664.0,67.9
1666.0,67.9
1668.0,67.93
1670.0,67.96
1672.0,68.0
1674.0,68.02
1676.0,68.04
1678.0,68.04
1680.0,68.03
1682.0,67.99
1684.0,67.95
1686.0,67.94
1688.0,67.93
1690.0,67.94
1692.0,67.95
1694.0,67.96
1696.0,67.97
1698.0,67.96
1700.0,67.96
1702.0,67.95
1704.0,67.94
1706.0,67.93
1708.0,67.91
1710.0,67.88
1712.0,67.865
1714.0,67.85
1716.0,67.83
1718.0,67.83
1720.0,67.86
1722.0,67.88
1724.0,67.89
1726.0,67.89
1728.0,67.86
1730.0,67.85
1732.0,67.84
1734.0,67.79
1736.0,67.76
1738.0,67.75
1740.0,67.74
1742.0,67.72
1744.0,67.67
1746.0,67.63
1748.0,67.56
1750.0,67.53
1752.0,67.51
1754.0,67.46
1756.0,67.45
1758.0,67.43
1760.0,67.42
1762.0,67.41
1764.0,67.36
1766.0,67.33
1768.0,67.31
1770.0,67.29
1772.0,67.31
1774.0,67.32
1776.0,67.32
1778.0,67.32
1780.0,67.28
1782.0,67.23
1784.0,67.21
1786.0,67.18
1788.0,67.18
1790.0,67.185
1792.0,67.185
1794.0,67.2
1796.0,67.2
1798.0,67.16
1800.0,67.09
1802.0,67.05
1804.0,67.03
1806.0,67.05
1808.0,67.05
1810.0,67.03
1812.0,67.02
1814.0,67.005
1816.0,67.07
1818.0,67.09
1820.0,67.11
1822.0,67.12
1824.0,67.1
1826.0,67.07
1828.0,67.03
1830.0,67.03
1832.0,67.04
1834.0,66.97
1836.0,66.89
1838.0,66.84
1840.0,66.825
1842.0,66.825
1844.0,66.81
1846.0,66.75
1848.0,66.69
1850.0,66.7
1852.0,66.67
1854.0,66.645
1856.0,66.61
1858.0,66.575
1860.0,66.61
1862.0,66.66
1864.0,66.66
1866.0,66.62
1868.0,66.59
1870.0,66.59
1872.0,66.53
1874.0,66.48
1876.0,66.44
1878.0,66.395
1880.0,66.35
1882.0,66.25
1884.0,66.13
1886.0,66.05
1888.0,65.98
1890.0,65.88
1892.0,65.76
1894.0,65.63
1896.0,65.54
1898.0,65.36
1900.0,65.11
1902.0,64.88
1904.0,64.72
1906.0,64.56
1908.0,64.41
1910.0,64.21
1912.0,64.01
1914.0,63.915
1916.0,63.78
1918.0,63.7
1920.0,63.61
1922.0,63.51
1924.0,63.47
1926.0,63.41
1928.0,63.27
1930.0,63.15
1932.0,63.03
1934.0,62.93
1936.0,62.86
1938.0,62.72
1940.0,62.62
1942.0,62.49
1944.0,62.335
1946.0,62.18
1948.0,62.0
1950.0,61.89
1952.0,61.78
1954.0,61.69
1956.0,61.56
1958.0,61.365
1960.0,61.21
1962.0,61.08
1964.0,60.98
1966.0,60.825
1968.0,60.7
1970.0,60.59
1972.0,60.55
1974.0,60.47
1976.0,60.35
1978.0,60.29
1980.0,60.24
1982.0,60.24
1984.0,60.25
1986.0,60.3
1988.0,60.38
1990.0,60.42
1992.0,60.47
1994.0,60.56
1996.0,60.69
1998.0,60.81
2000.0,60.84
2002.0,60.9
2004.0,60.935
2006.0,60.97
2008.0,61.04
2010.0,61.11
2012.0,61.2
2014.0,61.28
2016.0,61.32
2018.0,61.44
2020.0,61.57
2022.0,61.76
2024.0,61.905
2026.0,61.99
2028.0,62.155
2030.0,62.25
2032.0,62.39
2034.0,62.53
2036.0,62.65
2038.0,62.81
2040.0,62.89
2042.0,62.97
2044.0,63.04
2046.0,63.16
2048.0,63.34
2050.0,63.42
2052.0,63.44
2054.0,63.45
2056.0,63.51
2058.0,63.6
2060.0,63.65
2062.0,63.66
2064.0,63.69
2066.0,63.68
2068.0,63.58
2070.0,63.51
2072.0,63.36
2074.0,63.18
2076.0,62.97
2078.0,62.61
2080.0,62.28
2082.0,61.93
2084.0,61.58
2086.0,61.3
2088.0,61.02
2090.0,60.85
2092.0,60.74
2094.0,60.57
2096.0,60.39
2098.0,60.25
2100.0,60.16
2102.0,60.07
2104.0,59.94
2106.0,59.89
2108.0,59.91
2110.0,59.98
2112.0,60.06
2114.0,60.17
2116.0,60.28
2118.0,60.36
2120.0,60.43
2122.0,60.44
2124.0,60.42
2126.0,60.34
2128.0,60.16
2130.0,60.0
2132.0,59.89
2134.0,59.83
2136.0,59.87
2138.0,59.84
2140.0,59.92
2142.0,60.03
2144.0,60.24
2146.0,60.44
2148.0,60.575
2150.0,60.67
2152.0,60.72
2154.0,60.89
2156.0,61.06
2158.0,61.2
2160.0,61.24
2162.0,61.34
2164.0,61.46
2166.0,61.58
2168.0,61.63
2170.0,61.63
2172.0,61.66
2174.0,61.71
2176.0,61.7
2178.0,61.65
2180.0,61.59
2182.0,61.56
2184.0,61.51
2186.0,61.56
2188.0,61.53
2190.0,61.44
2192.0,61.24
2194.0,61.115
2196.0,61.07
2198.0,61.03
2200.0,60.96
2202.0,60.89
2204.0,60.8
2206.0,60.67
2208.0,60.56
2210.0,60.52
2212.0,60.48
2214.0,60.34
2216.0,60.13
2218.0,59.95
2220.0,59.855
2222.0,59.72
2224.0,59.44
2226.0,59.13
2228.0,58.73
2230.0,58.23
2232.0,57.74
2234.0,57.12
2236.0,56.44
2238.0,55.72
2240.0,55.01
2242.0,54.45
2244.0,53.965
2246.0,53.59
2248.0,53.31
2250.0,53.1
2252.0,52.92
2254.0,52.815
2256.0,52.72
2258.0,52.62
2260.0,52.41
2262.0,52.07
2264.0,51.62
2266.0,51.09
2268.0,50.52
2270.0,49.97
2272.0,49.54
2274.0,49.26
2276.0,49.15
2278.0,49.11
2280.0,49.08
2282.0,48.97
2284.0,48.83
2286.0,48.63
2288.0,48.33
2290.0,47.99
2292.0,47.54
2294.0,47.12
2296.0,46.64
2298.0,46.1
2300.0,45.6
2302.0,44.97
2304.0,44.33
2306.0,43.65
2308.0,42.99
2310.0,42.38
2312.0,41.68
2314.0,41.03
2316.0,40.41
2318.0,39.99
2320.0,39.64
2322.0,39.29
2324.0,39.11
2326.0,39.13
2328.0,39.5
2330.0,39.98
2332.0,40.51
2334.0,41.15
