wavelength,reflectivity
1300.0,37.79
1302.0,38.11
1304.0,38.5
1306.0,38.56
1308.0,38.53
1310.0,38.72
1312.0,39.01
1314.0,39.17
1316.0,39.12
1318.0,39.11
1320.0,39.25
1322.0,39.49
1324.0,39.74
1326.0,39.875
1328.0,39.99
1330.0,40.14
1332.0,40.325
1334.0,40.5
1336.0,40.68
1338.0,40.88
1340.0,41.0
1342.0,41.1
1344.0,41.27
1346.0,41.48
1348.0,41.63
1350.0,41.81
1352.0,41.94
1354.0,42.1
1356.0,42.26
1358.0,42.42
1360.0,42.57
1362.0,42.71
1364.0,42.83
1366.0,42.95
1368.0,43.05
1370.0,43.19
1372.0,43.35
1374.0,43.49
1376.0,43.6
1378.0,43.72
1380.0,43.83
1382.0,43.94
1384.0,44.03
1386.0,44.11
1388.0,44.16
1390.0,44.19
1392.0,44.18
1394.0,44.19
1396.0,44.24
1398.0,44.3
1400.0,44.4
1402.0,44.5
1404.0,44.54
1406.0,44.51
1408.0,44.32
1410.0,43.99
1412.0,43.66
1414.0,43.47
1416.0,43.55
1418.0,43.9
1420.0,44.35
1422.0,44.68
1424.0,44.63
1426.0,43.9
1428.0,42.33
1430.0,40.04
1432.0,37.68
1434.0,36.2
1436.0,36.31
1438.0,37.99
1440.0,40.52
1442.0,42.91
1444.0,44.57
1446.0,45.5
1448.0,45.99
1450.0,46.28
1452.0,46.49
1454.0,46.59
1456.0,46.61
1458.0,46.57
1460.0,46.5
1462.0,46.36
1464.0,46.15
1466.0,45.89
1468.0,45.55
1470.0,45.09
1472.0,44.45
1474.0,43.55
1476.0,42.42
1478.0,41.26
1480.0,40.45
1482.0,40.415
1484.0,41.3
1486.0,42.81
1488.0,44.45
1490.0,45.86
1492.0,46.92
1494.0,47.66
1496.0,48.2
1498.0,48.6
1500.0,48.9
1502.0,49.13
1504.0,49.34
1506.0,49.53
1508.0,49.71
1510.0,49.88
1512.0,50.05
1514.0,50.19
1516.0,50.34
1518.0,50.51
1520.0,50.65
1522.0,50.79
1524.0,50.91
1526.0,51.01
1528.0,51.09
1530.0,51.19
1532.0,51.3
1534.0,51.4
1536.0,51.5
1538.0,51.595
1540.0,51.7
1542.0,51.775
1544.0,51.845
1546.0,51.9
1548.0,51.955
1550.0,52.025
1552.0,52.13
1554.0,52.19
1556.0,52.25
1558.0,52.33
1560.0,52.38
1562.0,52.44
1564.0,52.49
1566.0,52.54
1568.0,52.65
1570.0,52.72
1572.0,52.76
1574.0,52.8
1576.0,52.815
1578.0,52.84
1580.0,52.92
1582.0,52.97
1584.0,53.02
1586.0,53.08
1588.0,53.16
1590.0,53.22
1592.0,53.28
1594.0,53.33
1596.0,53.355
1598.0,53.41
1600.0,53.42
1602.0,53.43
1604.0,53.46
1606.0,53.52
1608.0,53.59
1610.0,53.62
1612.0,53.63
1614.0,53.66
1616.0,53.69
1618.0,53.715
1620.0,53.75
1622.0,53.77
1624.0,53.78
1626.0,53.81
1628.0,53.84
1630.0,53.895
1632.0,53.93
1634.0,53.93
1636.0,53.93
1638.0,53.93
1640.0,53.94
1642.0,53.96
1644.0,53.99
1646.0,54.02
1648.0,54.02
1650.0,54.01
1652.0,54.02
1654.0,54.06
1656.0,54.12
1658.0,54.14
1660.0,54.12
1662.0,54.075
1664.0,54.07
1666.0,54.05
1668.0,54.02
1670.0,54.02
1672.0,54.04
1674.0,54.1
1676.0,54.11
1678.0,54.1
1680.0,54.075
1682.0,54.1
1684.0,54.11
1686.0,54.14
1688.0,54.14
1690.0,54.13
1692.0,54.14
1694.0,54.13
1696.0,54.16
1698.0,54.2
1700.0,54.22
1702.0,54.24
1704.0,54.24
1706.0,54.23
1708.0,54.23
1710.0,54.22
1712.0,54.23
1714.0,54.26
1716.0,54.2
1718.0,54.17
1720.0,54.17
1722.0,54.19
1724.0,54.23
1726.0,54.23
1728.0,54.25
1730.0,54.28
1732.0,54.29
1734.0,54.32
1736.0,54.32
1738.0,54.29
1740.0,54.28
1742.0,54.28
1744.0,54.32
1746.0,54.35
1748.0,54.37
1750.0,54.4
1752.0,54.42
1754.0,54.44
1756.0,54.44
1758.0,54.42
1760.0,54.41
1762.0,54.43
1764.0,54.46
1766.0,54.46
1768.0,54.44
1770.0,54.46
1772.0,54.46
1774.0,54.47
1776.0,54.48
1778.0,54.505
1780.0,54.55
1782.0,54.575
1784.0,54.575
1786.0,54.575
1788.0,54.57
1790.0,54.56
1792.0,54.575
1794.0,54.59
1796.0,54.59
1798.0,54.57
1800.0,54.52
1802.0,54.52
1804.0,54.52
1806.0,54.49
1808.0,54.47
1810.0,54.46
1812.0,54.46
1814.0,54.47
1816.0,54.49
1818.0,54.49
1820.0,54.49
1822.0,54.49
1824.0,54.45
1826.0,54.44
1828.0,54.43
1830.0,54.4
1832.0,54.4
1834.0,54.39
1836.0,54.36
1838.0,54.32
1840.0,54.27
1842.0,54.23
1844.0,54.23
1846.0,54.23
1848.0,54.24
1850.0,54.24
1852.0,54.22
1854.0,54.21
1856.0,54.19
1858.0,54.16
1860.0,54.14
1862.0,54.09
1864.0,54.07
1866.0,54.04
1868.0,54.0
1870.0,53.96
1872.0,53.88
1874.0,53.8
1876.0,53.76
1878.0,53.715
1880.0,53.65
1882.0,53.58
1884.0,53.51
1886.0,53.51
1888.0,53.5
1890.0,53.44
1892.0,53.35
1894.0,53.24
1896.0,53.13
1898.0,52.995
1900.0,52.88
1902.0,52.745
1904.0,52.63
1906.0,52.52
1908.0,52.46
1910.0,52.385
1912.0,52.31
1914.0,52.24
1916.0,52.17
1918.0,52.16
1920.0,52.19
1922.0,52.18
