wavelength,reflectivity
1300.0,22.82
1302.0,22.71
1304.0,22.91
1306.0,22.82
1308.0,22.86
1310.0,23.11
1312.0,23.13
1314.0,23.22
1316.0,23.3
1318.0,23.23
1320.0,23.29
1322.0,23.29
1324.0,23.29
1326.0,23.43
1328.0,23.52
1330.0,23.49
1332.0,23.48
1334.0,23.46
1336.0,23.44
1338.0,23.49
1340.0,23.57
1342.0,23.64
1344.0,23.67
1346.0,23.67
1348.0,23.71
1350.0,23.77
1352.0,23.87
1354.0,23.94
1356.0,23.99
1358.0,24.01
1360.0,24.01
1362.0,24.02
1364.0,24.05
1366.0,24.1
1368.0,24.14
1370.0,24.14
1372.0,24.11
1374.0,24.06
1376.0,24.01
1378.0,23.95
1380.0,23.9
1382.0,23.85
1384.0,23.76
1386.0,23.67
1388.0,23.56
1390.0,23.43
1392.0,23.29
1394.0,23.05
1396.0,22.79
1398.0,22.48
1400.0,22.19
1402.0,21.84
1404.0,21.48
1406.0,21.08
1408.0,20.71
1410.0,20.44
1412.0,20.29
1414.0,20.28
1416.0,20.4
1418.0,20.61
1420.0,20.86
1422.0,21.11
1424.0,21.32
1426.0,21.5
1428.0,21.63
1430.0,21.79
1432.0,21.94
1434.0,22.07
1436.0,22.21
1438.0,22.33
1440.0,22.44
1442.0,22.53
1444.0,22.61
1446.0,22.69
1448.0,22.78
1450.0,22.86
1452.0,22.93
1454.0,23.01
1456.0,23.08
1458.0,23.13
1460.0,23.16
1462.0,23.19
1464.0,23.23
1466.0,23.28
1468.0,23.33
1470.0,23.37
1472.0,23.44
1474.0,23.53
1476.0,23.62
1478.0,23.7
1480.0,23.79
1482.0,23.84
1484.0,23.92
1486.0,24.01
1488.0,24.11
1490.0,24.18
1492.0,24.25
1494.0,24.28
1496.0,24.32
1498.0,24.4
1500.0,24.49
1502.0,24.59
1504.0,24.68
1506.0,24.78
1508.0,24.92
1510.0,25.095
1512.0,25.29
1514.0,25.48
1516.0,25.66
1518.0,25.85
1520.0,26.0
1522.0,26.14
1524.0,26.27
1526.0,26.405
1528.0,26.51
1530.0,26.62
1532.0,26.73
1534.0,26.85
1536.0,27.0
1538.0,27.1
1540.0,27.22
1542.0,27.34
1544.0,27.48
1546.0,27.6
1548.0,27.735
1550.0,27.82
1552.0,27.9
1554.0,28.02
1556.0,28.14
1558.0,28.27
1560.0,28.42
1562.0,28.51
1564.0,28.59
1566.0,28.68
1568.0,28.79
1570.0,28.92
1572.0,29.03
1574.0,29.11
1576.0,29.19
1578.0,29.25
1580.0,29.37
1582.0,29.47
1584.0,29.56
1586.0,29.7
1588.0,29.82
1590.0,29.91
1592.0,29.98
1594.0,30.03
1596.0,30.13
1598.0,30.25
1600.0,30.36
1602.0,30.46
1604.0,30.55
1606.0,30.65
1608.0,30.72
1610.0,30.8
1612.0,30.85
1614.0,30.91
1616.0,31.01
1618.0,31.12
1620.0,31.23
1622.0,31.32
1624.0,31.37
1626.0,31.45
1628.0,31.52
1630.0,31.59
1632.0,31.65
1634.0,31.72
1636.0,31.81
1638.0,31.92
1640.0,32.01
1642.0,32.07
1644.0,32.13
1646.0,32.16
1648.0,32.22
1650.0,32.3
1652.0,32.38
1654.0,32.46
1656.0,32.53
1658.0,32.59
1660.0,32.64
1662.0,32.7
1664.0,32.77
1666.0,32.85
1668.0,32.92
1670.0,32.95
1672.0,32.98
1674.0,33.01
1676.0,33.07
1678.0,33.12
1680.0,33.15
1682.0,33.18
1684.0,33.21
1686.0,33.27
1688.0,33.33
1690.0,33.4
1692.0,33.47
1694.0,33.51
1696.0,33.56
1698.0,33.61
1700.0,33.65
1702.0,33.715
1704.0,33.78
1706.0,33.84
1708.0,33.895
1710.0,33.93
1712.0,34.03
1714.0,34.11
1716.0,34.19
1718.0,34.22
1720.0,34.21
1722.0,34.24
1724.0,34.29
1726.0,34.35
1728.0,34.4
1730.0,34.43
1732.0,34.44
1734.0,34.48
1736.0,34.52
1738.0,34.57
1740.0,34.63
1742.0,34.68
1744.0,34.72
1746.0,34.76
1748.0,34.82
1750.0,34.89
1752.0,34.93
1754.0,34.93
1756.0,34.955
1758.0,34.99
1760.0,35.01
1762.0,35.02
1764.0,35.0
1766.0,35.02
1768.0,35.07
1770.0,35.1
1772.0,35.13
1774.0,35.16
1776.0,35.19
1778.0,35.23
1780.0,35.27
1782.0,35.32
1784.0,35.36
1786.0,35.4
1788.0,35.42
1790.0,35.44
1792.0,35.475
1794.0,35.52
1796.0,35.55
1798.0,35.58
1800.0,35.63
1802.0,35.68
1804.0,35.73
1806.0,35.745
1808.0,35.77
1810.0,35.81
1812.0,35.85
1814.0,35.91
1816.0,35.96
1818.0,36.03
1820.0,36.05
1822.0,36.07
1824.0,36.07
1826.0,36.09
1828.0,36.11
1830.0,36.14
1832.0,36.15
1834.0,36.1
1836.0,36.04
1838.0,36.01
1840.0,36.02
1842.0,36.01
1844.0,35.96
1846.0,35.89
1848.0,35.8
1850.0,35.72
1852.0,35.62
1854.0,35.47
1856.0,35.28
1858.0,35.06
1860.0,34.82
1862.0,34.54
1864.0,34.24
1866.0,33.87
1868.0,33.39
1870.0,32.79
1872.0,32.12
1874.0,31.4
1876.0,30.67
1878.0,29.88
1880.0,29.02
1882.0,28.11
1884.0,27.15
1886.0,26.15
1888.0,25.15
1890.0,24.15
1892.0,23.15
1894.0,22.2
1896.0,21.28
1898.0,20.45
1900.0,19.72
1902.0,19.1
1904.0,18.64
1906.0,18.33
1908.0,18.13
1910.0,18.03
1912.0,17.98
1914.0,18.03
1916.0,18.11
1918.0,18.19
1920.0,18.29
1922.0,18.38
1924.0,18.51
1926.0,18.67
1928.0,18.82
1930.0,18.93
1932.0,19.04
1934.0,19.17
1936.0,19.32
1938.0,19.46
1940.0,19.57
1942.0,19.67
1944.0,19.79
1946.0,19.92
1948.0,20.06
1950.0,20.18
1952.0,20.29
1954.0,20.41
1956.0,20.57
1958.0,20.72
1960.0,20.85
1962.0,20.94
1964.0,21.03
1966.0,21.19
1968.0,21.36
1970.0,21.54
1972.0,21.68
1974.0,21.82
1976.0,21.97
1978.0,22.13
1980.0,22.27
1982.0,22.43
1984.0,22.61
1986.0,22.83
1988.0,23.01
1990.0,23.2
1992.0,23.4
1994.0,23.62
1996.0,23.85
1998.0,24.06
2000.0,24.28
2002.0,24.49
2004.0,24.7
2006.0,24.89
2008.0,25.06
2010.0,25.22
2012.0,25.42
2014.0,25.61
2016.0,25.78
2018.0,25.97
2020.0,26.155
2022.0,26.37
2024.0,26.54
2026.0,26.69
2028.0,26.82
2030.0,26.96
2032.0,27.12
2034.0,27.32
2036.0,27.48
2038.0,27.59
2040.0,27.645
2042.0,27.78
2044.0,27.96
2046.0,28.11
2048.0,28.255
2050.0,28.435
2052.0,28.6
2054.0,28.76
2056.0,28.88
2058.0,29.0
2060.0,29.15
2062.0,29.28
2064.0,29.39
2066.0,29.495
2068.0,29.63
2070.0,29.76
2072.0,29.92
2074.0,30.03
2076.0,30.105
2078.0,30.195
2080.0,30.28
2082.0,30.37
2084.0,30.4
2086.0,30.45
2088.0,30.555
2090.0,30.71
2092.0,30.77
2094.0,30.76
2096.0,30.73
2098.0,30.74
2100.0,30.805
2102.0,30.87
2104.0,30.94
2106.0,31.01
2108.0,31.06
2110.0,31.11
2112.0,31.165
2114.0,31.25
2116.0,31.32
2118.0,31.36
2120.0,31.4
2122.0,31.42
2124.0,31.45
2126.0,31.435
2128.0,31.47
2130.0,31.52
2132.0,31.54
2134.0,31.54
2136.0,31.46
2138.0,31.45
2140.0,31.46
2142.0,31.48
2144.0,31.47
2146.0,31.42
2148.0,31.345
2150.0,31.27
2152.0,31.21
2154.0,31.16
2156.0,31.11
2158.0,31.05
2160.0,30.95
2162.0,30.86
2164.0,30.77
2166.0,30.69
2168.0,30.61
2170.0,30.5
2172.0,30.4
2174.0,30.3
2176.0,30.22
2178.0,30.105
2180.0,30.0
2182.0,29.87
2184.0,29.78
2186.0,29.66
2188.0,29.56
2190.0,29.42
2192.0,29.26
2194.0,29.1
2196.0,28.93
2198.0,28.72
2200.0,28.47
2202.0,28.15
2204.0,27.79
2206.0,27.4
2208.0,27.01
2210.0,26.72
2212.0,26.51
2214.0,26.4
2216.0,26.405
2218.0,26.405
2220.0,26.4
2222.0,26.33
2224.0,26.27
2226.0,26.18
2228.0,26.01
2230.0,25.83
2232.0,25.56
2234.0,25.28
2236.0,24.97
2238.0,24.6
2240.0,24.13
2242.0,23.66
2244.0,23.18
2246.0,22.72
2248.0,22.29
2250.0,21.87
2252.0,21.56
2254.0,21.25
2256.0,20.97
2258.0,20.71
2260.0,20.53
2262.0,20.39
2264.0,20.27
2266.0,20.11
2268.0,19.92
2270.0,19.7
2272.0,19.45
2274.0,19.14
2276.0,18.89
2278.0,18.77
2280.0,18.78
2282.0,18.88
2284.0,19.08
2286.0,19.38
2288.0,19.76
2290.0,20.19
2292.0,20.62
2294.0,20.99
2296.0,21.26
2298.0,21.51
2300.0,21.69
2302.0,21.86
2304.0,22.02
2306.0,22.12
2308.0,22.23
2310.0,22.26
2312.0,22.31
2314.0,22.31
2316.0,22.29
2318.0,22.29
2320.0,22.22
2322.0,22.09
2324.0,21.93
2326.0,21.74
2328.0,21.48
2330.0,21.15
2332.0,20.74
2334.0,20.33
2336.0,19.89
2338.0,19.52
2340.0,19.16
2342.0,18.86
2344.0,18.63
2346.0,18.47
2348.0,18.37
2350.0,18.19
2352.0,18.01
2354.0,17.79
2356.0,17.68
2358.0,17.67
2360.0,17.8
2362.0,18.02
2364.0,18.31
2366.0,18.49
2368.0,18.58
2370.0,18.67
2372.0,18.77
2374.0,18.75
2376.0,18.69
2378.0,18.66
2380.0,18.615
2382.0,18.51
2384.0,18.37
2386.0,18.22
2388.0,18.16
2390.0,18.12
2392.0,18.085
2394.0,18.0
2396.0,17.9
2398.0,17.8
2400.0,17.645
2402.0,17.57
2404.0,17.52
2406.0,17.5
2408.0,17.4
2410.0,17.33
2412.0,17.29
2414.0,17.24
2416.0,17.11
2418.0,17.09
2420.0,17.08
2422.0,17.1
2424.0,17.07
2426.0,17.1
2428.0,17.01
2430.0,16.85
2432.0,16.74
2434.0,16.75
2436.0,16.72
2438.0,16.57
2440.0,16.41
2442.0,16.29
2444.0,16.19
2446.0,16.14
2448.0,16.1
2450.0,16.03
2452.0,15.95
2454.0,15.95
2456.0,15.83
2458.0,15.7
2460.0,15.65
2462.0,15.69
2464.0,15.69
2466.0,15.56
2468.0,15.44
2470.0,15.36
2472.0,15.24
2474.0,15.12
2476.0,15.04
2478.0,14.96
2480.0,14.87
2482.0,14.9
2484.0,14.85
2486.0,14.76
2488.0,14.67
2490.0,14.65
2492.0,14.565
2494.0,14.5
2496.0,14.44
2498.0,14.39
2500.0,14.3
