wavelength,reflectivity
1300.0,48.74
1302.0,48.85
1304.0,48.73
1306.0,48.62
1308.0,48.58
1310.0,48.66
1312.0,48.68
1314.0,48.53
1316.0,48.38
1318.0,48.28
1320.0,48.11
1322.0,47.98
1324.0,47.78
1326.0,47.65
1328.0,47.61
1330.0,47.56
1332.0,47.44
1334.0,47.32
1336.0,47.1
1338.0,46.94
1340.0,46.69
1342.0,46.46
1344.0,46.19
1346.0,45.71
1348.0,45.02
1350.0,44.06
1352.0,42.84
1354.0,41.55
1356.0,40.27
1358.0,39.14
1360.0,38.28
1362.0,37.685
1364.0,37.39
1366.0,37.34
1368.0,37.48
1370.0,37.8
1372.0,38.27
1374.0,38.88
1376.0,39.5
1378.0,40.05
1380.0,40.38
1382.0,40.41
1384.0,40.14
1386.0,39.44
1388.0,38.04
1390.0,35.62
1392.0,32.02
1394.0,27.86
1396.0,24.3
1398.0,22.61
1400.0,23.22
1402.0,25.61
1404.0,28.61
1406.0,31.22
1408.0,33.06
1410.0,34.25
1412.0,35.045
1414.0,35.69
1416.0,36.25
1418.0,36.83
1420.0,37.5
1422.0,38.22
1424.0,38.905
1426.0,39.44
1428.0,39.78
1430.0,39.94
1432.0,40.09
1434.0,40.31
1436.0,40.61
1438.0,40.97
1440.0,41.42
1442.0,41.89
1444.0,42.45
1446.0,43.08
1448.0,43.73
1450.0,44.34
1452.0,44.88
1454.0,45.31
1456.0,45.61
1458.0,45.74
1460.0,45.65
1462.0,45.24
1464.0,44.38
1466.0,43.03
1468.0,41.43
1470.0,40.17
1472.0,39.92
1474.0,40.87
1476.0,42.71
1478.0,44.66
1480.0,46.15
1482.0,47.08
1484.0,47.61
1486.0,47.91
1488.0,48.14
1490.0,48.29
1492.0,48.36
1494.0,48.4
1496.0,48.44
1498.0,48.49
1500.0,48.52
1502.0,48.53
1504.0,48.54
1506.0,48.53
1508.0,48.58
1510.0,48.62
1512.0,48.7
1514.0,48.81
1516.0,48.95
1518.0,49.04
1520.0,49.14
1522.0,49.24
1524.0,49.35
1526.0,49.47
1528.0,49.56
1530.0,49.63
1532.0,49.66
1534.0,49.69
1536.0,49.72
1538.0,49.74
1540.0,49.76
1542.0,49.79
1544.0,49.82
1546.0,49.8
1548.0,49.79
1550.0,49.81
1552.0,49.83
1554.0,49.83
1556.0,49.81
1558.0,49.82
1560.0,49.86
1562.0,49.87
1564.0,49.86
1566.0,49.84
1568.0,49.83
1570.0,49.84
1572.0,49.85
1574.0,49.82
1576.0,49.85
1578.0,49.88
1580.0,49.89
1582.0,49.9
1584.0,49.9
1586.0,49.9
1588.0,49.9
1590.0,49.88
1592.0,49.87
1594.0,49.88
1596.0,49.88
1598.0,49.9
1600.0,49.93
1602.0,49.94
1604.0,49.94
1606.0,49.92
1608.0,49.9
1610.0,49.91
1612.0,49.91
1614.0,49.88
1616.0,49.86
1618.0,49.88
1620.0,49.89
1622.0,49.92
1624.0,49.91
1626.0,49.9
1628.0,49.9
1630.0,49.92
1632.0,49.93
1634.0,49.93
1636.0,49.9
1638.0,49.85
1640.0,49.81
1642.0,49.8
1644.0,49.79
1646.0,49.79
1648.0,49.8
1650.0,49.8
1652.0,49.76
1654.0,49.75
1656.0,49.72
1658.0,49.69
1660.0,49.69
1662.0,49.67
1664.0,49.67
1666.0,49.64
1668.0,49.59
1670.0,49.51
1672.0,49.49
1674.0,49.46
1676.0,49.47
1678.0,49.49
1680.0,49.49
1682.0,49.49
1684.0,49.47
1686.0,49.42
1688.0,49.4
1690.0,49.38
1692.0,49.38
1694.0,49.41
1696.0,49.42
1698.0,49.42
1700.0,49.43
1702.0,49.43
1704.0,49.42
1706.0,49.38
1708.0,49.31
1710.0,49.26
1712.0,49.25
1714.0,49.2
1716.0,49.17
1718.0,49.17
1720.0,49.13
1722.0,49.12
1724.0,49.1
1726.0,49.05
1728.0,49.01
1730.0,48.97
1732.0,48.95
1734.0,48.97
1736.0,48.94
1738.0,48.89
1740.0,48.87
1742.0,48.84
1744.0,48.8
1746.0,48.72
1748.0,48.63
1750.0,48.52
1752.0,48.43
1754.0,48.37
1756.0,48.34
1758.0,48.28
1760.0,48.2
1762.0,48.08
1764.0,47.94
1766.0,47.84
1768.0,47.67
1770.0,47.49
1772.0,47.29
1774.0,47.03
1776.0,46.77
1778.0,46.51
1780.0,46.24
1782.0,45.98
1784.0,45.71
1786.0,45.42
1788.0,45.11
1790.0,44.76
1792.0,44.4
1794.0,44.04
1796.0,43.69
1798.0,43.33
1800.0,42.92
1802.0,42.4
1804.0,41.75
1806.0,40.95
1808.0,40.01
1810.0,38.92
1812.0,37.64
1814.0,36.16
1816.0,34.5
1818.0,32.79
1820.0,31.19
1822.0,29.86
1824.0,28.83
1826.0,28.11
1828.0,27.63
1830.0,27.28
1832.0,27.07
1834.0,26.945
1836.0,26.93
1838.0,27.05
1840.0,27.33
1842.0,27.78
1844.0,28.345
1846.0,29.01
1848.0,29.74
1850.0,30.45
1852.0,31.12
1854.0,31.7
1856.0,32.12
1858.0,32.4
1860.0,32.56
1862.0,32.59
1864.0,32.51
1866.0,32.37
1868.0,32.13
1870.0,31.8
1872.0,31.33
1874.0,30.73
1876.0,29.925
1878.0,28.89
1880.0,27.53
1882.0,25.77
1884.0,23.59
1886.0,20.99
1888.0,18.13
1890.0,15.39
1892.0,13.31
1894.0,12.4
1896.0,12.93
1898.0,14.77
1900.0,17.44
1902.0,20.375
1904.0,23.08
1906.0,25.42
1908.0,27.35
1910.0,28.87
1912.0,30.07
1914.0,31.01
1916.0,31.76
1918.0,32.31
1920.0,32.745
1922.0,33.13
1924.0,33.44
1926.0,33.67
1928.0,33.86
1930.0,34.04
1932.0,34.25
1934.0,34.415
1936.0,34.5
1938.0,34.49
1940.0,34.415
1942.0,34.24
1944.0,33.98
1946.0,33.64
1948.0,33.31
1950.0,32.99
1952.0,32.73
1954.0,32.51
1956.0,32.315
1958.0,32.22
1960.0,32.19
1962.0,32.24
1964.0,32.34
1966.0,32.52
1968.0,32.77
1970.0,33.09
1972.0,33.46
1974.0,33.88
1976.0,34.38
1978.0,35.02
1980.0,35.76
1982.0,36.625
1984.0,37.58
1986.0,38.61
1988.0,39.59
1990.0,40.46
1992.0,41.19
1994.0,41.78
1996.0,42.27
1998.0,42.67
2000.0,43.05
2002.0,43.34
2004.0,43.58
2006.0,43.75
2008.0,43.89
2010.0,44.02
2012.0,44.13
2014.0,44.23
2016.0,44.28
2018.0,44.34
2020.0,44.44
2022.0,44.5
2024.0,44.54
2026.0,44.56
2028.0,44.57
2030.0,44.59
2032.0,44.58
2034.0,44.55
2036.0,44.51
2038.0,44.46
2040.0,44.26
2042.0,43.87
2044.0,43.27
2046.0,42.67
2048.0,42.29
2050.0,42.18
2052.0,42.34
2054.0,42.54
2056.0,42.76
2058.0,42.97
2060.0,43.14
2062.0,43.3
2064.0,43.38
2066.0,43.42
2068.0,43.45
2070.0,43.47
2072.0,43.38
2074.0,43.19
2076.0,42.96
2078.0,42.84
2080.0,42.9
2082.0,43.17
2084.0,43.56
2086.0,43.93
2088.0,44.2
2090.0,44.37
2092.0,44.5
2094.0,44.6
2096.0,44.66
2098.0,44.7
2100.0,44.72
2102.0,44.73
2104.0,44.7
2106.0,44.67
2108.0,44.62
2110.0,44.58
2112.0,44.56
2114.0,44.55
2116.0,44.56
2118.0,44.57
2120.0,44.58
2122.0,44.52
2124.0,44.43
2126.0,44.35
2128.0,44.29
2130.0,44.27
2132.0,44.23
2134.0,44.1
2136.0,43.94
2138.0,43.69
2140.0,43.41
2142.0,43.01
2144.0,42.53
2146.0,41.97
2148.0,41.41
2150.0,40.98
2152.0,40.78
2154.0,40.9
2156.0,41.17
2158.0,41.54
2160.0,41.92
2162.0,42.23
2164.0,42.51
2166.0,42.67
2168.0,42.8
2170.0,42.94
2172.0,43.12
2174.0,43.22
2176.0,43.24
2178.0,43.2
2180.0,43.14
2182.0,43.11
2184.0,43.02
2186.0,42.94
2188.0,42.85
2190.0,42.79
2192.0,42.71
2194.0,42.58
2196.0,42.39
2198.0,42.17
2200.0,41.95
2202.0,41.8
2204.0,41.76
2206.0,41.86
2208.0,42.09
2210.0,42.37
2212.0,42.64
2214.0,42.79
2216.0,42.92
2218.0,42.99
2220.0,43.08
2222.0,43.15
2224.0,43.22
2226.0,43.27
2228.0,43.25
2230.0,43.2
2232.0,43.21
2234.0,43.23
2236.0,43.23
2238.0,43.21
2240.0,43.17
2242.0,43.07
2244.0,42.95
2246.0,42.82
2248.0,42.75
2250.0,42.69
2252.0,42.63
2254.0,42.61
2256.0,42.52
2258.0,42.49
2260.0,42.44
2262.0,42.43
2264.0,42.37
2266.0,42.25
2268.0,42.14
2270.0,41.99
2272.0,41.92
2274.0,41.88
2276.0,41.79
2278.0,41.68
2280.0,41.55
2282.0,41.47
2284.0,41.36
2286.0,41.25
2288.0,41.17
2290.0,41.12
2292.0,41.03
2294.0,40.9
2296.0,40.755
2298.0,40.64
2300.0,40.52
2302.0,40.41
2304.0,40.31
2306.0,40.17
2308.0,40.04
2310.0,39.87
2312.0,39.74
2314.0,39.66
2316.0,39.52
2318.0,39.34
2320.0,39.12
2322.0,38.85
2324.0,38.53
2326.0,38.23
2328.0,37.98
2330.0,37.75
2332.0,37.52
2334.0,37.35
2336.0,37.26
2338.0,37.22
2340.0,37.18
2342.0,37.13
2344.0,37.07
2346.0,36.9
2348.0,36.69
2350.0,36.51
2352.0,36.4
2354.0,36.33
2356.0,36.25
2358.0,36.175
2360.0,36.1
2362.0,35.89
2364.0,35.65
2366.0,35.42
2368.0,35.295
2370.0,35.23
2372.0,35.18
2374.0,35.09
2376.0,34.97
2378.0,34.775
2380.0,34.63
2382.0,34.505
2384.0,34.39
2386.0,34.29
2388.0,34.32
2390.0,34.43
2392.0,34.44
2394.0,34.38
2396.0,34.29
2398.0,34.18
2400.0,34.04
2402.0,33.93
2404.0,33.84
2406.0,33.65
2408.0,33.45
2410.0,33.195
2412.0,32.95
2414.0,32.67
2416.0,32.405
2418.0,32.16
2420.0,31.94
2422.0,31.71
2424.0,31.49
2426.0,31.23
2428.0,31.0
2430.0,30.7
2432.0,30.37
2434.0,29.98
2436.0,29.62
2438.0,29.315
2440.0,29.0
2442.0,28.65
2444.0,28.23
2446.0,27.84
2448.0,27.5
2450.0,27.12
2452.0,26.69
2454.0,26.23
2456.0,25.85
2458.0,25.39
2460.0,24.99
2462.0,24.57
2464.0,24.18
2466.0,23.84
2468.0,23.48
2470.0,23.12
2472.0,22.7
2474.0,22.37
2476.0,22.06
2478.0,21.67
2480.0,21.22
2482.0,20.77
2484.0,20.33
2486.0,19.96
2488.0,19.52
2490.0,19.04
2492.0,18.61
2494.0,18.23
2496.0,17.86
2498.0,17.385
2500.0,16.91
