wavelength,reflectivity
1300.0,81.31
1302.0,81.35
1304.0,81.6
1306.0,82.01
1308.0,82.23
1310.0,82.09
1312.0,81.99
1314.0,81.97
1316.0,82.02
1318.0,82.12
1320.0,82.1
1322.0,81.99
1324.0,81.93
1326.0,81.79
1328.0,81.62
1330.0,81.43
1332.0,81.48
1334.0,81.51
1336.0,81.43
1338.0,81.22
1340.0,80.94
1342.0,80.725
1344.0,80.79
1346.0,80.72
1348.0,80.65
1350.0,80.365
1352.0,79.68
1354.0,78.43
1356.0,76.81
1358.0,75.03
1360.0,73.65
1362.0,72.92
1364.0,72.77
1366.0,73.02
1368.0,73.43
1370.0,73.72
1372.0,73.79
1374.0,73.63
1376.0,73.255
1378.0,72.78
1380.0,72.23
1382.0,71.61
1384.0,70.68
1386.0,69.27
1388.0,66.96
1390.0,63.5
1392.0,59.15
1394.0,55.0
1396.0,52.2
1398.0,51.82
1400.0,53.98
1402.0,57.87
1404.0,62.33
1406.0,66.46
1408.0,69.61
1410.0,71.745
1412.0,73.12
1414.0,73.94
1416.0,74.49
1418.0,74.94
1420.0,75.24
1422.0,75.49
1424.0,75.7
1426.0,75.84
1428.0,75.95
1430.0,76.055
1432.0,76.15
1434.0,76.165
1436.0,76.18
1438.0,76.165
1440.0,76.23
1442.0,76.29
1444.0,76.345
1446.0,76.39
1448.0,76.415
1450.0,76.46
1452.0,76.52
1454.0,76.53
1456.0,76.53
1458.0,76.58
1460.0,76.65
1462.0,76.71
1464.0,76.76
1466.0,76.76
1468.0,76.74
1470.0,76.77
1472.0,76.77
1474.0,76.82
1476.0,76.89
1478.0,76.98
1480.0,77.07
1482.0,77.135
1484.0,77.12
1486.0,77.15
1488.0,77.23
1490.0,77.28
1492.0,77.34
1494.0,77.41
1496.0,77.49
1498.0,77.63
1500.0,77.73
1502.0,77.79
1504.0,77.815
1506.0,77.88
1508.0,77.94
1510.0,77.995
1512.0,78.02
1514.0,78.08
1516.0,78.13
1518.0,78.15
1520.0,78.24
1522.0,78.31
1524.0,78.39
1526.0,78.43
1528.0,78.39
1530.0,78.35
1532.0,78.34
1534.0,78.33
1536.0,78.37
1538.0,78.4
1540.0,78.44
1542.0,78.48
1544.0,78.5
1546.0,78.53
1548.0,78.52
1550.0,78.53
1552.0,78.58
1554.0,78.63
1556.0,78.66
1558.0,78.66
1560.0,78.69
1562.0,78.715
1564.0,78.75
1566.0,78.71
1568.0,78.715
1570.0,78.71
1572.0,78.76
1574.0,78.76
1576.0,78.75
1578.0,78.75
1580.0,78.8
1582.0,78.82
1584.0,78.82
1586.0,78.77
1588.0,78.715
1590.0,78.73
1592.0,78.74
1594.0,78.71
1596.0,78.7
1598.0,78.66
1600.0,78.65
1602.0,78.66
1604.0,78.68
1606.0,78.68
1608.0,78.64
1610.0,78.6
1612.0,78.57
1614.0,78.57
1616.0,78.57
1618.0,78.535
1620.0,78.51
1622.0,78.48
1624.0,78.45
1626.0,78.43
1628.0,78.4
1630.0,78.35
1632.0,78.32
1634.0,78.3
1636.0,78.29
1638.0,78.27
1640.0,78.25
1642.0,78.2
1644.0,78.14
1646.0,78.09
1648.0,78.04
1650.0,77.98
1652.0,77.925
1654.0,77.85
1656.0,77.79
1658.0,77.73
1660.0,77.66
1662.0,77.6
1664.0,77.53
1666.0,77.49
1668.0,77.47
1670.0,77.43
1672.0,77.37
1674.0,77.27
1676.0,77.17
1678.0,77.12
1680.0,77.1
1682.0,77.04
1684.0,76.955
1686.0,76.88
1688.0,76.83
1690.0,76.82
1692.0,76.74
1694.0,76.69
1696.0,76.64
1698.0,76.58
1700.0,76.51
1702.0,76.44
1704.0,76.36
1706.0,76.3
1708.0,76.25
1710.0,76.16
1712.0,76.07
1714.0,76.0
1716.0,75.94
1718.0,75.91
1720.0,75.86
1722.0,75.79
1724.0,75.73
1726.0,75.66
1728.0,75.61
1730.0,75.54
1732.0,75.46
1734.0,75.44
1736.0,75.4
1738.0,75.34
1740.0,75.26
1742.0,75.15
1744.0,75.07
1746.0,74.97
1748.0,74.89
1750.0,74.835
1752.0,74.76
1754.0,74.72
1756.0,74.65
1758.0,74.54
1760.0,74.46
1762.0,74.39
1764.0,74.37
1766.0,74.33
1768.0,74.32
1770.0,74.28
1772.0,74.21
1774.0,74.11
1776.0,74.0
1778.0,73.96
1780.0,73.92
1782.0,73.88
1784.0,73.81
1786.0,73.73
1788.0,73.68
1790.0,73.65
1792.0,73.61
1794.0,73.53
1796.0,73.435
1798.0,73.34
1800.0,73.31
1802.0,73.28
1804.0,73.25
1806.0,73.22
1808.0,73.15
1810.0,73.07
1812.0,72.97
1814.0,72.88
1816.0,72.81
1818.0,72.71
1820.0,72.66
1822.0,72.55
1824.0,72.43
1826.0,72.31
1828.0,72.21
1830.0,72.12
1832.0,72.02
1834.0,71.96
1836.0,71.87
1838.0,71.74
1840.0,71.6
1842.0,71.47
1844.0,71.39
1846.0,71.23
1848.0,71.09
1850.0,70.92
1852.0,70.75
1854.0,70.58
1856.0,70.39
1858.0,70.27
1860.0,70.11
1862.0,69.93
1864.0,69.66
1866.0,69.34
1868.0,69.015
1870.0,68.68
1872.0,68.27
1874.0,67.86
1876.0,67.32
1878.0,66.82
1880.0,66.35
1882.0,65.99
1884.0,65.76
1886.0,65.57
1888.0,65.46
1890.0,65.27
1892.0,65.06
1894.0,64.8
1896.0,64.47
1898.0,64.17
1900.0,63.845
1902.0,63.55
1904.0,63.25
1906.0,62.93
1908.0,62.61
1910.0,62.335
1912.0,62.08
1914.0,61.83
1916.0,61.58
1918.0,61.33
1920.0,61.18
1922.0,61.02
1924.0,60.85
1926.0,60.68
1928.0,60.46
1930.0,60.325
1932.0,60.19
1934.0,60.1
1936.0,59.99
1938.0,59.89
1940.0,59.85
1942.0,59.78
1944.0,59.75
1946.0,59.67
1948.0,59.58
1950.0,59.53
1952.0,59.56
1954.0,59.59
1956.0,59.62
1958.0,59.58
1960.0,59.53
1962.0,59.49
1964.0,59.44
1966.0,59.46
1968.0,59.51
1970.0,59.53
1972.0,59.52
1974.0,59.48
1976.0,59.45
1978.0,59.39
1980.0,59.35
1982.0,59.355
1984.0,59.38
1986.0,59.39
1988.0,59.31
1990.0,59.24
1992.0,59.16
1994.0,59.09
1996.0,59.02
1998.0,58.96
2000.0,58.87
2002.0,58.76
2004.0,58.67
2006.0,58.59
2008.0,58.51
2010.0,58.43
2012.0,58.34
2014.0,58.25
2016.0,58.205
2018.0,58.16
2020.0,58.19
2022.0,58.205
2024.0,58.19
2026.0,58.15
2028.0,58.08
2030.0,58.09
2032.0,58.095
2034.0,58.06
2036.0,58.04
2038.0,58.0
2040.0,58.0
2042.0,57.96
2044.0,57.91
2046.0,57.88
2048.0,57.845
2050.0,57.79
2052.0,57.75
2054.0,57.68
2056.0,57.59
2058.0,57.54
2060.0,57.48
2062.0,57.415
2064.0,57.4
2066.0,57.35
2068.0,57.33
2070.0,57.27
2072.0,57.25
2074.0,57.27
2076.0,57.3
2078.0,57.32
2080.0,57.26
2082.0,57.21
2084.0,57.19
2086.0,57.16
2088.0,57.13
2090.0,57.05
2092.0,57.04
2094.0,57.02
2096.0,56.97
2098.0,56.82
2100.0,56.69
2102.0,56.65
2104.0,56.64
2106.0,56.65
2108.0,56.625
2110.0,56.53
2112.0,56.49
2114.0,56.445
2116.0,56.46
2118.0,56.41
2120.0,56.31
2122.0,56.28
2124.0,56.29
2126.0,56.31
2128.0,56.32
2130.0,56.31
2132.0,56.25
2134.0,56.2
2136.0,56.16
2138.0,56.19
2140.0,56.25
2142.0,56.25
2144.0,56.26
2146.0,56.265
2148.0,56.3
2150.0,56.37
2152.0,56.47
2154.0,56.51
2156.0,56.46
2158.0,56.32
2160.0,56.21
2162.0,56.14
2164.0,56.11
2166.0,55.99
2168.0,55.79
2170.0,55.475
2172.0,55.15
2174.0,54.8
2176.0,54.42
2178.0,54.04
2180.0,53.58
2182.0,53.1
2184.0,52.67
2186.0,52.28
2188.0,51.87
2190.0,51.45
2192.0,51.04
2194.0,50.65
2196.0,50.33
2198.0,50.015
2200.0,49.75
2202.0,49.4
2204.0,49.11
2206.0,48.98
2208.0,48.82
2210.0,48.65
2212.0,48.42
2214.0,48.16
2216.0,47.9
2218.0,47.63
2220.0,47.47
2222.0,47.33
2224.0,47.0
2226.0,46.64
2228.0,46.33
2230.0,46.15
2232.0,45.95
2234.0,45.68
2236.0,45.47
2238.0,45.32
2240.0,45.12
2242.0,44.95
2244.0,44.7
2246.0,44.55
2248.0,44.41
2250.0,44.3
2252.0,44.25
2254.0,44.16
2256.0,44.03
2258.0,43.89
2260.0,43.82
2262.0,43.83
2264.0,43.78
2266.0,43.64
2268.0,43.56
2270.0,43.47
2272.0,43.42
2274.0,43.34
2276.0,43.27
2278.0,43.14
2280.0,42.99
2282.0,42.82
2284.0,42.62
2286.0,42.36
2288.0,42.05
2290.0,41.71
2292.0,41.34
2294.0,40.91
2296.0,40.46
2298.0,39.94
2300.0,39.49
2302.0,39.05
2304.0,38.565
2306.0,38.13
2308.0,37.685
2310.0,37.29
2312.0,36.89
2314.0,36.5
2316.0,36.21
2318.0,36.0
2320.0,35.95
2322.0,35.98
2324.0,36.14
2326.0,36.355
2328.0,36.68
2330.0,37.07
2332.0,37.67
2334.0,38.33
2336.0,39.02
2338.0,39.75
2340.0,40.44
2342.0,41.2
2344.0,41.95
2346.0,42.67
2348.0,43.17
2350.0,43.59
2352.0,43.95
2354.0,44.35
2356.0,44.64
2358.0,44.77
2360.0,44.98
2362.0,45.19
2364.0,45.4
2366.0,45.43
2368.0,45.39
2370.0,45.34
2372.0,45.28
2374.0,45.3
2376.0,45.32
2378.0,45.26
2380.0,45.13
2382.0,44.99
2384.0,44.84
2386.0,44.7
2388.0,44.49
2390.0,44.31
2392.0,44.11
2394.0,43.94
2396.0,43.65
