wavelength,reflectivity
1300.0,77.44
1302.0,77.2
1304.0,77.19
1306.0,77.07
1308.0,77.0
1310.0,77.01
1312.0,76.82
1314.0,76.56
1316.0,76.44
1318.0,76.51
1320.0,76.53
1322.0,76.63
1324.0,76.68
1326.0,76.68
1328.0,76.55
1330.0,76.48
1332.0,76.41
1334.0,76.49
1336.0,76.51
1338.0,76.46
1340.0,76.36
1342.0,76.235
1344.0,76.2
1346.0,76.23
1348.0,76.25
1350.0,76.23
1352.0,76.19
1354.0,76.19
1356.0,76.22
1358.0,76.22
1360.0,76.19
1362.0,76.14
1364.0,76.1
1366.0,76.11
1368.0,76.11
1370.0,76.11
1372.0,76.12
1374.0,76.13
1376.0,76.15
1378.0,76.18
1380.0,76.14
1382.0,76.13
1384.0,76.11
1386.0,76.09
1388.0,76.07
1390.0,76.08
1392.0,76.055
1394.0,76.02
1396.0,76.0
1398.0,75.97
1400.0,75.96
1402.0,75.98
1404.0,75.97
1406.0,75.95
1408.0,75.95
1410.0,75.95
1412.0,75.94
1414.0,75.96
1416.0,75.97
1418.0,75.985
1420.0,75.985
1422.0,76.01
1424.0,76.01
1426.0,76.0
1428.0,76.04
1430.0,76.1
1432.0,76.12
1434.0,76.14
1436.0,76.13
1438.0,76.1
1440.0,76.12
1442.0,76.165
1444.0,76.18
1446.0,76.22
1448.0,76.25
1450.0,76.27
1452.0,76.3
1454.0,76.32
1456.0,76.33
1458.0,76.36
1460.0,76.37
1462.0,76.38
1464.0,76.36
1466.0,76.38
1468.0,76.41
1470.0,76.44
1472.0,76.47
1474.0,76.49
1476.0,76.51
1478.0,76.5
1480.0,76.49
1482.0,76.48
1484.0,76.46
1486.0,76.48
1488.0,76.52
1490.0,76.57
1492.0,76.61
1494.0,76.61
1496.0,76.61
1498.0,76.61
1500.0,76.65
1502.0,76.69
1504.0,76.73
1506.0,76.76
1508.0,76.77
1510.0,76.76
1512.0,76.775
1514.0,76.81
1516.0,76.83
1518.0,76.84
1520.0,76.83
1522.0,76.84
1524.0,76.845
1526.0,76.86
1528.0,76.86
1530.0,76.87
1532.0,76.89
1534.0,76.92
1536.0,76.92
1538.0,76.91
1540.0,76.91
1542.0,76.92
1544.0,76.95
1546.0,76.97
1548.0,76.98
1550.0,77.01
1552.0,77.06
1554.0,77.12
1556.0,77.16
1558.0,77.135
1560.0,77.07
1562.0,77.02
1564.0,76.99
1566.0,77.01
1568.0,77.08
1570.0,77.12
1572.0,77.12
1574.0,77.11
1576.0,77.15
1578.0,77.18
1580.0,77.22
1582.0,77.25
1584.0,77.24
1586.0,77.28
1588.0,77.315
1590.0,77.31
1592.0,77.35
1594.0,77.33
1596.0,77.28
1598.0,77.26
1600.0,77.29
1602.0,77.33
1604.0,77.34
1606.0,77.315
1608.0,77.27
1610.0,77.26
1612.0,77.33
1614.0,77.38
1616.0,77.36
1618.0,77.34
1620.0,77.29
1622.0,77.3
1624.0,77.315
1626.0,77.35
1628.0,77.37
1630.0,77.35
1632.0,77.33
1634.0,77.28
1636.0,77.24
1638.0,77.23
1640.0,77.205
1642.0,77.22
1644.0,77.24
1646.0,77.205
1648.0,77.17
1650.0,77.16
1652.0,77.15
1654.0,77.15
1656.0,77.135
1658.0,77.13
1660.0,77.12
1662.0,77.13
1664.0,77.13
1666.0,77.11
1668.0,77.07
1670.0,77.025
1672.0,76.97
1674.0,76.94
1676.0,76.95
1678.0,76.98
1680.0,77.0
1682.0,76.98
1684.0,76.95
1686.0,76.98
1688.0,77.02
1690.0,77.04
1692.0,77.04
1694.0,77.025
1696.0,77.05
1698.0,77.09
1700.0,77.12
1702.0,77.12
1704.0,77.1
1706.0,77.04
1708.0,77.05
1710.0,77.025
1712.0,76.97
1714.0,76.91
1716.0,76.845
1718.0,76.87
1720.0,76.95
1722.0,76.98
1724.0,76.94
1726.0,76.87
1728.0,76.87
1730.0,76.88
1732.0,76.87
1734.0,76.845
1736.0,76.83
1738.0,76.84
1740.0,76.87
1742.0,76.84
1744.0,76.84
1746.0,76.9
1748.0,76.93
1750.0,76.93
1752.0,76.9
1754.0,76.86
1756.0,76.83
1758.0,76.83
1760.0,76.83
1762.0,76.83
1764.0,76.845
1766.0,76.845
1768.0,76.845
1770.0,76.87
1772.0,76.92
1774.0,76.955
1776.0,76.99
1778.0,77.0
1780.0,77.02
1782.0,77.01
1784.0,77.01
1786.0,76.99
1788.0,76.99
1790.0,76.99
1792.0,76.98
1794.0,76.97
1796.0,76.93
1798.0,76.9
1800.0,76.88
1802.0,76.86
1804.0,76.86
1806.0,76.84
1808.0,76.81
1810.0,76.775
1812.0,76.74
1814.0,76.7
1816.0,76.71
1818.0,76.68
1820.0,76.64
1822.0,76.57
1824.0,76.48
1826.0,76.44
1828.0,76.4
1830.0,76.36
1832.0,76.29
1834.0,76.22
1836.0,76.14
1838.0,76.11
1840.0,76.13
1842.0,76.12
1844.0,76.09
1846.0,75.985
1848.0,75.96
1850.0,75.96
1852.0,75.94
1854.0,75.86
1856.0,75.78
1858.0,75.73
1860.0,75.66
1862.0,75.53
1864.0,75.36
1866.0,75.195
1868.0,75.08
1870.0,74.99
1872.0,74.94
1874.0,74.91
1876.0,74.96
1878.0,75.04
1880.0,75.17
1882.0,75.35
1884.0,75.53
1886.0,75.65
1888.0,75.68
1890.0,75.68
1892.0,75.68
1894.0,75.69
1896.0,75.68
1898.0,75.62
1900.0,75.59
1902.0,75.54
1904.0,75.54
1906.0,75.5
1908.0,75.49
1910.0,75.47
1912.0,75.4
1914.0,75.41
1916.0,75.375
1918.0,75.37
1920.0,75.36
1922.0,75.31
1924.0,75.3
1926.0,75.24
1928.0,75.25
1930.0,75.28
1932.0,75.3
1934.0,75.31
1936.0,75.28
1938.0,75.29
1940.0,75.29
1942.0,75.28
1944.0,75.265
1946.0,75.22
1948.0,75.18
1950.0,75.13
1952.0,75.14
1954.0,75.12
1956.0,75.07
1958.0,75.05
1960.0,74.99
