wavelength,reflectivity
1300.0,104.96
1302.0,105.32
1304.0,105.39
1306.0,105.2
1308.0,105.15
1310.0,105.26
1312.0,105.11
1314.0,105.15
1316.0,105.065
1318.0,104.67
1320.0,104.22
1322.0,104.12
1324.0,103.91
1326.0,103.93
1328.0,103.68
1330.0,103.44
1332.0,103.04
1334.0,102.56
1336.0,101.86
1338.0,101.23
1340.0,100.66
1342.0,100.26
1344.0,99.62
1346.0,98.82
1348.0,98.02
1350.0,97.18
1352.0,96.52
1354.0,95.83
1356.0,94.96
1358.0,94.03
1360.0,93.04
1362.0,92.17
1364.0,91.44
1366.0,90.85
1368.0,90.4
1370.0,90.04
1372.0,89.81
1374.0,89.62
1376.0,89.45
1378.0,89.28
1380.0,89.03
1382.0,88.8
1384.0,88.55
1386.0,88.29
1388.0,88.14
1390.0,87.87
1392.0,87.53
1394.0,87.11
1396.0,86.48
1398.0,85.72
1400.0,84.9
1402.0,83.97
1404.0,83.04
1406.0,82.03
1408.0,80.905
1410.0,79.64
1412.0,78.31
1414.0,76.94
1416.0,75.625
1418.0,74.39
1420.0,73.21
1422.0,72.105
1424.0,71.05
1426.0,70.04
1428.0,69.11
1430.0,68.225
1432.0,67.46
1434.0,66.85
1436.0,66.24
1438.0,65.73
1440.0,65.17
1442.0,64.57
1444.0,64.07
1446.0,63.52
1448.0,63.08
1450.0,62.68
1452.0,62.27
1454.0,61.77
1456.0,61.26
1458.0,60.67
1460.0,60.1
1462.0,59.51
1464.0,58.86
1466.0,58.22
1468.0,57.48
1470.0,56.74
1472.0,56.03
1474.0,55.35
1476.0,54.755
1478.0,54.13
1480.0,53.6
1482.0,53.12
1484.0,52.72
1486.0,52.4
1488.0,52.19
1490.0,52.08
1492.0,52.02
1494.0,51.98
1496.0,51.98
1498.0,52.0
1500.0,52.08
1502.0,52.19
1504.0,52.31
1506.0,52.46
1508.0,52.72
1510.0,52.99
1512.0,53.24
1514.0,53.47
1516.0,53.64
1518.0,53.75
1520.0,53.88
1522.0,53.895
1524.0,53.895
1526.0,53.85
1528.0,53.67
1530.0,53.535
1532.0,53.41
1534.0,53.35
1536.0,53.29
1538.0,53.2
1540.0,53.14
1542.0,53.14
1544.0,53.16
1546.0,53.22
1548.0,53.31
1550.0,53.48
1552.0,53.73
1554.0,53.94
1556.0,54.09
1558.0,54.28
1560.0,54.47
1562.0,54.7
1564.0,54.93
1566.0,55.04
1568.0,55.18
1570.0,55.21
1572.0,55.35
1574.0,55.5
1576.0,55.61
1578.0,55.65
1580.0,55.69
1582.0,55.69
1584.0,55.75
1586.0,55.82
1588.0,55.94
1590.0,56.18
1592.0,56.51
1594.0,56.91
1596.0,57.46
1598.0,58.05
1600.0,58.67
1602.0,59.42
1604.0,60.08
1606.0,60.755
1608.0,61.45
1610.0,62.13
1612.0,62.84
1614.0,63.555
1616.0,64.24
1618.0,64.885
1620.0,65.54
1622.0,66.18
1624.0,66.81
1626.0,67.38
1628.0,67.95
1630.0,68.48
1632.0,69.03
1634.0,69.51
1636.0,69.96
1638.0,70.44
1640.0,70.91
1642.0,71.39
1644.0,71.85
1646.0,72.25
1648.0,72.68
1650.0,73.16
1652.0,73.65
1654.0,74.045
1656.0,74.39
1658.0,74.75
1660.0,75.15
1662.0,75.51
1664.0,75.8
1666.0,76.05
1668.0,76.29
1670.0,76.58
1672.0,76.75
1674.0,76.9
1676.0,77.02
1678.0,77.11
1680.0,77.13
1682.0,77.05
1684.0,76.94
1686.0,76.83
1688.0,76.69
1690.0,76.54
1692.0,76.235
1694.0,75.89
1696.0,75.44
1698.0,74.87
1700.0,74.28
1702.0,73.67
1704.0,73.25
1706.0,72.97
1708.0,72.8
1710.0,72.82
1712.0,72.89
1714.0,73.01
1716.0,73.06
1718.0,73.06
1720.0,73.04
1722.0,72.99
1724.0,72.91
1726.0,72.85
1728.0,72.74
1730.0,72.57
1732.0,72.34
1734.0,72.17
1736.0,72.0
1738.0,71.81
1740.0,71.6
1742.0,71.47
1744.0,71.37
1746.0,71.26
1748.0,70.99
1750.0,70.82
1752.0,70.72
1754.0,70.67
1756.0,70.57
1758.0,70.31
1760.0,69.95
1762.0,69.72
1764.0,69.53
1766.0,69.39
1768.0,69.24
1770.0,69.01
1772.0,68.82
1774.0,68.71
1776.0,68.63
1778.0,68.6
1780.0,68.56
1782.0,68.58
1784.0,68.56
1786.0,68.58
1788.0,68.65
1790.0,68.63
1792.0,68.6
1794.0,68.61
1796.0,68.71
1798.0,68.9
1800.0,69.03
1802.0,69.07
1804.0,68.99
1806.0,68.94
1808.0,68.79
1810.0,68.67
1812.0,68.56
1814.0,68.39
1816.0,68.27
1818.0,68.155
1820.0,68.08
1822.0,68.08
1824.0,68.08
1826.0,68.12
1828.0,68.25
1830.0,68.46
1832.0,68.61
1834.0,68.82
1836.0,69.03
1838.0,69.32
1840.0,69.62
1842.0,69.85
1844.0,70.06
1846.0,70.23
1848.0,70.46
1850.0,70.67
1852.0,70.86
1854.0,70.97
1856.0,70.93
1858.0,70.86
1860.0,70.67
1862.0,70.57
1864.0,70.55
1866.0,70.48
1868.0,70.33
1870.0,70.02
1872.0,69.57
1874.0,69.05
1876.0,68.42
1878.0,67.76
1880.0,67.11
1882.0,66.39
1884.0,65.55
1886.0,64.55
1888.0,63.48
1890.0,62.25
1892.0,60.9
1894.0,59.38
1896.0,57.76
1898.0,56.16
1900.0,54.53
1902.0,52.9
1904.0,51.26
1906.0,49.7
1908.0,48.13
1910.0,46.73
1912.0,45.57
1914.0,44.56
1916.0,43.57
1918.0,42.77
1920.0,41.98
1922.0,41.31
1924.0,40.7
1926.0,40.23
1928.0,39.9
1930.0,39.75
1932.0,39.68
1934.0,39.62
1936.0,39.56
1938.0,39.52
1940.0,39.66
1942.0,39.89
1944.0,40.25
1946.0,40.59
1948.0,40.97
1950.0,41.31
1952.0,41.65
1954.0,41.98
1956.0,42.38
1958.0,42.87
1960.0,43.38
1962.0,43.88
1964.0,44.28
1966.0,44.71
1968.0,45.07
1970.0,45.51
1972.0,45.97
1974.0,46.46
1976.0,46.98
1978.0,47.38
1980.0,47.75
1982.0,48.07
1984.0,48.46
1986.0,48.86
1988.0,49.38
1990.0,49.86
1992.0,50.1
1994.0,50.37
1996.0,50.61
1998.0,50.96
2000.0,51.28
2002.0,51.45
2004.0,51.58
2006.0,51.68
2008.0,51.77
2010.0,51.77
2012.0,51.66
2014.0,51.55
2016.0,51.58
2018.0,51.56
2020.0,51.43
2022.0,51.01
2024.0,50.5
2026.0,50.03
2028.0,49.58
2030.0,49.01
2032.0,48.32
2034.0,47.61
2036.0,46.82
2038.0,45.91
2040.0,44.85
2042.0,43.69
2044.0,42.6
2046.0,41.58
2048.0,40.55
