wavelength,reflectivity
1300.0,73.2
1302.0,73.24
1304.0,73.29
1306.0,73.3
1308.0,73.45
1310.0,73.64
1312.0,73.54
1314.0,73.47
1316.0,73.15
1318.0,72.79
1320.0,72.67
1322.0,72.73
1324.0,72.88
1326.0,73.01
1328.0,72.95
1330.0,72.825
1332.0,72.71
1334.0,72.71
1336.0,72.69
1338.0,72.715
1340.0,72.74
1342.0,72.715
1344.0,72.645
1346.0,72.62
1348.0,72.62
1350.0,72.61
1352.0,72.62
1354.0,72.61
1356.0,72.57
1358.0,72.56
1360.0,72.62
1362.0,72.66
1364.0,72.66
1366.0,72.62
1368.0,72.55
1370.0,72.5
1372.0,72.46
1374.0,72.41
1376.0,72.34
1378.0,72.27
1380.0,72.19
1382.0,72.1
1384.0,71.96
1386.0,71.8
1388.0,71.63
1390.0,71.49
1392.0,71.35
1394.0,71.17
1396.0,70.955
1398.0,70.77
1400.0,70.57
1402.0,70.41
1404.0,70.25
1406.0,70.09
1408.0,69.98
1410.0,69.87
1412.0,69.79
1414.0,69.72
1416.0,69.64
1418.0,69.58
1420.0,69.51
1422.0,69.45
1424.0,69.39
1426.0,69.3
1428.0,69.21
1430.0,69.14
1432.0,69.14
1434.0,69.16
1436.0,69.17
1438.0,69.19
1440.0,69.18
1442.0,69.15
1444.0,69.125
1446.0,69.07
1448.0,69.09
1450.0,69.11
1452.0,69.14
1454.0,69.14
1456.0,69.125
1458.0,69.14
1460.0,69.19
1462.0,69.24
1464.0,69.29
1466.0,69.3
1468.0,69.31
1470.0,69.35
1472.0,69.39
1474.0,69.46
1476.0,69.52
1478.0,69.58
1480.0,69.65
1482.0,69.75
1484.0,69.84
1486.0,69.96
1488.0,70.01
1490.0,70.06
1492.0,70.095
1494.0,70.18
1496.0,70.28
1498.0,70.37
1500.0,70.46
1502.0,70.54
1504.0,70.62
1506.0,70.72
1508.0,70.82
1510.0,70.92
1512.0,70.98
1514.0,71.05
1516.0,71.09
1518.0,71.13
1520.0,71.21
1522.0,71.29
1524.0,71.35
1526.0,71.41
1528.0,71.46
1530.0,71.51
1532.0,71.59
1534.0,71.65
1536.0,71.7
1538.0,71.77
1540.0,71.83
1542.0,71.9
1544.0,71.97
1546.0,72.02
1548.0,72.08
1550.0,72.105
1552.0,72.17
1554.0,72.21
1556.0,72.25
1558.0,72.285
1560.0,72.35
1562.0,72.39
1564.0,72.42
1566.0,72.45
1568.0,72.48
1570.0,72.56
1572.0,72.63
1574.0,72.69
1576.0,72.68
1578.0,72.68
1580.0,72.645
1582.0,72.68
1584.0,72.73
1586.0,72.81
1588.0,72.85
1590.0,72.85
1592.0,72.84
1594.0,72.85
1596.0,72.91
1598.0,72.96
1600.0,72.98
1602.0,72.98
1604.0,72.95
1606.0,72.96
1608.0,72.98
1610.0,73.0
1612.0,73.0
1614.0,72.99
1616.0,72.99
1618.0,73.01
1620.0,73.04
1622.0,73.07
1624.0,73.075
1626.0,73.06
1628.0,73.02
1630.0,72.95
1632.0,72.95
1634.0,72.95
1636.0,72.97
1638.0,72.99
1640.0,72.99
1642.0,72.99
1644.0,72.97
1646.0,72.98
1648.0,73.01
1650.0,73.02
1652.0,73.03
1654.0,73.0
1656.0,72.95
1658.0,72.97
1660.0,72.97
1662.0,72.96
1664.0,72.96
1666.0,72.88
1668.0,72.85
1670.0,72.79
1672.0,72.78
1674.0,72.77
1676.0,72.77
1678.0,72.78
1680.0,72.78
1682.0,72.8
1684.0,72.8
1686.0,72.78
1688.0,72.78
1690.0,72.78
1692.0,72.76
1694.0,72.79
1696.0,72.77
1698.0,72.8
1700.0,72.825
1702.0,72.84
1704.0,72.85
1706.0,72.85
1708.0,72.82
1710.0,72.77
1712.0,72.715
1714.0,72.67
1716.0,72.67
1718.0,72.63
1720.0,72.61
1722.0,72.56
1724.0,72.52
1726.0,72.5
1728.0,72.46
1730.0,72.465
1732.0,72.48
1734.0,72.465
1736.0,72.535
1738.0,72.535
1740.0,72.51
1742.0,72.48
1744.0,72.44
1746.0,72.46
1748.0,72.465
1750.0,72.41
1752.0,72.355
1754.0,72.3
1756.0,72.28
1758.0,72.25
1760.0,72.22
1762.0,72.18
1764.0,72.14
1766.0,72.12
1768.0,72.07
1770.0,72.01
1772.0,71.97
1774.0,71.94
1776.0,71.88
1778.0,71.83
1780.0,71.78
1782.0,71.71
1784.0,71.67
1786.0,71.63
1788.0,71.59
1790.0,71.565
1792.0,71.54
