wavelength,reflectivity
1300.0,58.86
1302.0,58.83
1304.0,59.27
1306.0,59.6
1308.0,59.72
1310.0,59.84
1312.0,59.82
1314.0,59.92
1316.0,59.91
1318.0,59.89
1320.0,59.91
1322.0,60.09
1324.0,60.35
1326.0,60.59
1328.0,60.55
1330.0,60.56
1332.0,60.56
1334.0,60.66
1336.0,60.68
1338.0,60.72
1340.0,60.73
1342.0,60.755
1344.0,60.82
1346.0,60.84
1348.0,60.86
1350.0,60.93
1352.0,61.0
1354.0,61.06
1356.0,61.1
1358.0,61.115
1360.0,61.115
1362.0,61.16
1364.0,61.22
1366.0,61.22
1368.0,61.2
1370.0,61.15
1372.0,61.08
1374.0,60.99
1376.0,60.9
1378.0,60.78
1380.0,60.66
1382.0,60.5
1384.0,60.3
1386.0,60.035
1388.0,59.73
1390.0,59.35
1392.0,58.93
1394.0,58.45
1396.0,57.9
1398.0,57.22
1400.0,56.445
1402.0,55.6
1404.0,54.71
1406.0,53.8
1408.0,52.98
1410.0,52.46
1412.0,52.46
1414.0,52.95
1416.0,53.715
1418.0,54.44
1420.0,54.95
1422.0,55.26
1424.0,55.41
1426.0,55.49
1428.0,55.59
1430.0,55.71
1432.0,55.87
1434.0,56.07
1436.0,56.23
1438.0,56.36
1440.0,56.53
1442.0,56.67
1444.0,56.84
1446.0,56.99
1448.0,57.1
1450.0,57.2
1452.0,57.27
1454.0,57.34
1456.0,57.415
1458.0,57.48
1460.0,57.53
1462.0,57.56
1464.0,57.61
1466.0,57.68
1468.0,57.76
1470.0,57.845
1472.0,57.97
1474.0,58.04
1476.0,58.15
1478.0,58.25
1480.0,58.36
1482.0,58.455
1484.0,58.58
1486.0,58.67
1488.0,58.76
1490.0,58.83
1492.0,58.89
1494.0,58.99
1496.0,59.12
1498.0,59.24
1500.0,59.34
1502.0,59.44
1504.0,59.55
1506.0,59.66
1508.0,59.73
1510.0,59.81
1512.0,59.89
1514.0,59.96
1516.0,60.035
1518.0,60.11
1520.0,60.21
1522.0,60.31
1524.0,60.39
1526.0,60.45
1528.0,60.51
1530.0,60.575
1532.0,60.66
1534.0,60.72
1536.0,60.72
1538.0,60.78
1540.0,60.86
1542.0,60.95
1544.0,61.0
1546.0,61.05
1548.0,61.07
1550.0,61.17
1552.0,61.25
1554.0,61.31
1556.0,61.38
1558.0,61.43
1560.0,61.46
1562.0,61.5
1564.0,61.53
1566.0,61.57
1568.0,61.66
1570.0,61.69
1572.0,61.71
1574.0,61.75
1576.0,61.78
1578.0,61.83
1580.0,61.88
1582.0,61.9
1584.0,61.95
1586.0,61.99
1588.0,62.03
1590.0,62.06
1592.0,62.07
1594.0,62.08
1596.0,62.08
1598.0,62.13
1600.0,62.15
1602.0,62.19
1604.0,62.19
1606.0,62.18
1608.0,62.18
1610.0,62.17
1612.0,62.19
1614.0,62.21
1616.0,62.24
1618.0,62.26
1620.0,62.27
1622.0,62.31
1624.0,62.31
1626.0,62.3
1628.0,62.29
1630.0,62.29
1632.0,62.3
1634.0,62.33
1636.0,62.335
1638.0,62.35
1640.0,62.33
1642.0,62.3
1644.0,62.26
1646.0,62.24
1648.0,62.27
1650.0,62.28
1652.0,62.3
1654.0,62.335
1656.0,62.33
1658.0,62.31
1660.0,62.28
1662.0,62.24
1664.0,62.23
1666.0,62.2
1668.0,62.15
1670.0,62.12
1672.0,62.11
1674.0,62.1
1676.0,62.11
1678.0,62.085
1680.0,62.08
1682.0,62.11
1684.0,62.15
1686.0,62.19
1688.0,62.17
1690.0,62.13
1692.0,62.12
1694.0,62.11
1696.0,62.12
1698.0,62.15
1700.0,62.17
1702.0,62.19
1704.0,62.2
1706.0,62.2
1708.0,62.19
1710.0,62.18
1712.0,62.155
1714.0,62.14
1716.0,62.12
1718.0,62.1
1720.0,62.1
1722.0,62.12
1724.0,62.12
1726.0,62.085
1728.0,62.03
1730.0,61.99
1732.0,62.03
1734.0,62.02
1736.0,62.02
1738.0,62.0
1740.0,61.97
1742.0,61.975
1744.0,62.01
1746.0,62.05
1748.0,62.03
1750.0,61.975
1752.0,61.96
1754.0,61.93
1756.0,61.905
1758.0,61.87
1760.0,61.83
1762.0,61.81
1764.0,61.795
1766.0,61.79
1768.0,61.78
1770.0,61.77
1772.0,61.725
1774.0,61.71
1776.0,61.68
1778.0,61.65
1780.0,61.615
1782.0,61.61
1784.0,61.61
1786.0,61.59
1788.0,61.56
1790.0,61.53
1792.0,61.51
1794.0,61.48
1796.0,61.49
1798.0,61.48
1800.0,61.45
1802.0,61.43
1804.0,61.42
1806.0,61.41
1808.0,61.4
1810.0,61.36
1812.0,61.34
1814.0,61.35
1816.0,61.35
1818.0,61.32
1820.0,61.27
1822.0,61.22
1824.0,61.23
1826.0,61.26
1828.0,61.26
1830.0,61.21
1832.0,61.15
1834.0,61.11
1836.0,61.11
1838.0,61.1
1840.0,61.08
1842.0,61.005
1844.0,60.95
1846.0,60.88
1848.0,60.84
1850.0,60.79
1852.0,60.72
1854.0,60.62
1856.0,60.52
1858.0,60.42
1860.0,60.27
1862.0,60.12
1864.0,59.93
1866.0,59.69
1868.0,59.42
1870.0,59.1
1872.0,58.71
1874.0,58.3
1876.0,57.83
1878.0,57.27
1880.0,56.65
1882.0,55.98
1884.0,55.27
1886.0,54.52
1888.0,53.715
1890.0,52.8
1892.0,51.87
1894.0,50.97
1896.0,50.085
1898.0,49.28
1900.0,48.54
1902.0,47.96
1904.0,47.53
1906.0,47.22
1908.0,47.01
1910.0,46.86
1912.0,46.79
1914.0,46.77
1916.0,46.81
1918.0,46.9
1920.0,46.96
1922.0,47.02
1924.0,47.08
1926.0,47.17
1928.0,47.28
1930.0,47.42
1932.0,47.57
1934.0,47.69
1936.0,47.82
1938.0,47.89
1940.0,47.99
1942.0,48.11
1944.0,48.25
1946.0,48.4
1948.0,48.54
1950.0,48.67
1952.0,48.8
1954.0,48.94
1956.0,49.08
1958.0,49.26
1960.0,49.45
1962.0,49.61
1964.0,49.78
1966.0,49.95
1968.0,50.13
1970.0,50.3
1972.0,50.44
1974.0,50.625
1976.0,50.82
1978.0,51.01
1980.0,51.19
1982.0,51.39
1984.0,51.61
1986.0,51.76
1988.0,51.9
1990.0,52.07
1992.0,52.27
1994.0,52.49
1996.0,52.67
1998.0,52.83
2000.0,53.03
2002.0,53.21
2004.0,53.355
2006.0,53.49
2008.0,53.66
2010.0,53.86
2012.0,54.05
2014.0,54.19
2016.0,54.27
2018.0,54.39
2020.0,54.56
2022.0,54.72
2024.0,54.86
2026.0,54.98
2028.0,55.115
2030.0,55.26
2032.0,55.365
2034.0,55.475
2036.0,55.54
2038.0,55.61
2040.0,55.69
2042.0,55.75
2044.0,55.87
2046.0,55.94
2048.0,56.0
2050.0,56.02
2052.0,56.03
2054.0,56.11
2056.0,56.17
2058.0,56.26
2060.0,56.28
2062.0,56.28
2064.0,56.29
2066.0,56.265
2068.0,56.32
2070.0,56.35
2072.0,56.37
2074.0,56.335
2076.0,56.335
2078.0,56.37
2080.0,56.41
2082.0,56.41
2084.0,56.41
2086.0,56.37
2088.0,56.32
2090.0,56.265
2092.0,56.2
2094.0,56.16
2096.0,56.13
2098.0,56.14
2100.0,56.13
2102.0,56.12
2104.0,56.12
2106.0,56.14
2108.0,56.18
2110.0,56.12
2112.0,56.1
2114.0,56.08
2116.0,56.04
2118.0,56.04
2120.0,55.99
2122.0,55.96
2124.0,55.92
2126.0,55.81
2128.0,55.78
2130.0,55.69
2132.0,55.59
2134.0,55.51
2136.0,55.43
2138.0,55.33
2140.0,55.23
2142.0,55.13
2144.0,55.03
2146.0,54.9
2148.0,54.73
2150.0,54.59
2152.0,54.5
2154.0,54.35
2156.0,54.16
2158.0,53.965
2160.0,53.81
2162.0,53.66
2164.0,53.47
2166.0,53.25
2168.0,53.05
2170.0,52.81
2172.0,52.565
2174.0,52.28
2176.0,52.0
2178.0,51.68
2180.0,51.29
2182.0,50.92
2184.0,50.54
2186.0,50.195
2188.0,49.82
2190.0,49.41
2192.0,48.98
2194.0,48.58
2196.0,48.22
2198.0,47.84
2200.0,47.47
2202.0,47.06
2204.0,46.67
2206.0,46.28
2208.0,45.84
2210.0,45.48
2212.0,45.21
2214.0,45.05
2216.0,44.95
2218.0,44.9
2220.0,44.82
2222.0,44.77
2224.0,44.76
2226.0,44.78
2228.0,44.79
2230.0,44.75
2232.0,44.7
2234.0,44.7
2236.0,44.7
2238.0,44.68
2240.0,44.6
2242.0,44.53
2244.0,44.44
2246.0,44.33
2248.0,44.22
2250.0,44.2
2252.0,44.2
2254.0,44.2
2256.0,44.17
2258.0,44.19
2260.0,44.25
2262.0,44.36
2264.0,44.39
2266.0,44.35
2268.0,44.4
2270.0,44.44
2272.0,44.47
2274.0,44.42
2276.0,44.36
2278.0,44.35
2280.0,44.3
2282.0,44.25
2284.0,44.16
2286.0,44.06
2288.0,43.97
2290.0,43.87
2292.0,43.76
2294.0,43.64
2296.0,43.57
2298.0,43.53
2300.0,43.43
2302.0,43.36
2304.0,43.27
2306.0,43.24
2308.0,43.27
2310.0,43.43
2312.0,43.66
2314.0,43.71
2316.0,43.73
2318.0,43.72
2320.0,43.83
2322.0,44.0
2324.0,44.2
2326.0,44.42
2328.0,44.73
2330.0,45.07
2332.0,45.37
2334.0,45.55
2336.0,45.76
