wavelength,reflectivity
1300.0,22.26
1302.0,22.33
1304.0,22.24
1306.0,22.4
1308.0,22.75
1310.0,23.07
1312.0,23.35
1314.0,23.53
1316.0,23.62
1318.0,23.66
1320.0,23.78
1322.0,23.97
1324.0,24.27
1326.0,24.52
1328.0,24.74
1330.0,24.86
1332.0,25.02
1334.0,25.185
1336.0,25.47
1338.0,25.65
1340.0,25.82
1342.0,25.975
1344.0,26.11
1346.0,26.27
1348.0,26.46
1350.0,26.64
1352.0,26.79
1354.0,26.945
1356.0,27.1
1358.0,27.25
1360.0,27.4
1362.0,27.57
1364.0,27.78
1366.0,28.02
1368.0,28.24
1370.0,28.435
1372.0,28.64
1374.0,28.84
1376.0,29.045
1378.0,29.27
1380.0,29.45
1382.0,29.62
1384.0,29.79
1386.0,29.9
1388.0,30.0
1390.0,30.01
1392.0,29.83
1394.0,29.35
1396.0,28.42
1398.0,27.17
1400.0,26.0
1402.0,25.38
1404.0,25.615
1406.0,26.63
1408.0,28.02
1410.0,29.33
1412.0,30.3
1414.0,30.91
1416.0,31.32
1418.0,31.66
1420.0,32.0
1422.0,32.39
1424.0,32.85
1426.0,33.31
1428.0,33.77
1430.0,34.16
1432.0,34.53
1434.0,34.865
1436.0,35.15
1438.0,35.46
1440.0,35.74
1442.0,36.03
1444.0,36.31
1446.0,36.59
1448.0,36.87
1450.0,37.17
1452.0,37.45
1454.0,37.71
1456.0,37.96
1458.0,38.19
1460.0,38.385
1462.0,38.56
1464.0,38.68
1466.0,38.67
1468.0,38.5
1470.0,38.27
1472.0,38.14
1474.0,38.32
1476.0,38.85
1478.0,39.59
1480.0,40.29
1482.0,40.88
1484.0,41.29
1486.0,41.61
1488.0,41.87
1490.0,42.12
1492.0,42.38
1494.0,42.64
1496.0,42.88
1498.0,43.07
1500.0,43.25
1502.0,43.45
1504.0,43.68
1506.0,43.92
1508.0,44.15
1510.0,44.34
1512.0,44.56
1514.0,44.76
1516.0,44.93
1518.0,45.09
1520.0,45.26
1522.0,45.44
1524.0,45.64
1526.0,45.85
1528.0,46.03
1530.0,46.22
1532.0,46.39
1534.0,46.54
1536.0,46.69
1538.0,46.83
1540.0,46.98
1542.0,47.14
1544.0,47.29
1546.0,47.46
1548.0,47.6
1550.0,47.72
1552.0,47.86
1554.0,47.99
1556.0,48.12
1558.0,48.24
1560.0,48.33
1562.0,48.45
1564.0,48.57
1566.0,48.7
1568.0,48.81
1570.0,48.92
1572.0,49.03
1574.0,49.13
1576.0,49.22
1578.0,49.33
1580.0,49.46
1582.0,49.58
1584.0,49.66
1586.0,49.72
1588.0,49.78
1590.0,49.85
1592.0,49.95
1594.0,50.05
1596.0,50.08
1598.0,50.14
1600.0,50.18
1602.0,50.26
1604.0,50.35
1606.0,50.44
1608.0,50.5
1610.0,50.56
1612.0,50.62
1614.0,50.625
1616.0,50.64
1618.0,50.68
1620.0,50.76
1622.0,50.84
1624.0,50.91
1626.0,50.92
1628.0,50.94
1630.0,50.97
1632.0,51.02
1634.0,51.07
1636.0,51.13
1638.0,51.18
1640.0,51.2
1642.0,51.21
1644.0,51.26
1646.0,51.29
1648.0,51.32
1650.0,51.34
1652.0,51.345
1654.0,51.36
1656.0,51.37
1658.0,51.36
1660.0,51.38
1662.0,51.39
1664.0,51.44
1666.0,51.45
1668.0,51.44
1670.0,51.4
1672.0,51.41
1674.0,51.41
1676.0,51.49
1678.0,51.52
1680.0,51.52
1682.0,51.52
1684.0,51.55
1686.0,51.58
1688.0,51.58
1690.0,51.58
1692.0,51.595
1694.0,51.595
1696.0,51.65
1698.0,51.68
1700.0,51.73
1702.0,51.77
1704.0,51.775
1706.0,51.8
1708.0,51.81
1710.0,51.8
1712.0,51.775
1714.0,51.77
1716.0,51.775
1718.0,51.81
1720.0,51.82
1722.0,51.81
1724.0,51.81
1726.0,51.79
1728.0,51.8
1730.0,51.82
1732.0,51.81
1734.0,51.87
1736.0,51.89
1738.0,51.9
1740.0,51.87
1742.0,51.8
1744.0,51.76
1746.0,51.73
1748.0,51.73
1750.0,51.72
1752.0,51.71
1754.0,51.72
1756.0,51.7
1758.0,51.64
1760.0,51.58
1762.0,51.5
1764.0,51.43
1766.0,51.33
1768.0,51.22
1770.0,51.09
1772.0,50.95
1774.0,50.82
1776.0,50.69
1778.0,50.54
1780.0,50.375
1782.0,50.17
1784.0,49.99
1786.0,49.79
1788.0,49.6
1790.0,49.39
1792.0,49.17
1794.0,48.95
1796.0,48.75
1798.0,48.5
1800.0,48.2
1802.0,47.83
1804.0,47.39
1806.0,46.88
1808.0,46.34
1810.0,45.73
1812.0,45.1
1814.0,44.48
1816.0,43.95
1818.0,43.52
1820.0,43.19
1822.0,42.94
1824.0,42.71
1826.0,42.5
1828.0,42.27
1830.0,42.04
1832.0,41.87
1834.0,41.74
1836.0,41.7
1838.0,41.7
1840.0,41.71
1842.0,41.69
1844.0,41.66
1846.0,41.67
1848.0,41.7
1850.0,41.83
1852.0,41.97
1854.0,42.15
1856.0,42.33
1858.0,42.46
1860.0,42.54
1862.0,42.61
1864.0,42.7
1866.0,42.77
1868.0,42.85
1870.0,42.83
1872.0,42.7
1874.0,42.43
1876.0,41.96
1878.0,41.32
1880.0,40.5
1882.0,39.44
1884.0,38.05
1886.0,36.21
1888.0,33.7
1890.0,30.37
1892.0,26.46
1894.0,22.65
1896.0,19.84
1898.0,18.79
1900.0,19.64
1902.0,21.94
1904.0,24.82
1906.0,27.58
1908.0,30.06
1910.0,32.24
1912.0,34.18
1914.0,35.87
1916.0,37.27
1918.0,38.34
1920.0,39.14
1922.0,39.72
1924.0,40.18
1926.0,40.48
1928.0,40.64
1930.0,40.78
1932.0,40.91
1934.0,41.08
1936.0,41.28
1938.0,41.47
1940.0,41.64
1942.0,41.73
1944.0,41.81
1946.0,41.89
1948.0,41.94
1950.0,41.98
1952.0,42.01
1954.0,42.04
1956.0,42.07
1958.0,42.13
1960.0,42.2
1962.0,42.27
1964.0,42.3
1966.0,42.23
1968.0,42.06
1970.0,41.83
1972.0,41.72
1974.0,41.89
1976.0,42.36
1978.0,42.94
1980.0,43.37
1982.0,43.68
1984.0,43.89
1986.0,44.07
1988.0,44.2
1990.0,44.36
1992.0,44.58
1994.0,44.83
1996.0,45.08
1998.0,45.35
2000.0,45.6
2002.0,45.84
2004.0,46.03
2006.0,46.16
2008.0,46.24
2010.0,46.08
2012.0,45.58
2014.0,45.0
2016.0,44.77
2018.0,45.11
2020.0,45.83
2022.0,46.5
2024.0,46.84
2026.0,46.99
2028.0,47.06
2030.0,47.12
2032.0,47.15
2034.0,47.18
2036.0,47.22
2038.0,47.23
2040.0,47.25
2042.0,47.26
2044.0,47.28
2046.0,47.26
2048.0,47.18
2050.0,47.09
2052.0,47.07
2054.0,47.05
2056.0,47.03
2058.0,46.99
2060.0,46.96
2062.0,46.95
2064.0,46.91
2066.0,46.83
2068.0,46.65
2070.0,46.41
2072.0,46.17
2074.0,45.93
2076.0,45.77
2078.0,45.71
2080.0,45.71
2082.0,45.75
2084.0,45.74
2086.0,45.73
2088.0,45.71
2090.0,45.67
2092.0,45.6
2094.0,45.56
2096.0,45.54
2098.0,45.54
2100.0,45.58
2102.0,45.61
2104.0,45.63
2106.0,45.63
2108.0,45.61
2110.0,45.64
2112.0,45.68
2114.0,45.7
2116.0,45.72
2118.0,45.71
2120.0,45.7
2122.0,45.67
2124.0,45.63
2126.0,45.57
2128.0,45.54
2130.0,45.49
2132.0,45.46
2134.0,45.47
2136.0,45.45
2138.0,45.41
2140.0,45.33
2142.0,45.24
2144.0,45.18
2146.0,45.1
2148.0,45.0
2150.0,44.86
2152.0,44.69
2154.0,44.58
2156.0,44.48
2158.0,44.38
2160.0,44.25
2162.0,44.14
2164.0,43.97
2166.0,43.81
2168.0,43.7
2170.0,43.58
2172.0,43.53
2174.0,43.45
2176.0,43.37
2178.0,43.28
2180.0,43.18
2182.0,43.11
2184.0,43.05
2186.0,43.0
2188.0,42.95
2190.0,42.91
2192.0,42.87
2194.0,42.8
2196.0,42.68
2198.0,42.52
2200.0,42.39
2202.0,42.26
2204.0,42.11
2206.0,42.01
2208.0,41.98
2210.0,42.01
2212.0,42.02
2214.0,42.08
2216.0,42.11
2218.0,42.15
2220.0,42.11
2222.0,42.08
2224.0,42.1
2226.0,42.11
2228.0,42.09
2230.0,42.05
2232.0,42.0
2234.0,42.01
2236.0,41.95
2238.0,41.92
2240.0,41.88
2242.0,41.8
2244.0,41.73
2246.0,41.59
2248.0,41.51
2250.0,41.45
2252.0,41.43
2254.0,41.45
2256.0,41.41
2258.0,41.39
2260.0,41.42
2262.0,41.48
2264.0,41.56
2266.0,41.6
2268.0,41.61
2270.0,41.64
2272.0,41.68
2274.0,41.67
2276.0,41.67
2278.0,41.7
2280.0,41.73
2282.0,41.81
2284.0,41.78
2286.0,41.77
2288.0,41.72
2290.0,41.71
2292.0,41.72
2294.0,41.78
2296.0,41.84
2298.0,41.83
2300.0,41.82
2302.0,41.81
2304.0,41.83
2306.0,41.82
2308.0,41.83
2310.0,41.85
2312.0,41.85
2314.0,41.82
2316.0,41.77
2318.0,41.79
2320.0,41.75
2322.0,41.75
2324.0,41.7
2326.0,41.69
2328.0,41.65
2330.0,41.66
2332.0,41.68
2334.0,41.7
2336.0,41.66
2338.0,41.6
2340.0,41.61
2342.0,41.57
2344.0,41.48
2346.0,41.43
2348.0,41.39
2350.0,41.36
2352.0,41.29
2354.0,41.26
2356.0,41.23
2358.0,41.2
2360.0,41.24
2362.0,41.28
2364.0,41.29
2366.0,41.27
2368.0,41.3
2370.0,41.32
2372.0,41.3
2374.0,41.26
2376.0,41.22
2378.0,41.14
2380.0,41.02
2382.0,40.935
2384.0,40.9
2386.0,40.87
2388.0,40.82
2390.0,40.755
2392.0,40.665
2394.0,40.58
2396.0,40.47
2398.0,40.37
2400.0,40.29
2402.0,40.27
2404.0,40.26
2406.0,40.18
2408.0,40.04
2410.0,39.83
2412.0,39.75
2414.0,39.61
2416.0,39.39
2418.0,39.13
2420.0,38.99
2422.0,38.78
2424.0,38.475
2426.0,38.22
2428.0,38.025
2430.0,37.95
2432.0,37.85
2434.0,37.71
2436.0,37.48
2438.0,37.29
2440.0,37.055
2442.0,36.78
2444.0,36.445
2446.0,36.175
2448.0,35.92
2450.0,35.565
2452.0,35.26
2454.0,35.03
2456.0,34.88
2458.0,34.62
2460.0,34.32
2462.0,33.97
2464.0,33.62
2466.0,33.32
2468.0,33.03
2470.0,32.69
2472.0,32.3
2474.0,31.91
2476.0,31.55
2478.0,31.28
2480.0,31.075
2482.0,30.74
2484.0,30.285
2486.0,29.86
2488.0,29.49
2490.0,29.12
2492.0,28.73
2494.0,28.42
2496.0,27.93
2498.0,27.46
2500.0,27.035
