wavelength,reflectivity
1300.0,73.47
1302.0,73.06
1304.0,72.88
1306.0,72.77
1308.0,72.465
1310.0,72.51
1312.0,72.44
1314.0,72.41
1316.0,72.355
1318.0,72.3
1320.0,72.19
1322.0,72.12
1324.0,72.1
1326.0,72.17
1328.0,72.14
1330.0,72.105
1332.0,72.01
1334.0,71.91
1336.0,71.78
1338.0,71.59
1340.0,71.34
1342.0,71.065
1344.0,70.75
1346.0,70.34
1348.0,69.86
1350.0,69.25
1352.0,68.56
1354.0,67.865
1356.0,67.27
1358.0,66.86
1360.0,66.6
1362.0,66.32
1364.0,65.83
1366.0,64.99
1368.0,63.77
1370.0,62.155
1372.0,60.21
1374.0,58.095
1376.0,56.13
1378.0,54.77
1380.0,54.36
1382.0,55.05
1384.0,56.58
1386.0,58.55
1388.0,60.51
1390.0,62.21
1392.0,63.52
1394.0,64.39
1396.0,64.79
1398.0,64.78
1400.0,64.21
1402.0,62.875
1404.0,60.56
1406.0,57.26
1408.0,53.59
1410.0,50.43
1412.0,48.65
1414.0,48.65
1416.0,50.17
1418.0,52.74
1420.0,55.88
1422.0,59.27
1424.0,62.55
1426.0,65.49
1428.0,67.85
1430.0,69.62
1432.0,70.955
1434.0,71.98
1436.0,72.715
1438.0,73.32
1440.0,73.75
1442.0,74.08
1444.0,74.38
1446.0,74.62
1448.0,74.83
1450.0,75.05
1452.0,75.26
1454.0,75.5
1456.0,75.76
1458.0,76.03
1460.0,76.26
1462.0,76.48
1464.0,76.61
1466.0,76.74
1468.0,76.79
1470.0,76.89
1472.0,77.0
1474.0,77.11
1476.0,77.16
1478.0,77.19
1480.0,77.23
1482.0,77.3
1484.0,77.35
1486.0,77.4
1488.0,77.44
1490.0,77.46
1492.0,77.48
1494.0,77.5
1496.0,77.5
1498.0,77.55
1500.0,77.58
1502.0,77.58
1504.0,77.565
1506.0,77.63
1508.0,77.66
1510.0,77.71
1512.0,77.74
1514.0,77.74
1516.0,77.76
1518.0,77.8
1520.0,77.81
1522.0,77.83
1524.0,77.87
1526.0,77.89
1528.0,77.91
1530.0,77.96
1532.0,77.99
1534.0,78.05
1536.0,78.08
1538.0,78.08
1540.0,78.07
1542.0,78.06
1544.0,78.09
1546.0,78.13
1548.0,78.13
1550.0,78.14
1552.0,78.14
1554.0,78.12
1556.0,78.12
1558.0,78.1
1560.0,78.1
1562.0,78.13
1564.0,78.16
1566.0,78.175
1568.0,78.175
1570.0,78.2
1572.0,78.2
1574.0,78.19
1576.0,78.2
1578.0,78.22
1580.0,78.23
1582.0,78.23
1584.0,78.22
1586.0,78.22
1588.0,78.26
1590.0,78.3
1592.0,78.25
1594.0,78.26
1596.0,78.27
1598.0,78.26
1600.0,78.28
1602.0,78.25
1604.0,78.21
1606.0,78.19
1608.0,78.17
1610.0,78.175
1612.0,78.15
1614.0,78.07
1616.0,78.01
1618.0,77.97
1620.0,77.97
1622.0,77.99
1624.0,77.99
1626.0,77.96
1628.0,77.95
1630.0,77.94
1632.0,77.925
1634.0,77.925
1636.0,77.89
1638.0,77.85
1640.0,77.79
1642.0,77.76
1644.0,77.76
1646.0,77.76
1648.0,77.73
1650.0,77.71
1652.0,77.69
1654.0,77.65
1656.0,77.61
1658.0,77.56
1660.0,77.52
1662.0,77.49
1664.0,77.42
1666.0,77.37
1668.0,77.315
1670.0,77.27
1672.0,77.23
1674.0,77.15
1676.0,77.13
1678.0,77.12
1680.0,77.135
1682.0,77.1
1684.0,77.05
1686.0,77.01
1688.0,77.01
1690.0,77.0
1692.0,77.01
1694.0,76.98
1696.0,76.97
1698.0,76.94
1700.0,76.88
1702.0,76.82
1704.0,76.77
1706.0,76.73
1708.0,76.63
1710.0,76.58
1712.0,76.54
1714.0,76.5
1716.0,76.47
1718.0,76.415
1720.0,76.37
1722.0,76.32
1724.0,76.25
1726.0,76.23
1728.0,76.18
1730.0,76.18
1732.0,76.13
1734.0,76.03
1736.0,75.9
1738.0,75.78
1740.0,75.69
1742.0,75.62
1744.0,75.55
1746.0,75.44
1748.0,75.37
1750.0,75.32
1752.0,75.31
1754.0,75.32
1756.0,75.31
1758.0,75.28
1760.0,75.24
1762.0,75.23
1764.0,75.15
1766.0,75.06
1768.0,74.94
1770.0,74.8
1772.0,74.65
1774.0,74.5
1776.0,74.34
1778.0,74.18
1780.0,74.03
1782.0,73.86
1784.0,73.67
1786.0,73.47
1788.0,73.22
1790.0,73.02
1792.0,72.88
1794.0,72.77
1796.0,72.7
1798.0,72.61
1800.0,72.51
1802.0,72.48
1804.0,72.5
1806.0,72.49
1808.0,72.52
1810.0,72.56
1812.0,72.57
1814.0,72.535
1816.0,72.43
1818.0,72.33
1820.0,72.28
1822.0,72.23
1824.0,72.16
1826.0,72.09
1828.0,72.03
1830.0,72.05
1832.0,72.09
1834.0,72.1
1836.0,72.15
1838.0,72.32
1840.0,72.58
1842.0,72.895
1844.0,73.17
1846.0,73.4
1848.0,73.58
1850.0,73.72
1852.0,73.81
1854.0,73.9
1856.0,73.97
1858.0,73.97
1860.0,73.93
1862.0,73.86
1864.0,73.81
1866.0,73.79
1868.0,73.72
1870.0,73.65
1872.0,73.61
1874.0,73.54
1876.0,73.48
1878.0,73.4
1880.0,73.31
1882.0,73.24
1884.0,73.17
1886.0,73.07
1888.0,72.97
1890.0,72.84
1892.0,72.7
1894.0,72.55
1896.0,72.37
1898.0,72.17
1900.0,71.95
1902.0,71.81
1904.0,71.7
1906.0,71.58
1908.0,71.46
1910.0,71.36
1912.0,71.29
1914.0,71.21
1916.0,71.13
1918.0,71.065
1920.0,71.04
1922.0,70.98
1924.0,70.93
1926.0,70.9
1928.0,70.85
1930.0,70.8
1932.0,70.74
1934.0,70.65
1936.0,70.57
1938.0,70.5
1940.0,70.48
1942.0,70.44
1944.0,70.4
1946.0,70.34
1948.0,70.29
1950.0,70.23
1952.0,70.18
1954.0,70.165
1956.0,70.16
1958.0,70.14
1960.0,70.11
1962.0,70.14
1964.0,70.13
1966.0,70.16
1968.0,70.18
1970.0,70.22
1972.0,70.24
1974.0,70.21
1976.0,70.19
1978.0,70.14
1980.0,70.12
1982.0,70.09
1984.0,70.07
1986.0,70.05
1988.0,70.03
1990.0,69.985
1992.0,69.95
1994.0,69.9
1996.0,69.79
1998.0,69.69
2000.0,69.62
2002.0,69.6
2004.0,69.64
2006.0,69.6
2008.0,69.54
2010.0,69.49
2012.0,69.46
2014.0,69.44
2016.0,69.33
2018.0,69.195
2020.0,69.06
2022.0,68.945
2024.0,68.86
2026.0,68.75
2028.0,68.64
2030.0,68.47
2032.0,68.32
2034.0,68.17
2036.0,68.07
2038.0,67.93
2040.0,67.79
2042.0,67.6
2044.0,67.42
2046.0,67.21
2048.0,66.93
2050.0,66.7
2052.0,66.44
2054.0,66.24
2056.0,66.07
2058.0,65.93
2060.0,65.85
2062.0,65.73
2064.0,65.63
2066.0,65.47
2068.0,65.26
2070.0,65.06
2072.0,64.76
2074.0,64.455
2076.0,64.18
2078.0,63.93
2080.0,63.76
2082.0,63.5
2084.0,63.2
2086.0,62.93
2088.0,62.72
2090.0,62.66
2092.0,62.61
2094.0,62.53
2096.0,62.42
2098.0,62.2
2100.0,61.84
2102.0,61.3
2104.0,60.67
2106.0,60.06
2108.0,59.7
2110.0,59.58
2112.0,59.68
2114.0,59.88
2116.0,60.05
2118.0,60.16
2120.0,60.11
2122.0,59.9
2124.0,59.6
2126.0,59.19
2128.0,58.75
2130.0,58.25
2132.0,57.59
2134.0,56.91
2136.0,56.19
2138.0,55.45
2140.0,54.73
2142.0,54.01
2144.0,53.355
2146.0,52.76
2148.0,52.205
2150.0,51.73
2152.0,51.23
2154.0,50.76
2156.0,50.26
2158.0,49.69
2160.0,49.02
2162.0,48.19
2164.0,47.25
2166.0,46.23
2168.0,45.18
2170.0,44.18
2172.0,43.19
2174.0,42.2
2176.0,41.22
2178.0,40.28
2180.0,39.41
2182.0,38.68
2184.0,38.22
2186.0,38.35
2188.0,39.08
2190.0,40.31
2192.0,41.78
2194.0,43.08
2196.0,43.91
2198.0,44.0
2200.0,43.08
2202.0,41.24
2204.0,38.98
2206.0,36.96
2208.0,35.98
2210.0,36.44
2212.0,38.13
2214.0,40.53
2216.0,42.97
2218.0,45.05
2220.0,46.81
2222.0,48.38
2224.0,49.89
2226.0,51.27
2228.0,52.46
2230.0,53.39
2232.0,54.03
2234.0,54.48
2236.0,54.75
2238.0,54.9
2240.0,54.89
2242.0,54.72
2244.0,54.38
2246.0,53.95
2248.0,53.44
2250.0,52.925
2252.0,52.44
2254.0,52.11
2256.0,51.955
2258.0,51.94
2260.0,52.16
2262.0,52.37
2264.0,52.55
2266.0,52.565
2268.0,52.5
2270.0,52.4
2272.0,52.22
2274.0,51.95
2276.0,51.595
2278.0,51.2
2280.0,50.74
2282.0,50.195
2284.0,49.63
2286.0,49.05
2288.0,48.51
2290.0,47.97
2292.0,47.43
2294.0,47.01
2296.0,46.63
2298.0,46.34
2300.0,46.16
2302.0,46.03
2304.0,46.02
2306.0,46.04
2308.0,46.1
2310.0,46.14
2312.0,46.21
2314.0,46.27
2316.0,46.3
2318.0,46.34
2320.0,46.25
2322.0,46.19
2324.0,46.12
2326.0,46.12
2328.0,46.12
2330.0,46.08
2332.0,45.98
2334.0,45.74
2336.0,45.44
2338.0,45.06
2340.0,44.65
2342.0,44.17
2344.0,43.67
2346.0,43.2
2348.0,42.8
2350.0,42.46
2352.0,42.19
2354.0,42.03
2356.0,42.01
2358.0,42.2
2360.0,42.44
2362.0,42.6
2364.0,42.64
2366.0,42.61
2368.0,42.48
2370.0,42.13
2372.0,41.68
2374.0,41.07
2376.0,40.46
2378.0,39.9
2380.0,39.46
2382.0,39.01
2384.0,38.62
2386.0,38.45
2388.0,38.475
2390.0,38.58
2392.0,38.73
2394.0,38.99
2396.0,39.39
2398.0,39.85
2400.0,40.26
2402.0,40.71
2404.0,41.07
2406.0,41.37
2408.0,41.47
2410.0,41.56
2412.0,41.57
2414.0,41.55
2416.0,41.55
2418.0,41.42
2420.0,41.35
2422.0,41.25
2424.0,41.13
2426.0,40.88
2428.0,40.56
2430.0,40.26
2432.0,39.84
2434.0,39.42
2436.0,38.995
2438.0,38.63
2440.0,38.37
2442.0,38.14
2444.0,38.025
2446.0,38.02
2448.0,38.14
2450.0,38.14
2452.0,38.01
2454.0,37.87
2456.0,37.86
2458.0,37.91
2460.0,37.79
2462.0,37.62
2464.0,37.38
2466.0,37.12
2468.0,36.89
2470.0,36.65
2472.0,36.4
2474.0,36.08
2476.0,35.72
2478.0,35.35
2480.0,34.94
2482.0,34.62
2484.0,34.38
2486.0,34.26
2488.0,34.28
2490.0,34.34
2492.0,34.31
2494.0,34.2
2496.0,34.04
2498.0,33.88
2500.0,33.55
