wavelength,reflectivity
1300.0,64.99
1302.0,64.22
1304.0,63.79
1306.0,63.77
1308.0,63.94
1310.0,64.07
1312.0,64.15
1314.0,64.16
1316.0,64.16
1318.0,64.15
1320.0,64.01
1322.0,63.87
1324.0,63.72
1326.0,63.555
1328.0,63.38
1330.0,63.44
1332.0,63.63
1334.0,63.63
1336.0,63.43
1338.0,63.09
1340.0,62.57
1342.0,62.17
1344.0,61.84
1346.0,61.27
1348.0,60.62
1350.0,59.83
1352.0,58.87
1354.0,57.95
1356.0,57.17
1358.0,56.55
1360.0,56.17
1362.0,55.92
1364.0,55.56
1366.0,54.9
1368.0,53.78
1370.0,52.05
1372.0,49.83
1374.0,47.35
1376.0,45.02
1378.0,43.32
1380.0,42.6
1382.0,42.98
1384.0,44.47
1386.0,46.6
1388.0,48.9
1390.0,51.05
1392.0,52.71
1394.0,53.85
1396.0,54.5
1398.0,54.61
1400.0,54.26
1402.0,53.41
1404.0,51.955
1406.0,49.66
1408.0,46.52
1410.0,43.0
1412.0,39.95
1414.0,38.31
1416.0,38.655
1418.0,40.91
1420.0,44.54
1422.0,48.76
1424.0,52.84
1426.0,56.3
1428.0,59.03
1430.0,61.09
1432.0,62.65
1434.0,63.87
1436.0,64.79
1438.0,65.495
1440.0,66.035
1442.0,66.43
1444.0,66.74
1446.0,66.98
1448.0,67.21
1450.0,67.47
1452.0,67.79
1454.0,68.13
1456.0,68.46
1458.0,68.73
1460.0,68.945
1462.0,69.125
1464.0,69.28
1466.0,69.37
1468.0,69.4
1470.0,69.44
1472.0,69.47
1474.0,69.5
1476.0,69.6
1478.0,69.69
1480.0,69.76
1482.0,69.805
1484.0,69.8
1486.0,69.8
1488.0,69.85
1490.0,69.89
1492.0,69.9
1494.0,69.91
1496.0,69.915
1498.0,69.94
1500.0,69.95
1502.0,69.93
1504.0,69.91
1506.0,69.9
1508.0,69.94
1510.0,69.96
1512.0,69.985
1514.0,70.0
1516.0,69.985
1518.0,69.98
1520.0,69.96
1522.0,69.95
1524.0,69.96
1526.0,69.97
1528.0,69.95
1530.0,69.9
1532.0,69.87
1534.0,69.83
1536.0,69.79
1538.0,69.75
1540.0,69.71
1542.0,69.7
1544.0,69.69
1546.0,69.67
1548.0,69.64
1550.0,69.63
1552.0,69.6
1554.0,69.58
1556.0,69.58
1558.0,69.58
1560.0,69.58
1562.0,69.58
1564.0,69.54
1566.0,69.53
1568.0,69.55
1570.0,69.6
1572.0,69.6
1574.0,69.59
1576.0,69.58
1578.0,69.59
1580.0,69.58
1582.0,69.59
1584.0,69.6
1586.0,69.59
1588.0,69.62
1590.0,69.63
1592.0,69.62
1594.0,69.64
1596.0,69.66
1598.0,69.68
1600.0,69.71
1602.0,69.72
1604.0,69.7
1606.0,69.7
1608.0,69.69
1610.0,69.66
1612.0,69.64
1614.0,69.6
1616.0,69.6
1618.0,69.6
1620.0,69.58
1622.0,69.53
1624.0,69.44
1626.0,69.375
1628.0,69.36
1630.0,69.36
1632.0,69.36
1634.0,69.33
1636.0,69.3
1638.0,69.29
1640.0,69.29
1642.0,69.27
1644.0,69.25
1646.0,69.18
1648.0,69.1
1650.0,69.09
1652.0,69.06
1654.0,69.06
1656.0,69.06
1658.0,69.03
1660.0,69.01
1662.0,68.98
1664.0,68.945
1666.0,68.96
1668.0,68.94
1670.0,68.945
1672.0,68.98
1674.0,68.945
1676.0,68.92
1678.0,68.87
1680.0,68.79
1682.0,68.73
1684.0,68.72
1686.0,68.72
1688.0,68.74
1690.0,68.72
1692.0,68.64
1694.0,68.57
1696.0,68.55
1698.0,68.53
1700.0,68.5
1702.0,68.45
1704.0,68.38
1706.0,68.29
1708.0,68.22
1710.0,68.19
1712.0,68.18
1714.0,68.15
1716.0,68.11
1718.0,68.07
1720.0,68.02
1722.0,67.97
1724.0,67.9
1726.0,67.82
1728.0,67.74
1730.0,67.67
1732.0,67.56
1734.0,67.47
1736.0,67.36
1738.0,67.23
1740.0,67.14
1742.0,67.05
1744.0,66.98
1746.0,66.91
1748.0,66.84
1750.0,66.78
1752.0,66.69
1754.0,66.64
1756.0,66.6
1758.0,66.54
1760.0,66.465
1762.0,66.34
1764.0,66.215
1766.0,66.07
1768.0,65.9
1770.0,65.75
1772.0,65.605
1774.0,65.45
1776.0,65.26
1778.0,65.05
1780.0,64.8
1782.0,64.52
1784.0,64.27
1786.0,63.99
1788.0,63.7
1790.0,63.37
1792.0,63.03
1794.0,62.72
1796.0,62.45
1798.0,62.18
1800.0,62.0
1802.0,61.88
1804.0,61.84
1806.0,61.89
1808.0,61.97
1810.0,62.08
1812.0,62.2
1814.0,62.32
1816.0,62.33
1818.0,62.26
1820.0,62.15
1822.0,62.03
1824.0,61.9
1826.0,61.81
1828.0,61.78
1830.0,61.84
1832.0,61.99
1834.0,62.08
1836.0,62.14
1838.0,62.22
1840.0,62.335
1842.0,62.51
1844.0,62.71
1846.0,62.99
1848.0,63.41
1850.0,63.83
1852.0,64.2
1854.0,64.47
1856.0,64.6
1858.0,64.68
1860.0,64.67
1862.0,64.69
1864.0,64.705
1866.0,64.75
1868.0,64.74
1870.0,64.7
1872.0,64.57
1874.0,64.44
1876.0,64.345
1878.0,64.27
1880.0,64.22
1882.0,64.2
1884.0,64.12
1886.0,63.99
1888.0,63.83
1890.0,63.69
1892.0,63.55
1894.0,63.37
1896.0,63.18
1898.0,62.94
1900.0,62.76
1902.0,62.55
1904.0,62.335
1906.0,62.15
1908.0,61.9
1910.0,61.71
1912.0,61.54
1914.0,61.47
1916.0,61.4
1918.0,61.28
1920.0,61.11
1922.0,60.91
1924.0,60.75
1926.0,60.59
1928.0,60.52
1930.0,60.38
1932.0,60.21
1934.0,60.09
1936.0,59.98
1938.0,59.95
1940.0,59.82
1942.0,59.65
1944.0,59.49
1946.0,59.4
1948.0,59.34
1950.0,59.27
1952.0,59.17
1954.0,59.12
1956.0,59.13
1958.0,59.06
1960.0,59.02
1962.0,59.03
1964.0,59.08
1966.0,59.14
1968.0,59.16
1970.0,59.14
1972.0,59.15
1974.0,59.14
1976.0,59.08
1978.0,59.05
1980.0,58.98
1982.0,58.93
1984.0,58.92
1986.0,58.83
1988.0,58.76
1990.0,58.67
1992.0,58.65
1994.0,58.635
1996.0,58.6
1998.0,58.5
2000.0,58.42
2002.0,58.35
2004.0,58.3
2006.0,58.29
2008.0,58.22
2010.0,58.2
2012.0,58.13
2014.0,58.06
2016.0,57.97
2018.0,57.84
2020.0,57.76
2022.0,57.64
2024.0,57.5
2026.0,57.34
2028.0,57.19
2030.0,57.09
2032.0,56.94
2034.0,56.79
2036.0,56.61
2038.0,56.41
2040.0,56.24
2042.0,56.0
2044.0,55.75
2046.0,55.5
2048.0,55.21
2050.0,54.935
2052.0,54.64
2054.0,54.32
2056.0,53.98
2058.0,53.68
2060.0,53.48
2062.0,53.39
2064.0,53.31
2066.0,53.21
2068.0,53.08
2070.0,52.85
2072.0,52.56
2074.0,52.25
2076.0,52.0
2078.0,51.81
2080.0,51.64
2082.0,51.41
2084.0,51.15
2086.0,50.91
2088.0,50.65
2090.0,50.44
2092.0,50.18
2094.0,49.98
2096.0,49.88
2098.0,49.76
2100.0,49.61
2102.0,49.3
2104.0,48.87
2106.0,48.35
2108.0,47.78
2110.0,47.26
2112.0,46.89
2114.0,46.74
2116.0,46.78
2118.0,46.99
2120.0,47.18
2122.0,47.25
2124.0,47.16
2126.0,46.87
2128.0,46.38
2130.0,45.78
2132.0,45.14
2134.0,44.49
2136.0,43.75
2138.0,42.96
2140.0,42.18
2142.0,41.51
2144.0,40.96
2146.0,40.43
2148.0,39.94
2150.0,39.56
2152.0,39.175
2154.0,38.73
2156.0,38.07
2158.0,37.19
2160.0,36.07
2162.0,34.75
2164.0,33.43
2166.0,32.18
2168.0,31.14
2170.0,30.285
2172.0,29.585
2174.0,29.03
2176.0,28.525
2178.0,28.15
2180.0,27.93
2182.0,27.99
2184.0,28.435
2186.0,29.33
2188.0,30.5
2190.0,31.73
2192.0,32.86
2194.0,33.62
2196.0,33.98
2198.0,33.625
2200.0,32.53
2202.0,30.69
2204.0,28.57
2206.0,26.65
2208.0,25.63
2210.0,25.94
2212.0,27.35
2214.0,29.33
2216.0,31.48
2218.0,33.3
2220.0,34.89
2222.0,36.35
2224.0,37.71
2226.0,38.99
2228.0,40.055
