wavelength,reflectivity
1300.0,69.985
1302.0,70.12
1304.0,69.97
1306.0,69.63
1308.0,69.51
1310.0,69.48
1312.0,69.49
1314.0,69.555
1316.0,69.52
1318.0,69.42
1320.0,69.31
1322.0,69.25
1324.0,69.23
1326.0,69.28
1328.0,69.37
1330.0,69.41
1332.0,69.43
1334.0,69.3
1336.0,69.195
1338.0,69.195
1340.0,69.23
1342.0,69.22
1344.0,69.26
1346.0,69.21
1348.0,69.16
1350.0,69.17
1352.0,69.16
1354.0,69.125
1356.0,69.125
1358.0,69.16
1360.0,69.14
1362.0,69.1
1364.0,69.05
1366.0,69.015
1368.0,69.01
1370.0,69.015
1372.0,68.99
1374.0,68.96
1376.0,68.96
1378.0,68.97
1380.0,68.945
1382.0,68.96
1384.0,68.945
1386.0,68.91
1388.0,68.835
1390.0,68.75
1392.0,68.68
1394.0,68.66
1396.0,68.64
1398.0,68.585
1400.0,68.53
1402.0,68.47
1404.0,68.405
1406.0,68.39
1408.0,68.35
1410.0,68.33
1412.0,68.33
1414.0,68.32
1416.0,68.29
1418.0,68.28
1420.0,68.28
1422.0,68.26
1424.0,68.24
1426.0,68.2
1428.0,68.17
1430.0,68.17
1432.0,68.17
1434.0,68.19
1436.0,68.21
1438.0,68.21
1440.0,68.17
1442.0,68.13
1444.0,68.09
1446.0,68.1
1448.0,68.11
1450.0,68.14
1452.0,68.155
1454.0,68.17
1456.0,68.15
1458.0,68.11
1460.0,68.09
1462.0,68.12
1464.0,68.15
1466.0,68.17
1468.0,68.17
1470.0,68.17
1472.0,68.2
1474.0,68.21
1476.0,68.21
1478.0,68.24
1480.0,68.26
1482.0,68.29
1484.0,68.3
1486.0,68.29
1488.0,68.335
1490.0,68.39
1492.0,68.4
1494.0,68.42
1496.0,68.43
1498.0,68.44
1500.0,68.44
1502.0,68.43
1504.0,68.44
1506.0,68.48
1508.0,68.55
1510.0,68.585
1512.0,68.61
1514.0,68.62
1516.0,68.64
1518.0,68.64
1520.0,68.65
1522.0,68.66
1524.0,68.67
1526.0,68.67
1528.0,68.66
1530.0,68.65
1532.0,68.66
1534.0,68.67
1536.0,68.67
1538.0,68.66
1540.0,68.67
1542.0,68.67
1544.0,68.65
1546.0,68.64
1548.0,68.64
1550.0,68.65
1552.0,68.67
1554.0,68.65
1556.0,68.62
1558.0,68.64
1560.0,68.74
1562.0,68.82
1564.0,68.88
1566.0,68.88
1568.0,68.85
1570.0,68.89
1572.0,68.91
1574.0,68.96
1576.0,68.98
1578.0,69.01
1580.0,69.01
1582.0,69.0
1584.0,68.97
1586.0,68.97
1588.0,68.99
1590.0,69.015
1592.0,69.05
1594.0,69.015
1596.0,68.99
1598.0,68.96
1600.0,68.99
1602.0,69.05
1604.0,69.03
1606.0,68.94
1608.0,68.87
1610.0,68.82
1612.0,68.82
1614.0,68.85
1616.0,68.88
1618.0,68.87
1620.0,68.82
1622.0,68.76
1624.0,68.72
1626.0,68.69
1628.0,68.68
1630.0,68.69
1632.0,68.68
1634.0,68.69
1636.0,68.66
1638.0,68.63
1640.0,68.62
1642.0,68.65
1644.0,68.62
1646.0,68.57
1648.0,68.49
1650.0,68.47
1652.0,68.48
1654.0,68.51
1656.0,68.54
1658.0,68.55
1660.0,68.5
1662.0,68.44
1664.0,68.36
1666.0,68.28
1668.0,68.21
1670.0,68.08
1672.0,68.0
1674.0,67.94
1676.0,67.89
1678.0,67.88
1680.0,67.86
1682.0,67.86
1684.0,67.865
1686.0,67.84
