wavelength,reflectivity
1300.0,51.23
1302.0,51.38
1304.0,51.58
1306.0,51.595
1308.0,51.34
1310.0,51.18
1312.0,51.1
1314.0,51.21
1316.0,51.37
1318.0,51.41
1320.0,51.32
1322.0,51.3
1324.0,51.23
1326.0,51.25
1328.0,51.2
1330.0,51.19
1332.0,51.235
1334.0,51.19
1336.0,51.19
1338.0,51.21
1340.0,51.165
1342.0,51.26
1344.0,51.345
1346.0,51.31
1348.0,51.25
1350.0,51.18
1352.0,51.16
1354.0,51.19
1356.0,51.23
1358.0,51.25
1360.0,51.235
1362.0,51.21
1364.0,51.19
1366.0,51.18
1368.0,51.22
1370.0,51.235
1372.0,51.235
1374.0,51.23
1376.0,51.2
1378.0,51.18
1380.0,51.16
1382.0,51.11
1384.0,51.08
1386.0,51.04
1388.0,51.01
1390.0,50.94
1392.0,50.9
1394.0,50.83
1396.0,50.77
1398.0,50.72
1400.0,50.68
1402.0,50.64
1404.0,50.6
1406.0,50.55
1408.0,50.49
1410.0,50.44
1412.0,50.4
1414.0,50.375
1416.0,50.4
1418.0,50.44
1420.0,50.5
1422.0,50.53
1424.0,50.57
1426.0,50.58
1428.0,50.58
1430.0,50.6
1432.0,50.66
1434.0,50.73
1436.0,50.79
1438.0,50.8
1440.0,50.79
1442.0,50.805
1444.0,50.83
1446.0,50.86
1448.0,50.86
1450.0,50.88
1452.0,50.92
1454.0,50.94
1456.0,50.95
1458.0,50.93
1460.0,50.9
1462.0,50.93
1464.0,50.92
1466.0,50.92
1468.0,50.93
1470.0,50.93
1472.0,50.93
1474.0,50.94
1476.0,50.9
1478.0,50.92
1480.0,50.93
1482.0,50.94
1484.0,50.92
1486.0,50.89
1488.0,50.88
1490.0,50.89
1492.0,50.89
1494.0,50.9
1496.0,50.87
1498.0,50.86
1500.0,50.85
1502.0,50.805
1504.0,50.78
1506.0,50.73
1508.0,50.7
1510.0,50.72
1512.0,50.69
1514.0,50.66
1516.0,50.61
1518.0,50.51
1520.0,50.445
1522.0,50.39
1524.0,50.28
1526.0,50.17
1528.0,50.08
1530.0,50.01
1532.0,49.97
1534.0,49.91
1536.0,49.84
1538.0,49.77
1540.0,49.71
1542.0,49.64
1544.0,49.59
1546.0,49.51
1548.0,49.5
1550.0,49.53
1552.0,49.6
1554.0,49.72
1556.0,49.84
1558.0,49.99
1560.0,50.15
1562.0,50.29
1564.0,50.41
1566.0,50.47
1568.0,50.53
1570.0,50.66
1572.0,50.76
1574.0,50.86
1576.0,50.91
1578.0,50.95
1580.0,51.04
1582.0,51.14
1584.0,51.22
1586.0,51.29
1588.0,51.36
1590.0,51.415
1592.0,51.47
1594.0,51.51
1596.0,51.57
1598.0,51.63
1600.0,51.65
1602.0,51.7
1604.0,51.74
1606.0,51.79
1608.0,51.82
1610.0,51.82
1612.0,51.83
1614.0,51.86
1616.0,51.91
1618.0,51.93
1620.0,51.95
1622.0,51.98
1624.0,52.0
1626.0,52.02
1628.0,52.04
1630.0,52.07
1632.0,52.135
1634.0,52.17
1636.0,52.18
1638.0,52.17
1640.0,52.18
1642.0,52.19
1644.0,52.22
1646.0,52.205
1648.0,52.23
1650.0,52.24
1652.0,52.25
1654.0,52.26
1656.0,52.3
1658.0,52.315
1660.0,52.315
1662.0,52.3
1664.0,52.27
1666.0,52.3
1668.0,52.33
1670.0,52.315
1672.0,52.3
1674.0,52.3
1676.0,52.33
1678.0,52.36
1680.0,52.38
1682.0,52.38
1684.0,52.385
1686.0,52.41
1688.0,52.43
1690.0,52.44
1692.0,52.44
1694.0,52.43
1696.0,52.45
1698.0,52.49
1700.0,52.56
1702.0,52.61
1704.0,52.63
1706.0,52.62
1708.0,52.61
1710.0,52.62
1712.0,52.65
1714.0,52.68
1716.0,52.72
1718.0,52.71
1720.0,52.71
1722.0,52.73
1724.0,52.78
1726.0,52.85
1728.0,52.86
1730.0,52.86
1732.0,52.84
1734.0,52.84
1736.0,52.86
1738.0,52.91
1740.0,52.95
1742.0,52.95
1744.0,52.925
1746.0,52.925
1748.0,52.95
1750.0,52.95
1752.0,52.95
1754.0,52.96
1756.0,52.995
1758.0,53.05
1760.0,53.08
1762.0,53.09
1764.0,53.105
1766.0,53.12
1768.0,53.1
1770.0,53.1
1772.0,53.105
1774.0,53.105
1776.0,53.14
1778.0,53.14
1780.0,53.16
1782.0,53.2
1784.0,53.22
1786.0,53.25
1788.0,53.25
1790.0,53.24
1792.0,53.21
1794.0,53.19
1796.0,53.19
1798.0,53.19
1800.0,53.19
1802.0,53.2
1804.0,53.22
1806.0,53.24
1808.0,53.24
1810.0,53.21
1812.0,53.14
1814.0,53.05
1816.0,52.97
1818.0,52.89
1820.0,52.76
1822.0,52.61
1824.0,52.47
1826.0,52.385
1828.0,52.38
