wavelength,reflectivity
1300.0,71.745
1302.0,71.315
1304.0,70.98
1306.0,70.67
1308.0,70.44
1310.0,70.48
1312.0,70.57
1314.0,70.66
1316.0,70.705
1318.0,70.62
1320.0,70.64
1322.0,70.79
1324.0,71.11
1326.0,71.35
1328.0,71.52
1330.0,71.49
1332.0,71.44
1334.0,71.44
1336.0,71.45
1338.0,71.53
1340.0,71.63
1342.0,71.54
1344.0,71.56
1346.0,71.6
1348.0,71.71
1350.0,71.8
1352.0,71.77
1354.0,71.58
1356.0,71.41
1358.0,71.21
1360.0,71.03
1362.0,70.83
1364.0,70.54
1366.0,70.165
1368.0,69.78
1370.0,69.31
1372.0,68.8
1374.0,68.225
1376.0,67.55
1378.0,66.82
1380.0,66.07
1382.0,65.28
1384.0,64.48
1386.0,63.47
1388.0,62.11
1390.0,60.18
1392.0,57.65
1394.0,54.82
1396.0,52.44
1398.0,50.94
1400.0,50.57
1402.0,51.01
1404.0,51.595
1406.0,51.75
1408.0,51.13
1410.0,49.66
1412.0,47.64
1414.0,45.49
1416.0,43.76
1418.0,42.9
1420.0,43.02
1422.0,43.87
1424.0,44.95
1426.0,45.64
1428.0,45.57
1430.0,44.75
1432.0,43.36
1434.0,41.91
1436.0,40.82
1438.0,40.25
1440.0,40.05
1442.0,39.9
1444.0,39.46
1446.0,38.76
1448.0,38.04
1450.0,37.72
1452.0,37.94
1454.0,38.49
1456.0,39.01
1458.0,39.29
1460.0,39.47
1462.0,39.98
1464.0,41.08
1466.0,42.77
1468.0,44.87
1470.0,46.98
1472.0,48.9
1474.0,50.43
1476.0,51.56
1478.0,52.4
1480.0,53.14
1482.0,53.74
1484.0,54.3
1486.0,54.755
1488.0,55.115
1490.0,55.4
1492.0,55.54
1494.0,55.52
1496.0,55.365
1498.0,55.115
1500.0,54.78
1502.0,54.34
1504.0,53.78
1506.0,53.05
1508.0,52.18
1510.0,51.23
1512.0,50.16
1514.0,49.14
1516.0,48.33
1518.0,47.79
1520.0,47.66
1522.0,47.87
1524.0,48.3
1526.0,48.83
1528.0,49.29
1530.0,49.59
1532.0,49.69
1534.0,49.6
1536.0,49.37
1538.0,49.0
1540.0,48.51
1542.0,47.95
1544.0,47.34
1546.0,46.79
1548.0,46.39
1550.0,46.25
1552.0,46.42
1554.0,46.91
1556.0,47.66
1558.0,48.57
1560.0,49.54
1562.0,50.51
1564.0,51.41
1566.0,52.25
1568.0,53.02
1570.0,53.68
1572.0,54.24
1574.0,54.72
1576.0,55.15
1578.0,55.54
1580.0,55.905
1582.0,56.23
1584.0,56.57
1586.0,56.93
1588.0,57.29
1590.0,57.7
1592.0,58.13
1594.0,58.54
1596.0,58.995
1598.0,59.48
1600.0,59.93
1602.0,60.37
1604.0,60.79
1606.0,61.2
1608.0,61.615
1610.0,61.975
1612.0,62.29
1614.0,62.56
1616.0,62.84
1618.0,63.09
1620.0,63.38
1622.0,63.64
1624.0,63.91
1626.0,64.13
1628.0,64.345
1630.0,64.56
1632.0,64.79
1634.0,64.99
1636.0,65.17
1638.0,65.315
1640.0,65.48
1642.0,65.605
1644.0,65.73
1646.0,65.84
1648.0,65.93
1650.0,66.035
1652.0,66.2
1654.0,66.35
1656.0,66.49
1658.0,66.6
1660.0,66.7
1662.0,66.81
1664.0,66.93
1666.0,67.05
1668.0,67.15
1670.0,67.25
1672.0,67.33
1674.0,67.4
1676.0,67.46
1678.0,67.53
1680.0,67.61
1682.0,67.64
1684.0,67.7
1686.0,67.77
1688.0,67.83
1690.0,67.92
1692.0,68.0
1694.0,68.03
1696.0,68.09
1698.0,68.15
1700.0,68.225
1702.0,68.33
1704.0,68.4
1706.0,68.42
1708.0,68.47
1710.0,68.5
1712.0,68.53
1714.0,68.57
1716.0,68.585
1718.0,68.61
1720.0,68.64
1722.0,68.64
1724.0,68.65
1726.0,68.66
1728.0,68.65
1730.0,68.64
1732.0,68.58
1734.0,68.53
1736.0,68.52
1738.0,68.54
1740.0,68.54
1742.0,68.47
1744.0,68.35
1746.0,68.26
1748.0,68.18
1750.0,68.12
1752.0,68.06
1754.0,67.975
1756.0,67.865
1758.0,67.72
1760.0,67.57
1762.0,67.43
1764.0,67.29
1766.0,67.12
1768.0,66.89
1770.0,66.64
1772.0,66.38
1774.0,66.09
1776.0,65.73
1778.0,65.31
1780.0,64.92
1782.0,64.55
1784.0,64.19
1786.0,63.87
1788.0,63.58
1790.0,63.32
1792.0,63.11
1794.0,62.92
1796.0,62.76
1798.0,62.62
1800.0,62.5
1802.0,62.36
1804.0,62.17
1806.0,61.975
1808.0,61.75
1810.0,61.5
1812.0,61.2
1814.0,60.82
1816.0,60.41
1818.0,60.05
1820.0,59.74
1822.0,59.49
1824.0,59.29
1826.0,59.13
1828.0,58.99
1830.0,58.89
1832.0,58.83
1834.0,58.8
1836.0,58.78
1838.0,58.75
1840.0,58.7
1842.0,58.635
1844.0,58.51
1846.0,58.31
1848.0,58.11
1850.0,57.94
1852.0,57.81
1854.0,57.8
1856.0,57.845
1858.0,57.9
1860.0,57.92
1862.0,57.89
1864.0,57.93
1866.0,57.95
1868.0,57.94
1870.0,57.845
1872.0,57.74
1874.0,57.64
1876.0,57.47
1878.0,57.3
1880.0,57.18
1882.0,57.08
1884.0,56.95
1886.0,56.8
1888.0,56.58
1890.0,56.4
1892.0,56.26
1894.0,56.19
1896.0,56.16
1898.0,56.17
1900.0,56.17
1902.0,56.13
1904.0,56.1
1906.0,56.06
1908.0,56.0
1910.0,55.94
1912.0,55.9
1914.0,55.81
1916.0,55.72
1918.0,55.61
1920.0,55.52
1922.0,55.42
1924.0,55.31
1926.0,55.19
1928.0,55.07
1930.0,55.0
1932.0,54.9
1934.0,54.81
1936.0,54.72
1938.0,54.59
1940.0,54.44
1942.0,54.325
1944.0,54.24
1946.0,54.11
1948.0,53.98
1950.0,53.86
1952.0,53.71
1954.0,53.535
1956.0,53.38
1958.0,53.24
1960.0,53.12
1962.0,53.01
1964.0,52.87
1966.0,52.78
1968.0,52.69
1970.0,52.58
1972.0,52.5
1974.0,52.41
1976.0,52.27
1978.0,52.18
1980.0,52.09
1982.0,52.01
1984.0,51.95
1986.0,51.84
1988.0,51.74
1990.0,51.61
1992.0,51.5
1994.0,51.4
1996.0,51.28
1998.0,51.15
2000.0,51.08
2002.0,51.04
2004.0,50.985
2006.0,50.89
2008.0,50.72
2010.0,50.58
2012.0,50.54
2014.0,50.49
2016.0,50.39
2018.0,50.29
2020.0,50.18
2022.0,50.11
2024.0,50.03
2026.0,49.92
2028.0,49.86
2030.0,49.86
2032.0,49.81
2034.0,49.74
2036.0,49.63
2038.0,49.53
2040.0,49.52
2042.0,49.5
2044.0,49.44
2046.0,49.34
2048.0,49.25
2050.0,49.15
2052.0,49.08
2054.0,48.96
2056.0,48.92
2058.0,48.87
2060.0,48.82
2062.0,48.73
2064.0,48.66
2066.0,48.61
2068.0,48.52
2070.0,48.44
2072.0,48.35
2074.0,48.23
2076.0,48.12
2078.0,48.01
2080.0,47.98
2082.0,47.96
2084.0,47.87
2086.0,47.83
2088.0,47.79
2090.0,47.81
2092.0,47.83
2094.0,47.79
2096.0,47.76
2098.0,47.7
2100.0,47.67
2102.0,47.6
2104.0,47.48
2106.0,47.4
2108.0,47.31
2110.0,47.23
2112.0,47.14
2114.0,47.01
2116.0,46.83
2118.0,46.52
2120.0,46.14
2122.0,45.71
2124.0,45.27
2126.0,44.89
2128.0,44.59
2130.0,44.29
2132.0,44.03
2134.0,43.86
2136.0,43.74
2138.0,43.6
2140.0,43.42
2142.0,43.29
2144.0,43.14
2146.0,42.84
2148.0,42.44
2150.0,41.95
2152.0,41.46
2154.0,40.9
2156.0,40.29
2158.0,39.69
2160.0,39.08
2162.0,38.47
2164.0,37.84
2166.0,37.19
2168.0,36.64
2170.0,36.175
2172.0,35.7
2174.0,35.19
2176.0,34.685
2178.0,34.27
2180.0,33.805
2182.0,33.36
2184.0,33.04
2186.0,32.92
2188.0,32.88
2190.0,32.73
2192.0,32.44
2194.0,32.06
2196.0,31.59
2198.0,31.05
2200.0,30.33
2202.0,29.69
2204.0,29.1
2206.0,28.615
2208.0,28.255
2210.0,28.01
2212.0,27.915
2214.0,27.81
2216.0,27.69
2218.0,27.54
2220.0,27.3
2222.0,27.14
2224.0,26.94
2226.0,26.75
2228.0,26.48
2230.0,26.15
2232.0,25.84
2234.0,25.48
2236.0,25.04
2238.0,24.4
2240.0,23.71
2242.0,22.9
2244.0,22.12
2246.0,21.23
2248.0,20.41
2250.0,19.72
2252.0,19.21
2254.0,18.93
2256.0,18.73
2258.0,18.61
2260.0,18.48
2262.0,18.2
2264.0,17.8
2266.0,17.33
2268.0,17.03
2270.0,16.945
2272.0,17.14
2274.0,17.63
2276.0,18.175
2278.0,18.76
2280.0,19.29
2282.0,19.765
2284.0,20.17
2286.0,20.45
2288.0,20.68
2290.0,20.88
2292.0,21.01
2294.0,21.14
2296.0,21.32
2298.0,21.53
2300.0,21.69
2302.0,21.72
2304.0,21.69
2306.0,21.62
2308.0,21.56
2310.0,21.45
2312.0,21.4
2314.0,21.38
2316.0,21.4
2318.0,21.47
2320.0,21.57
2322.0,21.71
2324.0,21.84
2326.0,21.97
2328.0,22.21
2330.0,22.45
2332.0,22.66
2334.0,22.8
2336.0,22.88
2338.0,22.85
2340.0,22.76
2342.0,22.58
2344.0,22.4
2346.0,22.18
2348.0,21.9
2350.0,21.6
2352.0,21.38
2354.0,21.25
2356.0,21.2
2358.0,21.19
2360.0,21.2
2362.0,21.18
2364.0,21.12
2366.0,21.13
2368.0,21.2
2370.0,21.3
2372.0,21.44
2374.0,21.5
2376.0,21.6
2378.0,21.59
2380.0,21.58
2382.0,21.52
2384.0,21.6
2386.0,21.66
2388.0,21.65
2390.0,21.59
2392.0,21.61
2394.0,21.63
2396.0,21.75
2398.0,21.83
2400.0,21.89
2402.0,21.93
2404.0,22.05
2406.0,22.21
2408.0,22.34
2410.0,22.48
2412.0,22.65
2414.0,22.81
2416.0,22.97
2418.0,23.17
2420.0,23.34
2422.0,23.39
2424.0,23.4
2426.0,23.41
2428.0,23.43
2430.0,23.42
2432.0,23.44
2434.0,23.51
2436.0,23.65
2438.0,23.74
2440.0,23.85
2442.0,24.0
2444.0,24.22
2446.0,24.4
2448.0,24.68
2450.0,24.87
2452.0,24.93
2454.0,24.95
2456.0,25.06
2458.0,25.11
2460.0,25.07
2462.0,25.07
2464.0,25.11
2466.0,25.09
2468.0,24.91
2470.0,24.78
2472.0,24.69
2474.0,24.7
2476.0,24.61
2478.0,24.41
2480.0,24.15
2482.0,24.03
2484.0,23.89
2486.0,23.74
2488.0,23.59
2490.0,23.6
2492.0,23.6
2494.0,23.55
2496.0,23.42
2498.0,23.37
2500.0,23.35
