wavelength,reflectivity
1300.0,18.265
1302.0,18.32
1304.0,18.4
1306.0,18.41
1308.0,18.6
1310.0,18.61
1312.0,18.75
1314.0,18.705
1316.0,18.69
1318.0,18.81
1320.0,19.03
1322.0,19.11
1324.0,19.14
1326.0,19.11
1328.0,19.07
1330.0,19.08
1332.0,19.14
1334.0,19.22
1336.0,19.235
1338.0,19.32
1340.0,19.38
1342.0,19.46
1344.0,19.53
1346.0,19.58
1348.0,19.61
1350.0,19.65
1352.0,19.71
1354.0,19.79
1356.0,19.83
1358.0,19.88
1360.0,19.935
1362.0,20.01
1364.0,20.1
1366.0,20.15
1368.0,20.19
1370.0,20.23
1372.0,20.3
1374.0,20.36
1376.0,20.42
1378.0,20.5
1380.0,20.53
1382.0,20.56
1384.0,20.59
1386.0,20.65
1388.0,20.71
1390.0,20.76
1392.0,20.79
1394.0,20.82
1396.0,20.86
1398.0,20.89
1400.0,20.92
1402.0,20.96
1404.0,21.0
1406.0,21.05
1408.0,21.08
1410.0,21.11
1412.0,21.15
1414.0,21.2
1416.0,21.25
1418.0,21.3
1420.0,21.37
1422.0,21.43
1424.0,21.48
1426.0,21.53
1428.0,21.55
1430.0,21.61
1432.0,21.68
1434.0,21.73
1436.0,21.8
1438.0,21.87
1440.0,21.94
1442.0,22.01
1444.0,22.06
1446.0,22.11
1448.0,22.18
1450.0,22.25
1452.0,22.31
1454.0,22.4
1456.0,22.48
1458.0,22.55
1460.0,22.59
1462.0,22.65
1464.0,22.7
1466.0,22.78
1468.0,22.84
1470.0,22.92
1472.0,23.0
1474.0,23.09
1476.0,23.17
1478.0,23.24
1480.0,23.29
1482.0,23.36
1484.0,23.43
1486.0,23.5
1488.0,23.58
1490.0,23.66
1492.0,23.74
1494.0,23.8
1496.0,23.86
1498.0,23.94
1500.0,24.01
1502.0,24.12
1504.0,24.19
1506.0,24.25
1508.0,24.34
1510.0,24.41
1512.0,24.48
1514.0,24.56
1516.0,24.63
1518.0,24.71
1520.0,24.8
1522.0,24.89
1524.0,24.96
1526.0,25.04
1528.0,25.095
1530.0,25.17
1532.0,25.27
1534.0,25.35
1536.0,25.45
1538.0,25.54
1540.0,25.615
1542.0,25.69
1544.0,25.77
1546.0,25.85
1548.0,25.95
1550.0,26.02
1552.0,26.09
1554.0,26.13
1556.0,26.2
1558.0,26.29
1560.0,26.39
1562.0,26.48
