wavelength,reflectivity
1300.0,65.9
1302.0,65.85
1304.0,65.88
1306.0,65.97
1308.0,66.07
1310.0,66.0
1312.0,65.63
1314.0,65.22
1316.0,64.79
1318.0,64.345
1320.0,64.03
1322.0,63.8
1324.0,63.57
1326.0,63.32
1328.0,62.98
1330.0,62.55
1332.0,62.15
1334.0,61.71
1336.0,61.24
1338.0,60.75
1340.0,60.31
1342.0,59.76
1344.0,59.28
1346.0,58.77
1348.0,58.27
1350.0,57.78
1352.0,57.33
1354.0,56.82
1356.0,56.445
1358.0,56.11
1360.0,55.78
1362.0,55.5
1364.0,55.18
1366.0,54.85
1368.0,54.56
1370.0,54.27
1372.0,53.99
1374.0,53.74
1376.0,53.52
1378.0,53.34
1380.0,53.21
1382.0,53.07
1384.0,52.91
1386.0,52.73
1388.0,52.53
1390.0,52.29
1392.0,52.01
1394.0,51.63
1396.0,51.165
1398.0,50.625
1400.0,50.0
1402.0,49.37
1404.0,48.65
1406.0,47.88
1408.0,47.04
1410.0,46.17
1412.0,45.25
1414.0,44.32
1416.0,43.34
1418.0,42.33
1420.0,41.32
1422.0,40.36
1424.0,39.47
1426.0,38.69
1428.0,37.98
1430.0,37.31
1432.0,36.6
1434.0,35.81
1436.0,34.88
1438.0,33.8
1440.0,32.6
1442.0,31.34
1444.0,30.15
1446.0,29.13
1448.0,28.4
1450.0,28.03
1452.0,28.09
1454.0,28.54
1456.0,29.26
1458.0,30.1
1460.0,30.91
1462.0,31.62
1464.0,32.21
1466.0,32.68
1468.0,33.06
1470.0,33.38
1472.0,33.62
1474.0,33.85
1476.0,34.03
1478.0,34.19
1480.0,34.35
1482.0,34.5
1484.0,34.54
1486.0,34.45
1488.0,34.26
1490.0,33.98
1492.0,33.64
1494.0,33.35
1496.0,33.18
1498.0,33.22
1500.0,33.5
1502.0,34.01
1504.0,34.685
1506.0,35.46
1508.0,36.25
1510.0,36.95
1512.0,37.55
1514.0,38.01
1516.0,38.38
1518.0,38.63
1520.0,38.79
1522.0,38.86
1524.0,38.85
1526.0,38.8
1528.0,38.69
1530.0,38.53
1532.0,38.34
1534.0,38.1
1536.0,37.85
1538.0,37.64
1540.0,37.56
1542.0,37.64
1544.0,37.93
1546.0,38.35
1548.0,38.94
1550.0,39.62
1552.0,40.39
1554.0,41.13
1556.0,41.87
1558.0,42.59
1560.0,43.29
1562.0,43.96
1564.0,44.59
1566.0,45.17
1568.0,45.7
1570.0,46.17
1572.0,46.57
1574.0,47.01
1576.0,47.41
1578.0,47.8
1580.0,48.2
1582.0,48.59
1584.0,49.0
1586.0,49.38
1588.0,49.74
1590.0,50.085
1592.0,50.5
1594.0,50.93
1596.0,51.34
1598.0,51.72
1600.0,52.12
1602.0,52.56
1604.0,52.995
1606.0,53.4
1608.0,53.75
1610.0,54.075
1612.0,54.41
1614.0,54.73
1616.0,55.04
1618.0,55.36
1620.0,55.655
1622.0,55.95
1624.0,56.2
1626.0,56.445
1628.0,56.695
1630.0,56.99
1632.0,57.29
1634.0,57.595
1636.0,57.89
1638.0,58.13
1640.0,58.36
1642.0,58.61
1644.0,58.83
1646.0,59.03
1648.0,59.175
1650.0,59.32
1652.0,59.45
1654.0,59.58
1656.0,59.69
1658.0,59.785
1660.0,59.88
1662.0,59.965
1664.0,60.035
1666.0,60.08
1668.0,60.06
1670.0,60.03
1672.0,59.965
1674.0,59.91
1676.0,59.855
1678.0,59.76
1680.0,59.63
1682.0,59.47
1684.0,59.3
1686.0,59.16
1688.0,58.97
1690.0,58.73
1692.0,58.455
1694.0,58.12
1696.0,57.79
1698.0,57.39
1700.0,56.94
1702.0,56.46
1704.0,55.92
1706.0,55.29
1708.0,54.59
1710.0,53.83
1712.0,53.07
1714.0,52.28
1716.0,51.48
1718.0,50.64
1720.0,49.76
1722.0,48.84
1724.0,47.92
1726.0,46.97
1728.0,46.06
1730.0,45.17
1732.0,44.24
1734.0,43.36
1736.0,42.51
1738.0,41.7
1740.0,40.92
1742.0,40.145
1744.0,39.445
1746.0,38.86
1748.0,38.38
1750.0,38.02
1752.0,37.78
1754.0,37.65
1756.0,37.7
1758.0,37.9
1760.0,38.22
1762.0,38.6
1764.0,38.98
1766.0,39.33
1768.0,39.64
1770.0,39.875
1772.0,40.04
1774.0,40.19
1776.0,40.32
1778.0,40.47
1780.0,40.66
1782.0,40.89
1784.0,41.21
1786.0,41.63
1788.0,42.14
1790.0,42.72
1792.0,43.31
1794.0,43.89
1796.0,44.43
1798.0,44.92
1800.0,45.39
1802.0,45.8
1804.0,46.17
1806.0,46.48
1808.0,46.77
1810.0,47.02
1812.0,47.25
1814.0,47.44
1816.0,47.59
1818.0,47.78
1820.0,47.93
1822.0,48.06
1824.0,48.15
1826.0,48.17
1828.0,48.16
1830.0,48.11
1832.0,48.1
1834.0,48.0
1836.0,47.89
1838.0,47.75
1840.0,47.55
1842.0,47.34
1844.0,47.02
1846.0,46.67
1848.0,46.24
1850.0,45.73
1852.0,45.12
1854.0,44.44
1856.0,43.7
1858.0,42.87
1860.0,42.02
1862.0,41.11
1864.0,40.16
1866.0,39.19
1868.0,38.115
1870.0,37.0
1872.0,35.83
1874.0,34.68
1876.0,33.58
1878.0,32.48
1880.0,31.39
1882.0,30.34
1884.0,29.35
1886.0,28.4
1888.0,27.465
1890.0,26.57
1892.0,25.66
1894.0,24.79
1896.0,23.95
1898.0,23.13
1900.0,22.36
1902.0,21.57
1904.0,20.82
1906.0,20.1
1908.0,19.41
1910.0,18.73
1912.0,18.04
1914.0,17.4
1916.0,16.765
1918.0,16.15
1920.0,15.56
1922.0,14.98
1924.0,14.42
1926.0,13.88
1928.0,13.31
1930.0,12.74
1932.0,12.22
1934.0,11.75
1936.0,11.38
1938.0,11.08
1940.0,10.84
1942.0,10.71
1944.0,10.6
1946.0,10.52
1948.0,10.5
1950.0,10.49
1952.0,10.55
1954.0,10.64
1956.0,10.8
1958.0,11.07
1960.0,11.42
1962.0,11.87
1964.0,12.3
1966.0,12.63
1968.0,12.895
1970.0,13.05
1972.0,13.16
1974.0,13.22
1976.0,13.23
1978.0,13.33
1980.0,13.44
1982.0,13.63
1984.0,13.88
1986.0,14.1
1988.0,14.35
1990.0,14.56
1992.0,14.88
1994.0,15.38
1996.0,16.03
1998.0,16.88
2000.0,17.95
2002.0,19.145
2004.0,20.4
2006.0,21.64
2008.0,22.78
2010.0,23.81
2012.0,24.7
2014.0,25.52
2016.0,26.33
2018.0,27.06
2020.0,27.69
2022.0,28.22
2024.0,28.74
2026.0,29.2
2028.0,29.65
2030.0,30.09
2032.0,30.45
2034.0,30.79
2036.0,31.075
2038.0,31.36
2040.0,31.64
2042.0,31.865
2044.0,32.11
2046.0,32.29
2048.0,32.4
2050.0,32.5
2052.0,32.53
2054.0,32.54
2056.0,32.48
2058.0,32.38
2060.0,32.31
2062.0,32.225
2064.0,32.2
2066.0,32.2
2068.0,32.21
2070.0,32.19
2072.0,32.21
2074.0,32.22
2076.0,32.2
2078.0,32.09
2080.0,31.92
2082.0,31.83
2084.0,31.73
2086.0,31.61
2088.0,31.4
2090.0,31.19
2092.0,30.97
2094.0,30.73
2096.0,30.49
2098.0,30.25
2100.0,30.08
2102.0,29.83
2104.0,29.58
2106.0,29.35
2108.0,29.11
2110.0,28.88
2112.0,28.59
2114.0,28.345
2116.0,28.16
2118.0,27.96
2120.0,27.76
2122.0,27.555
2124.0,27.35
2126.0,27.18
2128.0,26.97
2130.0,26.765
2132.0,26.6
2134.0,26.42
2136.0,26.26
2138.0,26.11
2140.0,25.97
2142.0,25.84
2144.0,25.69
2146.0,25.51
2148.0,25.34
2150.0,25.16
2152.0,24.98
2154.0,24.81
2156.0,24.65
2158.0,24.47
2160.0,24.25
2162.0,24.09
2164.0,23.9
2166.0,23.74
2168.0,23.53
2170.0,23.34
2172.0,23.17
2174.0,22.95
2176.0,22.82
2178.0,22.69
2180.0,22.62
2182.0,22.53
2184.0,22.45
2186.0,22.42
2188.0,22.37
2190.0,22.29
2192.0,22.2
2194.0,22.14
2196.0,22.07
2198.0,21.94
2200.0,21.72
2202.0,21.54
2204.0,21.33
2206.0,21.16
2208.0,20.94
2210.0,20.68
2212.0,20.44
2214.0,20.2
2216.0,19.98
2218.0,19.82
2220.0,19.72
2222.0,19.79
2224.0,20.01
2226.0,20.34
2228.0,20.71
2230.0,21.03
2232.0,21.38
2234.0,21.68
2236.0,21.95
2238.0,22.1
2240.0,22.21
2242.0,22.3
2244.0,22.34
2246.0,22.36
2248.0,22.31
2250.0,22.32
2252.0,22.29
2254.0,22.21
2256.0,22.06
2258.0,21.87
2260.0,21.66
2262.0,21.45
2264.0,21.27
2266.0,21.17
2268.0,21.22
2270.0,21.41
2272.0,21.76
2274.0,22.07
2276.0,22.35
2278.0,22.61
2280.0,22.85
2282.0,23.05
2284.0,23.24
2286.0,23.38
2288.0,23.47
2290.0,23.57
