wavelength,reflectivity
1300.0,81.83
1302.0,81.87
1304.0,81.59
1306.0,81.29
1308.0,81.23
1310.0,81.22
1312.0,81.16
1314.0,81.16
1316.0,81.14
1318.0,81.01
1320.0,80.82
1322.0,80.71
1324.0,80.46
1326.0,80.27
1328.0,80.18
1330.0,80.05
1332.0,80.0
1334.0,79.91
1336.0,79.755
1338.0,79.47
1340.0,79.28
1342.0,79.06
1344.0,78.785
1346.0,78.51
1348.0,78.07
1350.0,77.56
1352.0,77.06
1354.0,76.5
1356.0,76.03
1358.0,75.68
1360.0,75.35
1362.0,75.06
1364.0,74.72
1366.0,74.32
1368.0,73.86
1370.0,73.255
1372.0,72.45
1374.0,71.46
1376.0,70.31
1378.0,69.03
1380.0,67.76
1382.0,66.51
1384.0,65.38
1386.0,64.48
1388.0,63.8
1390.0,63.34
1392.0,63.17
1394.0,63.21
1396.0,63.37
1398.0,63.6
1400.0,63.8
1402.0,63.88
1404.0,63.72
1406.0,63.21
1408.0,62.38
1410.0,61.41
1412.0,60.67
1414.0,60.575
1416.0,61.33
1418.0,62.76
1420.0,64.55
1422.0,66.3
1424.0,67.77
1426.0,68.97
1428.0,69.9
1430.0,70.56
1432.0,71.1
1434.0,71.56
1436.0,71.99
1438.0,72.37
1440.0,72.715
1442.0,73.02
1444.0,73.3
1446.0,73.58
1448.0,73.8
1450.0,74.0
1452.0,74.19
1454.0,74.4
1456.0,74.585
1458.0,74.73
1460.0,74.835
1462.0,74.94
1464.0,75.07
1466.0,75.17
1468.0,75.3
1470.0,75.4
1472.0,75.53
1474.0,75.66
1476.0,75.85
1478.0,76.05
1480.0,76.32
1482.0,76.57
1484.0,76.775
1486.0,76.92
1488.0,77.08
1490.0,77.22
1492.0,77.35
1494.0,77.49
1496.0,77.63
1498.0,77.81
1500.0,77.98
1502.0,78.105
1504.0,78.19
1506.0,78.32
1508.0,78.46
1510.0,78.65
1512.0,78.76
1514.0,78.85
1516.0,78.89
1518.0,78.98
1520.0,79.06
1522.0,79.17
1524.0,79.28
1526.0,79.38
1528.0,79.47
1530.0,79.57
1532.0,79.66
1534.0,79.75
1536.0,79.86
1538.0,79.935
1540.0,80.02
1542.0,80.09
1544.0,80.16
1546.0,80.19
1548.0,80.24
1550.0,80.32
1552.0,80.4
1554.0,80.47
1556.0,80.52
1558.0,80.57
1560.0,80.67
1562.0,80.76
1564.0,80.82
1566.0,80.835
1568.0,80.88
1570.0,80.93
1572.0,81.01
1574.0,81.08
1576.0,81.14
1578.0,81.17
1580.0,81.19
1582.0,81.22
1584.0,81.26
1586.0,81.3
1588.0,81.35
1590.0,81.39
1592.0,81.445
1594.0,81.48
1596.0,81.51
1598.0,81.515
1600.0,81.58
1602.0,81.61
1604.0,81.62
1606.0,81.64
1608.0,81.69
