wavelength,reflectivity
1300.0,70.9
1302.0,70.64
1304.0,70.52
1306.0,70.36
1308.0,70.0
1310.0,69.75
1312.0,69.59
1314.0,69.45
1316.0,69.41
1318.0,69.22
1320.0,68.92
1322.0,68.54
1324.0,68.12
1326.0,67.84
1328.0,67.63
1330.0,67.33
1332.0,66.97
1334.0,66.48
1336.0,66.03
1338.0,65.69
1340.0,65.34
1342.0,64.99
1344.0,64.56
1346.0,64.12
1348.0,63.66
1350.0,63.25
1352.0,62.79
1354.0,62.32
1356.0,61.81
1358.0,61.31
1360.0,60.825
1362.0,60.35
1364.0,59.87
1366.0,59.37
1368.0,58.86
1370.0,58.33
1372.0,57.75
1374.0,57.09
1376.0,56.35
1378.0,55.51
1380.0,54.59
1382.0,53.59
1384.0,52.53
1386.0,51.4
1388.0,50.19
1390.0,48.9
1392.0,47.57
1394.0,46.18
1396.0,44.81
1398.0,43.46
1400.0,42.16
1402.0,40.87
1404.0,39.63
1406.0,38.45
1408.0,37.37
1410.0,36.41
1412.0,35.565
1414.0,34.85
1416.0,34.25
1418.0,33.805
1420.0,33.55
1422.0,33.47
1424.0,33.535
1426.0,33.78
1428.0,34.14
1430.0,34.64
1432.0,35.22
1434.0,35.86
1436.0,36.535
1438.0,37.28
1440.0,38.04
1442.0,38.86
1444.0,39.64
1446.0,40.39
1448.0,41.12
1450.0,41.79
1452.0,42.43
1454.0,43.01
1456.0,43.53
1458.0,44.02
1460.0,44.45
1462.0,44.83
1464.0,45.11
1466.0,45.33
1468.0,45.45
1470.0,45.57
1472.0,45.74
1474.0,45.99
1476.0,46.35
1478.0,46.84
1480.0,47.39
1482.0,48.04
1484.0,48.74
1486.0,49.46
1488.0,50.19
1490.0,50.89
1492.0,51.57
1494.0,52.23
1496.0,52.87
1498.0,53.45
1500.0,53.98
1502.0,54.48
1504.0,55.01
1506.0,55.52
1508.0,56.01
1510.0,56.47
1512.0,56.91
1514.0,57.34
1516.0,57.76
1518.0,58.16
1520.0,58.55
1522.0,58.93
1524.0,59.31
1526.0,59.65
1528.0,59.98
1530.0,60.29
1532.0,60.61
1534.0,60.935
1536.0,61.27
1538.0,61.58
1540.0,61.86
1542.0,62.12
1544.0,62.4
1546.0,62.69
1548.0,62.97
1550.0,63.25
1552.0,63.47
1554.0,63.68
1556.0,63.88
1558.0,64.09
1560.0,64.31
1562.0,64.52
1564.0,64.73
1566.0,64.93
1568.0,65.13
1570.0,65.3
1572.0,65.46
1574.0,65.65
1576.0,65.84
1578.0,66.01
1580.0,66.15
1582.0,66.3
1584.0,66.46
1586.0,66.645
1588.0,66.8
1590.0,66.91
1592.0,67.02
1594.0,67.12
1596.0,67.25
1598.0,67.38
1600.0,67.48
1602.0,67.61
1604.0,67.72
1606.0,67.84
1608.0,67.96
1610.0,68.045
1612.0,68.12
1614.0,68.225
1616.0,68.32
1618.0,68.4
1620.0,68.5
1622.0,68.55
1624.0,68.585
1626.0,68.65
1628.0,68.69
1630.0,68.82
1632.0,68.93
1634.0,69.01
1636.0,69.09
1638.0,69.15
1640.0,69.22
1642.0,69.27
1644.0,69.3
1646.0,69.32
1648.0,69.37
1650.0,69.35
1652.0,69.35
1654.0,69.35
1656.0,69.39
1658.0,69.44
1660.0,69.48
1662.0,69.52
1664.0,69.55
1666.0,69.55
1668.0,69.53
1670.0,69.46
1672.0,69.42
1674.0,69.375
1676.0,69.35
1678.0,69.39
1680.0,69.43
1682.0,69.44
1684.0,69.43
1686.0,69.37
1688.0,69.32
1690.0,69.29
1692.0,69.31
1694.0,69.29
1696.0,69.29
1698.0,69.24
1700.0,69.18
1702.0,69.12
1704.0,69.04
1706.0,68.91
1708.0,68.83
1710.0,68.7
1712.0,68.55
1714.0,68.39
1716.0,68.26
1718.0,68.14
1720.0,68.02
1722.0,67.85
1724.0,67.68
1726.0,67.53
1728.0,67.41
1730.0,67.23
1732.0,67.02
1734.0,66.79
1736.0,66.56
1738.0,66.285
1740.0,66.05
1742.0,65.82
1744.0,65.57
1746.0,65.29
1748.0,64.99
1750.0,64.7
1752.0,64.43
1754.0,64.09
1756.0,63.71
1758.0,63.35
1760.0,63.0
1762.0,62.63
1764.0,62.2
1766.0,61.74
1768.0,61.23
1770.0,60.755
1772.0,60.24
1774.0,59.72
1776.0,59.175
1778.0,58.62
1780.0,58.08
1782.0,57.52
1784.0,56.95
1786.0,56.37
1788.0,55.82
1790.0,55.31
1792.0,54.85
1794.0,54.38
1796.0,53.93
1798.0,53.51
1800.0,53.08
1802.0,52.68
1804.0,52.24
1806.0,51.84
1808.0,51.46
1810.0,51.09
1812.0,50.74
1814.0,50.445
1816.0,50.19
1818.0,49.99
1820.0,49.75
1822.0,49.51
1824.0,49.27
1826.0,49.09
1828.0,48.98
1830.0,48.86
1832.0,48.76
1834.0,48.6
1836.0,48.47
1838.0,48.41
1840.0,48.37
1842.0,48.35
1844.0,48.34
1846.0,48.32
1848.0,48.33
1850.0,48.27
1852.0,48.17
1854.0,48.06
1856.0,47.89
1858.0,47.65
1860.0,47.34
1862.0,46.95
1864.0,46.53
1866.0,46.05
1868.0,45.45
1870.0,44.76
1872.0,44.02
1874.0,43.22
1876.0,42.4
1878.0,41.52
1880.0,40.52
1882.0,39.46
1884.0,38.33
1886.0,37.145
1888.0,35.94
1890.0,34.66
1892.0,33.37
1894.0,32.09
1896.0,30.77
1898.0,29.42
1900.0,28.06
1902.0,26.73
1904.0,25.49
1906.0,24.36
1908.0,23.39
1910.0,22.59
1912.0,21.96
1914.0,21.55
1916.0,21.37
1918.0,21.44
1920.0,21.73
1922.0,22.22
1924.0,22.84
1926.0,23.56
1928.0,24.37
1930.0,25.32
1932.0,26.33
1934.0,27.32
1936.0,28.255
1938.0,29.17
1940.0,30.03
1942.0,30.805
1944.0,31.52
1946.0,32.16
1948.0,32.745
1950.0,33.25
1952.0,33.64
1954.0,33.97
1956.0,34.25
1958.0,34.45
1960.0,34.58
1962.0,34.68
1964.0,34.79
1966.0,34.86
1968.0,34.93
1970.0,34.98
1972.0,35.08
1974.0,35.23
1976.0,35.38
1978.0,35.6
1980.0,35.86
1982.0,36.19
1984.0,36.56
1986.0,36.96
1988.0,37.415
1990.0,37.9
1992.0,38.45
1994.0,39.01
1996.0,39.61
1998.0,40.19
2000.0,40.72
2002.0,41.27
2004.0,41.8
2006.0,42.33
2008.0,42.85
2010.0,43.3
2012.0,43.75
2014.0,44.18
2016.0,44.61
2018.0,45.03
2020.0,45.38
2022.0,45.72
2024.0,46.04
2026.0,46.38
2028.0,46.7
2030.0,46.98
2032.0,47.24
2034.0,47.47
2036.0,47.74
2038.0,48.04
2040.0,48.26
2042.0,48.44
2044.0,48.59
2046.0,48.73
2048.0,48.9
2050.0,49.05
2052.0,49.22
2054.0,49.37
2056.0,49.52
2058.0,49.67
2060.0,49.8
2062.0,49.86
2064.0,49.86
2066.0,49.89
2068.0,49.98
2070.0,50.06
2072.0,50.085
2074.0,50.085
2076.0,50.085
2078.0,50.12
2080.0,50.085
2082.0,50.06
2084.0,50.06
2086.0,50.07
2088.0,50.1
2090.0,50.06
2092.0,50.01
2094.0,49.99
2096.0,49.94
2098.0,49.89
2100.0,49.83
2102.0,49.73
2104.0,49.66
2106.0,49.61
2108.0,49.51
2110.0,49.43
2112.0,49.32
2114.0,49.19
2116.0,49.08
2118.0,48.97
2120.0,48.86
2122.0,48.72
2124.0,48.56
2126.0,48.37
2128.0,48.17
2130.0,47.98
2132.0,47.86
2134.0,47.77
2136.0,47.58
2138.0,47.37
2140.0,47.18
2142.0,47.01
2144.0,46.81
2146.0,46.61
2148.0,46.39
2150.0,46.2
2152.0,45.97
2154.0,45.74
2156.0,45.53
2158.0,45.33
2160.0,45.12
2162.0,44.97
2164.0,44.79
2166.0,44.58
2168.0,44.34
2170.0,44.1
2172.0,43.89
2174.0,43.65
2176.0,43.37
2178.0,43.04
2180.0,42.72
2182.0,42.41
2184.0,42.15
2186.0,41.89
2188.0,41.61
2190.0,41.31
2192.0,41.0
2194.0,40.75
2196.0,40.48
2198.0,40.23
2200.0,39.93
2202.0,39.64
2204.0,39.39
2206.0,39.175
2208.0,38.97
2210.0,38.82
2212.0,38.69
2214.0,38.565
2216.0,38.45
2218.0,38.295
2220.0,38.17
2222.0,38.09
2224.0,38.1
2226.0,38.18
2228.0,38.27
2230.0,38.36
2232.0,38.44
2234.0,38.51
2236.0,38.64
2238.0,38.75
2240.0,38.95
2242.0,39.1
2244.0,39.28
2246.0,39.46
2248.0,39.53
2250.0,39.63
2252.0,39.74
2254.0,39.89
2256.0,39.99
2258.0,40.08
2260.0,40.16
2262.0,40.21
2264.0,40.19
2266.0,40.19
2268.0,40.235
2270.0,40.3
2272.0,40.32
2274.0,40.27
2276.0,40.22
2278.0,40.16
2280.0,40.12
2282.0,40.08
2284.0,40.03
2286.0,39.96
2288.0,39.9
2290.0,39.82
2292.0,39.73
2294.0,39.64
2296.0,39.56
2298.0,39.5
2300.0,39.38
2302.0,39.24
2304.0,39.08
2306.0,38.92
2308.0,38.69
2310.0,38.54
2312.0,38.46
2314.0,38.25
2316.0,38.01
2318.0,37.78
2320.0,37.58
2322.0,37.34
2324.0,37.055
2326.0,36.85
2328.0,36.62
2330.0,36.31
2332.0,36.0
2334.0,35.63
2336.0,35.34
2338.0,35.01
2340.0,34.685
2342.0,34.29
2344.0,33.88
2346.0,33.42
2348.0,33.01
2350.0,32.655
2352.0,32.3
2354.0,31.9
2356.0,31.46
2358.0,30.985
2360.0,30.6
2362.0,30.23
