wavelength,reflectivity
1300.0,71.11
1302.0,70.99
1304.0,71.2
1306.0,71.11
1308.0,70.75
1310.0,70.775
1312.0,70.91
1314.0,70.85
1316.0,70.775
1318.0,70.7
1320.0,70.5
1322.0,70.43
1324.0,70.345
1326.0,70.345
1328.0,70.32
1330.0,70.25
1332.0,70.21
1334.0,70.07
1336.0,69.97
1338.0,69.86
1340.0,69.72
1342.0,69.63
1344.0,69.66
1346.0,69.75
1348.0,69.87
1350.0,69.97
1352.0,70.01
1354.0,70.02
1356.0,70.03
1358.0,70.07
1360.0,70.14
1362.0,70.19
1364.0,70.22
1366.0,70.21
1368.0,70.13
1370.0,70.07
1372.0,70.04
1374.0,70.02
1376.0,70.03
1378.0,70.03
1380.0,69.91
1382.0,69.88
1384.0,69.82
1386.0,69.75
1388.0,69.63
1390.0,69.49
1392.0,69.3
1394.0,69.1
1396.0,68.79
1398.0,68.39
1400.0,67.91
1402.0,67.39
1404.0,66.93
1406.0,66.575
1408.0,66.3
1410.0,66.035
1412.0,65.72
1414.0,65.24
1416.0,64.67
1418.0,63.99
1420.0,63.26
1422.0,62.51
1424.0,61.75
1426.0,60.99
1428.0,60.2
1430.0,59.355
1432.0,58.5
1434.0,57.53
1436.0,56.445
1438.0,55.13
1440.0,53.62
1442.0,52.13
1444.0,51.0
1446.0,50.55
1448.0,50.91
1450.0,51.98
1452.0,53.49
1454.0,55.09
1456.0,56.57
1458.0,57.83
1460.0,58.89
1462.0,59.76
1464.0,60.49
1466.0,61.06
1468.0,61.545
1470.0,61.89
1472.0,62.19
1474.0,62.42
1476.0,62.58
1478.0,62.69
1480.0,62.78
1482.0,62.84
1484.0,62.92
1486.0,62.99
1488.0,63.03
1490.0,63.03
1492.0,63.02
1494.0,63.01
1496.0,62.99
1498.0,62.93
1500.0,62.9
1502.0,62.85
1504.0,62.8
1506.0,62.765
1508.0,62.73
1510.0,62.67
1512.0,62.62
1514.0,62.54
1516.0,62.43
1518.0,62.335
1520.0,62.25
1522.0,62.2
1524.0,62.25
