wavelength,reflectivity
1300.0,56.77
1302.0,56.75
1304.0,56.77
1306.0,56.84
1308.0,56.57
1310.0,56.46
1312.0,56.56
1314.0,56.69
1316.0,56.66
1318.0,56.67
1320.0,56.33
1322.0,56.265
1324.0,56.39
1326.0,56.59
1328.0,56.66
1330.0,56.72
1332.0,56.695
1334.0,56.69
1336.0,56.71
1338.0,56.72
1340.0,56.66
1342.0,56.68
1344.0,56.72
1346.0,56.75
1348.0,56.77
1350.0,56.76
1352.0,56.75
1354.0,56.76
1356.0,56.81
1358.0,56.86
1360.0,56.875
1362.0,56.875
1364.0,56.87
1366.0,56.84
1368.0,56.85
1370.0,56.89
1372.0,56.89
1374.0,56.86
1376.0,56.79
1378.0,56.68
1380.0,56.62
1382.0,56.54
1384.0,56.46
1386.0,56.35
1388.0,56.17
1390.0,55.95
1392.0,55.71
1394.0,55.44
1396.0,55.17
1398.0,54.88
1400.0,54.55
1402.0,54.22
1404.0,53.92
1406.0,53.62
1408.0,53.355
1410.0,53.14
1412.0,53.02
1414.0,52.99
1416.0,53.05
1418.0,53.16
1420.0,53.37
1422.0,53.67
1424.0,54.06
1426.0,54.45
1428.0,54.82
1430.0,55.15
1432.0,55.44
1434.0,55.69
1436.0,55.905
1438.0,56.085
1440.0,56.265
1442.0,56.44
1444.0,56.58
1446.0,56.69
1448.0,56.8
1450.0,56.91
1452.0,57.0
1454.0,57.055
1456.0,57.1
1458.0,57.12
1460.0,57.19
1462.0,57.305
1464.0,57.43
1466.0,57.55
1468.0,57.595
1470.0,57.63
1472.0,57.65
1474.0,57.7
1476.0,57.77
1478.0,57.84
1480.0,57.93
1482.0,58.02
1484.0,58.095
1486.0,58.17
1488.0,58.23
1490.0,58.3
1492.0,58.385
1494.0,58.5
1496.0,58.56
1498.0,58.63
1500.0,58.67
1502.0,58.74
1504.0,58.83
1506.0,58.93
1508.0,59.01
1510.0,59.09
1512.0,59.17
1514.0,59.24
1516.0,59.3
1518.0,59.37
1520.0,59.44
1522.0,59.51
1524.0,59.59
1526.0,59.62
1528.0,59.67
1530.0,59.77
1532.0,59.8
1534.0,59.85
1536.0,59.855
1538.0,59.9
1540.0,59.965
1542.0,60.08
1544.0,60.16
1546.0,60.21
1548.0,60.24
1550.0,60.26
1552.0,60.3
1554.0,60.36
1556.0,60.41
1558.0,60.44
1560.0,60.46
1562.0,60.52
1564.0,60.575
1566.0,60.66
1568.0,60.71
1570.0,60.75
1572.0,60.79
1574.0,60.85
1576.0,60.92
1578.0,60.97
1580.0,61.03
1582.0,61.08
1584.0,61.11
1586.0,61.13
1588.0,61.15
1590.0,61.18
1592.0,61.23
1594.0,61.31
1596.0,61.36
1598.0,61.365
1600.0,61.36
1602.0,61.39
1604.0,61.46
1606.0,61.54
1608.0,61.57
1610.0,61.545
1612.0,61.56
1614.0,61.6
1616.0,61.7
1618.0,61.76
1620.0,61.81
1622.0,61.81
1624.0,61.83
1626.0,61.85
1628.0,61.86
1630.0,61.89
1632.0,61.9
1634.0,61.92
1636.0,61.92
1638.0,61.92
1640.0,61.975
1642.0,62.02
1644.0,62.06
1646.0,62.07
