wavelength,reflectivity
1300.0,63.82
1302.0,63.79
1304.0,63.86
1306.0,63.89
1308.0,63.91
1310.0,63.845
1312.0,63.735
1314.0,63.61
1316.0,63.52
1318.0,63.53
1320.0,63.58
1322.0,63.68
1324.0,63.8
1326.0,63.79
1328.0,63.75
1330.0,63.68
1332.0,63.62
1334.0,63.58
1336.0,63.58
1338.0,63.6
1340.0,63.64
1342.0,63.63
1344.0,63.6
1346.0,63.55
1348.0,63.48
1350.0,63.4
1352.0,63.34
1354.0,63.26
1356.0,63.25
1358.0,63.28
1360.0,63.33
1362.0,63.33
1364.0,63.305
1366.0,63.27
1368.0,63.24
1370.0,63.21
1372.0,63.16
1374.0,63.08
1376.0,63.03
1378.0,62.99
1380.0,62.96
1382.0,62.91
1384.0,62.82
1386.0,62.71
1388.0,62.6
1390.0,62.46
1392.0,62.28
1394.0,61.975
1396.0,61.63
1398.0,61.24
1400.0,60.9
1402.0,60.57
1404.0,60.29
1406.0,59.99
1408.0,59.71
1410.0,59.47
1412.0,59.38
1414.0,59.48
1416.0,59.75
1418.0,60.09
1420.0,60.46
1422.0,60.81
1424.0,61.16
1426.0,61.5
1428.0,61.81
1430.0,62.03
1432.0,62.21
1434.0,62.31
1436.0,62.38
1438.0,62.46
1440.0,62.49
1442.0,62.515
1444.0,62.55
1446.0,62.585
1448.0,62.61
1450.0,62.62
1452.0,62.65
1454.0,62.66
1456.0,62.65
1458.0,62.65
1460.0,62.64
1462.0,62.62
1464.0,62.57
1466.0,62.5
1468.0,62.46
1470.0,62.45
1472.0,62.48
1474.0,62.51
1476.0,62.51
1478.0,62.53
1480.0,62.56
1482.0,62.55
1484.0,62.51
1486.0,62.49
1488.0,62.49
1490.0,62.515
1492.0,62.515
1494.0,62.5
1496.0,62.48
1498.0,62.49
1500.0,62.53
1502.0,62.54
1504.0,62.5
1506.0,62.48
1508.0,62.48
1510.0,62.51
1512.0,62.49
1514.0,62.47
1516.0,62.42
1518.0,62.38
1520.0,62.36
1522.0,62.36
1524.0,62.37
1526.0,62.38
1528.0,62.37
1530.0,62.33
1532.0,62.31
1534.0,62.29
1536.0,62.26
1538.0,62.26
1540.0,62.28
1542.0,62.3
1544.0,62.28
1546.0,62.25
1548.0,62.23
1550.0,62.22
1552.0,62.22
1554.0,62.23
1556.0,62.24
1558.0,62.26
1560.0,62.29
1562.0,62.31
1564.0,62.32
1566.0,62.31
1568.0,62.29
1570.0,62.29
1572.0,62.3
1574.0,62.27
1576.0,62.27
1578.0,62.26
1580.0,62.25
1582.0,62.26
1584.0,62.25
1586.0,62.23
1588.0,62.21
1590.0,62.21
1592.0,62.21
1594.0,62.2
1596.0,62.17
1598.0,62.18
1600.0,62.18
1602.0,62.2
1604.0,62.21
1606.0,62.21
1608.0,62.2
1610.0,62.18
1612.0,62.155
1614.0,62.155
1616.0,62.17
1618.0,62.155
1620.0,62.15
1622.0,62.14
1624.0,62.14
1626.0,62.15
1628.0,62.15
1630.0,62.15
1632.0,62.15
1634.0,62.13
1636.0,62.11
1638.0,62.11
1640.0,62.11
1642.0,62.12
1644.0,62.13
1646.0,62.12
1648.0,62.08
1650.0,62.06
1652.0,62.05
1654.0,62.05
1656.0,62.06
1658.0,62.04
1660.0,62.02
1662.0,62.02
1664.0,62.02
1666.0,62.03
1668.0,62.02
1670.0,62.0
1672.0,61.99
1674.0,62.0
1676.0,62.03
1678.0,62.0
1680.0,61.97
1682.0,61.95
1684.0,61.94
1686.0,61.96
1688.0,61.96
1690.0,61.93
1692.0,61.9
1694.0,61.905
1696.0,61.905
1698.0,61.9
1700.0,61.88
1702.0,61.87
1704.0,61.87
1706.0,61.88
1708.0,61.87
1710.0,61.89
1712.0,61.89
1714.0,61.88
1716.0,61.87
1718.0,61.85
1720.0,61.86
1722.0,61.87
1724.0,61.87
1726.0,61.86
1728.0,61.84
1730.0,61.84
1732.0,61.85
1734.0,61.85
1736.0,61.86
1738.0,61.83
1740.0,61.79
1742.0,61.76
1744.0,61.74
1746.0,61.72
1748.0,61.71
1750.0,61.7
1752.0,61.68
1754.0,61.69
1756.0,61.66
1758.0,61.66
1760.0,61.66
1762.0,61.65
1764.0,61.67
1766.0,61.64
1768.0,61.63
1770.0,61.63
1772.0,61.615
1774.0,61.615
1776.0,61.59
1778.0,61.57
1780.0,61.57
1782.0,61.58
1784.0,61.6
1786.0,61.6
1788.0,61.615
1790.0,61.61
1792.0,61.59
1794.0,61.57
1796.0,61.56
1798.0,61.57
1800.0,61.545
1802.0,61.54
1804.0,61.54
1806.0,61.545
1808.0,61.54
1810.0,61.53
1812.0,61.53
1814.0,61.545
1816.0,61.56
1818.0,61.57
1820.0,61.545
1822.0,61.53
1824.0,61.53
1826.0,61.51
1828.0,61.47
1830.0,61.44
1832.0,61.42
1834.0,61.4
1836.0,61.38
1838.0,61.35
1840.0,61.34
1842.0,61.32
1844.0,61.32
1846.0,61.28
1848.0,61.27
1850.0,61.25
1852.0,61.2
1854.0,61.18
1856.0,61.15
1858.0,61.13
1860.0,61.1
1862.0,61.05
1864.0,61.03
1866.0,61.0
1868.0,60.93
1870.0,60.79
1872.0,60.65
1874.0,60.52
1876.0,60.38
1878.0,60.25
1880.0,60.11
1882.0,60.01
1884.0,59.92
1886.0,59.76
1888.0,59.59
1890.0,59.42
1892.0,59.23
1894.0,59.04
1896.0,58.81
1898.0,58.58
1900.0,58.35
1902.0,58.13
1904.0,57.99
1906.0,57.94
1908.0,57.93
1910.0,57.94
1912.0,57.93
1914.0,57.96
1916.0,58.07
1918.0,58.12
1920.0,58.16
1922.0,58.2
1924.0,58.24
1926.0,58.31
1928.0,58.33
1930.0,58.35
1932.0,58.36
1934.0,58.385
1936.0,58.43
1938.0,58.47
1940.0,58.49
1942.0,58.44
1944.0,58.42
1946.0,58.47
1948.0,58.53
1950.0,58.55
1952.0,58.49
1954.0,58.45
1956.0,58.47
1958.0,58.5
1960.0,58.5
1962.0,58.48
1964.0,58.48
1966.0,58.5
1968.0,58.455
1970.0,58.42
1972.0,58.43
1974.0,58.43
1976.0,58.45
1978.0,58.43
1980.0,58.42
1982.0,58.45
1984.0,58.47
1986.0,58.45
1988.0,58.4
1990.0,58.385
1992.0,58.38
1994.0,58.37
1996.0,58.35
1998.0,58.3
2000.0,58.31
2002.0,58.29
2004.0,58.3
2006.0,58.37
2008.0,58.38
2010.0,58.385
2012.0,58.33
2014.0,58.3
2016.0,58.34
2018.0,58.43
2020.0,58.53
2022.0,58.55
2024.0,58.56
2026.0,58.59
2028.0,58.61
2030.0,58.63
2032.0,58.565
2034.0,58.55
2036.0,58.58
2038.0,58.58
2040.0,58.565
2042.0,58.54
2044.0,58.52
2046.0,58.5
2048.0,58.49
2050.0,58.455
2052.0,58.42
2054.0,58.38
2056.0,58.33
2058.0,58.34
2060.0,58.29
2062.0,58.25
2064.0,58.2
2066.0,58.17
2068.0,58.12
2070.0,58.07
2072.0,58.01
2074.0,57.97
2076.0,57.92
2078.0,57.81
2080.0,57.75
2082.0,57.66
2084.0,57.63
2086.0,57.56
2088.0,57.47
2090.0,57.37
2092.0,57.27
2094.0,57.21
2096.0,57.14
2098.0,57.11
2100.0,57.05
2102.0,56.97
2104.0,56.86
2106.0,56.77
2108.0,56.75
2110.0,56.78
2112.0,56.8
2114.0,56.78
2116.0,56.75
2118.0,56.74
2120.0,56.77
2122.0,56.77
2124.0,56.78
2126.0,56.75
2128.0,56.75
2130.0,56.8
2132.0,56.84
2134.0,56.89
2136.0,56.87
2138.0,56.87
2140.0,56.92
2142.0,56.91
