wavelength,reflectivity
1300.0,65.17
1302.0,65.27
1304.0,65.44
1306.0,65.41
1308.0,65.53
1310.0,65.87
1312.0,66.15
1314.0,66.36
1316.0,66.6
1318.0,66.7
1320.0,66.93
1322.0,67.2
1324.0,67.35
1326.0,67.49
1328.0,67.73
1330.0,67.85
1332.0,68.01
1334.0,68.21
1336.0,68.29
1338.0,68.25
1340.0,68.335
1342.0,68.49
1344.0,68.66
1346.0,68.85
1348.0,68.96
1350.0,69.01
1352.0,69.09
1354.0,69.19
1356.0,69.35
1358.0,69.51
1360.0,69.72
1362.0,69.86
1364.0,69.94
1366.0,70.07
1368.0,70.24
1370.0,70.41
1372.0,70.56
1374.0,70.64
1376.0,70.73
1378.0,70.88
1380.0,71.02
1382.0,71.15
1384.0,71.26
1386.0,71.36
1388.0,71.52
1390.0,71.7
1392.0,71.89
1394.0,72.07
1396.0,72.24
1398.0,72.355
1400.0,72.48
1402.0,72.56
1404.0,72.67
1406.0,72.77
1408.0,72.895
1410.0,73.0
1412.0,73.11
1414.0,73.22
1416.0,73.31
1418.0,73.41
1420.0,73.52
1422.0,73.59
1424.0,73.66
1426.0,73.68
1428.0,73.685
1430.0,73.685
1432.0,73.68
1434.0,73.66
1436.0,73.68
1438.0,73.68
1440.0,73.71
1442.0,73.6
1444.0,73.47
1446.0,73.27
1448.0,73.075
1450.0,72.87
1452.0,72.6
1454.0,72.19
1456.0,71.675
1458.0,71.03
1460.0,70.31
1462.0,69.55
1464.0,68.76
1466.0,67.95
1468.0,67.1
1470.0,66.23
1472.0,65.29
1474.0,64.41
1476.0,63.77
1478.0,63.44
1480.0,63.55
1482.0,64.19
1484.0,65.19
1486.0,66.44
1488.0,67.74
1490.0,68.89
1492.0,69.805
1494.0,70.49
1496.0,70.92
1498.0,71.16
1500.0,71.33
1502.0,71.43
1504.0,71.54
1506.0,71.64
1508.0,71.67
1510.0,71.66
1512.0,71.64
1514.0,71.62
1516.0,71.565
1518.0,71.49
1520.0,71.39
1522.0,71.3
1524.0,71.19
1526.0,71.1
1528.0,71.02
1530.0,70.94
1532.0,70.885
1534.0,70.84
1536.0,70.775
1538.0,70.73
1540.0,70.73
1542.0,70.72
1544.0,70.7
1546.0,70.7
1548.0,70.73
1550.0,70.775
1552.0,70.85
1554.0,70.93
1556.0,71.06
1558.0,71.22
1560.0,71.42
1562.0,71.63
1564.0,71.8
1566.0,71.98
1568.0,72.09
1570.0,72.21
1572.0,72.4
1574.0,72.59
1576.0,72.79
1578.0,72.96
1580.0,73.14
1582.0,73.36
1584.0,73.56
1586.0,73.74
1588.0,73.88
1590.0,74.03
1592.0,74.18
1594.0,74.34
1596.0,74.475
1598.0,74.62
1600.0,74.77
1602.0,74.91
1604.0,75.01
1606.0,75.15
1608.0,75.31
1610.0,75.48
1612.0,75.65
1614.0,75.75
1616.0,75.83
1618.0,75.96
1620.0,76.08
1622.0,76.21
1624.0,76.32
1626.0,76.39
1628.0,76.5
1630.0,76.64
1632.0,76.76
1634.0,76.88
1636.0,76.955
1638.0,77.04
1640.0,77.13
1642.0,77.24
1644.0,77.33
1646.0,77.43
1648.0,77.53
1650.0,77.63
1652.0,77.7
1654.0,77.78
1656.0,77.815
1658.0,77.9
1660.0,77.995
1662.0,78.1
1664.0,78.22
1666.0,78.28
1668.0,78.35
1670.0,78.38
1672.0,78.44
1674.0,78.53
1676.0,78.62
1678.0,78.71
1680.0,78.81
1682.0,78.895
1684.0,78.95
1686.0,78.98
1688.0,79.04
1690.0,79.12
1692.0,79.2
1694.0,79.31
1696.0,79.34
1698.0,79.37
1700.0,79.4
1702.0,79.47
1704.0,79.55
1706.0,79.6
1708.0,79.66
1710.0,79.66
1712.0,79.68
1714.0,79.685
1716.0,79.73
1718.0,79.79
1720.0,79.84
1722.0,79.86
1724.0,79.85
1726.0,79.82
1728.0,79.82
1730.0,79.83
1732.0,79.83
1734.0,79.83
1736.0,79.81
1738.0,79.73
1740.0,79.66
1742.0,79.61
1744.0,79.56
1746.0,79.505
1748.0,79.4
1750.0,79.32
1752.0,79.25
1754.0,79.17
1756.0,79.1
1758.0,78.99
1760.0,78.88
1762.0,78.76
1764.0,78.66
1766.0,78.58
1768.0,78.51
1770.0,78.45
1772.0,78.38
1774.0,78.31
1776.0,78.23
1778.0,78.15
1780.0,78.08
1782.0,77.995
1784.0,77.92
1786.0,77.84
1788.0,77.745
1790.0,77.67
1792.0,77.55
1794.0,77.43
1796.0,77.29
1798.0,77.1
1800.0,76.845
1802.0,76.58
1804.0,76.33
1806.0,76.09
1808.0,75.78
1810.0,75.42
1812.0,75.03
1814.0,74.63
1816.0,74.28
1818.0,73.9
1820.0,73.54
