wavelength,reflectivity
1300.0,71.94
1302.0,71.89
1304.0,71.71
1306.0,71.42
1308.0,71.34
1310.0,70.97
1312.0,70.885
1314.0,70.77
1316.0,70.68
1318.0,70.7
1320.0,70.66
1322.0,70.47
1324.0,70.28
1326.0,70.0
1328.0,69.85
1330.0,69.8
1332.0,69.805
1334.0,69.79
1336.0,69.73
1338.0,69.67
1340.0,69.51
1342.0,69.3
1344.0,68.99
1346.0,68.51
1348.0,67.94
1350.0,67.35
1352.0,66.8
1354.0,66.41
1356.0,66.215
1358.0,66.16
1360.0,66.12
1362.0,66.0
1364.0,65.8
1366.0,65.49
1368.0,65.065
1370.0,64.47
1372.0,63.69
1374.0,62.79
1376.0,61.78
1378.0,60.78
1380.0,59.78
1382.0,58.81
1384.0,57.83
1386.0,56.87
1388.0,56.01
1390.0,55.4
1392.0,55.11
1394.0,55.13
1396.0,55.35
1398.0,55.67
1400.0,55.99
1402.0,56.25
1404.0,56.33
1406.0,55.97
1408.0,54.95
1410.0,53.35
1412.0,51.8
1414.0,51.2
1416.0,52.19
1418.0,54.64
1420.0,57.81
1422.0,60.77
1424.0,63.02
1426.0,64.5
1428.0,65.56
1430.0,66.395
1432.0,67.14
1434.0,67.74
1436.0,68.21
1438.0,68.58
1440.0,68.9
1442.0,69.18
1444.0,69.42
1446.0,69.64
1448.0,69.82
1450.0,69.95
1452.0,70.07
1454.0,70.19
1456.0,70.32
1458.0,70.47
1460.0,70.59
1462.0,70.73
1464.0,70.885
1466.0,71.04
1468.0,71.16
1470.0,71.27
1472.0,71.34
1474.0,71.45
1476.0,71.565
1478.0,71.66
1480.0,71.74
1482.0,71.83
1484.0,71.9
1486.0,71.96
1488.0,72.04
1490.0,72.12
1492.0,72.19
1494.0,72.24
1496.0,72.26
1498.0,72.24
1500.0,72.25
1502.0,72.285
1504.0,72.355
1506.0,72.52
1508.0,72.69
1510.0,72.81
1512.0,72.92
1514.0,73.01
1516.0,73.09
1518.0,73.17
1520.0,73.25
1522.0,73.3
1524.0,73.37
1526.0,73.435
1528.0,73.48
1530.0,73.52
1532.0,73.57
1534.0,73.59
1536.0,73.58
1538.0,73.615
1540.0,73.65
1542.0,73.7
1544.0,73.76
1546.0,73.8
1548.0,73.81
1550.0,73.8
1552.0,73.78
1554.0,73.78
1556.0,73.81
1558.0,73.84
1560.0,73.865
1562.0,73.93
1564.0,73.98
1566.0,74.03
1568.0,74.08
1570.0,74.09
1572.0,74.09
1574.0,74.07
1576.0,74.02
1578.0,74.01
1580.0,74.045
1582.0,74.09
1584.0,74.11
1586.0,74.115
1588.0,74.18
1590.0,74.24
1592.0,74.27
1594.0,74.27
1596.0,74.27
1598.0,74.25
1600.0,74.26
1602.0,74.27
1604.0,74.27
1606.0,74.27
1608.0,74.27
1610.0,74.26
1612.0,74.27
1614.0,74.295
1616.0,74.29
1618.0,74.28
1620.0,74.29
1622.0,74.27
1624.0,74.24
1626.0,74.21
1628.0,74.21
1630.0,74.24
1632.0,74.25
1634.0,74.22
1636.0,74.18
1638.0,74.17
1640.0,74.18
1642.0,74.19
1644.0,74.16
1646.0,74.1
1648.0,74.08
1650.0,74.08
1652.0,74.09
1654.0,74.09
1656.0,74.03
1658.0,73.98
1660.0,73.91
1662.0,73.84
1664.0,73.79
1666.0,73.78
1668.0,73.73
1670.0,73.7
1672.0,73.66
1674.0,73.615
1676.0,73.61
1678.0,73.59
1680.0,73.59
1682.0,73.61
1684.0,73.61
1686.0,73.59
1688.0,73.57
1690.0,73.54
1692.0,73.52
1694.0,73.52
1696.0,73.54
1698.0,73.54
1700.0,73.56
1702.0,73.5
1704.0,73.43
1706.0,73.36
1708.0,73.3
1710.0,73.3
1712.0,73.28
1714.0,73.24
1716.0,73.16
1718.0,73.07
1720.0,73.03
1722.0,73.03
1724.0,73.06
1726.0,73.1
1728.0,73.06
1730.0,72.98
1732.0,72.89
1734.0,72.84
1736.0,72.8
1738.0,72.74
1740.0,72.67
1742.0,72.62
1744.0,72.6
1746.0,72.535
1748.0,72.52
1750.0,72.465
1752.0,72.44
1754.0,72.41
1756.0,72.355
1758.0,72.34
1760.0,72.28
1762.0,72.19
1764.0,72.1
1766.0,72.04
1768.0,71.98
1770.0,71.88
1772.0,71.745
1774.0,71.63
1776.0,71.53
1778.0,71.42
1780.0,71.31
1782.0,71.18
1784.0,71.06
1786.0,70.93
1788.0,70.76
1790.0,70.59
1792.0,70.42
1794.0,70.27
1796.0,70.16
1798.0,70.09
1800.0,70.05
1802.0,70.02
1804.0,69.985
1806.0,69.95
1808.0,69.9
1810.0,69.8
1812.0,69.69
1814.0,69.61
1816.0,69.53
1818.0,69.45
1820.0,69.39
1822.0,69.39
