wavelength,reflectivity
1300.0,72.41
1302.0,72.34
1304.0,72.51
1306.0,72.19
1308.0,71.83
1310.0,71.495
1312.0,71.38
1314.0,71.47
1316.0,71.46
1318.0,71.29
1320.0,71.12
1322.0,70.84
1324.0,70.67
1326.0,70.55
1328.0,70.36
1330.0,70.36
1332.0,70.33
1334.0,70.22
1336.0,70.2
1338.0,70.16
1340.0,70.06
1342.0,69.91
1344.0,69.52
1346.0,68.88
1348.0,68.08
1350.0,67.29
1352.0,66.67
1354.0,66.31
1356.0,66.17
1358.0,66.17
1360.0,66.25
1362.0,66.37
1364.0,66.45
1366.0,66.39
1368.0,66.17
1370.0,65.77
1372.0,65.17
1374.0,64.44
1376.0,63.58
1378.0,62.64
1380.0,61.615
1382.0,60.48
1384.0,59.15
1386.0,57.63
1388.0,56.12
1390.0,54.88
1392.0,54.12
1394.0,53.88
1396.0,54.09
1398.0,54.5
1400.0,54.97
1402.0,55.46
1404.0,55.89
1406.0,56.05
1408.0,55.63
1410.0,54.505
1412.0,53.2
1414.0,52.66
1416.0,53.65
1418.0,56.335
1420.0,60.0
1422.0,63.53
1424.0,66.18
1426.0,67.93
1428.0,68.94
1430.0,69.69
1432.0,70.27
1434.0,70.77
1436.0,71.2
1438.0,71.58
1440.0,71.9
1442.0,72.15
1444.0,72.355
1446.0,72.535
1448.0,72.7
1450.0,72.84
1452.0,72.98
1454.0,73.11
1456.0,73.24
1458.0,73.38
1460.0,73.53
1462.0,73.68
1464.0,73.8
1466.0,73.91
1468.0,73.97
1470.0,74.07
1472.0,74.14
1474.0,74.24
1476.0,74.35
1478.0,74.475
1480.0,74.56
1482.0,74.65
1484.0,74.73
1486.0,74.81
1488.0,74.92
1490.0,75.015
1492.0,75.1
1494.0,75.15
1496.0,75.17
1498.0,75.17
1500.0,75.16
1502.0,75.13
1504.0,75.16
1506.0,75.28
1508.0,75.44
1510.0,75.61
1512.0,75.76
1514.0,75.87
1516.0,75.96
1518.0,76.02
1520.0,76.04
1522.0,76.08
1524.0,76.12
1526.0,76.165
1528.0,76.2
1530.0,76.235
1532.0,76.27
1534.0,76.3
1536.0,76.32
1538.0,76.36
1540.0,76.41
1542.0,76.46
1544.0,76.5
1546.0,76.52
1548.0,76.53
1550.0,76.55
1552.0,76.54
1554.0,76.55
1556.0,76.58
1558.0,76.57
1560.0,76.61
1562.0,76.59
1564.0,76.62
1566.0,76.68
1568.0,76.75
1570.0,76.79
1572.0,76.83
1574.0,76.84
1576.0,76.84
1578.0,76.83
1580.0,76.82
1582.0,76.83
1584.0,76.845
1586.0,76.9
1588.0,76.94
1590.0,76.97
1592.0,77.025
1594.0,77.02
1596.0,77.02
1598.0,77.06
1600.0,77.06
1602.0,77.08
1604.0,77.09
1606.0,77.05
1608.0,77.08
1610.0,77.1
1612.0,77.08
1614.0,77.06
1616.0,77.02
1618.0,77.0
1620.0,77.01
1622.0,77.01
1624.0,76.99
1626.0,77.0
1628.0,77.01
1630.0,77.025
1632.0,77.02
1634.0,77.0
1636.0,76.98
1638.0,76.97
1640.0,76.97
1642.0,76.97
1644.0,76.93
1646.0,76.87
1648.0,76.82
1650.0,76.79
1652.0,76.8
1654.0,76.8
1656.0,76.76
1658.0,76.71
1660.0,76.67
1662.0,76.66
1664.0,76.64
1666.0,76.57
1668.0,76.53
1670.0,76.48
1672.0,76.45
1674.0,76.41
1676.0,76.37
1678.0,76.345
1680.0,76.345
1682.0,76.33
1684.0,76.31
1686.0,76.28
1688.0,76.27
1690.0,76.27
1692.0,76.29
1694.0,76.28
1696.0,76.27
1698.0,76.26
1700.0,76.28
1702.0,76.28
1704.0,76.26
1706.0,76.165
1708.0,76.13
1710.0,76.07
1712.0,76.04
1714.0,75.985
1716.0,75.92
1718.0,75.84
1720.0,75.75
1722.0,75.69
1724.0,75.68
1726.0,75.67
1728.0,75.62
1730.0,75.55
1732.0,75.47
1734.0,75.43
1736.0,75.42
1738.0,75.4
1740.0,75.37
1742.0,75.3
1744.0,75.22
1746.0,75.18
1748.0,75.14
1750.0,75.11
1752.0,75.085
1754.0,75.07
1756.0,75.07
1758.0,75.015
1760.0,74.94
1762.0,74.835
1764.0,74.78
1766.0,74.72
1768.0,74.64
1770.0,74.51
1772.0,74.36
1774.0,74.24
1776.0,74.115
1778.0,74.02
1780.0,73.86
1782.0,73.685
1784.0,73.5
1786.0,73.29
1788.0,73.1
1790.0,72.89
1792.0,72.7
1794.0,72.55
1796.0,72.46
1798.0,72.39
1800.0,72.35
1802.0,72.31
1804.0,72.25
1806.0,72.18
1808.0,72.07
1810.0,71.94
1812.0,71.8
1814.0,71.66
1816.0,71.55
1818.0,71.47
1820.0,71.45
1822.0,71.52
1824.0,71.64
