wavelength,reflectivity
1300.0,45.5
1302.0,45.71
1304.0,45.72
1306.0,45.66
1308.0,45.75
1310.0,45.65
1312.0,45.64
1314.0,45.69
1316.0,45.58
1318.0,45.5
1320.0,45.45
1322.0,45.49
1324.0,45.6
1326.0,45.7
1328.0,45.73
1330.0,45.76
1332.0,45.73
1334.0,45.69
1336.0,45.7
1338.0,45.66
1340.0,45.72
1342.0,45.76
1344.0,45.74
1346.0,45.77
1348.0,45.82
1350.0,45.88
1352.0,45.93
1354.0,45.96
1356.0,45.99
1358.0,46.01
1360.0,46.01
1362.0,46.03
1364.0,46.07
1366.0,46.1
1368.0,46.15
1370.0,46.18
1372.0,46.22
1374.0,46.26
1376.0,46.3
1378.0,46.34
1380.0,46.38
1382.0,46.42
1384.0,46.49
1386.0,46.49
1388.0,46.51
1390.0,46.57
1392.0,46.57
1394.0,46.6
1396.0,46.63
1398.0,46.63
1400.0,46.67
1402.0,46.72
1404.0,46.77
1406.0,46.83
1408.0,46.86
1410.0,46.87
1412.0,46.91
1414.0,46.96
1416.0,47.03
1418.0,47.11
1420.0,47.16
1422.0,47.22
1424.0,47.28
1426.0,47.34
1428.0,47.42
1430.0,47.48
1432.0,47.56
1434.0,47.6
1436.0,47.65
1438.0,47.71
1440.0,47.76
1442.0,47.81
1444.0,47.89
1446.0,47.94
1448.0,48.01
1450.0,48.07
1452.0,48.11
1454.0,48.16
1456.0,48.21
1458.0,48.25
1460.0,48.29
1462.0,48.35
1464.0,48.4
1466.0,48.47
1468.0,48.56
1470.0,48.61
1472.0,48.66
1474.0,48.73
1476.0,48.75
1478.0,48.84
1480.0,48.91
1482.0,48.96
1484.0,49.0
1486.0,49.07
1488.0,49.1
1490.0,49.16
1492.0,49.21
1494.0,49.26
1496.0,49.34
1498.0,49.43
1500.0,49.53
1502.0,49.59
1504.0,49.65
1506.0,49.7
1508.0,49.79
1510.0,49.88
1512.0,49.96
1514.0,49.99
1516.0,50.015
1518.0,50.07
1520.0,50.15
1522.0,50.22
1524.0,50.28
1526.0,50.33
1528.0,50.35
1530.0,50.4
1532.0,50.46
1534.0,50.52
1536.0,50.57
1538.0,50.625
1540.0,50.69
1542.0,50.76
1544.0,50.85
1546.0,50.91
1548.0,50.91
1550.0,50.95
1552.0,51.0
1554.0,51.055
1556.0,51.14
1558.0,51.2
1560.0,51.235
1562.0,51.31
1564.0,51.37
1566.0,51.4
1568.0,51.43
1570.0,51.46
1572.0,51.5
1574.0,51.59
1576.0,51.66
1578.0,51.69
1580.0,51.74
1582.0,51.77
1584.0,51.77
1586.0,51.775
1588.0,51.82
1590.0,51.86
1592.0,51.92
1594.0,51.99
1596.0,52.01
1598.0,52.025
1600.0,52.07
1602.0,52.1
1604.0,52.13
1606.0,52.15
1608.0,52.2
1610.0,52.27
1612.0,52.33
1614.0,52.37
1616.0,52.33
1618.0,52.31
1620.0,52.315
1622.0,52.36
1624.0,52.36
1626.0,52.4
1628.0,52.4
1630.0,52.42
1632.0,52.46
1634.0,52.48
1636.0,52.51
1638.0,52.55
1640.0,52.54
1642.0,52.55
1644.0,52.52
1646.0,52.52
1648.0,52.56
1650.0,52.58
1652.0,52.59
1654.0,52.62
1656.0,52.65
1658.0,52.67
1660.0,52.67
1662.0,52.66
1664.0,52.65
1666.0,52.65
1668.0,52.66
1670.0,52.65
1672.0,52.63
1674.0,52.62
1676.0,52.62
1678.0,52.66
1680.0,52.69
1682.0,52.7
1684.0,52.7
1686.0,52.7
1688.0,52.73
