wavelength,reflectivity
1300.0,81.28
1302.0,81.38
1304.0,81.335
1306.0,81.23
1308.0,81.22
1310.0,81.1
1312.0,81.01
1314.0,80.83
1316.0,80.57
1318.0,80.41
1320.0,80.365
1322.0,80.295
1324.0,80.22
1326.0,80.06
1328.0,79.935
1330.0,79.78
1332.0,79.61
1334.0,79.53
1336.0,79.49
1338.0,79.44
1340.0,79.3
1342.0,79.145
1344.0,79.04
1346.0,79.01
1348.0,78.895
1350.0,78.74
1352.0,78.6
1354.0,78.46
1356.0,78.39
1358.0,78.34
1360.0,78.26
1362.0,78.15
1364.0,78.03
1366.0,77.88
1368.0,77.76
1370.0,77.64
1372.0,77.47
1374.0,77.3
1376.0,77.06
1378.0,76.8
1380.0,76.53
1382.0,76.23
1384.0,75.9
1386.0,75.58
1388.0,75.195
1390.0,74.77
1392.0,74.33
1394.0,73.86
1396.0,73.36
1398.0,72.91
1400.0,72.44
1402.0,71.99
1404.0,71.56
1406.0,71.12
1408.0,70.72
1410.0,70.345
1412.0,69.985
1414.0,69.7
1416.0,69.45
1418.0,69.22
1420.0,69.05
1422.0,68.9
1424.0,68.76
1426.0,68.62
1428.0,68.47
1430.0,68.3
1432.0,68.21
1434.0,68.045
1436.0,67.93
1438.0,67.75
1440.0,67.61
1442.0,67.45
1444.0,67.28
1446.0,67.11
1448.0,66.97
1450.0,66.84
1452.0,66.75
1454.0,66.62
1456.0,66.49
1458.0,66.34
1460.0,66.19
1462.0,66.035
1464.0,65.91
1466.0,65.8
1468.0,65.7
1470.0,65.58
1472.0,65.44
1474.0,65.315
1476.0,65.245
1478.0,65.17
1480.0,65.065
1482.0,64.97
1484.0,64.86
1486.0,64.73
1488.0,64.63
1490.0,64.51
1492.0,64.39
1494.0,64.29
1496.0,64.18
1498.0,64.08
1500.0,63.99
1502.0,63.89
1504.0,63.81
1506.0,63.735
1508.0,63.64
1510.0,63.51
1512.0,63.41
1514.0,63.34
1516.0,63.28
1518.0,63.23
1520.0,63.17
1522.0,63.1
1524.0,63.06
1526.0,62.98
1528.0,62.9
1530.0,62.84
1532.0,62.81
1534.0,62.8
1536.0,62.78
1538.0,62.75
1540.0,62.72
1542.0,62.72
1544.0,62.695
1546.0,62.69
1548.0,62.72
1550.0,62.765
1552.0,62.82
1554.0,62.86
1556.0,62.87
1558.0,62.92
1560.0,62.97
1562.0,63.03
1564.0,63.07
1566.0,63.09
1568.0,63.1
1570.0,63.125
1572.0,63.17
1574.0,63.19
1576.0,63.21
1578.0,63.21
1580.0,63.22
1582.0,63.25
1584.0,63.25
1586.0,63.22
1588.0,63.23
1590.0,63.26
1592.0,63.29
1594.0,63.3
1596.0,63.28
1598.0,63.27
1600.0,63.27
1602.0,63.26
1604.0,63.24
1606.0,63.22
1608.0,63.19
1610.0,63.15
1612.0,63.125
1614.0,63.11
1616.0,63.11
1618.0,63.1
1620.0,63.07
1622.0,63.02
1624.0,62.98
1626.0,62.96
1628.0,62.94
1630.0,62.91
1632.0,62.87
1634.0,62.85
1636.0,62.84
1638.0,62.84
1640.0,62.83
1642.0,62.8
1644.0,62.8
1646.0,62.8
1648.0,62.8
1650.0,62.78
1652.0,62.78
1654.0,62.74
1656.0,62.695
1658.0,62.66
1660.0,62.62
1662.0,62.58
1664.0,62.56
1666.0,62.53
1668.0,62.51
1670.0,62.48
1672.0,62.43
1674.0,62.38
1676.0,62.335
1678.0,62.3
1680.0,62.26
1682.0,62.21
1684.0,62.18
1686.0,62.14
1688.0,62.08
1690.0,61.99
1692.0,61.94
1694.0,61.93
1696.0,61.92
1698.0,61.9
1700.0,61.87
1702.0,61.81
1704.0,61.75
1706.0,61.68
1708.0,61.63
1710.0,61.61
1712.0,61.58
1714.0,61.54
1716.0,61.51
1718.0,61.48
1720.0,61.45
1722.0,61.44
1724.0,61.4
1726.0,61.38
1728.0,61.365
1730.0,61.34
1732.0,61.35
1734.0,61.34
1736.0,61.31
1738.0,61.29
1740.0,61.29
1742.0,61.31
1744.0,61.3
1746.0,61.27
1748.0,61.27
1750.0,61.25
1752.0,61.23
1754.0,61.2
1756.0,61.15
1758.0,61.13
1760.0,61.09
1762.0,61.03
1764.0,60.98
1766.0,60.935
1768.0,60.88
1770.0,60.86
1772.0,60.82
1774.0,60.78
1776.0,60.73
1778.0,60.67
1780.0,60.63
1782.0,60.575
1784.0,60.52
1786.0,60.46
1788.0,60.42
1790.0,60.36
1792.0,60.3
1794.0,60.215
1796.0,60.14
1798.0,60.08
1800.0,59.965
1802.0,59.89
1804.0,59.81
1806.0,59.74
1808.0,59.65
1810.0,59.54
1812.0,59.44
1814.0,59.34
1816.0,59.245
1818.0,59.175
1820.0,59.11
1822.0,59.04
1824.0,58.95
1826.0,58.85
1828.0,58.75
1830.0,58.63
1832.0,58.55
1834.0,58.43
1836.0,58.3
1838.0,58.14
1840.0,57.99
1842.0,57.86
1844.0,57.71
1846.0,57.59
1848.0,57.47
1850.0,57.37
1852.0,57.32
1854.0,57.32
1856.0,57.39
1858.0,57.46
1860.0,57.51
1862.0,57.53
1864.0,57.56
1866.0,57.58
1868.0,57.52
1870.0,57.38
1872.0,57.14
1874.0,56.83
1876.0,56.43
1878.0,55.98
1880.0,55.52
1882.0,55.02
1884.0,54.505
1886.0,53.95
1888.0,53.355
1890.0,52.745
1892.0,52.08
1894.0,51.4
1896.0,50.71
1898.0,50.0
1900.0,49.3
1902.0,48.61
1904.0,47.99
1906.0,47.43
1908.0,46.93
1910.0,46.5
1912.0,46.1
1914.0,45.8
1916.0,45.48
1918.0,45.22
1920.0,45.01
1922.0,44.78
1924.0,44.54
1926.0,44.28
1928.0,44.11
1930.0,43.94
1932.0,43.75
1934.0,43.59
1936.0,43.45
1938.0,43.31
1940.0,43.13
1942.0,42.96
1944.0,42.83
1946.0,42.72
1948.0,42.6
1950.0,42.48
1952.0,42.35
1954.0,42.23
1956.0,42.12
1958.0,42.03
1960.0,41.89
1962.0,41.73
1964.0,41.58
1966.0,41.5
1968.0,41.46
1970.0,41.38
1972.0,41.27
1974.0,41.16
1976.0,41.13
1978.0,41.08
1980.0,41.06
1982.0,40.99
1984.0,40.93
1986.0,40.95
1988.0,40.97
1990.0,41.01
