wavelength,reflectivity
1300.0,76.59
1302.0,76.64
1304.0,76.775
1306.0,76.46
1308.0,76.53
1310.0,76.69
1312.0,76.75
1314.0,76.73
1316.0,76.68
1318.0,76.45
1320.0,76.34
1322.0,76.345
1324.0,76.34
1326.0,76.345
1328.0,76.36
1330.0,76.36
1332.0,76.32
1334.0,76.2
1336.0,76.1
1338.0,76.055
1340.0,76.01
1342.0,75.92
1344.0,75.82
1346.0,75.69
1348.0,75.62
1350.0,75.57
1352.0,75.56
1354.0,75.47
1356.0,75.44
1358.0,75.36
1360.0,75.3
1362.0,75.31
1364.0,75.32
1366.0,75.26
1368.0,75.18
1370.0,75.03
1372.0,74.83
1374.0,74.61
1376.0,74.24
1378.0,73.615
1380.0,72.81
1382.0,71.91
1384.0,71.16
1386.0,70.775
1388.0,70.76
1390.0,70.92
1392.0,71.135
1394.0,71.27
1396.0,71.23
1398.0,71.05
1400.0,70.77
1402.0,70.38
1404.0,69.98
1406.0,69.63
1408.0,69.29
1410.0,69.04
1412.0,68.85
1414.0,68.66
1416.0,68.49
1418.0,68.33
1420.0,68.155
1422.0,68.0
1424.0,67.865
1426.0,67.75
1428.0,67.66
1430.0,67.6
1432.0,67.55
1434.0,67.49
1436.0,67.45
1438.0,67.39
1440.0,67.36
1442.0,67.34
1444.0,67.35
1446.0,67.39
1448.0,67.47
1450.0,67.57
1452.0,67.65
1454.0,67.69
1456.0,67.73
1458.0,67.68
1460.0,67.63
1462.0,67.61
1464.0,67.53
1466.0,67.49
1468.0,67.45
1470.0,67.39
1472.0,67.365
1474.0,67.36
1476.0,67.32
1478.0,67.31
1480.0,67.34
1482.0,67.35
1484.0,67.36
1486.0,67.39
1488.0,67.435
1490.0,67.43
1492.0,67.46
1494.0,67.46
1496.0,67.46
1498.0,67.49
1500.0,67.5
1502.0,67.48
1504.0,67.48
1506.0,67.48
1508.0,67.48
1510.0,67.53
1512.0,67.55
1514.0,67.54
1516.0,67.58
1518.0,67.6
1520.0,67.6
1522.0,67.65
1524.0,67.68
1526.0,67.66
1528.0,67.67
1530.0,67.68
1532.0,67.69
1534.0,67.72
1536.0,67.76
1538.0,67.78
1540.0,67.81
1542.0,67.79
1544.0,67.77
1546.0,67.81
1548.0,67.84
1550.0,67.83
1552.0,67.88
1554.0,67.91
1556.0,67.95
1558.0,67.97
1560.0,67.99
1562.0,68.03
1564.0,68.11
1566.0,68.17
1568.0,68.18
1570.0,68.19
1572.0,68.17
1574.0,68.19
1576.0,68.25
1578.0,68.3
1580.0,68.35
1582.0,68.36
1584.0,68.38
1586.0,68.405
1588.0,68.43
1590.0,68.42
1592.0,68.42
1594.0,68.43
1596.0,68.45
1598.0,68.46
1600.0,68.49
1602.0,68.53
1604.0,68.51
1606.0,68.5
1608.0,68.46
1610.0,68.43
1612.0,68.42
1614.0,68.405
1616.0,68.405
1618.0,68.42
1620.0,68.42
1622.0,68.43
1624.0,68.39
1626.0,68.4
1628.0,68.38
1630.0,68.38
1632.0,68.39
1634.0,68.38
1636.0,68.335
1638.0,68.35
1640.0,68.335
1642.0,68.35
1644.0,68.36
1646.0,68.405
1648.0,68.39
1650.0,68.335
1652.0,68.32
1654.0,68.29
1656.0,68.31
1658.0,68.3
1660.0,68.225
1662.0,68.21
1664.0,68.21
1666.0,68.22
1668.0,68.21
1670.0,68.19
1672.0,68.15
1674.0,68.1
1676.0,68.11
1678.0,68.15
1680.0,68.15
1682.0,68.1
1684.0,68.03
1686.0,67.97
1688.0,68.01
1690.0,68.08
1692.0,68.08
1694.0,68.07
1696.0,68.045
1698.0,68.06
1700.0,68.08
1702.0,68.07
1704.0,68.03
1706.0,68.01
1708.0,68.0
1710.0,68.01
1712.0,67.975
1714.0,67.94
1716.0,67.9
1718.0,67.89
1720.0,67.89
1722.0,67.91
1724.0,67.9
1726.0,67.86
1728.0,67.88
1730.0,67.86
1732.0,67.84
1734.0,67.81
1736.0,67.795
1738.0,67.795
1740.0,67.84
1742.0,67.83
1744.0,67.83
1746.0,67.88
1748.0,67.9
1750.0,67.89
1752.0,67.85
1754.0,67.795
1756.0,67.79
1758.0,67.78
1760.0,67.77
1762.0,67.77
1764.0,67.78
1766.0,67.79
1768.0,67.78
1770.0,67.74
1772.0,67.71
1774.0,67.69
1776.0,67.67
1778.0,67.65
1780.0,67.61
1782.0,67.57
1784.0,67.53
1786.0,67.46
1788.0,67.43
1790.0,67.42
1792.0,67.435
1794.0,67.45
1796.0,67.45
1798.0,67.39
1800.0,67.34
1802.0,67.31
1804.0,67.24
1806.0,67.22
1808.0,67.185
1810.0,67.16
1812.0,67.13
1814.0,67.05
1816.0,67.0
1818.0,66.95
1820.0,66.89
1822.0,66.85
1824.0,66.78
1826.0,66.73
1828.0,66.69
1830.0,66.61
