wavelength,reflectivity
1300.0,17.12
1302.0,17.15
1304.0,17.35
1306.0,17.35
1308.0,17.44
1310.0,17.53
1312.0,17.52
1314.0,17.45
1316.0,17.5
1318.0,17.56
1320.0,17.53
1322.0,17.55
1324.0,17.61
1326.0,17.645
1328.0,17.76
1330.0,17.8
1332.0,17.77
1334.0,17.81
1336.0,17.87
1338.0,17.91
1340.0,17.9
1342.0,17.88
1344.0,17.91
1346.0,17.95
1348.0,17.98
1350.0,18.01
1352.0,18.05
1354.0,18.12
1356.0,18.19
1358.0,18.22
1360.0,18.25
1362.0,18.24
1364.0,18.265
1366.0,18.32
1368.0,18.34
1370.0,18.355
1372.0,18.38
1374.0,18.39
1376.0,18.38
1378.0,18.37
1380.0,18.35
1382.0,18.33
1384.0,18.3
1386.0,18.26
1388.0,18.24
1390.0,18.19
1392.0,18.13
1394.0,18.06
1396.0,17.94
1398.0,17.85
1400.0,17.75
1402.0,17.645
1404.0,17.51
1406.0,17.41
1408.0,17.31
1410.0,17.23
1412.0,17.205
1414.0,17.205
1416.0,17.23
1418.0,17.31
1420.0,17.38
1422.0,17.47
1424.0,17.56
1426.0,17.645
1428.0,17.72
1430.0,17.78
1432.0,17.86
1434.0,17.915
1436.0,17.99
1438.0,18.06
1440.0,18.11
1442.0,18.175
1444.0,18.23
1446.0,18.28
1448.0,18.33
1450.0,18.38
1452.0,18.42
1454.0,18.48
1456.0,18.55
1458.0,18.615
1460.0,18.69
1462.0,18.75
1464.0,18.79
1466.0,18.83
1468.0,18.85
1470.0,18.88
1472.0,18.96
1474.0,19.03
1476.0,19.11
1478.0,19.2
1480.0,19.29
1482.0,19.37
1484.0,19.45
1486.0,19.54
1488.0,19.63
1490.0,19.74
1492.0,19.84
1494.0,19.91
1496.0,20.02
1498.0,20.13
1500.0,20.24
1502.0,20.33
1504.0,20.41
1506.0,20.48
1508.0,20.57
1510.0,20.68
1512.0,20.77
1514.0,20.87
1516.0,20.95
1518.0,21.06
1520.0,21.16
1522.0,21.27
1524.0,21.35
1526.0,21.43
1528.0,21.49
1530.0,21.56
1532.0,21.65
1534.0,21.74
1536.0,21.85
1538.0,21.95
1540.0,22.03
1542.0,22.13
1544.0,22.23
1546.0,22.32
1548.0,22.43
1550.0,22.52
1552.0,22.61
1554.0,22.75
1556.0,22.86
1558.0,22.96
1560.0,23.07
1562.0,23.16
1564.0,23.28
1566.0,23.39
1568.0,23.48
1570.0,23.58
1572.0,23.68
1574.0,23.78
1576.0,23.89
1578.0,23.99
1580.0,24.1
1582.0,24.18
1584.0,24.26
1586.0,24.39
1588.0,24.5
1590.0,24.63
1592.0,24.74
1594.0,24.84
1596.0,24.94
1598.0,25.02
1600.0,25.12
1602.0,25.21
1604.0,25.33
1606.0,25.49
1608.0,25.59
1610.0,25.66
1612.0,25.74
1614.0,25.83
1616.0,25.95
1618.0,26.08
1620.0,26.18
1622.0,26.29
1624.0,26.39
1626.0,26.49
1628.0,26.58
1630.0,26.66
1632.0,26.74
1634.0,26.83
1636.0,26.94
1638.0,27.06
1640.0,27.16
1642.0,27.26
1644.0,27.36
1646.0,27.44
1648.0,27.51
1650.0,27.63
1652.0,27.72
1654.0,27.81
1656.0,27.915
1658.0,27.99
1660.0,28.07
1662.0,28.18
1664.0,28.29
1666.0,28.39
1668.0,28.46
1670.0,28.49
1672.0,28.56
1674.0,28.66
1676.0,28.78
1678.0,28.87
1680.0,28.96
1682.0,29.02
1684.0,29.06
1686.0,29.13
1688.0,29.21
1690.0,29.31
1692.0,29.38
1694.0,29.48
1696.0,29.57
1698.0,29.675
1700.0,29.76
1702.0,29.82
1704.0,29.91
1706.0,30.01
1708.0,30.105
1710.0,30.21
1712.0,30.27
1714.0,30.35
1716.0,30.375
1718.0,30.46
1720.0,30.54
1722.0,30.65
1724.0,30.78
1726.0,30.89
1728.0,30.97
1730.0,31.03
1732.0,31.07
1734.0,31.15
1736.0,31.25
1738.0,31.33
1740.0,31.4
1742.0,31.48
1744.0,31.57
1746.0,31.67
1748.0,31.75
1750.0,31.83
1752.0,31.89
1754.0,31.955
1756.0,32.02
1758.0,32.07
1760.0,32.12
1762.0,32.18
1764.0,32.24
1766.0,32.34
1768.0,32.4
1770.0,32.48
1772.0,32.55
1774.0,32.63
1776.0,32.71
1778.0,32.78
1780.0,32.83
1782.0,32.89
1784.0,32.97
1786.0,33.07
1788.0,33.14
1790.0,33.19
1792.0,33.25
1794.0,33.33
1796.0,33.43
1798.0,33.52
1800.0,33.59
1802.0,33.65
1804.0,33.74
1806.0,33.83
1808.0,33.91
1810.0,34.0
1812.0,34.05
1814.0,34.12
1816.0,34.165
1818.0,34.25
1820.0,34.3
1822.0,34.35
1824.0,34.39
1826.0,34.44
1828.0,34.505
1830.0,34.53
1832.0,34.54
1834.0,34.55
1836.0,34.55
1838.0,34.54
1840.0,34.55
1842.0,34.55
1844.0,34.53
1846.0,34.5
1848.0,34.44
1850.0,34.415
1852.0,34.37
1854.0,34.26
1856.0,34.11
1858.0,33.96
1860.0,33.79
1862.0,33.55
1864.0,33.19
1866.0,32.79
1868.0,32.33
1870.0,31.8
1872.0,31.165
1874.0,30.48
1876.0,29.78
1878.0,29.045
1880.0,28.32
1882.0,27.58
1884.0,26.83
1886.0,26.05
1888.0,25.24
1890.0,24.38
1892.0,23.54
1894.0,22.73
1896.0,21.98
1898.0,21.26
1900.0,20.59
1902.0,20.01
1904.0,19.55
1906.0,19.235
1908.0,19.01
1910.0,18.86
1912.0,18.77
1914.0,18.76
1916.0,18.78
1918.0,18.84
1920.0,18.92
1922.0,18.98
1924.0,19.055
1926.0,19.14
1928.0,19.25
1930.0,19.36
1932.0,19.495
1934.0,19.62
1936.0,19.75
1938.0,19.86
1940.0,19.96
