wavelength,reflectivity
1300.0,67.56
1302.0,67.23
1304.0,67.05
1306.0,67.005
1308.0,67.02
1310.0,67.0
1312.0,67.09
1314.0,66.77
1316.0,66.61
1318.0,66.57
1320.0,66.5
1322.0,66.53
1324.0,66.48
1326.0,66.465
1328.0,66.49
1330.0,66.39
1332.0,66.25
1334.0,66.18
1336.0,66.16
1338.0,66.16
1340.0,66.1
1342.0,66.02
1344.0,65.93
1346.0,65.85
1348.0,65.78
1350.0,65.7
1352.0,65.64
1354.0,65.6
1356.0,65.58
1358.0,65.495
1360.0,65.35
1362.0,65.18
1364.0,65.01
1366.0,64.85
1368.0,64.69
1370.0,64.455
1372.0,64.19
1374.0,63.9
1376.0,63.59
1378.0,63.21
1380.0,62.79
1382.0,62.26
1384.0,61.7
1386.0,61.04
1388.0,60.36
1390.0,59.6
1392.0,58.81
1394.0,58.025
1396.0,57.28
1398.0,56.54
1400.0,55.86
1402.0,55.25
1404.0,54.685
1406.0,54.22
1408.0,53.86
1410.0,53.65
1412.0,53.62
1414.0,53.73
1416.0,54.01
1418.0,54.4
1420.0,54.95
1422.0,55.545
1424.0,56.15
1426.0,56.71
1428.0,57.26
1430.0,57.74
1432.0,58.19
1434.0,58.59
1436.0,58.97
1438.0,59.35
1440.0,59.7
1442.0,59.98
1444.0,60.18
1446.0,60.34
1448.0,60.49
1450.0,60.62
1452.0,60.73
1454.0,60.84
1456.0,60.86
1458.0,60.86
1460.0,60.89
1462.0,60.88
1464.0,60.93
1466.0,60.96
1468.0,61.02
1470.0,61.14
1472.0,61.31
1474.0,61.48
1476.0,61.67
1478.0,61.85
1480.0,62.03
1482.0,62.2
1484.0,62.41
1486.0,62.6
1488.0,62.765
1490.0,62.92
1492.0,63.04
1494.0,63.18
1496.0,63.33
1498.0,63.45
1500.0,63.6
1502.0,63.71
1504.0,63.89
1506.0,64.01
1508.0,64.09
1510.0,64.19
1512.0,64.275
1514.0,64.39
1516.0,64.51
1518.0,64.61
1520.0,64.7
1522.0,64.79
1524.0,64.9
1526.0,64.97
1528.0,65.06
1530.0,65.14
1532.0,65.18
1534.0,65.245
1536.0,65.315
1538.0,65.38
1540.0,65.47
1542.0,65.54
1544.0,65.6
1546.0,65.675
1548.0,65.76
1550.0,65.83
1552.0,65.88
1554.0,65.91
1556.0,65.94
1558.0,66.0
1560.0,66.035
1562.0,66.09
1564.0,66.14
1566.0,66.16
1568.0,66.23
1570.0,66.3
1572.0,66.35
1574.0,66.395
1576.0,66.44
1578.0,66.465
1580.0,66.5
1582.0,66.51
1584.0,66.54
1586.0,66.575
1588.0,66.64
1590.0,66.72
1592.0,66.74
1594.0,66.77
1596.0,66.77
1598.0,66.77
1600.0,66.81
1602.0,66.87
1604.0,66.91
1606.0,66.92
1608.0,66.93
1610.0,66.93
1612.0,66.96
1614.0,66.97
1616.0,66.94
1618.0,66.96
1620.0,67.005
1622.0,67.05
1624.0,67.075
1626.0,67.07
1628.0,67.06
1630.0,67.07
1632.0,67.075
1634.0,67.11
1636.0,67.13
1638.0,67.15
1640.0,67.16
1642.0,67.15
1644.0,67.15
1646.0,67.13
1648.0,67.075
1650.0,67.05
1652.0,67.06
1654.0,67.1
1656.0,67.15
1658.0,67.17
1660.0,67.15
