wavelength,reflectivity
1300.0,74.08
1302.0,73.94
1304.0,74.28
1306.0,74.08
1308.0,73.99
1310.0,74.03
1312.0,74.0
1314.0,73.98
1316.0,73.76
1318.0,73.46
1320.0,73.11
1322.0,72.76
1324.0,72.645
1326.0,72.66
1328.0,72.44
1330.0,72.33
1332.0,72.12
1334.0,71.925
1336.0,71.84
1338.0,71.7
1340.0,71.495
1342.0,71.31
1344.0,71.09
1346.0,70.91
1348.0,70.79
1350.0,70.66
1352.0,70.52
1354.0,70.345
1356.0,70.13
1358.0,69.85
1360.0,69.59
1362.0,69.29
1364.0,69.0
1366.0,68.71
1368.0,68.33
1370.0,67.92
1372.0,67.46
1374.0,66.82
1376.0,66.15
1378.0,65.39
1380.0,64.52
1382.0,63.59
1384.0,62.58
1386.0,61.47
1388.0,60.28
1390.0,59.02
1392.0,57.75
1394.0,56.54
1396.0,55.42
1398.0,54.42
1400.0,53.5
1402.0,52.65
1404.0,51.87
1406.0,51.165
1408.0,50.56
1410.0,50.06
1412.0,49.74
1414.0,49.62
1416.0,49.73
1418.0,50.085
1420.0,50.66
1422.0,51.33
1424.0,52.11
1426.0,52.87
1428.0,53.56
1430.0,54.18
1432.0,54.73
1434.0,55.18
1436.0,55.63
1438.0,56.03
1440.0,56.35
1442.0,56.625
1444.0,56.85
1446.0,57.03
1448.0,57.22
1450.0,57.38
1452.0,57.5
1454.0,57.61
1456.0,57.68
1458.0,57.74
1460.0,57.82
1462.0,57.87
1464.0,57.86
1466.0,57.89
1468.0,57.91
1470.0,58.0
1472.0,58.16
1474.0,58.36
1476.0,58.62
1478.0,58.96
1480.0,59.31
1482.0,59.65
1484.0,60.0
1486.0,60.325
1488.0,60.64
1490.0,60.93
1492.0,61.2
1494.0,61.5
1496.0,61.79
1498.0,62.05
1500.0,62.32
1502.0,62.57
1504.0,62.82
1506.0,63.06
1508.0,63.27
1510.0,63.485
1512.0,63.7
1514.0,63.89
1516.0,64.06
1518.0,64.23
1520.0,64.44
1522.0,64.67
1524.0,64.87
1526.0,65.065
1528.0,65.245
1530.0,65.42
1532.0,65.59
1534.0,65.73
1536.0,65.87
1538.0,66.03
1540.0,66.18
1542.0,66.34
1544.0,66.465
1546.0,66.62
1548.0,66.79
1550.0,66.96
1552.0,67.12
1554.0,67.255
1556.0,67.4
1558.0,67.5
1560.0,67.58
1562.0,67.66
1564.0,67.73
1566.0,67.84
1568.0,67.99
1570.0,68.13
1572.0,68.25
1574.0,68.35
1576.0,68.405
1578.0,68.47
1580.0,68.54
1582.0,68.585
1584.0,68.68
1586.0,68.74
1588.0,68.835
1590.0,68.945
1592.0,69.04
1594.0,69.1
1596.0,69.16
1598.0,69.18
1600.0,69.23
1602.0,69.29
1604.0,69.34
1606.0,69.37
1608.0,69.42
1610.0,69.45
1612.0,69.52
1614.0,69.6
1616.0,69.64
1618.0,69.68
1620.0,69.69
1622.0,69.65
1624.0,69.67
1626.0,69.73
1628.0,69.8
1630.0,69.84
1632.0,69.85
1634.0,69.87
1636.0,69.86
1638.0,69.89
1640.0,69.89
1642.0,69.88
1644.0,69.89
1646.0,69.89
1648.0,69.87
1650.0,69.89
1652.0,69.89
1654.0,69.89
1656.0,69.89
1658.0,69.91
1660.0,69.93
1662.0,69.94
1664.0,69.91
1666.0,69.86
1668.0,69.79
1670.0,69.77
1672.0,69.77
1674.0,69.79
1676.0,69.76
1678.0,69.71
1680.0,69.69
1682.0,69.69
1684.0,69.72
1686.0,69.69
1688.0,69.62
1690.0,69.61
1692.0,69.61
1694.0,69.63
1696.0,69.65
1698.0,69.65
1700.0,69.66
1702.0,69.64
1704.0,69.59
1706.0,69.49
1708.0,69.43
1710.0,69.36
1712.0,69.31
1714.0,69.27
1716.0,69.21
1718.0,69.15
1720.0,69.09
1722.0,69.03
1724.0,69.0
1726.0,68.94
1728.0,68.86
1730.0,68.74
1732.0,68.62
1734.0,68.54
1736.0,68.51
1738.0,68.47
1740.0,68.39
1742.0,68.28
1744.0,68.12
1746.0,67.99
1748.0,67.91
1750.0,67.795
1752.0,67.7
1754.0,67.57
1756.0,67.42
1758.0,67.32
1760.0,67.23
1762.0,67.13
1764.0,66.99
1766.0,66.84
1768.0,66.72
1770.0,66.59
1772.0,66.46
1774.0,66.34
1776.0,66.215
1778.0,66.105
1780.0,66.035
1782.0,65.95
1784.0,65.87
1786.0,65.78
1788.0,65.66
1790.0,65.54
1792.0,65.44
1794.0,65.37
1796.0,65.315
1798.0,65.24
1800.0,65.2
1802.0,65.14
1804.0,65.1
1806.0,65.09
1808.0,65.05
1810.0,65.01
1812.0,64.94
1814.0,64.86
1816.0,64.815
1818.0,64.78
1820.0,64.705
1822.0,64.63
1824.0,64.55
1826.0,64.455
1828.0,64.37
1830.0,64.29
1832.0,64.14
1834.0,64.02
1836.0,63.87
1838.0,63.72
1840.0,63.53
1842.0,63.3
1844.0,63.1
1846.0,62.89
1848.0,62.65
1850.0,62.4
1852.0,62.08
1854.0,61.69
1856.0,61.2
1858.0,60.65
1860.0,60.1
1862.0,59.46
1864.0,58.75
1866.0,57.845
1868.0,56.81
1870.0,55.68
1872.0,54.45
1874.0,53.21
1876.0,51.87
1878.0,50.5
1880.0,49.04
1882.0,47.48
1884.0,45.84
1886.0,44.07
1888.0,42.25
1890.0,40.38
1892.0,38.54
1894.0,36.76
1896.0,35.08
1898.0,33.52
1900.0,32.24
1902.0,31.31
1904.0,30.7
1906.0,30.375
1908.0,30.34
1910.0,30.555
1912.0,30.96
1914.0,31.51
1916.0,32.11
1918.0,32.77
1920.0,33.45
1922.0,34.12
1924.0,34.74
1926.0,35.29
1928.0,35.78
1930.0,36.23
1932.0,36.67
1934.0,37.07
1936.0,37.45
1938.0,37.76
1940.0,38.07
1942.0,38.37
1944.0,38.64
1946.0,38.9
1948.0,39.08
1950.0,39.25
1952.0,39.46
1954.0,39.63
1956.0,39.82
1958.0,39.965
1960.0,40.13
1962.0,40.29
1964.0,40.43
1966.0,40.59
1968.0,40.77
1970.0,40.95
1972.0,41.15
1974.0,41.33
1976.0,41.58
1978.0,41.83
1980.0,42.09
1982.0,42.32
1984.0,42.55
1986.0,42.82
1988.0,43.1
1990.0,43.39
1992.0,43.68
1994.0,43.96
1996.0,44.27
1998.0,44.58
2000.0,44.91
2002.0,45.25
2004.0,45.6
2006.0,45.93
2008.0,46.31
2010.0,46.67
2012.0,46.98
2014.0,47.31
2016.0,47.6
2018.0,47.93
2020.0,48.26
2022.0,48.53
2024.0,48.82
2026.0,49.1
2028.0,49.37
2030.0,49.64
2032.0,49.85
2034.0,50.1
2036.0,50.37
2038.0,50.57
2040.0,50.79
2042.0,50.98
2044.0,51.165
2046.0,51.38
2048.0,51.55
2050.0,51.76
2052.0,51.92
2054.0,52.06
2056.0,52.18
2058.0,52.28
2060.0,52.41
2062.0,52.49
2064.0,52.6
2066.0,52.72
2068.0,52.8
2070.0,52.85
2072.0,52.87
2074.0,52.89
2076.0,52.94
2078.0,52.95
2080.0,53.02
2082.0,53.06
2084.0,53.14
2086.0,53.21
2088.0,53.25
2090.0,53.29
2092.0,53.32
2094.0,53.39
2096.0,53.43
2098.0,53.47
2100.0,53.52
2102.0,53.605
2104.0,53.71
2106.0,53.785
2108.0,53.88
2110.0,53.98
2112.0,54.075
2114.0,54.16
2116.0,54.24
2118.0,54.28
2120.0,54.325
2122.0,54.4
2124.0,54.47
2126.0,54.56
2128.0,54.575
2130.0,54.55
2132.0,54.52
2134.0,54.48
2136.0,54.5
2138.0,54.52
2140.0,54.505
2142.0,54.505
2144.0,54.44
2146.0,54.4
2148.0,54.38
2150.0,54.34
2152.0,54.36
2154.0,54.325
2156.0,54.31
2158.0,54.26
2160.0,54.21
2162.0,54.16
2164.0,54.1
2166.0,53.95
2168.0,53.77
2170.0,53.59
2172.0,53.41
2174.0,53.2
2176.0,52.9
2178.0,52.6
2180.0,52.26
2182.0,51.87
2184.0,51.41
2186.0,50.94
2188.0,50.46
2190.0,49.9
2192.0,49.29
2194.0,48.54
2196.0,47.72
2198.0,46.8
2200.0,45.83
2202.0,44.89
2204.0,43.96
2206.0,43.08
2208.0,42.3
2210.0,41.76
2212.0,41.52
2214.0,41.54
2216.0,41.9
2218.0,42.48
2220.0,43.24
2222.0,44.04
2224.0,44.84
2226.0,45.55
2228.0,46.2
2230.0,46.66
2232.0,47.07
2234.0,47.48
2236.0,47.88
2238.0,48.24
2240.0,48.45
2242.0,48.67
2244.0,48.88
2246.0,49.04
2248.0,49.21
2250.0,49.27
2252.0,49.35
2254.0,49.41
2256.0,49.53
2258.0,49.62
2260.0,49.59
2262.0,49.53
2264.0,49.46
2266.0,49.36
2268.0,49.26
2270.0,49.12
2272.0,48.96
2274.0,48.82
2276.0,48.68
2278.0,48.49
2280.0,48.3
2282.0,48.07
2284.0,47.88
2286.0,47.67
2288.0,47.42
2290.0,47.21
2292.0,47.05
2294.0,46.9
2296.0,46.69
2298.0,46.49
2300.0,46.25
2302.0,46.07
2304.0,45.91
2306.0,45.74
2308.0,45.65
2310.0,45.49
2312.0,45.39
2314.0,45.24
2316.0,45.15
2318.0,44.99
2320.0,44.79
2322.0,44.61
2324.0,44.44
2326.0,44.27
2328.0,44.07
2330.0,43.86
2332.0,43.61
2334.0,43.37
2336.0,43.14
2338.0,42.9
2340.0,42.61
2342.0,42.35
2344.0,42.13
2346.0,41.88
2348.0,41.65
2350.0,41.43
2352.0,41.18
2354.0,40.98
2356.0,40.79
2358.0,40.62
2360.0,40.37
2362.0,40.18
2364.0,39.99
2366.0,39.82
2368.0,39.67
2370.0,39.52
2372.0,39.35
2374.0,39.2
2376.0,38.995
2378.0,38.76
2380.0,38.475
2382.0,38.26
2384.0,38.07
2386.0,37.91
2388.0,37.72
2390.0,37.47
2392.0,37.23
2394.0,37.03
2396.0,36.75
2398.0,36.46
2400.0,36.22
2402.0,36.02
2404.0,35.85
2406.0,35.64
2408.0,35.37
2410.0,35.1
2412.0,34.85
2414.0,34.68
2416.0,34.46
2418.0,34.26
2420.0,34.06
2422.0,33.8
2424.0,33.52
2426.0,33.285
2428.0,33.18
2430.0,32.95
2432.0,32.655
2434.0,32.31
2436.0,32.06
2438.0,31.82
2440.0,31.56
2442.0,31.3
2444.0,31.06
2446.0,30.79
2448.0,30.5
2450.0,30.3
2452.0,30.15
2454.0,30.05
2456.0,29.85
2458.0,29.585
2460.0,29.37
2462.0,29.11
2464.0,28.91
2466.0,28.79
2468.0,28.68
2470.0,28.5
2472.0,28.24
2474.0,28.09
2476.0,27.93
2478.0,27.87
2480.0,27.73
2482.0,27.58
2484.0,27.36
2486.0,27.2
2488.0,26.98
2490.0,26.74
2492.0,26.57
2494.0,26.52
2496.0,26.36
2498.0,26.09
2500.0,25.91
