wavelength,reflectivity
1300.0,74.86
1302.0,74.8
1304.0,74.9
1306.0,74.95
1308.0,75.015
1310.0,74.99
1312.0,74.93
1314.0,74.96
1316.0,75.01
1318.0,75.1
1320.0,75.22
1322.0,75.32
1324.0,75.35
1326.0,75.31
1328.0,75.3
1330.0,75.3
1332.0,75.17
1334.0,75.21
1336.0,75.28
1338.0,75.29
1340.0,75.3
1342.0,75.25
1344.0,75.19
1346.0,75.28
1348.0,75.36
1350.0,75.32
1352.0,75.26
1354.0,75.25
1356.0,75.3
1358.0,75.36
1360.0,75.41
1362.0,75.36
1364.0,75.265
1366.0,75.18
1368.0,75.08
1370.0,75.03
1372.0,74.95
1374.0,74.8
1376.0,74.67
1378.0,74.53
1380.0,74.4
1382.0,74.22
1384.0,73.99
1386.0,73.65
1388.0,73.28
1390.0,72.7
1392.0,71.98
1394.0,71.08
1396.0,70.04
1398.0,68.9
1400.0,67.71
1402.0,66.56
1404.0,65.54
1406.0,64.67
1408.0,63.96
1410.0,63.43
1412.0,63.14
1414.0,63.125
1416.0,63.37
1418.0,63.845
1420.0,64.55
1422.0,65.37
1424.0,66.31
1426.0,67.23
1428.0,68.1
1430.0,68.93
1432.0,69.66
1434.0,70.31
1436.0,70.955
1438.0,71.52
1440.0,71.98
1442.0,72.42
1444.0,72.68
1446.0,72.87
1448.0,73.02
1450.0,73.13
1452.0,73.255
1454.0,73.42
1456.0,73.54
1458.0,73.63
1460.0,73.685
1462.0,73.75
1464.0,73.78
1466.0,73.81
1468.0,73.83
1470.0,73.865
1472.0,73.92
1474.0,74.01
1476.0,74.07
1478.0,74.07
1480.0,74.115
1482.0,74.225
1484.0,74.34
1486.0,74.5
1488.0,74.57
1490.0,74.6
1492.0,74.67
1494.0,74.77
1496.0,74.86
1498.0,74.91
1500.0,74.96
1502.0,74.96
1504.0,75.01
1506.0,75.07
1508.0,75.11
1510.0,75.22
1512.0,75.28
1514.0,75.3
1516.0,75.35
1518.0,75.4
1520.0,75.44
1522.0,75.48
1524.0,75.5
1526.0,75.55
1528.0,75.64
1530.0,75.67
1532.0,75.66
1534.0,75.66
1536.0,75.65
1538.0,75.69
1540.0,75.76
1542.0,75.72
1544.0,75.77
1546.0,75.8
1548.0,75.85
1550.0,75.93
1552.0,75.985
1554.0,76.01
1556.0,76.05
1558.0,76.07
1560.0,76.09
1562.0,76.12
1564.0,76.13
1566.0,76.16
1568.0,76.165
1570.0,76.19
1572.0,76.21
1574.0,76.26
1576.0,76.29
1578.0,76.29
1580.0,76.28
1582.0,76.25
1584.0,76.27
1586.0,76.31
1588.0,76.36
1590.0,76.415
1592.0,76.415
1594.0,76.415
1596.0,76.39
1598.0,76.38
1600.0,76.415
1602.0,76.44
1604.0,76.43
1606.0,76.41
1608.0,76.39
1610.0,76.41
1612.0,76.43
1614.0,76.44
1616.0,76.44
1618.0,76.44
1620.0,76.47
1622.0,76.49
1624.0,76.46
1626.0,76.47
1628.0,76.48
1630.0,76.5
1632.0,76.51
1634.0,76.5
1636.0,76.5
1638.0,76.5
1640.0,76.5
1642.0,76.49
1644.0,76.44
1646.0,76.415
1648.0,76.44
1650.0,76.5
1652.0,76.54
1654.0,76.52
1656.0,76.47
1658.0,76.41
1660.0,76.415
1662.0,76.46
1664.0,76.5
1666.0,76.5
1668.0,76.45
1670.0,76.41
1672.0,76.4
1674.0,76.39
1676.0,76.4
1678.0,76.37
1680.0,76.33
1682.0,76.28
1684.0,76.25
1686.0,76.25
1688.0,76.25
1690.0,76.22
1692.0,76.22
1694.0,76.21
1696.0,76.23
1698.0,76.23
1700.0,76.2
1702.0,76.16
1704.0,76.15
1706.0,76.14
1708.0,76.1
1710.0,76.08
1712.0,76.04
1714.0,76.055
1716.0,76.055
1718.0,76.055
1720.0,76.01
1722.0,75.98
1724.0,75.96
1726.0,75.92
1728.0,75.92
1730.0,75.89
1732.0,75.88
1734.0,75.9
1736.0,75.86
1738.0,75.805
1740.0,75.77
1742.0,75.73
1744.0,75.72
1746.0,75.67
1748.0,75.64
1750.0,75.625
1752.0,75.61
1754.0,75.56
1756.0,75.49
1758.0,75.41
1760.0,75.39
1762.0,75.41
1764.0,75.41
1766.0,75.375
1768.0,75.33
1770.0,75.28
1772.0,75.31
1774.0,75.31
1776.0,75.28
1778.0,75.23
1780.0,75.21
1782.0,75.22
1784.0,75.195
1786.0,75.18
1788.0,75.13
1790.0,75.13
1792.0,75.17
1794.0,75.13
1796.0,75.15
1798.0,75.12
1800.0,75.12
1802.0,75.13
1804.0,75.11
1806.0,75.1
1808.0,75.085
1810.0,75.08
1812.0,75.06
1814.0,75.11
1816.0,75.1
1818.0,75.085
1820.0,75.08
1822.0,75.08
1824.0,75.11
1826.0,75.1
1828.0,75.01
1830.0,74.94
1832.0,74.9
1834.0,74.87
1836.0,74.8
1838.0,74.71
1840.0,74.6
1842.0,74.53
1844.0,74.49
1846.0,74.45
1848.0,74.405
1850.0,74.37
1852.0,74.31
1854.0,74.25
1856.0,74.2
1858.0,74.16
1860.0,74.08
1862.0,74.0
1864.0,73.88
1866.0,73.71
1868.0,73.52
1870.0,73.32
1872.0,73.1
1874.0,72.77
1876.0,72.35
1878.0,71.92
1880.0,71.56
1882.0,71.28
1884.0,70.99
1886.0,70.67
1888.0,70.345
1890.0,69.915
1892.0,69.42
1894.0,68.94
1896.0,68.43
1898.0,67.91
1900.0,67.39
1902.0,66.8
1904.0,66.25
1906.0,65.74
1908.0,65.24
1910.0,64.83
1912.0,64.48
1914.0,64.18
1916.0,63.97
1918.0,63.79
1920.0,63.69
1922.0,63.61
1924.0,63.54
1926.0,63.485
1928.0,63.5
1930.0,63.58
1932.0,63.665
1934.0,63.735
1936.0,63.77
1938.0,63.845
1940.0,63.91
1942.0,64.02
1944.0,64.18
1946.0,64.31
1948.0,64.42
1950.0,64.48
1952.0,64.525
1954.0,64.65
1956.0,64.79
1958.0,64.93
1960.0,65.04
1962.0,65.16
1964.0,65.245
1966.0,65.35
1968.0,65.47
1970.0,65.605
1972.0,65.73
1974.0,65.81
1976.0,65.9
1978.0,66.02
1980.0,66.17
1982.0,66.28
1984.0,66.35
1986.0,66.44
1988.0,66.57
1990.0,66.72
1992.0,66.88
1994.0,67.0
1996.0,67.075
1998.0,67.25
2000.0,67.38
2002.0,67.52
2004.0,67.64
2006.0,67.73
2008.0,67.89
2010.0,68.01
2012.0,68.12
2014.0,68.24
2016.0,68.33
2018.0,68.46
2020.0,68.55
2022.0,68.69
2024.0,68.78
2026.0,68.85
2028.0,68.9
2030.0,68.91
2032.0,68.99
2034.0,69.07
2036.0,69.15
2038.0,69.22
2040.0,69.24
2042.0,69.26
2044.0,69.24
2046.0,69.28
2048.0,69.36
2050.0,69.39
2052.0,69.41
2054.0,69.375
2056.0,69.37
2058.0,69.37
2060.0,69.41
2062.0,69.49
2064.0,69.54
2066.0,69.58
2068.0,69.57
2070.0,69.6
2072.0,69.57
2074.0,69.52
2076.0,69.5
2078.0,69.51
2080.0,69.53
2082.0,69.47
2084.0,69.46
2086.0,69.44
2088.0,69.39
2090.0,69.27
2092.0,69.15
2094.0,69.03
2096.0,68.9
2098.0,68.78
2100.0,68.73
2102.0,68.67
2104.0,68.6
2106.0,68.45
2108.0,68.26
2110.0,68.08
2112.0,68.0
2114.0,67.97
2116.0,67.89
2118.0,67.79
2120.0,67.73
2122.0,67.7
2124.0,67.66
2126.0,67.6
2128.0,67.61
2130.0,67.61
2132.0,67.59
2134.0,67.54
2136.0,67.47
2138.0,67.365
2140.0,67.33
2142.0,67.29
2144.0,67.255
2146.0,67.14
2148.0,66.95
2150.0,66.825
2152.0,66.76
2154.0,66.75
2156.0,66.64
2158.0,66.42
2160.0,66.12
2162.0,65.81
2164.0,65.51
2166.0,65.23
2168.0,64.95
2170.0,64.57
2172.0,64.13
2174.0,63.61
2176.0,63.11
2178.0,62.51
2180.0,61.87
2182.0,61.18
2184.0,60.41
2186.0,59.52
2188.0,58.56
2190.0,57.59
2192.0,56.55
2194.0,55.46
2196.0,54.44
2198.0,53.55
2200.0,52.79
2202.0,52.05
2204.0,51.4
2206.0,50.89
2208.0,50.59
2210.0,50.445
2212.0,50.445
2214.0,50.52
2216.0,50.75
2218.0,51.16
2220.0,51.64
2222.0,52.13
2224.0,52.565
2226.0,53.06
2228.0,53.53
2230.0,53.93
2232.0,54.18
2234.0,54.36
2236.0,54.55
2238.0,54.79
2240.0,55.0
2242.0,55.21
2244.0,55.38
2246.0,55.63
2248.0,55.92
2250.0,56.28
2252.0,56.78
2254.0,57.15
2256.0,57.58
2258.0,57.93
2260.0,58.29
2262.0,58.67
2264.0,58.99
2266.0,59.27
2268.0,59.4
2270.0,59.56
2272.0,59.74
2274.0,59.84
2276.0,59.98
2278.0,60.02
2280.0,60.1
2282.0,60.21
2284.0,60.32
2286.0,60.325
2288.0,60.31
2290.0,60.325
2292.0,60.32
2294.0,60.24
2296.0,60.16
2298.0,60.02
2300.0,59.94
2302.0,59.785
2304.0,59.57
2306.0,59.27
2308.0,59.06
2310.0,58.86
2312.0,58.55
2314.0,58.18
2316.0,57.845
2318.0,57.5
2320.0,57.13
2322.0,56.72
2324.0,56.335
2326.0,55.88
2328.0,55.45
2330.0,55.06
2332.0,54.64
2334.0,54.27
2336.0,53.895
2338.0,53.535
2340.0,53.07
2342.0,52.69
2344.0,52.42
2346.0,52.22
2348.0,52.025
2350.0,51.87
2352.0,51.845
2354.0,51.82
2356.0,51.89
2358.0,51.9
2360.0,51.98
2362.0,51.94
2364.0,51.88
2366.0,51.86
2368.0,51.9
2370.0,51.8
2372.0,51.69
2374.0,51.56
2376.0,51.54
2378.0,51.47
2380.0,51.45
2382.0,51.46
2384.0,51.415
2386.0,51.345
2388.0,51.36
2390.0,51.39
2392.0,51.44
2394.0,51.48
2396.0,51.49
2398.0,51.5
2400.0,51.46
2402.0,51.4
2404.0,51.32
2406.0,51.33
2408.0,51.25
2410.0,51.13
2412.0,50.97
2414.0,50.86
2416.0,50.71
2418.0,50.52
2420.0,50.3
2422.0,50.01
2424.0,49.78
2426.0,49.62
2428.0,49.44
2430.0,49.22
2432.0,49.01
2434.0,48.89
2436.0,48.68
2438.0,48.44
2440.0,48.29
2442.0,48.24
2444.0,48.13
2446.0,48.02
2448.0,47.94
2450.0,47.92
2452.0,47.92
2454.0,47.95
2456.0,47.94
2458.0,47.91
2460.0,47.96
2462.0,48.0
2464.0,47.97
2466.0,47.98
2468.0,48.11
2470.0,48.27
2472.0,48.36
2474.0,48.29
2476.0,48.27
2478.0,48.25
2480.0,48.38
2482.0,48.43
2484.0,48.45
2486.0,48.4
2488.0,48.36
2490.0,48.37
2492.0,48.38
2494.0,48.32
2496.0,48.17
2498.0,48.15
2500.0,48.27
