wavelength,reflectivity
1300.0,70.21
1302.0,69.98
1304.0,70.0
1306.0,69.86
1308.0,69.73
1310.0,69.82
1312.0,70.06
1314.0,70.19
1316.0,70.22
1318.0,70.28
1320.0,70.3
1322.0,70.42
1324.0,70.61
1326.0,70.77
1328.0,70.91
1330.0,70.97
1332.0,71.04
1334.0,71.135
1336.0,71.25
1338.0,71.3
1340.0,71.37
1342.0,71.41
1344.0,71.46
1346.0,71.54
1348.0,71.64
1350.0,71.675
1352.0,71.8
1354.0,71.91
1356.0,71.96
1358.0,72.01
1360.0,72.06
1362.0,72.16
1364.0,72.3
1366.0,72.42
1368.0,72.5
1370.0,72.59
1372.0,72.67
1374.0,72.73
1376.0,72.77
1378.0,72.825
1380.0,72.94
1382.0,73.075
1384.0,73.19
1386.0,73.255
1388.0,73.28
1390.0,73.325
1392.0,73.4
1394.0,73.48
1396.0,73.56
1398.0,73.61
1400.0,73.64
1402.0,73.67
1404.0,73.73
1406.0,73.8
1408.0,73.85
1410.0,73.91
1412.0,73.97
1414.0,73.99
1416.0,74.045
1418.0,74.09
1420.0,74.14
1422.0,74.19
1424.0,74.22
1426.0,74.26
1428.0,74.295
1430.0,74.32
1432.0,74.34
1434.0,74.37
1436.0,74.37
1438.0,74.38
1440.0,74.4
1442.0,74.34
1444.0,74.31
1446.0,74.31
1448.0,74.25
1450.0,74.21
1452.0,74.115
1454.0,73.97
1456.0,73.84
1458.0,73.685
1460.0,73.47
1462.0,73.17
1464.0,72.79
1466.0,72.38
1468.0,71.97
1470.0,71.55
1472.0,71.09
1474.0,70.58
1476.0,70.095
1478.0,69.66
1480.0,69.35
1482.0,69.21
1484.0,69.26
1486.0,69.54
1488.0,70.04
1490.0,70.65
1492.0,71.35
1494.0,72.03
1496.0,72.59
1498.0,72.98
1500.0,73.23
1502.0,73.37
1504.0,73.49
1506.0,73.615
1508.0,73.71
1510.0,73.81
1512.0,73.86
1514.0,73.865
1516.0,73.88
1518.0,73.86
1520.0,73.82
1522.0,73.76
1524.0,73.7
1526.0,73.66
1528.0,73.66
1530.0,73.65
1532.0,73.65
1534.0,73.65
1536.0,73.63
1538.0,73.64
1540.0,73.66
1542.0,73.68
1544.0,73.75
1546.0,73.78
1548.0,73.82
1550.0,73.88
1552.0,73.98
1554.0,74.02
1556.0,74.07
1558.0,74.13
1560.0,74.24
1562.0,74.37
1564.0,74.51
1566.0,74.65
1568.0,74.76
1570.0,74.86
1572.0,74.93
1574.0,74.99
1576.0,75.085
1578.0,75.22
1580.0,75.33
1582.0,75.47
1584.0,75.6
1586.0,75.68
