wavelength,reflectivity
1300.0,70.93
1302.0,71.09
1304.0,71.135
1306.0,70.97
1308.0,70.7
1310.0,70.4
1312.0,70.14
1314.0,69.89
1316.0,69.52
1318.0,69.07
1320.0,68.65
1322.0,68.11
1324.0,67.54
1326.0,67.06
1328.0,66.36
1330.0,65.57
1332.0,65.05
1334.0,64.67
1336.0,64.45
1338.0,64.45
1340.0,64.41
1342.0,64.44
1344.0,64.42
1346.0,64.26
1348.0,64.095
1350.0,63.99
1352.0,63.91
1354.0,63.96
1356.0,64.04
1358.0,64.18
1360.0,64.38
1362.0,64.58
1364.0,64.74
1366.0,64.815
1368.0,64.81
1370.0,64.75
1372.0,64.62
1374.0,64.44
1376.0,64.22
1378.0,63.99
1380.0,63.75
1382.0,63.54
1384.0,63.29
1386.0,62.99
1388.0,62.62
1390.0,62.19
1392.0,61.71
1394.0,61.15
1396.0,60.53
1398.0,59.855
1400.0,59.14
1402.0,58.36
1404.0,57.54
1406.0,56.67
1408.0,55.78
1410.0,54.865
1412.0,53.95
1414.0,53.06
1416.0,52.19
1418.0,51.32
1420.0,50.51
1422.0,49.73
1424.0,49.02
1426.0,48.41
1428.0,47.89
1430.0,47.44
1432.0,47.08
1434.0,46.75
1436.0,46.45
1438.0,46.2
1440.0,46.03
1442.0,45.88
1444.0,45.68
1446.0,45.34
1448.0,44.83
1450.0,44.13
1452.0,43.27
1454.0,42.3
1456.0,41.34
1458.0,40.51
1460.0,40.0
1462.0,39.92
1464.0,40.31
1466.0,41.18
1468.0,42.41
1470.0,43.8
1472.0,45.21
1474.0,46.47
1476.0,47.5
1478.0,48.24
1480.0,48.76
1482.0,49.03
1484.0,49.05
1486.0,48.8
1488.0,48.36
1490.0,47.83
1492.0,47.44
1494.0,47.37
1496.0,47.7
1498.0,48.39
1500.0,49.3
1502.0,50.28
1504.0,51.21
1506.0,51.98
1508.0,52.59
1510.0,53.105
1512.0,53.48
1514.0,53.785
1516.0,54.09
1518.0,54.31
1520.0,54.505
1522.0,54.68
1524.0,54.83
1526.0,54.935
1528.0,55.03
1530.0,55.1
1532.0,55.14
1534.0,55.15
1536.0,55.115
1538.0,55.08
1540.0,55.03
1542.0,54.97
1544.0,54.865
1546.0,54.74
1548.0,54.57
1550.0,54.41
1552.0,54.22
1554.0,54.04
1556.0,53.895
1558.0,53.785
1560.0,53.73
1562.0,53.715
1564.0,53.76
1566.0,53.84
1568.0,53.93
1570.0,54.03
1572.0,54.07
1574.0,54.11
1576.0,54.12
1578.0,54.17
1580.0,54.22
1582.0,54.22
1584.0,54.2
1586.0,54.17
1588.0,54.13
1590.0,54.09
1592.0,54.05
1594.0,53.99
1596.0,53.95
1598.0,53.94
1600.0,53.96
1602.0,53.99
1604.0,54.06
1606.0,54.12
1608.0,54.17
1610.0,54.28
1612.0,54.41
1614.0,54.52
1616.0,54.62
1618.0,54.7
1620.0,54.79
1622.0,54.9
1624.0,55.02
1626.0,55.13
1628.0,55.24
1630.0,55.365
1632.0,55.52
1634.0,55.68
1636.0,55.81
1638.0,55.92
1640.0,56.05
1642.0,56.23
1644.0,56.37
1646.0,56.5
1648.0,56.61
1650.0,56.72
1652.0,56.89
1654.0,57.09
1656.0,57.26
1658.0,57.43
1660.0,57.57
1662.0,57.7
1664.0,57.81
1666.0,57.92
1668.0,58.01
1670.0,58.11
1672.0,58.24
1674.0,58.385
1676.0,58.53
1678.0,58.65
1680.0,58.75
1682.0,58.86
1684.0,58.98
1686.0,59.1
1688.0,59.19
1690.0,59.28
1692.0,59.38
1694.0,59.49
1696.0,59.58
1698.0,59.66
1700.0,59.74
1702.0,59.8
1704.0,59.84
1706.0,59.89
1708.0,59.9
1710.0,59.92
1712.0,59.965
1714.0,60.03
1716.0,60.09
1718.0,60.13
1720.0,60.17
1722.0,60.25
1724.0,60.325
1726.0,60.35
1728.0,60.325
1730.0,60.25
1732.0,60.16
1734.0,60.08
1736.0,59.94
1738.0,59.785
1740.0,59.62
1742.0,59.5
1744.0,59.5
1746.0,59.57
1748.0,59.63
1750.0,59.7
1752.0,59.74
1754.0,59.72
1756.0,59.64
1758.0,59.41
1760.0,59.05
1762.0,58.59
1764.0,57.99
1766.0,57.34
1768.0,56.77
1770.0,56.335
1772.0,56.14
1774.0,56.22
1776.0,56.5
1778.0,56.9
1780.0,57.29
1782.0,57.64
1784.0,57.93
1786.0,58.17
1788.0,58.31
1790.0,58.37
1792.0,58.37
1794.0,58.32
1796.0,58.22
1798.0,58.07
1800.0,57.82
1802.0,57.53
1804.0,57.19
1806.0,56.8
1808.0,56.4
1810.0,56.0
1812.0,55.63
1814.0,55.32
1816.0,55.14
1818.0,55.11
1820.0,55.23
1822.0,55.44
1824.0,55.725
1826.0,56.06
1828.0,56.42
1830.0,56.75
1832.0,57.02
1834.0,57.25
1836.0,57.4
1838.0,57.485
1840.0,57.51
1842.0,57.46
1844.0,57.34
1846.0,57.17
1848.0,57.0
1850.0,56.77
1852.0,56.53
1854.0,56.28
1856.0,55.95
1858.0,55.56
1860.0,55.11
1862.0,54.6
1864.0,54.07
1866.0,53.43
1868.0,52.64
1870.0,51.76
1872.0,50.79
1874.0,49.73
1876.0,48.53
1878.0,47.12
1880.0,45.56
1882.0,43.82
1884.0,41.92
1886.0,39.96
1888.0,38.01
1890.0,36.175
1892.0,34.57
1894.0,33.14
1896.0,31.89
1898.0,30.78
1900.0,29.77
1902.0,28.88
1904.0,28.03
1906.0,27.17
1908.0,26.34
1910.0,25.525
1912.0,24.72
1914.0,23.95
1916.0,23.18
1918.0,22.41
1920.0,21.62
1922.0,20.81
1924.0,19.99
1926.0,19.14
1928.0,18.25
1930.0,17.26
1932.0,16.22
1934.0,15.12
1936.0,14.03
1938.0,12.98
1940.0,12.0
1942.0,11.2
1944.0,10.66
1946.0,10.46
1948.0,10.69
1950.0,11.42
1952.0,12.59
1954.0,14.18
1956.0,15.99
1958.0,17.86
1960.0,19.64
1962.0,21.22
1964.0,22.55
1966.0,23.59
1968.0,24.36
1970.0,24.92
1972.0,25.33
1974.0,25.59
1976.0,25.75
1978.0,25.86
1980.0,25.9
1982.0,25.86
1984.0,25.7
1986.0,25.47
1988.0,25.22
1990.0,24.88
1992.0,24.52
1994.0,24.13
1996.0,23.71
1998.0,23.31
2000.0,22.92
2002.0,22.59
2004.0,22.33
2006.0,22.15
2008.0,22.03
2010.0,21.95
2012.0,21.94
2014.0,22.05
2016.0,22.23
2018.0,22.48
2020.0,22.77
2022.0,23.13
2024.0,23.63
2026.0,24.22
2028.0,24.88
2030.0,25.6
2032.0,26.36
2034.0,27.16
2036.0,27.97
2038.0,28.72
2040.0,29.4
2042.0,30.0
2044.0,30.53
2046.0,30.98
2048.0,31.37
2050.0,31.67
2052.0,31.89
2054.0,32.04
2056.0,32.16
2058.0,32.24
2060.0,32.25
2062.0,32.22
2064.0,32.13
2066.0,32.02
2068.0,31.865
2070.0,31.69
2072.0,31.48
2074.0,31.28
2076.0,31.11
2078.0,31.0
2080.0,30.985
2082.0,31.02
2084.0,31.14
2086.0,31.3
2088.0,31.56
2090.0,31.92
2092.0,32.37
2094.0,32.87
2096.0,33.42
2098.0,34.0
2100.0,34.59
2102.0,35.19
2104.0,35.74
2106.0,36.22
2108.0,36.69
2110.0,37.11
2112.0,37.49
2114.0,37.82
2116.0,38.09
2118.0,38.36
2120.0,38.62
2122.0,38.87
2124.0,39.11
2126.0,39.3
2128.0,39.43
2130.0,39.55
2132.0,39.66
2134.0,39.81
2136.0,39.83
2138.0,39.83
2140.0,39.8
2142.0,39.76
2144.0,39.71
2146.0,39.61
2148.0,39.51
2150.0,39.38
2152.0,39.24
2154.0,39.08
2156.0,38.92
2158.0,38.78
2160.0,38.63
2162.0,38.5
2164.0,38.4
2166.0,38.33
2168.0,38.31
2170.0,38.26
2172.0,38.24
2174.0,38.24
2176.0,38.23
2178.0,38.14
2180.0,37.95
2182.0,37.74
2184.0,37.47
2186.0,37.145
2188.0,36.7
2190.0,36.26
2192.0,35.78
2194.0,35.28
2196.0,34.79
2198.0,34.43
2200.0,34.21
2202.0,34.14
2204.0,34.23
2206.0,34.46
2208.0,34.89
2210.0,35.45
2212.0,36.17
2214.0,36.93
2216.0,37.66
2218.0,38.34
2220.0,38.995
2222.0,39.68
2224.0,40.26
2226.0,40.79
2228.0,41.3
2230.0,41.79
2232.0,42.21
2234.0,42.53
2236.0,42.83
2238.0,43.09
2240.0,43.3
2242.0,43.52
2244.0,43.71
2246.0,43.87
2248.0,44.0
2250.0,44.09
2252.0,44.17
2254.0,44.13
2256.0,43.99
2258.0,43.81
2260.0,43.73
2262.0,43.62
2264.0,43.41
2266.0,43.14
2268.0,42.92
2270.0,42.83
2272.0,42.79
2274.0,42.78
2276.0,42.82
2278.0,42.9
2280.0,43.09
2282.0,43.34
2284.0,43.61
2286.0,43.85
2288.0,44.11
2290.0,44.27
2292.0,44.37
2294.0,44.42
2296.0,44.5
2298.0,44.5
2300.0,44.44
2302.0,44.33
2304.0,44.2
2306.0,44.03
2308.0,43.81
2310.0,43.56
2312.0,43.29
2314.0,43.02
2316.0,42.72
2318.0,42.41
2320.0,42.08
2322.0,41.8
2324.0,41.52
2326.0,41.26
2328.0,41.01
2330.0,40.73
2332.0,40.37
2334.0,40.02
2336.0,39.66
2338.0,39.35
2340.0,39.05
2342.0,38.75
2344.0,38.36
2346.0,38.06
2348.0,37.83
2350.0,37.64
2352.0,37.415
2354.0,37.18
2356.0,36.97
2358.0,36.73
2360.0,36.5
2362.0,36.22
2364.0,35.91
2366.0,35.59
2368.0,35.24
2370.0,34.82
2372.0,34.43
2374.0,34.1
2376.0,33.79
2378.0,33.45
2380.0,33.1
2382.0,32.87
2384.0,32.64
2386.0,32.36
2388.0,32.16
2390.0,31.99
2392.0,31.775
2394.0,31.53
2396.0,31.22
2398.0,30.79
2400.0,30.24
2402.0,29.67
2404.0,28.98
2406.0,28.12
2408.0,27.14
2410.0,26.2
2412.0,25.21
2414.0,24.23
2416.0,23.25
2418.0,22.29
2420.0,21.33
2422.0,20.4
2424.0,19.54
2426.0,18.795
2428.0,18.23
2430.0,17.94
2432.0,17.85
2434.0,17.915
2436.0,18.12
2438.0,18.51
2440.0,19.07
2442.0,19.61
2444.0,20.08
2446.0,20.42
2448.0,20.72
2450.0,20.95
2452.0,21.01
2454.0,20.95
2456.0,20.8
2458.0,20.67
2460.0,20.61
2462.0,20.64
2464.0,20.79
2466.0,21.1
2468.0,21.61
2470.0,22.22
2472.0,22.83
2474.0,23.48
2476.0,24.22
2478.0,24.87
2480.0,25.48
2482.0,26.11
2484.0,26.64
2486.0,27.12
2488.0,27.54
2490.0,27.86
2492.0,28.1
2494.0,28.32
2496.0,28.48
2498.0,28.5
2500.0,28.45
