wavelength,reflectivity
1300.0,46.16
1302.0,46.19
1304.0,46.26
1306.0,46.3
1308.0,46.25
1310.0,46.14
1312.0,46.02
1314.0,45.93
1316.0,45.99
1318.0,46.01
1320.0,45.98
1322.0,45.88
1324.0,45.76
1326.0,45.71
1328.0,45.74
1330.0,45.76
1332.0,45.8
1334.0,45.85
1336.0,45.88
1338.0,45.84
1340.0,45.75
1342.0,45.69
1344.0,45.67
1346.0,45.64
1348.0,45.63
1350.0,45.58
1352.0,45.53
1354.0,45.48
1356.0,45.43
1358.0,45.33
1360.0,45.23
1362.0,45.17
1364.0,45.13
1366.0,45.09
1368.0,45.04
1370.0,44.96
1372.0,44.85
1374.0,44.75
1376.0,44.6
1378.0,44.48
1380.0,44.3
1382.0,44.19
1384.0,43.88
1386.0,43.59
1388.0,43.03
1390.0,42.57
1392.0,41.75
1394.0,41.08
1396.0,40.19
1398.0,39.535
1400.0,38.78
1402.0,38.28
1404.0,37.71
1406.0,37.34
1408.0,37.04
1410.0,36.97
1412.0,37.12
1414.0,37.56
1416.0,38.23
1418.0,39.11
1420.0,40.03
1422.0,40.99
1424.0,41.76
1426.0,42.49
1428.0,42.92
1430.0,43.32
1432.0,43.48
1434.0,43.69
1436.0,43.78
1438.0,43.88
1440.0,43.91
1442.0,43.94
1444.0,43.92
1446.0,43.93
1448.0,43.95
1450.0,43.96
1452.0,43.96
1454.0,43.97
1456.0,43.99
1458.0,44.04
1460.0,44.05
1462.0,44.01
1464.0,43.96
1466.0,43.91
1468.0,43.89
1470.0,43.91
1472.0,43.92
1474.0,43.91
1476.0,43.89
1478.0,43.88
1480.0,43.87
1482.0,43.87
1484.0,43.88
1486.0,43.89
1488.0,43.87
1490.0,43.85
1492.0,43.81
1494.0,43.78
1496.0,43.76
1498.0,43.75
1500.0,43.76
1502.0,43.73
1504.0,43.67
1506.0,43.59
1508.0,43.5
1510.0,43.44
1512.0,43.41
1514.0,43.37
1516.0,43.34
1518.0,43.31
1520.0,43.28
1522.0,43.24
1524.0,43.19
1526.0,43.14
1528.0,43.06
1530.0,42.96
1532.0,42.84
1534.0,42.75
1536.0,42.66
1538.0,42.65
1540.0,42.59
1542.0,42.53
1544.0,42.49
1546.0,42.46
1548.0,42.42
1550.0,42.42
1552.0,42.37
1554.0,42.33
1556.0,42.3
1558.0,42.3
1560.0,42.32
1562.0,42.37
1564.0,42.42
1566.0,42.46
1568.0,42.5
1570.0,42.52
1572.0,42.52
1574.0,42.57
1576.0,42.63
1578.0,42.7
1580.0,42.73
1582.0,42.74
1584.0,42.76
1586.0,42.79
1588.0,42.83
1590.0,42.88
1592.0,42.92
1594.0,42.95
1596.0,42.97
1598.0,42.98
1600.0,43.02
1602.0,43.05
1604.0,43.05
1606.0,43.02
1608.0,43.01
1610.0,43.02
1612.0,43.02
1614.0,43.01
1616.0,42.98
1618.0,42.96
1620.0,42.95
1622.0,42.95
1624.0,42.95
1626.0,42.95
1628.0,42.96
1630.0,42.98
1632.0,43.0
1634.0,43.01
1636.0,43.0
1638.0,42.96
1640.0,42.94
1642.0,42.95
1644.0,42.98
1646.0,43.0
1648.0,42.98
1650.0,42.97
1652.0,43.0
1654.0,43.04
1656.0,43.06
1658.0,43.07
1660.0,43.07
1662.0,43.08
1664.0,43.11
1666.0,43.13
1668.0,43.18
1670.0,43.2
1672.0,43.19
1674.0,43.19
1676.0,43.17
1678.0,43.17
1680.0,43.17
1682.0,43.17
1684.0,43.16
1686.0,43.18
1688.0,43.17
1690.0,43.14
1692.0,43.12
1694.0,43.11
1696.0,43.12
1698.0,43.14
1700.0,43.14
1702.0,43.14
1704.0,43.15
1706.0,43.15
1708.0,43.13
1710.0,43.07
1712.0,43.02
1714.0,43.01
1716.0,43.05
1718.0,43.06
1720.0,43.07
1722.0,43.08
1724.0,43.07
1726.0,43.07
1728.0,43.06
1730.0,43.06
1732.0,43.04
1734.0,43.01
1736.0,42.99
1738.0,42.99
1740.0,43.02
1742.0,43.04
1744.0,43.02
1746.0,42.97
1748.0,42.9
1750.0,42.85
1752.0,42.84
1754.0,42.85
1756.0,42.87
1758.0,42.86
1760.0,42.82
1762.0,42.79
1764.0,42.78
1766.0,42.81
1768.0,42.8
1770.0,42.76
1772.0,42.74
1774.0,42.75
1776.0,42.76
1778.0,42.74
1780.0,42.7
1782.0,42.65
1784.0,42.66
1786.0,42.67
1788.0,42.69
1790.0,42.67
1792.0,42.64
1794.0,42.64
1796.0,42.62
1798.0,42.59
1800.0,42.55
1802.0,42.52
1804.0,42.53
1806.0,42.57
1808.0,42.59
1810.0,42.59
1812.0,42.57
1814.0,42.54
1816.0,42.53
1818.0,42.51
