wavelength,reflectivity
1300.0,53.88
1302.0,53.63
1304.0,53.45
1306.0,53.24
1308.0,53.38
1310.0,53.49
1312.0,53.34
1314.0,53.105
1316.0,52.77
1318.0,52.69
1320.0,52.72
1322.0,52.815
1324.0,52.815
1326.0,52.8
1328.0,52.71
1330.0,52.67
1332.0,52.6
1334.0,52.59
1336.0,52.6
1338.0,52.58
1340.0,52.54
1342.0,52.46
1344.0,52.36
1346.0,52.27
1348.0,52.23
1350.0,52.2
1352.0,52.19
1354.0,52.2
1356.0,52.16
1358.0,52.11
1360.0,52.025
1362.0,51.95
1364.0,51.88
1366.0,51.81
1368.0,51.74
1370.0,51.67
1372.0,51.54
1374.0,51.4
1376.0,51.23
1378.0,51.02
1380.0,50.79
1382.0,50.49
1384.0,50.16
1386.0,49.76
1388.0,49.33
1390.0,48.85
1392.0,48.34
1394.0,47.78
1396.0,47.19
1398.0,46.58
1400.0,46.0
1402.0,45.45
1404.0,44.94
1406.0,44.49
1408.0,44.12
1410.0,43.82
1412.0,43.57
1414.0,43.35
1416.0,43.18
1418.0,43.07
1420.0,43.0
1422.0,42.92
1424.0,42.82
1426.0,42.69
1428.0,42.53
1430.0,42.37
1432.0,42.25
1434.0,42.17
1436.0,42.22
1438.0,42.37
1440.0,42.63
1442.0,42.98
1444.0,43.39
1446.0,43.83
1448.0,44.29
1450.0,44.73
1452.0,45.14
1454.0,45.49
1456.0,45.74
1458.0,45.92
1460.0,46.04
1462.0,46.12
1464.0,46.2
1466.0,46.26
1468.0,46.29
1470.0,46.36
1472.0,46.43
1474.0,46.55
1476.0,46.68
1478.0,46.82
1480.0,46.97
1482.0,47.15
1484.0,47.33
1486.0,47.51
1488.0,47.62
1490.0,47.76
1492.0,47.92
1494.0,48.08
1496.0,48.24
1498.0,48.38
1500.0,48.47
1502.0,48.59
1504.0,48.71
1506.0,48.84
1508.0,48.96
1510.0,49.08
1512.0,49.19
1514.0,49.29
1516.0,49.38
1518.0,49.48
1520.0,49.57
1522.0,49.67
1524.0,49.75
1526.0,49.83
1528.0,49.9
1530.0,49.98
1532.0,50.08
1534.0,50.17
1536.0,50.195
1538.0,50.28
1540.0,50.31
1542.0,50.39
1544.0,50.49
1546.0,50.54
1548.0,50.6
1550.0,50.67
1552.0,50.74
1554.0,50.78
1556.0,50.805
1558.0,50.805
1560.0,50.83
1562.0,50.91
1564.0,50.97
1566.0,50.985
1568.0,51.055
1570.0,51.09
1572.0,51.1
1574.0,51.09
1576.0,51.11
1578.0,51.165
1580.0,51.235
1582.0,51.28
1584.0,51.3
1586.0,51.31
1588.0,51.31
1590.0,51.36
1592.0,51.41
1594.0,51.44
1596.0,51.44
1598.0,51.45
1600.0,51.45
1602.0,51.5
1604.0,51.53
1606.0,51.54
1608.0,51.54
1610.0,51.55
1612.0,51.59
1614.0,51.61
1616.0,51.61
1618.0,51.61
1620.0,51.63
1622.0,51.66
1624.0,51.7
1626.0,51.7
1628.0,51.66
1630.0,51.65
1632.0,51.66
1634.0,51.67
1636.0,51.71
1638.0,51.71
1640.0,51.72
1642.0,51.73
1644.0,51.71
1646.0,51.73
1648.0,51.75
1650.0,51.76
1652.0,51.75
1654.0,51.72
1656.0,51.72
1658.0,51.72
1660.0,51.73
1662.0,51.75
1664.0,51.7
1666.0,51.69
1668.0,51.68
1670.0,51.66
1672.0,51.66
1674.0,51.63
1676.0,51.63
1678.0,51.63
1680.0,51.66
1682.0,51.68
1684.0,51.65
1686.0,51.63
1688.0,51.63
1690.0,51.65
1692.0,51.69
1694.0,51.7
1696.0,51.71
1698.0,51.71
1700.0,51.72
1702.0,51.7
1704.0,51.67
1706.0,51.64
1708.0,51.61
1710.0,51.58
1712.0,51.59
1714.0,51.595
1716.0,51.62
1718.0,51.63
1720.0,51.59
1722.0,51.55
1724.0,51.5
1726.0,51.47
1728.0,51.53
1730.0,51.54
1732.0,51.54
1734.0,51.52
1736.0,51.5
1738.0,51.47
1740.0,51.415
1742.0,51.37
1744.0,51.29
1746.0,51.235
1748.0,51.22
1750.0,51.22
1752.0,51.2
1754.0,51.18
1756.0,51.15
1758.0,51.1
1760.0,51.09
1762.0,51.05
1764.0,51.02
1766.0,50.96
1768.0,50.94
1770.0,50.91
1772.0,50.88
1774.0,50.85
1776.0,50.8
1778.0,50.74
1780.0,50.72
1782.0,50.67
1784.0,50.62
1786.0,50.6
1788.0,50.59
1790.0,50.6
1792.0,50.59
1794.0,50.55
1796.0,50.52
1798.0,50.46
1800.0,50.43
1802.0,50.43
1804.0,50.43
1806.0,50.445
1808.0,50.42
1810.0,50.39
1812.0,50.39
1814.0,50.37
1816.0,50.36
1818.0,50.32
1820.0,50.3
1822.0,50.3
1824.0,50.28
1826.0,50.26
1828.0,50.21
1830.0,50.16
1832.0,50.13
1834.0,50.1
1836.0,50.07
1838.0,50.03
1840.0,49.96
1842.0,49.9
1844.0,49.79
1846.0,49.67
1848.0,49.6
1850.0,49.48
1852.0,49.34
1854.0,49.17
1856.0,48.96
1858.0,48.77
1860.0,48.56
1862.0,48.3
1864.0,48.0
1866.0,47.62
1868.0,47.17
1870.0,46.68
1872.0,46.12
1874.0,45.5
1876.0,44.82
1878.0,44.08
1880.0,43.25
1882.0,42.34
1884.0,41.34
1886.0,40.23
1888.0,39.04
1890.0,37.77
1892.0,36.47
1894.0,35.16
1896.0,33.87
1898.0,32.67
1900.0,31.64
1902.0,30.8
1904.0,30.21
1906.0,29.85
1908.0,29.675
1910.0,29.71
1912.0,29.84
1914.0,30.08
1916.0,30.39
1918.0,30.72
1920.0,31.06
1922.0,31.36
1924.0,31.64
1926.0,31.93
1928.0,32.22
1930.0,32.49
1932.0,32.72
1934.0,32.94
1936.0,33.14
1938.0,33.32
1940.0,33.5
1942.0,33.68
1944.0,33.84
1946.0,33.985
1948.0,34.13
1950.0,34.27
1952.0,34.43
1954.0,34.58
1956.0,34.72
1958.0,34.85
1960.0,34.97
1962.0,35.12
1964.0,35.25
1966.0,35.35
1968.0,35.5
1970.0,35.67
1972.0,35.86
1974.0,35.99
1976.0,36.13
1978.0,36.31
1980.0,36.51
1982.0,36.7
1984.0,36.84
1986.0,37.03
1988.0,37.235
1990.0,37.45
1992.0,37.64
1994.0,37.83
1996.0,38.05
1998.0,38.28
2000.0,38.53
2002.0,38.77
2004.0,39.02
2006.0,39.24
2008.0,39.46
2010.0,39.7
2012.0,39.93
2014.0,40.14
2016.0,40.29
2018.0,40.46
2020.0,40.65
2022.0,40.88
2024.0,41.11
2026.0,41.31
2028.0,41.48
2030.0,41.63
2032.0,41.79
2034.0,41.96
2036.0,42.13
2038.0,42.29
2040.0,42.43
2042.0,42.57
2044.0,42.73
2046.0,42.87
2048.0,43.04
2050.0,43.16
2052.0,43.23
2054.0,43.29
2056.0,43.36
2058.0,43.47
2060.0,43.61
2062.0,43.74
2064.0,43.82
2066.0,43.86
2068.0,43.94
2070.0,44.04
2072.0,44.14
2074.0,44.21
2076.0,44.23
2078.0,44.27
2080.0,44.31
2082.0,44.39
2084.0,44.47
2086.0,44.53
2088.0,44.59
2090.0,44.66
2092.0,44.75
2094.0,44.81
2096.0,44.83
2098.0,44.83
2100.0,44.83
2102.0,44.87
2104.0,44.92
2106.0,45.03
2108.0,45.05
2110.0,45.08
2112.0,45.08
2114.0,45.13
2116.0,45.19
2118.0,45.22
2120.0,45.26
2122.0,45.27
2124.0,45.29
2126.0,45.28
2128.0,45.28
2130.0,45.29
2132.0,45.31
2134.0,45.33
2136.0,45.35
2138.0,45.37
2140.0,45.41
2142.0,45.41
2144.0,45.44
2146.0,45.43
2148.0,45.45
2150.0,45.48
2152.0,45.47
2154.0,45.49
2156.0,45.47
2158.0,45.44
2160.0,45.44
2162.0,45.39
2164.0,45.38
2166.0,45.34
2168.0,45.35
2170.0,45.32
2172.0,45.27
2174.0,45.23
2176.0,45.15
2178.0,45.09
2180.0,45.0
2182.0,44.94
2184.0,44.89
2186.0,44.8
2188.0,44.72
2190.0,44.6
2192.0,44.5
2194.0,44.43
2196.0,44.38
2198.0,44.33
2200.0,44.23
2202.0,44.15
2204.0,44.1
2206.0,44.07
2208.0,44.03
2210.0,43.95
2212.0,43.91
2214.0,43.85
2216.0,43.78
2218.0,43.74
2220.0,43.7
2222.0,43.71
2224.0,43.66
2226.0,43.65
2228.0,43.58
2230.0,43.51
2232.0,43.43
2234.0,43.39
2236.0,43.37
2238.0,43.31
2240.0,43.22
2242.0,43.09
2244.0,42.97
2246.0,42.81
2248.0,42.63
2250.0,42.36
2252.0,42.04
2254.0,41.67
2256.0,41.3
2258.0,40.92
2260.0,40.4
2262.0,39.85
2264.0,39.23
2266.0,38.53
2268.0,37.8
2270.0,37.12
2272.0,36.43
2274.0,35.745
2276.0,35.11
2278.0,34.54
2280.0,34.06
2282.0,33.73
2284.0,33.53
2286.0,33.51
2288.0,33.7
2290.0,34.05
2292.0,34.54
2294.0,35.1
2296.0,35.65
2298.0,36.2
2300.0,36.715
2302.0,37.22
2304.0,37.7
2306.0,38.08
2308.0,38.42
2310.0,38.62
2312.0,38.81
2314.0,38.89
2316.0,38.96
2318.0,38.98
2320.0,39.02
2322.0,39.08
2324.0,39.12
2326.0,39.11
2328.0,39.11
2330.0,39.085
