wavelength,reflectivity
1300.0,55.34
1302.0,55.04
1304.0,54.86
1306.0,54.935
1308.0,55.17
1310.0,55.26
1312.0,55.27
1314.0,55.28
1316.0,55.23
1318.0,55.31
1320.0,55.32
1322.0,55.2
1324.0,55.19
1326.0,55.24
1328.0,55.15
1330.0,55.01
1332.0,54.99
1334.0,55.03
1336.0,55.06
1338.0,55.1
1340.0,55.11
1342.0,54.98
1344.0,55.0
1346.0,55.01
1348.0,55.0
1350.0,55.02
1352.0,55.02
1354.0,55.0
1356.0,55.02
1358.0,55.06
1360.0,55.06
1362.0,55.03
1364.0,54.98
1366.0,54.93
1368.0,54.9
1370.0,54.9
1372.0,54.92
1374.0,54.91
1376.0,54.9
1378.0,54.88
1380.0,54.82
1382.0,54.755
1384.0,54.68
1386.0,54.53
1388.0,54.35
1390.0,54.1
1392.0,53.81
1394.0,53.5
1396.0,53.21
1398.0,52.94
1400.0,52.69
1402.0,52.49
1404.0,52.27
1406.0,52.1
1408.0,51.97
1410.0,51.93
1412.0,51.98
1414.0,52.08
1416.0,52.23
1418.0,52.43
1420.0,52.63
1422.0,52.81
1424.0,52.96
1426.0,53.06
1428.0,53.1
1430.0,53.16
1432.0,53.21
1434.0,53.27
1436.0,53.29
1438.0,53.29
1440.0,53.28
1442.0,53.31
1444.0,53.32
1446.0,53.37
1448.0,53.4
1450.0,53.44
1452.0,53.48
1454.0,53.52
1456.0,53.56
1458.0,53.605
1460.0,53.65
1462.0,53.68
1464.0,53.66
1466.0,53.64
1468.0,53.65
1470.0,53.7
1472.0,53.82
1474.0,53.895
1476.0,53.92
1478.0,53.93
1480.0,53.95
1482.0,53.98
1484.0,54.02
1486.0,54.1
1488.0,54.22
1490.0,54.36
1492.0,54.48
1494.0,54.55
1496.0,54.6
1498.0,54.65
1500.0,54.71
1502.0,54.77
1504.0,54.85
1506.0,54.935
1508.0,55.04
1510.0,55.14
1512.0,55.19
1514.0,55.23
1516.0,55.29
1518.0,55.34
1520.0,55.38
1522.0,55.42
1524.0,55.46
1526.0,55.53
1528.0,55.59
1530.0,55.63
1532.0,55.65
1534.0,55.67
1536.0,55.69
1538.0,55.72
1540.0,55.74
1542.0,55.79
1544.0,55.86
1546.0,55.92
1548.0,55.94
1550.0,55.97
1552.0,55.97
1554.0,55.96
1556.0,55.96
1558.0,55.96
1560.0,56.0
1562.0,56.06
1564.0,56.12
1566.0,56.16
1568.0,56.17
1570.0,56.18
1572.0,56.21
1574.0,56.25
1576.0,56.26
1578.0,56.265
1580.0,56.28
1582.0,56.32
1584.0,56.37
1586.0,56.42
1588.0,56.445
1590.0,56.47
1592.0,56.47
1594.0,56.48
1596.0,56.5
1598.0,56.51
1600.0,56.55
1602.0,56.6
1604.0,56.66
1606.0,56.67
1608.0,56.68
1610.0,56.66
1612.0,56.64
1614.0,56.66
1616.0,56.67
1618.0,56.69
1620.0,56.73
1622.0,56.71
1624.0,56.73
1626.0,56.78
1628.0,56.79
1630.0,56.79
1632.0,56.74
1634.0,56.69
1636.0,56.66
1638.0,56.67
1640.0,56.68
1642.0,56.71
1644.0,56.75
1646.0,56.79
1648.0,56.77
1650.0,56.72
1652.0,56.72
1654.0,56.75
1656.0,56.76
1658.0,56.75
1660.0,56.72
1662.0,56.71
1664.0,56.695
1666.0,56.68
1668.0,56.67
1670.0,56.64
1672.0,56.625
1674.0,56.625
1676.0,56.64
1678.0,56.69
1680.0,56.695
1682.0,56.67
1684.0,56.67
1686.0,56.69
1688.0,56.68
1690.0,56.71
1692.0,56.695
1694.0,56.72
1696.0,56.77
1698.0,56.78
1700.0,56.8
1702.0,56.83
1704.0,56.84
1706.0,56.85
1708.0,56.82
1710.0,56.78
1712.0,56.77
1714.0,56.77
1716.0,56.77
1718.0,56.77
1720.0,56.8
1722.0,56.8
1724.0,56.79
1726.0,56.8
1728.0,56.83
1730.0,56.86
1732.0,56.86
1734.0,56.81
1736.0,56.78
1738.0,56.79
1740.0,56.79
1742.0,56.78
1744.0,56.77
1746.0,56.79
1748.0,56.83
1750.0,56.81
1752.0,56.8
1754.0,56.74
1756.0,56.75
1758.0,56.79
1760.0,56.8
1762.0,56.8
1764.0,56.78
1766.0,56.75
1768.0,56.76
1770.0,56.76
1772.0,56.74
1774.0,56.75
1776.0,56.74
1778.0,56.74
1780.0,56.71
1782.0,56.68
1784.0,56.68
1786.0,56.68
1788.0,56.67
1790.0,56.66
1792.0,56.625
1794.0,56.61
1796.0,56.61
1798.0,56.58
1800.0,56.6
1802.0,56.61
1804.0,56.64
1806.0,56.65
1808.0,56.64
1810.0,56.64
1812.0,56.65
1814.0,56.64
1816.0,56.59
1818.0,56.51
1820.0,56.47
1822.0,56.46
1824.0,56.48
1826.0,56.51
1828.0,56.515
1830.0,56.5
1832.0,56.49
1834.0,56.48
1836.0,56.5
1838.0,56.515
1840.0,56.49
1842.0,56.44
1844.0,56.42
1846.0,56.42
1848.0,56.37
1850.0,56.31
1852.0,56.26
1854.0,56.23
1856.0,56.21
1858.0,56.2
1860.0,56.14
1862.0,56.05
1864.0,55.93
1866.0,55.78
1868.0,55.655
1870.0,55.54
1872.0,55.43
1874.0,55.28
1876.0,55.04
1878.0,54.74
1880.0,54.45
1882.0,54.13
1884.0,53.81
1886.0,53.44
1888.0,53.05
1890.0,52.61
1892.0,52.18
1894.0,51.69
1896.0,51.18
1898.0,50.69
1900.0,50.26
1902.0,49.85
1904.0,49.44
1906.0,49.04
1908.0,48.67
1910.0,48.39
1912.0,48.16
1914.0,47.97
1916.0,47.84
1918.0,47.7
1920.0,47.6
1922.0,47.51
1924.0,47.44
1926.0,47.38
1928.0,47.35
1930.0,47.31
1932.0,47.25
1934.0,47.22
1936.0,47.23
1938.0,47.28
1940.0,47.28
1942.0,47.3
1944.0,47.3
1946.0,47.36
1948.0,47.46
1950.0,47.51
1952.0,47.58
1954.0,47.64
1956.0,47.69
1958.0,47.77
1960.0,47.83
1962.0,47.91
1964.0,48.0
1966.0,48.1
1968.0,48.21
1970.0,48.32
1972.0,48.43
1974.0,48.56
1976.0,48.71
1978.0,48.88
1980.0,49.01
1982.0,49.13
1984.0,49.25
1986.0,49.36
1988.0,49.5
1990.0,49.65
1992.0,49.85
1994.0,50.03
1996.0,50.19
1998.0,50.32
2000.0,50.46
2002.0,50.66
2004.0,50.84
2006.0,51.02
2008.0,51.18
2010.0,51.32
2012.0,51.47
2014.0,51.58
2016.0,51.72
2018.0,51.86
2020.0,51.99
2022.0,52.11
2024.0,52.23
2026.0,52.4
2028.0,52.52
2030.0,52.61
2032.0,52.7
2034.0,52.815
2036.0,52.925
2038.0,53.03
2040.0,53.12
2042.0,53.23
2044.0,53.33
2046.0,53.38
2048.0,53.43
2050.0,53.47
2052.0,53.56
2054.0,53.63
2056.0,53.67
