wavelength,reflectivity
1300.0,60.57
1302.0,60.56
1304.0,60.5
1306.0,60.42
1308.0,60.32
1310.0,60.16
1312.0,59.93
1314.0,60.08
1316.0,60.19
1318.0,60.035
1320.0,59.965
1322.0,60.02
1324.0,60.035
1326.0,60.1
1328.0,60.0
1330.0,59.81
1332.0,59.74
1334.0,59.65
1336.0,59.65
1338.0,59.69
1340.0,59.72
1342.0,59.7
1344.0,59.605
1346.0,59.5
1348.0,59.425
1350.0,59.39
1352.0,59.37
1354.0,59.34
1356.0,59.28
1358.0,59.23
1360.0,59.175
1362.0,59.1
1364.0,58.995
1366.0,58.86
1368.0,58.71
1370.0,58.54
1372.0,58.34
1374.0,58.13
1376.0,57.84
1378.0,57.54
1380.0,57.26
1382.0,56.97
1384.0,56.73
1386.0,56.5
1388.0,56.23
1390.0,55.88
1392.0,55.46
1394.0,54.99
1396.0,54.47
1398.0,53.92
1400.0,53.38
1402.0,52.84
1404.0,52.3
1406.0,51.7
1408.0,50.96
1410.0,50.1
1412.0,49.17
1414.0,48.36
1416.0,47.91
1418.0,47.92
1420.0,48.34
1422.0,48.94
1424.0,49.48
1426.0,49.84
1428.0,50.08
1430.0,50.26
1432.0,50.49
1434.0,50.74
1436.0,51.02
1438.0,51.29
1440.0,51.48
1442.0,51.59
1444.0,51.67
1446.0,51.74
1448.0,51.87
1450.0,52.06
1452.0,52.25
1454.0,52.46
1456.0,52.65
1458.0,52.78
1460.0,52.91
1462.0,53.02
1464.0,53.14
1466.0,53.27
1468.0,53.37
1470.0,53.46
1472.0,53.52
1474.0,53.6
1476.0,53.715
1478.0,53.87
1480.0,54.05
1482.0,54.27
1484.0,54.5
1486.0,54.74
1488.0,55.01
1490.0,55.27
1492.0,55.52
1494.0,55.76
1496.0,55.94
1498.0,56.11
1500.0,56.3
1502.0,56.49
1504.0,56.66
1506.0,56.82
1508.0,56.95
1510.0,57.055
1512.0,57.18
1514.0,57.28
1516.0,57.39
1518.0,57.5
1520.0,57.595
1522.0,57.7
1524.0,57.78
1526.0,57.86
1528.0,57.95
1530.0,58.025
1532.0,58.11
1534.0,58.19
1536.0,58.29
1538.0,58.4
1540.0,58.49
1542.0,58.56
1544.0,58.6
1546.0,58.63
1548.0,58.67
1550.0,58.72
1552.0,58.78
1554.0,58.83
1556.0,58.9
1558.0,58.96
1560.0,59.03
1562.0,59.065
1564.0,59.12
1566.0,59.14
1568.0,59.22
1570.0,59.24
1572.0,59.3
1574.0,59.355
1576.0,59.39
1578.0,59.425
1580.0,59.44
1582.0,59.45
1584.0,59.48
1586.0,59.49
1588.0,59.55
1590.0,59.63
1592.0,59.69
1594.0,59.7
1596.0,59.69
1598.0,59.71
1600.0,59.76
1602.0,59.785
1604.0,59.8
1606.0,59.81
1608.0,59.85
1610.0,59.88
1612.0,59.9
1614.0,59.89
1616.0,59.9
1618.0,59.96
1620.0,60.01
1622.0,60.05
1624.0,60.05
1626.0,60.05
1628.0,60.08
1630.0,60.09
1632.0,60.13
1634.0,60.13
1636.0,60.12
1638.0,60.13
1640.0,60.1
1642.0,60.12
1644.0,60.17
1646.0,60.19
1648.0,60.16
1650.0,60.14
1652.0,60.14
1654.0,60.17
1656.0,60.19
1658.0,60.18
1660.0,60.19
1662.0,60.16
1664.0,60.16
1666.0,60.13
1668.0,60.06
1670.0,60.035
1672.0,60.035
1674.0,60.03
1676.0,60.05
1678.0,60.07
1680.0,60.1
1682.0,60.12
1684.0,60.12
1686.0,60.08
1688.0,60.08
1690.0,60.05
1692.0,60.05
1694.0,60.05
1696.0,60.06
1698.0,60.07
1700.0,60.035
1702.0,60.03
1704.0,59.99
1706.0,59.96
1708.0,59.95
1710.0,59.91
1712.0,59.91
1714.0,59.89
1716.0,59.85
1718.0,59.81
1720.0,59.74
1722.0,59.74
1724.0,59.72
1726.0,59.71
1728.0,59.67
1730.0,59.64
1732.0,59.59
1734.0,59.56
1736.0,59.51
1738.0,59.49
1740.0,59.48
1742.0,59.48
1744.0,59.47
1746.0,59.42
1748.0,59.4
1750.0,59.355
1752.0,59.33
1754.0,59.31
1756.0,59.27
1758.0,59.21
1760.0,59.17
1762.0,59.12
1764.0,59.03
1766.0,58.97
1768.0,58.9
1770.0,58.815
1772.0,58.77
1774.0,58.71
1776.0,58.635
1778.0,58.55
1780.0,58.45
1782.0,58.37
1784.0,58.3
1786.0,58.27
1788.0,58.23
1790.0,58.17
1792.0,58.11
1794.0,58.04
1796.0,57.95
1798.0,57.89
1800.0,57.845
1802.0,57.82
1804.0,57.83
1806.0,57.82
1808.0,57.79
1810.0,57.77
1812.0,57.75
1814.0,57.71
1816.0,57.7
1818.0,57.68
1820.0,57.64
1822.0,57.61
1824.0,57.57
1826.0,57.55
1828.0,57.56
1830.0,57.52
1832.0,57.485
1834.0,57.415
1836.0,57.32
1838.0,57.22
1840.0,57.15
1842.0,57.09
1844.0,57.0
1846.0,56.87
1848.0,56.71
1850.0,56.57
1852.0,56.41
1854.0,56.23
1856.0,56.02
1858.0,55.78
1860.0,55.52
1862.0,55.22
1864.0,54.86
1866.0,54.38
1868.0,53.75
1870.0,53.04
1872.0,52.23
1874.0,51.4
1876.0,50.57
1878.0,49.72
1880.0,48.93
1882.0,48.09
1884.0,47.2
1886.0,46.26
1888.0,45.2
1890.0,44.1
1892.0,42.9
1894.0,41.61
1896.0,40.23
1898.0,38.78
1900.0,37.36
1902.0,36.07
1904.0,34.89
1906.0,33.85
1908.0,33.01
1910.0,32.38
1912.0,31.94
1914.0,31.63
1916.0,31.43
1918.0,31.345
1920.0,31.37
1922.0,31.46
1924.0,31.6
