wavelength,reflectivity
1300.0,69.43
1302.0,69.58
1304.0,69.73
1306.0,69.75
1308.0,69.735
1310.0,69.735
1312.0,69.78
1314.0,69.77
1316.0,69.79
1318.0,69.94
1320.0,70.02
1322.0,70.11
1324.0,70.21
1326.0,70.2
1328.0,70.15
1330.0,70.23
1332.0,70.27
1334.0,70.32
1336.0,70.4
1338.0,70.4
1340.0,70.29
1342.0,70.25
1344.0,70.24
1346.0,70.2
1348.0,70.24
1350.0,70.28
1352.0,70.28
1354.0,70.26
1356.0,70.22
1358.0,70.16
1360.0,70.01
1362.0,69.71
1364.0,69.03
1366.0,67.79
1368.0,66.06
1370.0,64.095
1372.0,62.36
1374.0,61.29
1376.0,61.11
1378.0,61.75
1380.0,62.97
1382.0,64.42
1384.0,65.76
1386.0,66.78
1388.0,67.49
1390.0,67.94
1392.0,68.24
1394.0,68.47
1396.0,68.585
1398.0,68.61
1400.0,68.7
1402.0,68.835
1404.0,69.01
1406.0,69.15
1408.0,69.24
1410.0,69.31
1412.0,69.375
1414.0,69.48
1416.0,69.59
1418.0,69.67
1420.0,69.77
1422.0,69.88
1424.0,69.985
1426.0,70.04
1428.0,70.09
1430.0,70.16
1432.0,70.26
1434.0,70.345
1436.0,70.44
1438.0,70.46
1440.0,70.55
1442.0,70.63
1444.0,70.705
1446.0,70.75
1448.0,70.77
1450.0,70.81
1452.0,70.88
1454.0,70.93
1456.0,71.01
1458.0,71.06
1460.0,71.09
1462.0,71.13
1464.0,71.1
1466.0,71.1
1468.0,71.16
1470.0,71.21
1472.0,71.24
1474.0,71.24
1476.0,71.29
1478.0,71.35
1480.0,71.43
1482.0,71.53
1484.0,71.6
1486.0,71.66
1488.0,71.69
1490.0,71.7
1492.0,71.74
1494.0,71.81
1496.0,71.89
1498.0,71.96
1500.0,72.0
1502.0,72.02
1504.0,72.04
1506.0,72.03
1508.0,72.12
1510.0,72.18
1512.0,72.19
1514.0,72.19
1516.0,72.2
1518.0,72.22
1520.0,72.3
1522.0,72.33
1524.0,72.35
1526.0,72.37
1528.0,72.38
1530.0,72.41
1532.0,72.41
1534.0,72.42
1536.0,72.42
1538.0,72.46
1540.0,72.51
1542.0,72.56
1544.0,72.57
1546.0,72.58
1548.0,72.58
1550.0,72.62
1552.0,72.67
1554.0,72.68
1556.0,72.69
1558.0,72.73
1560.0,72.79
1562.0,72.85
1564.0,72.86
1566.0,72.86
1568.0,72.89
1570.0,72.94
1572.0,72.95
1574.0,72.94
1576.0,72.94
1578.0,72.97
1580.0,72.98
1582.0,72.97
1584.0,72.97
1586.0,73.02
1588.0,73.07
1590.0,73.11
1592.0,73.075
1594.0,73.09
1596.0,73.09
1598.0,73.15
1600.0,73.18
1602.0,73.2
1604.0,73.22
1606.0,73.255
1608.0,73.28
1610.0,73.3
1612.0,73.28
1614.0,73.25
1616.0,73.28
1618.0,73.325
1620.0,73.38
1622.0,73.42
1624.0,73.45
1626.0,73.45
1628.0,73.45
1630.0,73.45
1632.0,73.47
1634.0,73.5
1636.0,73.53
1638.0,73.53
1640.0,73.52
1642.0,73.505
1644.0,73.52
1646.0,73.505
1648.0,73.52
1650.0,73.52
1652.0,73.56
1654.0,73.6
1656.0,73.615
1658.0,73.61
1660.0,73.61
1662.0,73.65
1664.0,73.68
1666.0,73.75
1668.0,73.76
1670.0,73.75
1672.0,73.75
1674.0,73.73
1676.0,73.73
1678.0,73.78
1680.0,73.8
1682.0,73.8
1684.0,73.78
1686.0,73.77
1688.0,73.78
1690.0,73.79
1692.0,73.82
1694.0,73.83
1696.0,73.81
1698.0,73.81
1700.0,73.83
1702.0,73.85
1704.0,73.86
1706.0,73.865
1708.0,73.86
1710.0,73.86
1712.0,73.85
1714.0,73.84
1716.0,73.86
1718.0,73.9
1720.0,73.92
1722.0,73.95
1724.0,73.93
1726.0,73.9
1728.0,73.89
1730.0,73.93
1732.0,73.93
1734.0,73.92
1736.0,73.89
1738.0,73.89
1740.0,73.92
1742.0,73.92
1744.0,73.89
1746.0,73.86
1748.0,73.85
1750.0,73.84
1752.0,73.84
1754.0,73.865
1756.0,73.865
1758.0,73.85
1760.0,73.81
1762.0,73.78
1764.0,73.81
1766.0,73.865
1768.0,73.88
1770.0,73.865
1772.0,73.86
1774.0,73.86
1776.0,73.88
1778.0,73.86
1780.0,73.865
1782.0,73.91
1784.0,73.93
1786.0,73.96
1788.0,73.94
1790.0,73.93
1792.0,73.94
1794.0,73.96
1796.0,73.99
1798.0,74.0
1800.0,74.01
1802.0,74.01
1804.0,74.03
1806.0,74.08
1808.0,74.11
1810.0,74.115
1812.0,74.15
1814.0,74.16
1816.0,74.16
1818.0,74.16
1820.0,74.15
1822.0,74.18
1824.0,74.18
1826.0,74.16
1828.0,74.16
1830.0,74.115
1832.0,74.1
1834.0,74.115
1836.0,74.14
1838.0,74.11
1840.0,74.06
1842.0,74.02
1844.0,74.04
1846.0,74.07
1848.0,74.01
1850.0,73.93
1852.0,73.9
1854.0,73.93
1856.0,73.9
1858.0,73.82
1860.0,73.685
1862.0,73.58
1864.0,73.56
1866.0,73.53
1868.0,73.47
1870.0,73.36
1872.0,73.19
1874.0,73.0
1876.0,72.75
1878.0,72.55
1880.0,72.285
1882.0,72.04
1884.0,71.85
1886.0,71.69
1888.0,71.55
1890.0,71.3
1892.0,70.98
1894.0,70.63
1896.0,70.31
1898.0,70.02
1900.0,69.68
1902.0,69.32
1904.0,68.92
1906.0,68.585
1908.0,68.36
1910.0,68.155
1912.0,68.0
1914.0,67.84
1916.0,67.77
1918.0,67.7
1920.0,67.65
1922.0,67.615
1924.0,67.615
1926.0,67.7
1928.0,67.71
1930.0,67.79
1932.0,67.9
1934.0,68.0
1936.0,68.11
1938.0,68.11
1940.0,68.155
1942.0,68.18
1944.0,68.27
1946.0,68.4
1948.0,68.51
1950.0,68.6
1952.0,68.62
1954.0,68.67
1956.0,68.765
1958.0,68.82
1960.0,68.835
1962.0,68.88
1964.0,68.97
1966.0,69.09
1968.0,69.17
1970.0,69.22
1972.0,69.31
1974.0,69.4
1976.0,69.51
1978.0,69.59
1980.0,69.68
1982.0,69.76
1984.0,69.83
1986.0,69.9
1988.0,69.98
1990.0,70.09
1992.0,70.16
1994.0,70.2
1996.0,70.21
1998.0,70.28
2000.0,70.39
2002.0,70.46
2004.0,70.51
2006.0,70.55
2008.0,70.67
2010.0,70.775
2012.0,70.85
2014.0,70.92
2016.0,71.02
2018.0,71.11
2020.0,71.17
2022.0,71.18
2024.0,71.2
2026.0,71.24
2028.0,71.26
2030.0,71.27
2032.0,71.31
2034.0,71.38
2036.0,71.47
2038.0,71.51
2040.0,71.51
2042.0,71.48
2044.0,71.46
2046.0,71.495
2048.0,71.495
2050.0,71.45
2052.0,71.42
2054.0,71.43
2056.0,71.45
2058.0,71.44
2060.0,71.41
2062.0,71.44
2064.0,71.4
2066.0,71.27
2068.0,71.135
2070.0,71.03
2072.0,70.92
2074.0,70.69
2076.0,70.345
2078.0,70.02
2080.0,69.75
2082.0,69.58
2084.0,69.45
2086.0,69.35
2088.0,69.33
2090.0,69.24
2092.0,69.14
2094.0,69.07
2096.0,69.03
2098.0,69.05
2100.0,69.08
2102.0,69.08
2104.0,69.11
2106.0,69.14
2108.0,69.16
2110.0,69.195
2112.0,69.21
2114.0,69.25
2116.0,69.26
2118.0,69.29
2120.0,69.3
2122.0,69.39
2124.0,69.48
2126.0,69.53
2128.0,69.52
2130.0,69.47
2132.0,69.46
2134.0,69.46
2136.0,69.46
2138.0,69.53
2140.0,69.61
2142.0,69.67
2144.0,69.67
2146.0,69.63
2148.0,69.61
2150.0,69.59
2152.0,69.54
2154.0,69.52
2156.0,69.54
2158.0,69.57
2160.0,69.57
2162.0,69.58
2164.0,69.61
2166.0,69.65
2168.0,69.64
2170.0,69.58
2172.0,69.53
2174.0,69.45
2176.0,69.34
2178.0,69.23
2180.0,69.16
2182.0,69.06
2184.0,68.94
2186.0,68.72
2188.0,68.53
2190.0,68.43
2192.0,68.36
2194.0,68.18
2196.0,67.96
2198.0,67.795
2200.0,67.65
2202.0,67.46
2204.0,67.21
2206.0,67.03
2208.0,67.005
2210.0,67.005
2212.0,67.06
2214.0,67.04
2216.0,67.0
2218.0,66.95
2220.0,66.91
2222.0,66.91
2224.0,66.88
2226.0,66.87
2228.0,66.87
2230.0,66.88
2232.0,66.88
2234.0,66.91
2236.0,66.91
2238.0,66.87
2240.0,66.8
2242.0,66.78
2244.0,66.77
2246.0,66.77
2248.0,66.7
2250.0,66.52
2252.0,66.31
2254.0,66.15
2256.0,66.01
2258.0,65.89
2260.0,65.74
2262.0,65.59
2264.0,65.42
2266.0,65.18
2268.0,64.98
2270.0,64.76
2272.0,64.48
2274.0,64.12
2276.0,63.77
2278.0,63.36
2280.0,62.86
2282.0,62.28
2284.0,61.65
2286.0,60.98
2288.0,60.32
2290.0,59.73
2292.0,59.22
2294.0,58.73
2296.0,58.38
2298.0,57.98
2300.0,57.52
2302.0,56.89
2304.0,56.22
2306.0,55.47
2308.0,54.685
2310.0,53.93
2312.0,53.19
2314.0,52.47
2316.0,51.775
2318.0,51.16
2320.0,50.66
2322.0,50.28
2324.0,49.94
2326.0,49.78
2328.0,49.82
2330.0,50.015
2332.0,50.31
2334.0,50.71
2336.0,51.28
2338.0,52.025
2340.0,52.72
2342.0,53.45
2344.0,54.18
2346.0,54.83
2348.0,55.36
2350.0,55.725
2352.0,56.03
2354.0,56.22
2356.0,56.29
2358.0,56.17
2360.0,55.835
2362.0,55.34
2364.0,54.685
2366.0,53.88
2368.0,53.04
2370.0,52.16
2372.0,51.36
2374.0,50.57
2376.0,49.84
2378.0,49.27
2380.0,48.93
2382.0,48.83
2384.0,48.82
2386.0,48.99
2388.0,49.41
2390.0,50.12
2392.0,50.88
2394.0,51.51
2396.0,52.06
2398.0,52.565
2400.0,53.04
2402.0,53.38
2404.0,53.56
2406.0,53.71
2408.0,53.84
2410.0,53.895
2412.0,53.965
2414.0,54.04
2416.0,54.12
2418.0,54.145
2420.0,54.14
2422.0,54.14
2424.0,54.06
2426.0,53.965
2428.0,53.8
2430.0,53.67
2432.0,53.5
2434.0,53.25
2436.0,53.03
2438.0,52.79
2440.0,52.61
2442.0,52.55
2444.0,52.66
2446.0,52.73
2448.0,52.85
2450.0,52.97
2452.0,53.22
2454.0,53.42
2456.0,53.6
2458.0,53.71
2460.0,53.785
2462.0,53.95
2464.0,54.0
2466.0,54.05
2468.0,54.145
2470.0,54.28
2472.0,54.21
2474.0,54.1
2476.0,54.03
2478.0,53.965
2480.0,53.86
2482.0,53.81
2484.0,53.8
2486.0,53.7
2488.0,53.5
2490.0,53.22
2492.0,53.08
2494.0,52.925
2496.0,52.71
2498.0,52.5
2500.0,52.34
