wavelength,reflectivity
1300.0,54.26
1302.0,54.18
1304.0,54.24
1306.0,54.32
1308.0,54.45
1310.0,54.62
1312.0,54.78
1314.0,54.93
1316.0,54.865
1318.0,54.77
1320.0,54.78
1322.0,54.88
1324.0,55.05
1326.0,55.26
1328.0,55.32
1330.0,55.38
1332.0,55.44
1334.0,55.475
1336.0,55.56
1338.0,55.63
1340.0,55.655
1342.0,55.725
1344.0,55.78
1346.0,55.85
1348.0,55.95
1350.0,55.96
1352.0,55.98
1354.0,56.08
1356.0,56.13
1358.0,56.2
1360.0,56.265
1362.0,56.31
1364.0,56.37
1366.0,56.46
1368.0,56.53
1370.0,56.6
1372.0,56.64
1374.0,56.66
1376.0,56.67
1378.0,56.69
1380.0,56.73
1382.0,56.79
1384.0,56.85
1386.0,56.91
1388.0,56.93
1390.0,56.92
1392.0,56.92
1394.0,56.89
1396.0,56.87
1398.0,56.83
1400.0,56.79
1402.0,56.77
1404.0,56.76
1406.0,56.74
1408.0,56.72
1410.0,56.71
1412.0,56.68
1414.0,56.67
1416.0,56.66
1418.0,56.66
1420.0,56.66
1422.0,56.66
1424.0,56.625
1426.0,56.6
1428.0,56.57
1430.0,56.57
1432.0,56.59
1434.0,56.59
1436.0,56.54
1438.0,56.48
1440.0,56.43
1442.0,56.41
1444.0,56.39
1446.0,56.35
1448.0,56.23
1450.0,56.12
1452.0,56.04
1454.0,55.95
1456.0,55.89
1458.0,55.79
1460.0,55.69
1462.0,55.57
1464.0,55.45
1466.0,55.35
1468.0,55.26
1470.0,55.16
1472.0,55.06
1474.0,54.98
1476.0,54.93
1478.0,54.9
1480.0,54.88
1482.0,54.86
1484.0,54.865
1486.0,54.88
1488.0,54.89
1490.0,54.92
1492.0,55.02
1494.0,55.16
1496.0,55.36
1498.0,55.54
1500.0,55.67
1502.0,55.78
1504.0,55.87
1506.0,55.98
1508.0,56.1
1510.0,56.19
1512.0,56.24
1514.0,56.28
1516.0,56.31
1518.0,56.36
1520.0,56.39
1522.0,56.39
1524.0,56.41
1526.0,56.41
1528.0,56.4
1530.0,56.41
1532.0,56.44
1534.0,56.445
1536.0,56.47
1538.0,56.51
1540.0,56.55
1542.0,56.58
1544.0,56.6
1546.0,56.6
1548.0,56.66
1550.0,56.68
1552.0,56.67
1554.0,56.67
1556.0,56.72
1558.0,56.79
1560.0,56.87
1562.0,56.92
1564.0,56.96
1566.0,57.05
1568.0,57.14
1570.0,57.2
1572.0,57.25
1574.0,57.235
1576.0,57.25
1578.0,57.305
1580.0,57.35
1582.0,57.41
1584.0,57.47
1586.0,57.53
1588.0,57.56
1590.0,57.57
1592.0,57.595
1594.0,57.66
1596.0,57.7
1598.0,57.76
1600.0,57.76
1602.0,57.78
1604.0,57.79
1606.0,57.82
1608.0,57.84
1610.0,57.86
1612.0,57.87
1614.0,57.88
1616.0,57.89
1618.0,57.93
1620.0,57.97
1622.0,57.97
1624.0,57.96
1626.0,57.97
1628.0,57.97
1630.0,58.01
1632.0,58.025
1634.0,58.04
1636.0,58.06
1638.0,58.04
1640.0,58.02
1642.0,58.025
1644.0,58.025
1646.0,58.04
1648.0,58.05
1650.0,58.07
1652.0,58.08
1654.0,58.06
1656.0,58.06
1658.0,58.09
