wavelength,reflectivity
1300.0,66.7
1302.0,66.61
1304.0,66.49
1306.0,66.55
1308.0,66.73
1310.0,66.62
1312.0,66.575
1314.0,66.49
1316.0,66.285
1318.0,66.37
1320.0,66.46
1322.0,66.59
1324.0,66.62
1326.0,66.57
1328.0,66.38
1330.0,66.36
1332.0,66.42
1334.0,66.48
1336.0,66.55
1338.0,66.55
1340.0,66.46
1342.0,66.465
1344.0,66.51
1346.0,66.48
1348.0,66.43
1350.0,66.395
1352.0,66.42
1354.0,66.44
1356.0,66.43
1358.0,66.44
1360.0,66.42
1362.0,66.44
1364.0,66.465
1366.0,66.46
1368.0,66.46
1370.0,66.49
1372.0,66.43
1374.0,66.46
1376.0,66.42
1378.0,66.41
1380.0,66.42
1382.0,66.41
1384.0,66.39
1386.0,66.39
1388.0,66.34
1390.0,66.32
1392.0,66.3
1394.0,66.24
1396.0,66.18
1398.0,66.1
1400.0,66.035
1402.0,66.035
1404.0,66.06
1406.0,66.06
1408.0,66.06
1410.0,66.02
1412.0,66.0
1414.0,65.97
1416.0,65.93
1418.0,65.89
1420.0,65.87
1422.0,65.85
1424.0,65.81
1426.0,65.71
1428.0,65.56
1430.0,65.46
1432.0,65.34
1434.0,65.29
1436.0,65.24
1438.0,65.23
1440.0,65.26
1442.0,65.29
1444.0,65.3
1446.0,65.29
1448.0,65.22
1450.0,65.13
1452.0,65.02
1454.0,64.9
1456.0,64.8
1458.0,64.69
1460.0,64.59
1462.0,64.45
1464.0,64.22
1466.0,63.915
1468.0,63.39
1470.0,62.6
1472.0,61.51
1474.0,60.09
1476.0,58.48
1478.0,56.95
1480.0,55.87
1482.0,55.54
1484.0,56.0
1486.0,57.09
1488.0,58.4
1490.0,59.62
1492.0,60.6
1494.0,61.32
1496.0,61.89
1498.0,62.44
1500.0,62.99
1502.0,63.57
1504.0,64.11
1506.0,64.57
1508.0,64.94
1510.0,65.26
1512.0,65.53
1514.0,65.77
1516.0,65.95
1518.0,66.09
1520.0,66.215
1522.0,66.33
1524.0,66.41
1526.0,66.49
1528.0,66.54
1530.0,66.575
1532.0,66.61
1534.0,66.63
1536.0,66.66
1538.0,66.69
1540.0,66.7
1542.0,66.7
1544.0,66.73
1546.0,66.77
1548.0,66.81
1550.0,66.84
1552.0,66.825
1554.0,66.825
1556.0,66.84
1558.0,66.88
1560.0,66.94
1562.0,66.99
1564.0,67.0
1566.0,66.98
1568.0,67.0
1570.0,66.99
1572.0,67.005
1574.0,67.02
1576.0,67.005
1578.0,67.005
1580.0,67.02
1582.0,67.04
1584.0,67.05
1586.0,67.06
1588.0,67.04
1590.0,67.04
1592.0,67.05
1594.0,67.06
1596.0,67.07
1598.0,67.09
1600.0,67.075
1602.0,67.075
1604.0,67.075
1606.0,67.075
1608.0,67.09
1610.0,67.075
1612.0,67.06
1614.0,67.07
1616.0,67.07
1618.0,67.07
1620.0,67.075
1622.0,67.075
1624.0,67.075
1626.0,67.075
1628.0,67.07
1630.0,67.07
1632.0,67.06
1634.0,67.07
1636.0,67.05
1638.0,67.05
1640.0,67.04
1642.0,67.05
1644.0,67.06
1646.0,67.06
1648.0,67.05
1650.0,67.005
1652.0,66.96
1654.0,66.93
1656.0,66.92
1658.0,66.96
1660.0,66.99
1662.0,66.95
1664.0,66.91
1666.0,66.84
1668.0,66.81
1670.0,66.84
1672.0,66.85
1674.0,66.82
1676.0,66.77
1678.0,66.72
1680.0,66.72
1682.0,66.78
1684.0,66.8
1686.0,66.81
1688.0,66.82
1690.0,66.825
1692.0,66.85
1694.0,66.825
1696.0,66.79
1698.0,66.79
1700.0,66.81
1702.0,66.825
1704.0,66.825
1706.0,66.78
1708.0,66.75
1710.0,66.72
1712.0,66.69
1714.0,66.67
1716.0,66.64
1718.0,66.62
1720.0,66.575
1722.0,66.575
1724.0,66.59
1726.0,66.62
1728.0,66.63
1730.0,66.56
1732.0,66.52
1734.0,66.465
1736.0,66.42
1738.0,66.41
1740.0,66.41
1742.0,66.43
1744.0,66.46
1746.0,66.44
1748.0,66.41
1750.0,66.43
1752.0,66.45
1754.0,66.49
1756.0,66.51
1758.0,66.5
1760.0,66.46
1762.0,66.44
1764.0,66.46
1766.0,66.465
1768.0,66.5
1770.0,66.52
1772.0,66.52
1774.0,66.54
1776.0,66.55
1778.0,66.56
1780.0,66.575
1782.0,66.56
1784.0,66.55
1786.0,66.52
1788.0,66.48
1790.0,66.465
1792.0,66.49
1794.0,66.5
1796.0,66.52
1798.0,66.49
1800.0,66.42
1802.0,66.39
1804.0,66.37
1806.0,66.36
1808.0,66.34
1810.0,66.31
1812.0,66.27
1814.0,66.2
1816.0,66.12
1818.0,66.03
1820.0,65.97
1822.0,65.94
1824.0,65.88
1826.0,65.82
1828.0,65.71
1830.0,65.65
1832.0,65.64
1834.0,65.63
1836.0,65.62
1838.0,65.59
1840.0,65.58
1842.0,65.57
1844.0,65.58
1846.0,65.57
1848.0,65.52
1850.0,65.48
1852.0,65.44
1854.0,65.425
1856.0,65.39
1858.0,65.315
1860.0,65.27
1862.0,65.21
1864.0,65.12
1866.0,65.01
1868.0,64.88
1870.0,64.77
1872.0,64.61
1874.0,64.48
1876.0,64.38
1878.0,64.33
1880.0,64.345
1882.0,64.37
1884.0,64.41
1886.0,64.455
1888.0,64.45
1890.0,64.38
1892.0,64.26
1894.0,64.11
1896.0,63.98
1898.0,63.86
1900.0,63.735
1902.0,63.69
1904.0,63.64
1906.0,63.61
1908.0,63.59
1910.0,63.555
1912.0,63.58
1914.0,63.59
1916.0,63.61
1918.0,63.69
1920.0,63.76
1922.0,63.8
1924.0,63.79
1926.0,63.735
1928.0,63.72
1930.0,63.72
1932.0,63.71
1934.0,63.71
1936.0,63.7
1938.0,63.7
1940.0,63.75
1942.0,63.75
1944.0,63.8
1946.0,63.83
1948.0,63.87
1950.0,63.94
1952.0,63.98
1954.0,64.03
1956.0,64.06
1958.0,64.08
1960.0,64.08
1962.0,64.12
1964.0,64.13
1966.0,64.095
1968.0,64.09
1970.0,64.14
1972.0,64.23
1974.0,64.25
1976.0,64.27
1978.0,64.26
1980.0,64.29
1982.0,64.32
1984.0,64.3
1986.0,64.31
1988.0,64.3
1990.0,64.33
1992.0,64.345
1994.0,64.31
1996.0,64.27
1998.0,64.22
2000.0,64.24
2002.0,64.24
2004.0,64.24
2006.0,64.23
2008.0,64.2
2010.0,64.21
2012.0,64.18
2014.0,64.17
2016.0,64.15
2018.0,64.13
2020.0,64.13
2022.0,64.13
2024.0,64.17
2026.0,64.2
2028.0,64.2
2030.0,64.19
2032.0,64.21
2034.0,64.26
2036.0,64.25
2038.0,64.22
2040.0,64.18
2042.0,64.21
2044.0,64.29
2046.0,64.32
2048.0,64.33
2050.0,64.33
2052.0,64.34
2054.0,64.3
2056.0,64.23
2058.0,64.2
2060.0,64.24
2062.0,64.24
2064.0,64.19
2066.0,64.16
2068.0,64.21
2070.0,64.23
2072.0,64.26
2074.0,64.23
2076.0,64.2
2078.0,64.19
2080.0,64.12
2082.0,64.11
2084.0,64.04
2086.0,63.98
2088.0,63.95
2090.0,63.915
2092.0,63.91
2094.0,63.87
2096.0,63.78
2098.0,63.71
2100.0,63.66
2102.0,63.66
2104.0,63.62
2106.0,63.58
2108.0,63.555
2110.0,63.55
2112.0,63.5
2114.0,63.43
2116.0,63.38
2118.0,63.34
2120.0,63.32
2122.0,63.25
2124.0,63.18
2126.0,63.11
2128.0,63.07
2130.0,63.06
2132.0,63.04
2134.0,63.03
2136.0,62.98
2138.0,62.93
2140.0,62.89
2142.0,62.82
2144.0,62.75
2146.0,62.68
2148.0,62.64
2150.0,62.57
2152.0,62.515
2154.0,62.46
2156.0,62.41
2158.0,62.38
2160.0,62.33
2162.0,62.3
2164.0,62.23
2166.0,62.15
2168.0,62.11
2170.0,62.03
2172.0,61.975
2174.0,61.9
2176.0,61.78
2178.0,61.68
2180.0,61.53
2182.0,61.4
2184.0,61.26
2186.0,61.15
2188.0,61.09
2190.0,61.0
2192.0,60.87
2194.0,60.69
2196.0,60.47
2198.0,60.28
2200.0,60.09
2202.0,59.855
2204.0,59.56
2206.0,59.16
2208.0,58.72
2210.0,58.16
2212.0,57.51
2214.0,56.77
2216.0,55.99
2218.0,55.27
2220.0,54.62
2222.0,54.14
2224.0,53.64
2226.0,53.05
2228.0,52.27
2230.0,51.47
2232.0,50.77
2234.0,50.34
2236.0,50.28
2238.0,50.54
2240.0,50.95
2242.0,51.36
2244.0,51.83
2246.0,52.35
2248.0,52.94
2250.0,53.51
2252.0,53.88
2254.0,54.11
2256.0,54.23
2258.0,54.22
2260.0,54.1
2262.0,53.82
2264.0,53.44
2266.0,52.995
2268.0,52.42
2270.0,51.81
2272.0,51.25
2274.0,50.79
2276.0,50.46
2278.0,50.28
2280.0,50.32
2282.0,50.5
2284.0,50.74
2286.0,50.985
2288.0,51.18
2290.0,51.4
2292.0,51.69
2294.0,52.08
2296.0,52.53
2298.0,52.94
2300.0,53.28
2302.0,53.42
2304.0,53.37
2306.0,53.08
2308.0,52.52
2310.0,51.67
2312.0,50.43
2314.0,48.81
2316.0,46.82
2318.0,44.55
2320.0,42.15
2322.0,39.9
2324.0,38.05
2326.0,36.83
2328.0,36.175
2330.0,36.07
2332.0,36.41
2334.0,37.03
2336.0,37.65
2338.0,38.14
2340.0,38.34
2342.0,38.205
2344.0,37.72
2346.0,36.94
2348.0,35.95
2350.0,34.86
2352.0,33.83
2354.0,32.89
2356.0,32.18
2358.0,31.63
2360.0,31.39
2362.0,31.46
2364.0,31.83
2366.0,32.5
2368.0,33.42
2370.0,34.41
2372.0,35.22
2374.0,35.81
2376.0,36.21
2378.0,36.38
2380.0,36.26
2382.0,36.06
2384.0,35.87
2386.0,35.76
2388.0,35.64
2390.0,35.6
2392.0,35.68
2394.0,35.98
2396.0,36.42
2398.0,37.05
2400.0,37.685
2402.0,38.295
2404.0,38.73
2406.0,39.08
2408.0,39.38
2410.0,39.68
2412.0,39.98
2414.0,40.3
2416.0,40.83
2418.0,41.46
2420.0,42.17
2422.0,42.84
2424.0,43.63
2426.0,44.3
2428.0,44.85
2430.0,45.18
2432.0,45.61
2434.0,46.09
2436.0,46.63
2438.0,47.1
2440.0,47.6
2442.0,47.97
2444.0,48.11
2446.0,48.02
2448.0,47.8
2450.0,47.66
2452.0,47.45
2454.0,47.27
2456.0,47.02
2458.0,46.8
2460.0,46.52
2462.0,46.08
2464.0,45.52
2466.0,45.05
2468.0,44.72
2470.0,44.5
2472.0,44.45
2474.0,44.55
2476.0,44.64
2478.0,44.73
2480.0,44.71
2482.0,44.69
2484.0,44.73
2486.0,44.64
2488.0,44.56
2490.0,44.5
2492.0,44.58
2494.0,44.56
2496.0,44.51
2498.0,44.49
2500.0,44.33
