wavelength,reflectivity
1300.0,74.655
1302.0,74.61
1304.0,74.44
1306.0,74.33
1308.0,74.27
1310.0,74.17
1312.0,74.045
1314.0,73.75
1316.0,73.58
1318.0,73.42
1320.0,73.11
1322.0,72.94
1324.0,72.66
1326.0,72.41
1328.0,72.09
1330.0,71.72
1332.0,71.4
1334.0,71.41
1336.0,71.58
1338.0,71.87
1340.0,72.18
1342.0,72.39
1344.0,72.57
1346.0,72.645
1348.0,72.67
1350.0,72.57
1352.0,72.35
1354.0,71.94
1356.0,71.42
1358.0,70.79
1360.0,70.32
1362.0,70.15
1364.0,70.25
1366.0,70.51
1368.0,70.775
1370.0,70.86
1372.0,70.74
1374.0,70.42
1376.0,69.83
1378.0,68.92
1380.0,67.54
1382.0,65.35
1384.0,61.975
1386.0,57.32
1388.0,51.845
1390.0,46.76
1392.0,43.67
1394.0,43.51
1396.0,46.1
1398.0,50.52
1400.0,55.44
1402.0,59.88
1404.0,63.42
1406.0,66.05
1408.0,67.975
1410.0,69.44
1412.0,70.51
1414.0,71.29
1416.0,71.85
1418.0,72.22
1420.0,72.38
1422.0,72.355
1424.0,72.21
1426.0,72.01
1428.0,71.91
1430.0,71.94
1432.0,72.12
1434.0,72.43
1436.0,72.88
1438.0,73.3
1440.0,73.73
1442.0,74.045
1444.0,74.295
1446.0,74.49
1448.0,74.61
1450.0,74.61
1452.0,74.56
1454.0,74.5
1456.0,74.47
1458.0,74.47
1460.0,74.5
1462.0,74.58
1464.0,74.72
1466.0,74.91
1468.0,75.12
1470.0,75.3
1472.0,75.49
1474.0,75.625
1476.0,75.82
1478.0,75.98
1480.0,76.14
1482.0,76.25
1484.0,76.33
1486.0,76.39
1488.0,76.49
1490.0,76.54
1492.0,76.59
1494.0,76.66
1496.0,76.72
1498.0,76.775
1500.0,76.82
1502.0,76.82
1504.0,76.83
1506.0,76.88
1508.0,76.9
1510.0,76.94
1512.0,76.95
1514.0,76.98
1516.0,76.99
1518.0,77.0
1520.0,77.04
1522.0,77.09
1524.0,77.12
1526.0,77.135
1528.0,77.15
1530.0,77.17
1532.0,77.19
1534.0,77.19
1536.0,77.16
1538.0,77.135
1540.0,77.11
1542.0,77.12
1544.0,77.15
1546.0,77.135
1548.0,77.11
1550.0,77.08
1552.0,77.07
1554.0,77.11
1556.0,77.16
1558.0,77.23
1560.0,77.31
1562.0,77.385
1564.0,77.45
1566.0,77.5
1568.0,77.53
1570.0,77.58
1572.0,77.63
1574.0,77.66
1576.0,77.69
1578.0,77.67
1580.0,77.65
1582.0,77.66
1584.0,77.68
1586.0,77.72
1588.0,77.74
1590.0,77.74
1592.0,77.76
1594.0,77.76
1596.0,77.72
1598.0,77.68
1600.0,77.63
1602.0,77.59
1604.0,77.62
1606.0,77.68
1608.0,77.7
1610.0,77.71
1612.0,77.69
1614.0,77.7
1616.0,77.74
1618.0,77.79
1620.0,77.81
1622.0,77.815
1624.0,77.8
1626.0,77.815
1628.0,77.83
1630.0,77.83
1632.0,77.85
1634.0,77.83
1636.0,77.815
1638.0,77.83
1640.0,77.81
1642.0,77.815
1644.0,77.815
1646.0,77.8
1648.0,77.815
1650.0,77.83
1652.0,77.81
1654.0,77.8
1656.0,77.78
1658.0,77.73
1660.0,77.7
1662.0,77.69
1664.0,77.69
1666.0,77.7
1668.0,77.69
1670.0,77.65
1672.0,77.62
1674.0,77.58
1676.0,77.565
1678.0,77.55
1680.0,77.52
1682.0,77.51
1684.0,77.51
1686.0,77.47
1688.0,77.41
1690.0,77.34
1692.0,77.315
1694.0,77.315
1696.0,77.29
1698.0,77.25
1700.0,77.19
1702.0,77.15
1704.0,77.11
1706.0,77.07
1708.0,77.09
1710.0,77.1
1712.0,77.08
1714.0,77.025
1716.0,76.955
1718.0,76.9
1720.0,76.84
1722.0,76.775
1724.0,76.71
1726.0,76.66
1728.0,76.62
1730.0,76.62
1732.0,76.62
1734.0,76.63
1736.0,76.62
1738.0,76.64
1740.0,76.64
1742.0,76.64
1744.0,76.62
1746.0,76.57
1748.0,76.5
1750.0,76.47
1752.0,76.43
1754.0,76.46
1756.0,76.46
1758.0,76.45
1760.0,76.45
1762.0,76.49
1764.0,76.57
1766.0,76.62
1768.0,76.67
1770.0,76.68
1772.0,76.68
1774.0,76.73
1776.0,76.76
1778.0,76.775
1780.0,76.77
1782.0,76.75
1784.0,76.73
1786.0,76.7
1788.0,76.62
1790.0,76.56
1792.0,76.5
1794.0,76.415
1796.0,76.345
1798.0,76.25
1800.0,76.12
1802.0,76.02
1804.0,75.95
1806.0,75.95
1808.0,75.985
1810.0,76.03
1812.0,76.12
1814.0,76.27
1816.0,76.31
1818.0,76.3
1820.0,76.28
1822.0,76.26
1824.0,76.26
1826.0,76.23
1828.0,76.2
1830.0,76.15
1832.0,76.13
1834.0,76.08
1836.0,76.04
1838.0,76.03
1840.0,76.02
1842.0,76.01
1844.0,75.95
1846.0,75.93
1848.0,75.85
1850.0,75.8
1852.0,75.73
1854.0,75.64
1856.0,75.58
1858.0,75.48
1860.0,75.375
1862.0,75.32
1864.0,75.26
1866.0,75.24
1868.0,75.19
1870.0,75.05
1872.0,74.88
1874.0,74.72
1876.0,74.64
1878.0,74.56
1880.0,74.45
1882.0,74.35
1884.0,74.25
1886.0,74.15
1888.0,74.02
1890.0,73.84
1892.0,73.7
1894.0,73.52
1896.0,73.31
1898.0,73.11
1900.0,72.94
1902.0,72.825
1904.0,72.715
1906.0,72.57
1908.0,72.43
1910.0,72.34
1912.0,72.285
1914.0,72.24
1916.0,72.19
1918.0,72.105
1920.0,72.06
1922.0,72.05
1924.0,72.0
1926.0,71.97
1928.0,71.9
1930.0,71.855
1932.0,71.8
1934.0,71.73
1936.0,71.63
1938.0,71.54
1940.0,71.49
1942.0,71.39
1944.0,71.31
1946.0,71.17
1948.0,71.04
1950.0,70.91
1952.0,70.77
1954.0,70.72
1956.0,70.7
1958.0,70.72
1960.0,70.79
1962.0,70.87
1964.0,70.955
1966.0,71.03
