wavelength,reflectivity
1300.0,58.6
1302.0,58.78
1304.0,58.79
1306.0,58.66
1308.0,58.72
1310.0,58.68
1312.0,58.56
1314.0,58.59
1316.0,58.56
1318.0,58.48
1320.0,58.48
1322.0,58.41
1324.0,58.385
1326.0,58.49
1328.0,58.56
1330.0,58.565
1332.0,58.51
1334.0,58.42
1336.0,58.41
1338.0,58.44
1340.0,58.42
1342.0,58.4
1344.0,58.385
1346.0,58.38
1348.0,58.385
1350.0,58.35
1352.0,58.3
1354.0,58.275
1356.0,58.3
1358.0,58.35
1360.0,58.385
1362.0,58.4
1364.0,58.41
1366.0,58.38
1368.0,58.36
1370.0,58.36
1372.0,58.36
1374.0,58.35
1376.0,58.33
1378.0,58.32
1380.0,58.3
1382.0,58.27
1384.0,58.24
1386.0,58.19
1388.0,58.15
1390.0,58.07
1392.0,57.99
1394.0,57.88
1396.0,57.8
1398.0,57.73
1400.0,57.66
1402.0,57.58
1404.0,57.47
1406.0,57.38
1408.0,57.34
1410.0,57.29
1412.0,57.26
1414.0,57.235
1416.0,57.21
1418.0,57.18
1420.0,57.16
1422.0,57.14
1424.0,57.14
1426.0,57.15
1428.0,57.16
1430.0,57.18
1432.0,57.21
1434.0,57.23
1436.0,57.23
1438.0,57.235
1440.0,57.235
1442.0,57.3
1444.0,57.305
1446.0,57.36
1448.0,57.39
1450.0,57.43
1452.0,57.45
1454.0,57.47
1456.0,57.5
1458.0,57.53
1460.0,57.55
1462.0,57.57
1464.0,57.58
1466.0,57.62
1468.0,57.68
1470.0,57.7
1472.0,57.73
1474.0,57.75
1476.0,57.81
1478.0,57.89
1480.0,57.94
1482.0,58.0
1484.0,58.01
1486.0,58.06
1488.0,58.13
1490.0,58.19
1492.0,58.26
1494.0,58.35
1496.0,58.4
1498.0,58.48
1500.0,58.54
1502.0,58.59
1504.0,58.65
1506.0,58.73
1508.0,58.8
1510.0,58.91
1512.0,58.96
1514.0,58.97
1516.0,58.96
1518.0,59.02
1520.0,59.13
1522.0,59.21
1524.0,59.27
1526.0,59.3
1528.0,59.35
1530.0,59.42
1532.0,59.49
1534.0,59.54
1536.0,59.57
1538.0,59.58
1540.0,59.58
1542.0,59.6
1544.0,59.64
1546.0,59.68
1548.0,59.74
1550.0,59.76
1552.0,59.83
1554.0,59.89
1556.0,59.91
1558.0,59.93
1560.0,59.91
1562.0,59.93
1564.0,59.965
1566.0,60.0
1568.0,60.02
1570.0,60.01
1572.0,60.035
1574.0,60.06
1576.0,60.12
1578.0,60.16
1580.0,60.2
1582.0,60.215
1584.0,60.24
1586.0,60.3
1588.0,60.34
1590.0,60.39
1592.0,60.42
1594.0,60.44
1596.0,60.48
1598.0,60.51
1600.0,60.48
1602.0,60.5
1604.0,60.53
1606.0,60.56
1608.0,60.575
1610.0,60.57
1612.0,60.54
1614.0,60.56
1616.0,60.56
1618.0,60.56
