wavelength,reflectivity
1300.0,55.58
1302.0,55.39
1304.0,55.21
1306.0,55.18
1308.0,55.22
1310.0,55.4
1312.0,55.47
1314.0,55.29
1316.0,55.24
1318.0,55.23
1320.0,55.26
1322.0,55.365
1324.0,55.39
1326.0,55.35
1328.0,55.38
1330.0,55.4
1332.0,55.43
1334.0,55.46
1336.0,55.47
1338.0,55.475
1340.0,55.545
1342.0,55.59
1344.0,55.64
1346.0,55.68
1348.0,55.69
1350.0,55.65
1352.0,55.655
1354.0,55.68
1356.0,55.72
1358.0,55.77
1360.0,55.76
1362.0,55.74
1364.0,55.74
1366.0,55.77
1368.0,55.79
1370.0,55.82
1372.0,55.835
1374.0,55.83
1376.0,55.81
1378.0,55.8
1380.0,55.78
1382.0,55.74
1384.0,55.655
1386.0,55.53
1388.0,55.365
1390.0,55.2
1392.0,55.03
1394.0,54.86
1396.0,54.685
1398.0,54.52
1400.0,54.38
1402.0,54.24
1404.0,54.07
1406.0,53.965
1408.0,53.88
1410.0,53.8
1412.0,53.77
1414.0,53.81
1416.0,53.895
1418.0,54.04
1420.0,54.17
1422.0,54.31
1424.0,54.44
1426.0,54.56
1428.0,54.685
1430.0,54.81
1432.0,54.91
1434.0,55.03
1436.0,55.11
1438.0,55.17
1440.0,55.25
1442.0,55.31
1444.0,55.36
1446.0,55.45
1448.0,55.51
1450.0,55.6
1452.0,55.64
1454.0,55.65
1456.0,55.67
1458.0,55.725
1460.0,55.79
1462.0,55.835
1464.0,55.835
1466.0,55.86
1468.0,55.905
1470.0,56.0
1472.0,56.08
1474.0,56.14
1476.0,56.16
1478.0,56.22
1480.0,56.28
1482.0,56.36
1484.0,56.44
1486.0,56.51
1488.0,56.58
1490.0,56.66
1492.0,56.72
1494.0,56.76
1496.0,56.83
1498.0,56.9
1500.0,56.98
1502.0,57.055
1504.0,57.13
1506.0,57.2
1508.0,57.28
1510.0,57.35
1512.0,57.43
1514.0,57.5
1516.0,57.55
1518.0,57.59
1520.0,57.65
1522.0,57.69
1524.0,57.76
1526.0,57.81
1528.0,57.83
1530.0,57.86
1532.0,57.91
1534.0,57.96
1536.0,58.025
1538.0,58.095
1540.0,58.16
1542.0,58.205
1544.0,58.23
1546.0,58.27
1548.0,58.31
1550.0,58.35
1552.0,58.37
1554.0,58.37
1556.0,58.4
1558.0,58.44
1560.0,58.48
1562.0,58.53
1564.0,58.58
1566.0,58.62
1568.0,58.62
1570.0,58.635
1572.0,58.66
1574.0,58.68
1576.0,58.72
1578.0,58.72
1580.0,58.75
1582.0,58.815
1584.0,58.89
1586.0,58.95
1588.0,58.96
1590.0,58.97
1592.0,58.995
1594.0,59.02
1596.0,59.06
1598.0,59.065
1600.0,59.05
1602.0,59.065
1604.0,59.065
1606.0,59.065
1608.0,59.08
1610.0,59.09
1612.0,59.12
1614.0,59.16
1616.0,59.19
1618.0,59.21
1620.0,59.2
1622.0,59.2
1624.0,59.19
1626.0,59.2
1628.0,59.21
1630.0,59.22
1632.0,59.24
1634.0,59.245
1636.0,59.245
1638.0,59.23
1640.0,59.2
1642.0,59.175
1644.0,59.175
1646.0,59.2
1648.0,59.23
1650.0,59.21
1652.0,59.21
1654.0,59.22
1656.0,59.24
1658.0,59.26
1660.0,59.27
1662.0,59.24
1664.0,59.24
1666.0,59.23
1668.0,59.175
1670.0,59.15
1672.0,59.11
1674.0,59.09
1676.0,59.1
1678.0,59.14
1680.0,59.16
1682.0,59.175
1684.0,59.17
1686.0,59.16
1688.0,59.17
1690.0,59.19
1692.0,59.22
1694.0,59.2
1696.0,59.22
1698.0,59.23
1700.0,59.23
1702.0,59.24
1704.0,59.245
1706.0,59.29
1708.0,59.31
1710.0,59.27
1712.0,59.22
1714.0,59.2
1716.0,59.23
1718.0,59.22
1720.0,59.175
1722.0,59.14
1724.0,59.14
1726.0,59.17
1728.0,59.2
1730.0,59.23
1732.0,59.23
1734.0,59.23
1736.0,59.22
1738.0,59.2
1740.0,59.17
1742.0,59.17
1744.0,59.22
1746.0,59.27
1748.0,59.28
1750.0,59.26
1752.0,59.23
1754.0,59.21
1756.0,59.22
1758.0,59.22
1760.0,59.19
1762.0,59.16
1764.0,59.16
1766.0,59.175
1768.0,59.19
1770.0,59.2
1772.0,59.2
1774.0,59.17
1776.0,59.175
1778.0,59.2
1780.0,59.22
1782.0,59.245
1784.0,59.21
1786.0,59.175
1788.0,59.175
1790.0,59.2
1792.0,59.22
1794.0,59.23
1796.0,59.2
1798.0,59.17
1800.0,59.16
1802.0,59.11
1804.0,59.12
1806.0,59.13
1808.0,59.14
1810.0,59.17
1812.0,59.15
1814.0,59.16
1816.0,59.17
1818.0,59.15
1820.0,59.15
1822.0,59.17
1824.0,59.17
1826.0,59.14
1828.0,59.09
