wavelength,reflectivity
1300.0,63.39
1302.0,63.45
1304.0,63.52
1306.0,63.485
1308.0,63.3
1310.0,63.46
1312.0,63.59
1314.0,63.555
1316.0,63.555
1318.0,63.52
1320.0,63.39
1322.0,63.4
1324.0,63.45
1326.0,63.47
1328.0,63.5
1330.0,63.47
1332.0,63.36
1334.0,63.37
1336.0,63.4
1338.0,63.37
1340.0,63.33
1342.0,63.32
1344.0,63.34
1346.0,63.38
1348.0,63.37
1350.0,63.3
1352.0,63.22
1354.0,63.1
1356.0,63.08
1358.0,63.07
1360.0,63.09
1362.0,63.01
1364.0,62.94
1366.0,62.875
1368.0,62.875
1370.0,62.92
1372.0,62.93
1374.0,62.89
1376.0,62.85
1378.0,62.82
1380.0,62.8
1382.0,62.765
1384.0,62.75
1386.0,62.71
1388.0,62.67
1390.0,62.61
1392.0,62.54
1394.0,62.47
1396.0,62.4
1398.0,62.31
1400.0,62.25
1402.0,62.14
1404.0,62.06
1406.0,61.95
1408.0,61.83
1410.0,61.68
1412.0,61.56
1414.0,61.4
1416.0,61.25
1418.0,61.09
1420.0,60.9
1422.0,60.71
1424.0,60.53
1426.0,60.34
1428.0,60.13
1430.0,59.88
1432.0,59.62
1434.0,59.34
1436.0,59.03
1438.0,58.68
1440.0,58.32
1442.0,57.91
1444.0,57.5
1446.0,57.02
1448.0,56.53
1450.0,56.07
1452.0,55.655
1454.0,55.28
1456.0,54.98
1458.0,54.75
1460.0,54.62
1462.0,54.62
1464.0,54.72
1466.0,54.91
1468.0,55.19
1470.0,55.54
1472.0,55.93
1474.0,56.335
1476.0,56.73
1478.0,57.02
1480.0,57.27
1482.0,57.47
1484.0,57.665
1486.0,57.84
1488.0,57.98
1490.0,58.09
1492.0,58.2
1494.0,58.27
1496.0,58.36
1498.0,58.41
1500.0,58.44
1502.0,58.48
1504.0,58.51
1506.0,58.51
1508.0,58.53
1510.0,58.56
1512.0,58.54
1514.0,58.51
1516.0,58.43
1518.0,58.34
1520.0,58.26
1522.0,58.2
1524.0,58.11
1526.0,57.99
1528.0,57.86
1530.0,57.77
1532.0,57.72
1534.0,57.665
1536.0,57.64
1538.0,57.65
1540.0,57.68
1542.0,57.73
1544.0,57.81
1546.0,57.9
1548.0,57.95
1550.0,58.0
1552.0,57.98
1554.0,57.92
1556.0,57.93
1558.0,57.91
1560.0,57.88
1562.0,57.82
1564.0,57.72
1566.0,57.61
1568.0,57.485
1570.0,57.36
