wavelength,reflectivity
1300.0,63.98
1302.0,63.93
1304.0,63.93
1306.0,64.13
1308.0,64.02
1310.0,64.04
1312.0,64.07
1314.0,63.94
1316.0,63.88
1318.0,63.735
1320.0,63.555
1322.0,63.42
1324.0,63.51
1326.0,63.47
1328.0,63.34
1330.0,63.18
1332.0,63.0
1334.0,62.91
1336.0,62.81
1338.0,62.71
1340.0,62.57
1342.0,62.4
1344.0,62.28
1346.0,62.21
1348.0,62.15
1350.0,62.085
1352.0,62.0
1354.0,61.89
1356.0,61.82
1358.0,61.75
1360.0,61.65
1362.0,61.48
1364.0,61.33
1366.0,61.14
1368.0,60.91
1370.0,60.68
1372.0,60.395
1374.0,59.88
1376.0,58.9
1378.0,57.37
1380.0,55.64
1382.0,54.23
1384.0,53.66
1386.0,53.93
1388.0,54.6
1390.0,55.14
1392.0,55.23
1394.0,54.865
1396.0,54.24
1398.0,53.48
1400.0,52.69
1402.0,51.91
1404.0,51.19
1406.0,50.55
1408.0,50.01
1410.0,49.59
1412.0,49.28
1414.0,49.08
1416.0,48.96
1418.0,48.94
1420.0,48.99
1422.0,49.1
1424.0,49.2
1426.0,49.3
1428.0,49.38
1430.0,49.45
1432.0,49.49
1434.0,49.5
1436.0,49.48
1438.0,49.47
1440.0,49.45
1442.0,49.44
1444.0,49.45
1446.0,49.51
1448.0,49.62
1450.0,49.79
1452.0,49.99
1454.0,50.18
1456.0,50.35
1458.0,50.49
1460.0,50.59
1462.0,50.68
1464.0,50.74
1466.0,50.78
1468.0,50.805
1470.0,50.91
1472.0,50.97
1474.0,51.08
1476.0,51.26
1478.0,51.43
1480.0,51.63
1482.0,51.87
1484.0,52.12
1486.0,52.4
1488.0,52.69
1490.0,52.95
1492.0,53.175
1494.0,53.41
1496.0,53.65
1498.0,53.91
1500.0,54.16
1502.0,54.41
1504.0,54.61
1506.0,54.82
1508.0,55.03
1510.0,55.25
1512.0,55.42
1514.0,55.54
1516.0,55.67
1518.0,55.85
1520.0,56.02
1522.0,56.18
1524.0,56.29
1526.0,56.38
1528.0,56.51
1530.0,56.625
1532.0,56.74
1534.0,56.87
1536.0,56.97
1538.0,57.08
1540.0,57.17
1542.0,57.28
1544.0,57.39
1546.0,57.5
1548.0,57.62
1550.0,57.71
1552.0,57.81
1554.0,57.91
1556.0,58.01
1558.0,58.12
1560.0,58.205
1562.0,58.3
1564.0,58.4
1566.0,58.47
1568.0,58.56
1570.0,58.63
1572.0,58.68
1574.0,58.73
1576.0,58.79
1578.0,58.84
1580.0,58.91
