wavelength,reflectivity
1300.0,59.81
1302.0,60.1
1304.0,59.8
1306.0,59.5
1308.0,59.45
1310.0,59.45
1312.0,59.63
1314.0,59.9
1316.0,59.93
1318.0,60.02
1320.0,60.07
1322.0,59.99
1324.0,59.98
1326.0,59.96
1328.0,59.94
1330.0,59.94
1332.0,59.855
1334.0,59.77
1336.0,59.69
1338.0,59.59
1340.0,59.44
1342.0,59.09
1344.0,58.42
1346.0,57.33
1348.0,55.89
1350.0,54.325
1352.0,53.06
1354.0,52.41
1356.0,52.48
1358.0,53.09
1360.0,53.96
1362.0,54.79
1364.0,55.38
1366.0,55.58
1368.0,55.17
1370.0,53.67
1372.0,50.66
1374.0,46.09
1376.0,40.845
1378.0,36.32
1380.0,33.45
1382.0,32.15
1384.0,31.59
1386.0,31.09
1388.0,30.66
1390.0,30.82
1392.0,32.13
1394.0,34.59
1396.0,37.74
1398.0,40.9
1400.0,43.56
1402.0,45.66
1404.0,47.36
1406.0,48.83
1408.0,50.195
1410.0,51.41
1412.0,52.44
1414.0,53.22
1416.0,53.75
1418.0,54.07
1420.0,54.28
1422.0,54.43
1424.0,54.63
1426.0,54.84
1428.0,55.07
1430.0,55.29
1432.0,55.51
1434.0,55.69
1436.0,55.86
1438.0,56.01
1440.0,56.16
1442.0,56.32
1444.0,56.47
1446.0,56.6
1448.0,56.73
1450.0,56.85
1452.0,56.95
1454.0,57.04
1456.0,57.11
1458.0,57.15
1460.0,57.23
1462.0,57.3
1464.0,57.4
1466.0,57.5
1468.0,57.57
1470.0,57.62
1472.0,57.71
1474.0,57.79
1476.0,57.88
1478.0,58.0
1480.0,58.11
1482.0,58.2
1484.0,58.29
1486.0,58.37
1488.0,58.48
1490.0,58.61
1492.0,58.73
1494.0,58.86
1496.0,58.98
1498.0,59.1
1500.0,59.245
1502.0,59.33
1504.0,59.44
1506.0,59.52
1508.0,59.57
1510.0,59.62
1512.0,59.68
1514.0,59.76
1516.0,59.89
1518.0,60.03
1520.0,60.13
1522.0,60.19
1524.0,60.215
1526.0,60.26
1528.0,60.325
1530.0,60.41
1532.0,60.48
1534.0,60.55
1536.0,60.62
1538.0,60.73
1540.0,60.85
1542.0,60.95
1544.0,61.02
1546.0,61.07
1548.0,61.11
1550.0,61.15
1552.0,61.22
1554.0,61.28
