wavelength,reflectivity
1300.0,12.21
1302.0,12.52
1304.0,12.65
1306.0,12.8
1308.0,12.805
1310.0,12.94
1312.0,12.97
1314.0,12.87
1316.0,12.79
1318.0,12.74
1320.0,12.7
1322.0,12.7
1324.0,12.66
1326.0,12.65
1328.0,12.68
1330.0,12.73
1332.0,12.79
1334.0,12.85
1336.0,12.88
1338.0,12.93
1340.0,12.96
1342.0,13.0
1344.0,13.03
1346.0,13.05
1348.0,13.06
1350.0,13.11
1352.0,13.17
1354.0,13.26
1356.0,13.32
1358.0,13.38
1360.0,13.42
1362.0,13.46
1364.0,13.51
1366.0,13.58
1368.0,13.65
1370.0,13.73
1372.0,13.775
1374.0,13.84
1376.0,13.89
1378.0,13.95
1380.0,14.03
1382.0,14.08
1384.0,14.14
1386.0,14.2
1388.0,14.28
1390.0,14.36
1392.0,14.43
1394.0,14.48
1396.0,14.53
1398.0,14.61
1400.0,14.7
1402.0,14.76
1404.0,14.8
1406.0,14.89
1408.0,14.97
1410.0,15.06
1412.0,15.14
1414.0,15.22
1416.0,15.31
1418.0,15.4
1420.0,15.48
1422.0,15.53
1424.0,15.62
1426.0,15.75
1428.0,15.88
1430.0,16.0
1432.0,16.1
1434.0,16.19
1436.0,16.3
1438.0,16.39
1440.0,16.48
1442.0,16.59
1444.0,16.73
1446.0,16.85
1448.0,16.99
1450.0,17.1
1452.0,17.22
1454.0,17.34
1456.0,17.43
1458.0,17.55
1460.0,17.69
1462.0,17.85
1464.0,18.01
1466.0,18.15
1468.0,18.26
1470.0,18.38
1472.0,18.52
1474.0,18.68
1476.0,18.85
1478.0,18.99
1480.0,19.13
1482.0,19.27
1484.0,19.43
1486.0,19.62
1488.0,19.81
1490.0,19.98
1492.0,20.17
1494.0,20.36
1496.0,20.58
1498.0,20.78
1500.0,21.0
1502.0,21.23
1504.0,21.45
1506.0,21.67
1508.0,21.85
1510.0,22.03
1512.0,22.26
1514.0,22.46
1516.0,22.72
1518.0,22.95
1520.0,23.18
1522.0,23.44
1524.0,23.68
1526.0,23.92
1528.0,24.19
1530.0,24.45
1532.0,24.7
1534.0,24.95
1536.0,25.185
1538.0,25.45
1540.0,25.73
1542.0,26.0
1544.0,26.29
1546.0,26.585
1548.0,26.88
1550.0,27.14
1552.0,27.39
1554.0,27.645
1556.0,27.93
1558.0,28.23
1560.0,28.51
1562.0,28.79
1564.0,29.1
1566.0,29.4
1568.0,29.71
1570.0,29.99
1572.0,30.28
1574.0,30.61
1576.0,30.95
1578.0,31.28
1580.0,31.57
1582.0,31.85
1584.0,32.1
1586.0,32.37
1588.0,32.67
1590.0,32.96
1592.0,33.24
1594.0,33.51
1596.0,33.75
1598.0,34.04
1600.0,34.37
1602.0,34.64
1604.0,34.91
1606.0,35.18
1608.0,35.44
1610.0,35.74
1612.0,36.0
1614.0,36.25
1616.0,36.52
1618.0,36.75
1620.0,36.97
1622.0,37.17
1624.0,37.4
1626.0,37.65
1628.0,37.91
1630.0,38.14
1632.0,38.34
1634.0,38.52
1636.0,38.71
1638.0,38.905
1640.0,39.12
1642.0,39.35
1644.0,39.59
1646.0,39.82
1648.0,40.04
1650.0,40.2
1652.0,40.35
1654.0,40.52
1656.0,40.7
1658.0,40.88
1660.0,41.03
1662.0,41.2
1664.0,41.38
1666.0,41.56
1668.0,41.71
1670.0,41.85
1672.0,42.03
1674.0,42.24
1676.0,42.39
1678.0,42.56
1680.0,42.71
1682.0,42.85
1684.0,43.0
1686.0,43.12
1688.0,43.27
1690.0,43.44
1692.0,43.57
1694.0,43.71
1696.0,43.82
1698.0,43.95
1700.0,44.09
1702.0,44.24
1704.0,44.36
1706.0,44.49
1708.0,44.58
1710.0,44.68
1712.0,44.81
1714.0,44.92
1716.0,45.03
1718.0,45.15
1720.0,45.23
1722.0,45.34
1724.0,45.43
1726.0,45.53
1728.0,45.65
1730.0,45.73
1732.0,45.83
1734.0,45.93
1736.0,46.08
1738.0,46.22
1740.0,46.32
1742.0,46.42
1744.0,46.5
1746.0,46.59
1748.0,46.68
1750.0,46.74
1752.0,46.83
1754.0,46.92
1756.0,47.0
1758.0,47.08
1760.0,47.16
1762.0,47.23
1764.0,47.32
1766.0,47.41
1768.0,47.48
1770.0,47.55
1772.0,47.61
1774.0,47.66
1776.0,47.75
1778.0,47.84
1780.0,47.91
1782.0,47.97
1784.0,48.04
1786.0,48.08
1788.0,48.13
1790.0,48.18
1792.0,48.22
1794.0,48.28
1796.0,48.33
1798.0,48.37
1800.0,48.38
1802.0,48.4
1804.0,48.42
1806.0,48.43
1808.0,48.47
1810.0,48.5
1812.0,48.55
1814.0,48.59
1816.0,48.59
1818.0,48.56
1820.0,48.55
1822.0,48.58
1824.0,48.61
1826.0,48.6
1828.0,48.59
1830.0,48.57
1832.0,48.56
1834.0,48.56
1836.0,48.55
1838.0,48.55
1840.0,48.51
1842.0,48.46
1844.0,48.44
1846.0,48.43
1848.0,48.43
1850.0,48.42
1852.0,48.4
1854.0,48.41
1856.0,48.39
1858.0,48.32
1860.0,48.25
1862.0,48.21
1864.0,48.19
1866.0,48.19
1868.0,48.15
1870.0,48.09
1872.0,48.04
1874.0,47.97
1876.0,47.91
1878.0,47.84
1880.0,47.76
1882.0,47.69
1884.0,47.63
1886.0,47.54
1888.0,47.44
1890.0,47.38
1892.0,47.23
1894.0,47.12
1896.0,47.02
1898.0,46.91
1900.0,46.81
1902.0,46.69
1904.0,46.58
1906.0,46.49
1908.0,46.4
1910.0,46.35
1912.0,46.35
1914.0,46.36
1916.0,46.32
1918.0,46.25
1920.0,46.19
1922.0,46.16
1924.0,46.14
1926.0,46.13
1928.0,46.09
1930.0,46.09
1932.0,46.06
1934.0,46.06
1936.0,46.07
1938.0,46.09
1940.0,46.11
1942.0,46.11
1944.0,46.07
1946.0,46.06
1948.0,46.1
1950.0,46.15
1952.0,46.18
1954.0,46.18
1956.0,46.18
1958.0,46.2
1960.0,46.21
1962.0,46.18
1964.0,46.18
1966.0,46.2
1968.0,46.25
1970.0,46.29
1972.0,46.31
