wavelength,reflectivity
1300.0,68.94
1302.0,68.79
1304.0,68.69
1306.0,68.92
1308.0,69.29
1310.0,69.53
1312.0,69.67
1314.0,69.66
1316.0,69.59
1318.0,69.71
1320.0,69.82
1322.0,69.9
1324.0,70.01
1326.0,70.12
1328.0,70.18
1330.0,70.23
1332.0,70.31
1334.0,70.37
1336.0,70.47
1338.0,70.56
1340.0,70.595
1342.0,70.54
1344.0,70.52
1346.0,70.59
1348.0,70.68
1350.0,70.72
1352.0,70.82
1354.0,70.88
1356.0,70.91
1358.0,71.0
1360.0,71.01
1362.0,71.02
1364.0,71.05
1366.0,71.09
1368.0,71.15
1370.0,71.23
1372.0,71.28
1374.0,71.3
1376.0,71.31
1378.0,71.33
1380.0,71.33
1382.0,71.3
1384.0,71.29
1386.0,71.27
1388.0,71.26
1390.0,71.25
1392.0,71.21
1394.0,71.17
1396.0,71.1
1398.0,71.05
1400.0,70.955
1402.0,70.88
1404.0,70.79
1406.0,70.7
1408.0,70.595
1410.0,70.52
1412.0,70.41
1414.0,70.34
1416.0,70.31
1418.0,70.28
1420.0,70.3
1422.0,70.32
1424.0,70.32
1426.0,70.32
1428.0,70.3
1430.0,70.28
1432.0,70.29
1434.0,70.34
1436.0,70.36
1438.0,70.39
1440.0,70.37
1442.0,70.345
1444.0,70.36
1446.0,70.36
1448.0,70.36
1450.0,70.36
1452.0,70.36
1454.0,70.38
1456.0,70.39
1458.0,70.39
1460.0,70.41
1462.0,70.42
1464.0,70.45
1466.0,70.44
1468.0,70.41
1470.0,70.37
1472.0,70.345
1474.0,70.36
1476.0,70.38
1478.0,70.38
1480.0,70.4
1482.0,70.4
1484.0,70.43
1486.0,70.48
1488.0,70.51
1490.0,70.5
1492.0,70.5
1494.0,70.5
1496.0,70.52
1498.0,70.54
1500.0,70.525
1502.0,70.57
1504.0,70.63
1506.0,70.68
1508.0,70.69
1510.0,70.67
1512.0,70.64
1514.0,70.64
1516.0,70.66
1518.0,70.66
1520.0,70.68
1522.0,70.705
1524.0,70.74
1526.0,70.75
1528.0,70.74
1530.0,70.72
1532.0,70.72
1534.0,70.7
1536.0,70.69
1538.0,70.69
1540.0,70.69
1542.0,70.705
1544.0,70.69
1546.0,70.66
1548.0,70.68
1550.0,70.67
1552.0,70.66
1554.0,70.62
1556.0,70.62
1558.0,70.65
1560.0,70.68
1562.0,70.67
1564.0,70.65
1566.0,70.64
1568.0,70.62
1570.0,70.595
1572.0,70.59
1574.0,70.56
1576.0,70.55
1578.0,70.52
1580.0,70.54
1582.0,70.59
1584.0,70.65
1586.0,70.66
1588.0,70.67
1590.0,70.67
1592.0,70.68
1594.0,70.7
1596.0,70.705
1598.0,70.7
1600.0,70.705
1602.0,70.69
1604.0,70.68
1606.0,70.7
1608.0,70.63
1610.0,70.55
1612.0,70.52
1614.0,70.525
1616.0,70.58
1618.0,70.58
