wavelength,reflectivity
1300.0,46.44
1302.0,46.31
1304.0,46.34
1306.0,46.54
1308.0,46.7
1310.0,46.83
1312.0,47.05
1314.0,47.05
1316.0,47.02
1318.0,46.89
1320.0,46.73
1322.0,46.74
1324.0,46.78
1326.0,46.88
1328.0,46.91
1330.0,46.89
1332.0,46.86
1334.0,46.93
1336.0,46.89
1338.0,46.92
1340.0,46.94
1342.0,46.96
1344.0,47.01
1346.0,46.99
1348.0,46.92
1350.0,46.88
1352.0,46.89
1354.0,46.91
1356.0,46.93
1358.0,46.93
1360.0,46.93
1362.0,46.93
1364.0,46.95
1366.0,46.95
1368.0,46.97
1370.0,46.97
1372.0,46.95
1374.0,46.92
1376.0,46.87
1378.0,46.86
1380.0,46.85
1382.0,46.83
1384.0,46.81
1386.0,46.8
1388.0,46.75
1390.0,46.7
1392.0,46.65
1394.0,46.57
1396.0,46.49
1398.0,46.44
1400.0,46.38
1402.0,46.34
1404.0,46.3
1406.0,46.24
1408.0,46.2
1410.0,46.18
1412.0,46.18
1414.0,46.18
1416.0,46.18
1418.0,46.16
1420.0,46.14
1422.0,46.15
1424.0,46.16
1426.0,46.19
1428.0,46.23
1430.0,46.27
1432.0,46.31
1434.0,46.33
1436.0,46.33
1438.0,46.31
1440.0,46.28
1442.0,46.28
1444.0,46.29
1446.0,46.3
1448.0,46.32
1450.0,46.35
1452.0,46.42
1454.0,46.51
1456.0,46.58
1458.0,46.65
1460.0,46.72
1462.0,46.79
1464.0,46.85
1466.0,46.9
1468.0,46.94
1470.0,46.99
1472.0,47.05
1474.0,47.09
1476.0,47.11
1478.0,47.16
1480.0,47.2
1482.0,47.26
1484.0,47.34
1486.0,47.39
1488.0,47.44
1490.0,47.46
1492.0,47.49
1494.0,47.52
1496.0,47.56
1498.0,47.6
1500.0,47.63
1502.0,47.71
1504.0,47.79
1506.0,47.88
1508.0,47.93
1510.0,47.94
1512.0,47.99
1514.0,48.03
1516.0,48.04
1518.0,48.05
1520.0,48.05
1522.0,48.09
1524.0,48.15
1526.0,48.22
1528.0,48.27
1530.0,48.3
1532.0,48.33
1534.0,48.34
1536.0,48.37
1538.0,48.42
1540.0,48.49
1542.0,48.51
1544.0,48.55
1546.0,48.58
1548.0,48.61
1550.0,48.66
1552.0,48.72
1554.0,48.75
1556.0,48.8
1558.0,48.84
1560.0,48.88
1562.0,48.9
1564.0,48.92
1566.0,48.94
1568.0,48.98
1570.0,49.03
1572.0,49.09
1574.0,49.11
1576.0,49.16
1578.0,49.2
1580.0,49.23
1582.0,49.27
1584.0,49.32
1586.0,49.38
1588.0,49.44
1590.0,49.49
1592.0,49.5
1594.0,49.53
1596.0,49.55
1598.0,49.58
1600.0,49.62
1602.0,49.65
1604.0,49.67
1606.0,49.71
1608.0,49.73
1610.0,49.76
1612.0,49.79
1614.0,49.82
1616.0,49.86
1618.0,49.89
1620.0,49.93
1622.0,49.94
1624.0,49.95
1626.0,49.98
1628.0,50.0
1630.0,50.04
1632.0,50.1
1634.0,50.14
1636.0,50.15
1638.0,50.17
1640.0,50.17
1642.0,50.17
1644.0,50.195
1646.0,50.21
1648.0,50.24
1650.0,50.3
1652.0,50.31
1654.0,50.31
1656.0,50.33
1658.0,50.36
1660.0,50.4
1662.0,50.41
1664.0,50.42
1666.0,50.4
1668.0,50.41
1670.0,50.4
1672.0,50.4
1674.0,50.41
1676.0,50.44
1678.0,50.49
1680.0,50.54
1682.0,50.6
1684.0,50.625
1686.0,50.625
1688.0,50.66
1690.0,50.69
1692.0,50.74
1694.0,50.77
1696.0,50.74
1698.0,50.77
1700.0,50.82
1702.0,50.87
1704.0,50.9
1706.0,50.9
1708.0,50.92
1710.0,50.95
1712.0,50.96
1714.0,50.96
1716.0,50.95
1718.0,50.93
1720.0,50.97
1722.0,51.01
1724.0,51.05
1726.0,51.1
1728.0,51.1
1730.0,51.08
1732.0,51.055
1734.0,51.055
1736.0,51.11
1738.0,51.2
1740.0,51.23
1742.0,51.23
1744.0,51.235
1746.0,51.28
1748.0,51.27
1750.0,51.28
1752.0,51.28
1754.0,51.28
1756.0,51.31
1758.0,51.31
1760.0,51.32
1762.0,51.37
1764.0,51.38
1766.0,51.41
1768.0,51.43
1770.0,51.45
1772.0,51.47
1774.0,51.47
1776.0,51.48
1778.0,51.51
1780.0,51.54
1782.0,51.56
1784.0,51.57
1786.0,51.57
1788.0,51.56
1790.0,51.56
1792.0,51.56
1794.0,51.57
1796.0,51.56
1798.0,51.57
1800.0,51.57
1802.0,51.59
1804.0,51.63
1806.0,51.66
1808.0,51.66
1810.0,51.64
1812.0,51.63
1814.0,51.62
1816.0,51.64
1818.0,51.64
1820.0,51.63
1822.0,51.63
1824.0,51.62
1826.0,51.62
1828.0,51.595
1830.0,51.57
1832.0,51.57
1834.0,51.59
1836.0,51.61
1838.0,51.61
1840.0,51.62
1842.0,51.595
1844.0,51.61
1846.0,51.55
1848.0,51.5
1850.0,51.48
1852.0,51.49
1854.0,51.49
1856.0,51.49
1858.0,51.41
1860.0,51.345
1862.0,51.31
1864.0,51.28
1866.0,51.25
1868.0,51.18
1870.0,51.13
1872.0,51.12
1874.0,51.07
1876.0,51.01
1878.0,50.9
1880.0,50.805
1882.0,50.76
1884.0,50.68
1886.0,50.56
1888.0,50.39
1890.0,50.18
1892.0,49.97
1894.0,49.75
1896.0,49.5
1898.0,49.25
1900.0,48.98
1902.0,48.68
1904.0,48.34
1906.0,48.05
1908.0,47.79
1910.0,47.58
1912.0,47.43
1914.0,47.35
1916.0,47.32
1918.0,47.35
1920.0,47.41
1922.0,47.51
1924.0,47.63
1926.0,47.72
1928.0,47.8
1930.0,47.89
1932.0,47.97
1934.0,47.99
1936.0,48.02
1938.0,48.08
1940.0,48.16
1942.0,48.24
1944.0,48.28
1946.0,48.33
1948.0,48.41
1950.0,48.47
1952.0,48.53
1954.0,48.57
1956.0,48.65
1958.0,48.69
1960.0,48.71
1962.0,48.72
1964.0,48.76
1966.0,48.81
1968.0,48.88
1970.0,48.91
1972.0,48.96
1974.0,49.01
1976.0,49.06
1978.0,49.08
1980.0,49.13
1982.0,49.19
1984.0,49.23
1986.0,49.28
1988.0,49.32
1990.0,49.37
1992.0,49.41
1994.0,49.43
1996.0,49.44
1998.0,49.47
2000.0,49.48
2002.0,49.52
2004.0,49.57
2006.0,49.63
2008.0,49.68
2010.0,49.74
2012.0,49.83
2014.0,49.92
2016.0,49.98
2018.0,50.015
2020.0,50.085
2022.0,50.15
2024.0,50.21
2026.0,50.22
2028.0,50.24
2030.0,50.265
2032.0,50.31
2034.0,50.32
2036.0,50.36
2038.0,50.41
2040.0,50.39
2042.0,50.44
2044.0,50.44
2046.0,50.44
2048.0,50.44
2050.0,50.445
2052.0,50.53
2054.0,50.56
2056.0,50.58
2058.0,50.57
2060.0,50.59
2062.0,50.6
2064.0,50.57
2066.0,50.59
2068.0,50.625
2070.0,50.64
2072.0,50.65
2074.0,50.64
2076.0,50.625
2078.0,50.62
2080.0,50.6
2082.0,50.62
2084.0,50.6
2086.0,50.59
2088.0,50.58
2090.0,50.54
2092.0,50.48
2094.0,50.41
2096.0,50.375
2098.0,50.35
2100.0,50.34
2102.0,50.28
2104.0,50.22
2106.0,50.15
2108.0,50.04
2110.0,50.04
2112.0,50.0
2114.0,49.95
2116.0,49.87
2118.0,49.77
2120.0,49.73
2122.0,49.68
2124.0,49.61
2126.0,49.52
2128.0,49.5
2130.0,49.49
2132.0,49.46
2134.0,49.41
2136.0,49.36
2138.0,49.31
2140.0,49.3
2142.0,49.29
2144.0,49.31
2146.0,49.27
2148.0,49.24
2150.0,49.24
2152.0,49.25
2154.0,49.26
2156.0,49.23
2158.0,49.23
2160.0,49.23
2162.0,49.26
2164.0,49.25
2166.0,49.24
2168.0,49.2
2170.0,49.17
2172.0,49.19
2174.0,49.19
2176.0,49.16
2178.0,49.06
2180.0,49.0
2182.0,48.97
2184.0,48.92
2186.0,48.82
2188.0,48.73
2190.0,48.72
2192.0,48.7
2194.0,48.62
2196.0,48.5
2198.0,48.39
2200.0,48.34
2202.0,48.28
2204.0,48.24
2206.0,48.16
2208.0,48.1
2210.0,48.06
2212.0,48.03
2214.0,47.99
2216.0,47.96
2218.0,47.93
2220.0,47.93
2222.0,47.88
2224.0,47.88
2226.0,47.82
2228.0,47.77
2230.0,47.71
2232.0,47.62
2234.0,47.52
2236.0,47.42
2238.0,47.39
2240.0,47.35
2242.0,47.24
2244.0,47.08
2246.0,47.01
2248.0,46.93
2250.0,46.81
2252.0,46.68
2254.0,46.55
2256.0,46.44
2258.0,46.33
2260.0,46.26
2262.0,46.27
2264.0,46.24
2266.0,46.18
2268.0,46.1
2270.0,46.01
2272.0,45.87
2274.0,45.71
2276.0,45.58
2278.0,45.53
2280.0,45.46
2282.0,45.37
2284.0,45.25
2286.0,45.13
2288.0,45.01
2290.0,44.89
2292.0,44.77
2294.0,44.65
2296.0,44.57
2298.0,44.48
2300.0,44.42
2302.0,44.36
2304.0,44.35
2306.0,44.29
2308.0,44.19
2310.0,44.1
2312.0,44.02
2314.0,43.9
2316.0,43.77
2318.0,43.63
2320.0,43.45
2322.0,43.3
2324.0,43.16
2326.0,43.07
2328.0,42.96
2330.0,42.85
2332.0,42.8
2334.0,42.77
2336.0,42.76
2338.0,42.73
2340.0,42.72
2342.0,42.81
2344.0,42.92
2346.0,43.02
2348.0,43.1
2350.0,43.23
2352.0,43.4
2354.0,43.53
2356.0,43.7
2358.0,43.92
2360.0,44.12
2362.0,44.25
2364.0,44.35
2366.0,44.46
2368.0,44.52
2370.0,44.57
2372.0,44.59
2374.0,44.64
2376.0,44.69
2378.0,44.73
2380.0,44.77
2382.0,44.86
2384.0,44.98
2386.0,44.98
2388.0,44.96
