wavelength,reflectivity
1300.0,72.84
1302.0,72.81
1304.0,73.02
1306.0,73.27
1308.0,73.325
1310.0,73.23
1312.0,73.075
1314.0,72.79
1316.0,72.63
1318.0,72.25
1320.0,71.925
1322.0,71.8
1324.0,71.745
1326.0,71.67
1328.0,71.675
1330.0,71.45
1332.0,71.11
1334.0,70.775
1336.0,70.55
1338.0,70.44
1340.0,70.32
1342.0,70.2
1344.0,70.04
1346.0,69.87
1348.0,69.68
1350.0,69.48
1352.0,69.28
1354.0,69.1
1356.0,68.9
1358.0,68.67
1360.0,68.4
1362.0,68.15
1364.0,67.94
1366.0,67.71
1368.0,67.47
1370.0,67.22
1372.0,66.92
1374.0,66.59
1376.0,66.24
1378.0,65.82
1380.0,65.37
1382.0,64.85
1384.0,64.3
1386.0,63.7
1388.0,63.09
1390.0,62.37
1392.0,61.57
1394.0,60.69
1396.0,59.77
1398.0,58.815
1400.0,57.845
1402.0,56.92
1404.0,56.01
1406.0,55.115
1408.0,54.27
1410.0,53.48
1412.0,52.8
1414.0,52.26
1416.0,51.84
1418.0,51.54
1420.0,51.34
1422.0,51.25
1424.0,51.28
1426.0,51.4
1428.0,51.58
1430.0,51.83
1432.0,52.11
1434.0,52.46
1436.0,52.84
1438.0,53.22
1440.0,53.64
1442.0,54.06
1444.0,54.5
1446.0,54.92
1448.0,55.32
1450.0,55.75
1452.0,56.11
1454.0,56.47
1456.0,56.79
1458.0,57.04
1460.0,57.25
1462.0,57.41
1464.0,57.5
1466.0,57.53
1468.0,57.52
1470.0,57.51
1472.0,57.55
1474.0,57.68
1476.0,57.88
1478.0,58.17
1480.0,58.51
1482.0,58.9
1484.0,59.37
1486.0,59.84
1488.0,60.31
1490.0,60.755
1492.0,61.16
1494.0,61.54
1496.0,61.9
1498.0,62.22
1500.0,62.56
1502.0,62.87
1504.0,63.16
1506.0,63.42
1508.0,63.665
1510.0,63.93
1512.0,64.15
1514.0,64.37
1516.0,64.56
1518.0,64.72
1520.0,64.88
1522.0,65.05
1524.0,65.23
1526.0,65.41
1528.0,65.54
1530.0,65.63
1532.0,65.71
1534.0,65.78
1536.0,65.85
1538.0,65.91
1540.0,65.99
1542.0,66.09
1544.0,66.18
1546.0,66.25
1548.0,66.33
1550.0,66.38
1552.0,66.45
1554.0,66.49
1556.0,66.55
1558.0,66.61
1560.0,66.645
1562.0,66.68
1564.0,66.71
1566.0,66.76
1568.0,66.8
1570.0,66.825
1572.0,66.87
1574.0,66.91
1576.0,66.94
1578.0,66.98
1580.0,66.98
1582.0,67.0
1584.0,67.03
1586.0,67.03
1588.0,67.03
1590.0,67.05
1592.0,67.09
1594.0,67.15
1596.0,67.16
1598.0,67.15
1600.0,67.13
1602.0,67.17
1604.0,67.23
1606.0,67.29
1608.0,67.33
1610.0,67.35
1612.0,67.38
1614.0,67.39
1616.0,67.39
1618.0,67.39
1620.0,67.42
1622.0,67.43
1624.0,67.46
1626.0,67.52
1628.0,67.55
1630.0,67.57
1632.0,67.61
1634.0,67.64
1636.0,67.65
1638.0,67.65
1640.0,67.64
1642.0,67.63
1644.0,67.71
1646.0,67.78
1648.0,67.81
1650.0,67.81
1652.0,67.79
1654.0,67.78
1656.0,67.83
1658.0,67.83
1660.0,67.85
1662.0,67.85
1664.0,67.84
1666.0,67.85
1668.0,67.83
1670.0,67.82
1672.0,67.79
1674.0,67.79
1676.0,67.81
1678.0,67.84
1680.0,67.84
1682.0,67.85
1684.0,67.84
1686.0,67.82
1688.0,67.78
1690.0,67.72
1692.0,67.72
1694.0,67.74
1696.0,67.74
1698.0,67.72
1700.0,67.69
1702.0,67.64
1704.0,67.58
1706.0,67.54
1708.0,67.51
1710.0,67.435
1712.0,67.33
1714.0,67.23
1716.0,67.1
1718.0,67.005
1720.0,66.88
1722.0,66.73
1724.0,66.62
1726.0,66.52
1728.0,66.43
1730.0,66.34
1732.0,66.19
1734.0,66.01
1736.0,65.85
1738.0,65.72
1740.0,65.605
1742.0,65.53
1744.0,65.4
1746.0,65.19
1748.0,65.065
1750.0,64.97
1752.0,64.92
1754.0,64.91
1756.0,64.84
1758.0,64.79
1760.0,64.74
1762.0,64.67
1764.0,64.61
1766.0,64.56
1768.0,64.51
1770.0,64.44
1772.0,64.36
1774.0,64.33
1776.0,64.31
1778.0,64.3
1780.0,64.275
1782.0,64.24
1784.0,64.21
1786.0,64.14
1788.0,64.08
1790.0,64.04
1792.0,63.99
1794.0,63.93
1796.0,63.86
1798.0,63.81
1800.0,63.735
1802.0,63.69
1804.0,63.61
1806.0,63.54
1808.0,63.51
1810.0,63.48
1812.0,63.43
1814.0,63.34
1816.0,63.26
1818.0,63.125
1820.0,63.05
1822.0,62.945
1824.0,62.875
1826.0,62.81
1828.0,62.73
1830.0,62.63
1832.0,62.48
1834.0,62.335
1836.0,62.2
1838.0,62.04
1840.0,61.85
1842.0,61.61
1844.0,61.35
1846.0,61.07
1848.0,60.755
1850.0,60.5
1852.0,60.2
1854.0,59.87
1856.0,59.49
1858.0,59.04
1860.0,58.6
1862.0,58.11
1864.0,57.58
1866.0,57.0
1868.0,56.32
1870.0,55.545
1872.0,54.71
1874.0,53.81
1876.0,52.815
1878.0,51.71
1880.0,50.51
1882.0,49.24
1884.0,47.9
1886.0,46.44
1888.0,44.84
1890.0,43.13
1892.0,41.35
