wavelength,reflectivity
1300.0,67.05
1302.0,66.96
1304.0,66.76
1306.0,66.84
1308.0,66.85
1310.0,66.84
1312.0,66.94
1314.0,67.14
1316.0,66.89
1318.0,66.85
1320.0,66.84
1322.0,66.7
1324.0,66.8
1326.0,66.93
1328.0,66.77
1330.0,66.71
1332.0,66.68
1334.0,66.69
1336.0,66.75
1338.0,66.81
1340.0,66.82
1342.0,66.86
1344.0,66.87
1346.0,66.86
1348.0,66.825
1350.0,66.8
1352.0,66.81
1354.0,66.82
1356.0,66.81
1358.0,66.825
1360.0,66.86
1362.0,66.84
1364.0,66.84
1366.0,66.825
1368.0,66.79
1370.0,66.79
1372.0,66.81
1374.0,66.79
1376.0,66.76
1378.0,66.75
1380.0,66.75
1382.0,66.76
1384.0,66.77
1386.0,66.77
1388.0,66.72
1390.0,66.68
1392.0,66.66
1394.0,66.645
1396.0,66.64
1398.0,66.6
1400.0,66.54
1402.0,66.49
1404.0,66.465
1406.0,66.465
1408.0,66.44
1410.0,66.42
1412.0,66.395
1414.0,66.37
1416.0,66.38
1418.0,66.395
1420.0,66.41
1422.0,66.42
1424.0,66.42
1426.0,66.42
1428.0,66.46
1430.0,66.53
1432.0,66.55
1434.0,66.56
1436.0,66.57
1438.0,66.61
1440.0,66.62
1442.0,66.62
1444.0,66.61
1446.0,66.61
1448.0,66.64
1450.0,66.67
1452.0,66.68
1454.0,66.67
1456.0,66.645
1458.0,66.64
1460.0,66.67
1462.0,66.72
1464.0,66.71
1466.0,66.73
1468.0,66.74
1470.0,66.75
1472.0,66.78
1474.0,66.81
1476.0,66.825
1478.0,66.85
1480.0,66.88
1482.0,66.89
1484.0,66.89
1486.0,66.88
1488.0,66.91
1490.0,66.96
1492.0,66.98
1494.0,67.02
1496.0,67.03
1498.0,67.005
1500.0,67.02
1502.0,67.05
1504.0,67.04
1506.0,67.1
1508.0,67.12
1510.0,67.185
1512.0,67.21
1514.0,67.24
1516.0,67.25
1518.0,67.23
1520.0,67.22
1522.0,67.21
1524.0,67.22
1526.0,67.255
1528.0,67.28
1530.0,67.33
1532.0,67.34
1534.0,67.3
1536.0,67.31
1538.0,67.34
1540.0,67.34
1542.0,67.33
1544.0,67.36
1546.0,67.365
1548.0,67.38
1550.0,67.41
1552.0,67.4
1554.0,67.39
1556.0,67.365
1558.0,67.34
1560.0,67.31
1562.0,67.32
1564.0,67.36
1566.0,67.39
1568.0,67.38
1570.0,67.41
1572.0,67.41
1574.0,67.39
1576.0,67.35
1578.0,67.32
1580.0,67.365
1582.0,67.435
1584.0,67.47
1586.0,67.46
1588.0,67.435
1590.0,67.48
1592.0,67.58
1594.0,67.63
1596.0,67.67
1598.0,67.66
1600.0,67.63
1602.0,67.615
1604.0,67.615
1606.0,67.63
1608.0,67.64
1610.0,67.6
1612.0,67.57
1614.0,67.57
1616.0,67.64
1618.0,67.71
1620.0,67.69
1622.0,67.61
1624.0,67.59
1626.0,67.59
1628.0,67.61
1630.0,67.6
1632.0,67.57
1634.0,67.56
1636.0,67.54
1638.0,67.5
1640.0,67.49
1642.0,67.52
1644.0,67.56
1646.0,67.52
1648.0,67.43
1650.0,67.365
1652.0,67.38
1654.0,67.39
1656.0,67.35
1658.0,67.31
1660.0,67.32
1662.0,67.34
1664.0,67.3
1666.0,67.185
1668.0,67.13
1670.0,67.15
1672.0,67.17
1674.0,67.16
