wavelength,reflectivity
1300.0,88.75
1302.0,89.06
1304.0,89.25
1306.0,89.1
1308.0,89.01
1310.0,88.91
1312.0,88.88
1314.0,88.85
1316.0,88.78
1318.0,88.63
1320.0,88.52
1322.0,88.46
1324.0,88.57
1326.0,88.67
1328.0,88.76
1330.0,88.77
1332.0,88.69
1334.0,88.71
1336.0,88.83
1338.0,88.77
1340.0,88.76
1342.0,88.62
1344.0,88.54
1346.0,88.56
1348.0,88.63
1350.0,88.65
1352.0,88.69
1354.0,88.61
1356.0,88.53
1358.0,88.43
1360.0,88.4
1362.0,88.45
1364.0,88.56
1366.0,88.61
1368.0,88.57
1370.0,88.49
1372.0,88.36
1374.0,88.21
1376.0,87.94
1378.0,87.41
1380.0,86.29
1382.0,84.1
1384.0,80.44
1386.0,75.69
1388.0,70.82
1390.0,67.36
1392.0,66.34
1394.0,67.865
1396.0,71.03
1398.0,74.81
1400.0,78.25
1402.0,80.94
1404.0,82.79
1406.0,84.01
1408.0,84.76
1410.0,85.23
1412.0,85.5
1414.0,85.62
1416.0,85.68
1418.0,85.73
1420.0,85.8
1422.0,85.85
1424.0,85.87
1426.0,85.86
1428.0,85.81
1430.0,85.81
1432.0,85.8
1434.0,85.72
1436.0,85.65
1438.0,85.59
1440.0,85.58
1442.0,85.57
1444.0,85.56
1446.0,85.63
1448.0,85.72
1450.0,85.82
1452.0,85.94
1454.0,86.0
1456.0,86.07
1458.0,86.19
1460.0,86.27
1462.0,86.35
1464.0,86.41
1466.0,86.41
1468.0,86.43
1470.0,86.49
1472.0,86.54
1474.0,86.61
1476.0,86.69
1478.0,86.76
1480.0,86.79
1482.0,86.83
1484.0,86.88
1486.0,86.92
1488.0,86.99
1490.0,87.02
1492.0,87.02
1494.0,86.98
1496.0,86.92
1498.0,86.86
1500.0,86.81
1502.0,86.79
1504.0,86.79
1506.0,86.79
1508.0,86.84
1510.0,86.88
1512.0,86.92
1514.0,86.94
1516.0,86.93
1518.0,86.87
1520.0,86.79
1522.0,86.7
1524.0,86.63
1526.0,86.52
1528.0,86.39
1530.0,86.28
1532.0,86.23
1534.0,86.27
1536.0,86.33
1538.0,86.39
1540.0,86.45
1542.0,86.48
1544.0,86.55
1546.0,86.66
1548.0,86.76
1550.0,86.84
1552.0,86.91
1554.0,86.98
1556.0,87.07
1558.0,87.14
1560.0,87.2
1562.0,87.25
1564.0,87.28
1566.0,87.31
1568.0,87.33
1570.0,87.34
1572.0,87.38
1574.0,87.44
1576.0,87.52
1578.0,87.59
1580.0,87.63
1582.0,87.66
1584.0,87.68
1586.0,87.71
1588.0,87.74
1590.0,87.8
1592.0,87.84
1594.0,87.89
1596.0,87.95
1598.0,87.97
1600.0,88.0
1602.0,88.02
1604.0,88.02
1606.0,88.09
1608.0,88.14
1610.0,88.19
1612.0,88.24
1614.0,88.25
1616.0,88.28
1618.0,88.32
1620.0,88.32
1622.0,88.33
1624.0,88.33
1626.0,88.37
1628.0,88.45
1630.0,88.5
1632.0,88.52
1634.0,88.54
1636.0,88.57
1638.0,88.63
1640.0,88.67
1642.0,88.61
1644.0,88.59
1646.0,88.59
1648.0,88.62
1650.0,88.67
1652.0,88.67
1654.0,88.66
1656.0,88.67
1658.0,88.68
1660.0,88.7
1662.0,88.7
1664.0,88.7
1666.0,88.7
1668.0,88.69
1670.0,88.72
1672.0,88.71
1674.0,88.7
1676.0,88.68
1678.0,88.65
1680.0,88.62
1682.0,88.6
1684.0,88.59
1686.0,88.59
1688.0,88.59
1690.0,88.55
1692.0,88.55
1694.0,88.58
1696.0,88.57
1698.0,88.53
1700.0,88.5
1702.0,88.51
1704.0,88.53
1706.0,88.52
1708.0,88.49
1710.0,88.46
1712.0,88.44
1714.0,88.45
1716.0,88.41
1718.0,88.36
1720.0,88.37
1722.0,88.36
1724.0,88.36
1726.0,88.36
1728.0,88.32
1730.0,88.32
