wavelength,reflectivity
1300.0,62.14
1302.0,62.17
1304.0,62.23
1306.0,62.17
1308.0,62.12
1310.0,62.01
1312.0,61.74
1314.0,61.68
1316.0,61.79
1318.0,61.75
1320.0,61.65
1322.0,61.43
1324.0,61.24
1326.0,61.3
1328.0,61.26
1330.0,61.27
1332.0,61.18
1334.0,61.06
1336.0,61.03
1338.0,61.09
1340.0,61.11
1342.0,61.08
1344.0,60.935
1346.0,60.825
1348.0,60.79
1350.0,60.81
1352.0,60.84
1354.0,60.81
1356.0,60.79
1358.0,60.78
1360.0,60.79
1362.0,60.81
1364.0,60.79
1366.0,60.73
1368.0,60.66
1370.0,60.61
1372.0,60.6
1374.0,60.59
1376.0,60.57
1378.0,60.54
1380.0,60.5
1382.0,60.47
1384.0,60.47
1386.0,60.46
1388.0,60.42
1390.0,60.395
1392.0,60.34
1394.0,60.325
1396.0,60.3
1398.0,60.27
1400.0,60.215
1402.0,60.2
1404.0,60.19
1406.0,60.19
1408.0,60.18
1410.0,60.145
1412.0,60.13
1414.0,60.12
1416.0,60.12
1418.0,60.14
1420.0,60.14
1422.0,60.11
1424.0,60.09
1426.0,60.06
1428.0,60.06
1430.0,60.07
1432.0,60.08
1434.0,60.09
1436.0,60.11
1438.0,60.13
1440.0,60.12
1442.0,60.1
1444.0,60.07
1446.0,60.035
1448.0,60.035
1450.0,60.08
1452.0,60.12
1454.0,60.11
1456.0,60.08
1458.0,60.05
1460.0,59.99
1462.0,59.94
1464.0,59.87
1466.0,59.76
1468.0,59.73
1470.0,59.65
1472.0,59.59
1474.0,59.49
1476.0,59.37
1478.0,59.26
1480.0,59.2
1482.0,59.17
1484.0,59.23
1486.0,59.3
1488.0,59.4
1490.0,59.52
1492.0,59.65
1494.0,59.78
1496.0,59.9
1498.0,59.98
1500.0,60.035
1502.0,60.08
1504.0,60.12
1506.0,60.18
1508.0,60.24
1510.0,60.25
1512.0,60.31
1514.0,60.32
1516.0,60.32
1518.0,60.37
1520.0,60.41
1522.0,60.44
1524.0,60.47
1526.0,60.48
1528.0,60.49
1530.0,60.52
1532.0,60.53
1534.0,60.53
1536.0,60.53
1538.0,60.56
1540.0,60.6
1542.0,60.61
1544.0,60.62
1546.0,60.64
1548.0,60.63
1550.0,60.63
1552.0,60.64
1554.0,60.66
1556.0,60.7
1558.0,60.72
1560.0,60.72
1562.0,60.73
1564.0,60.74
1566.0,60.75
1568.0,60.77
1570.0,60.8
1572.0,60.82
1574.0,60.85
1576.0,60.86
1578.0,60.9
1580.0,60.93
1582.0,60.935
1584.0,60.96
1586.0,60.98
1588.0,61.005
1590.0,61.03
1592.0,61.04
1594.0,61.05
1596.0,61.08
1598.0,61.07
1600.0,61.09
1602.0,61.115
1604.0,61.16
1606.0,61.18
1608.0,61.185
1610.0,61.18
1612.0,61.2
1614.0,61.25
1616.0,61.3
1618.0,61.32
1620.0,61.32
1622.0,61.29
1624.0,61.29
1626.0,61.29
