wavelength,reflectivity
1300.0,43.35
1302.0,43.45
1304.0,43.26
1306.0,43.1
1308.0,43.07
1310.0,43.07
1312.0,43.05
1314.0,43.05
1316.0,42.94
1318.0,43.03
1320.0,43.01
1322.0,42.78
1324.0,42.71
1326.0,42.78
1328.0,42.76
1330.0,42.79
1332.0,42.64
1334.0,42.56
1336.0,42.51
1338.0,42.46
1340.0,42.41
1342.0,42.32
1344.0,42.3
1346.0,42.31
1348.0,42.32
1350.0,42.36
1352.0,42.4
1354.0,42.44
1356.0,42.48
1358.0,42.47
1360.0,42.45
1362.0,42.44
1364.0,42.4
1366.0,42.34
1368.0,42.31
1370.0,42.31
1372.0,42.34
1374.0,42.38
1376.0,42.42
1378.0,42.43
1380.0,42.44
1382.0,42.42
1384.0,42.39
1386.0,42.33
1388.0,42.25
1390.0,42.09
1392.0,41.69
1394.0,40.755
1396.0,39.12
1398.0,36.8
1400.0,34.32
1402.0,32.54
1404.0,32.11
1406.0,33.14
1408.0,35.15
1410.0,37.38
1412.0,39.25
1414.0,40.57
1416.0,41.39
1418.0,41.88
1420.0,42.17
1422.0,42.33
1424.0,42.43
1426.0,42.52
1428.0,42.54
1430.0,42.57
1432.0,42.56
1434.0,42.59
1436.0,42.63
1438.0,42.7
1440.0,42.71
1442.0,42.71
1444.0,42.72
1446.0,42.73
1448.0,42.73
1450.0,42.76
1452.0,42.78
1454.0,42.79
1456.0,42.81
1458.0,42.79
1460.0,42.76
1462.0,42.75
1464.0,42.75
1466.0,42.75
1468.0,42.76
1470.0,42.79
1472.0,42.8
1474.0,42.83
1476.0,42.86
1478.0,42.87
1480.0,42.88
1482.0,42.89
1484.0,42.87
1486.0,42.88
1488.0,42.91
1490.0,42.94
1492.0,42.94
1494.0,42.91
1496.0,42.91
1498.0,42.92
1500.0,42.94
1502.0,42.97
1504.0,42.98
1506.0,43.03
1508.0,43.05
1510.0,43.07
1512.0,43.07
1514.0,43.05
1516.0,43.05
1518.0,43.08
1520.0,43.1
1522.0,43.11
1524.0,43.08
1526.0,43.06
1528.0,43.07
1530.0,43.08
1532.0,43.09
1534.0,43.08
1536.0,43.06
1538.0,43.06
1540.0,43.08
1542.0,43.09
1544.0,43.1
1546.0,43.09
1548.0,43.09
1550.0,43.09
1552.0,43.1
1554.0,43.1
1556.0,43.1
1558.0,43.11
1560.0,43.11
1562.0,43.12
1564.0,43.14
1566.0,43.13
1568.0,43.15
1570.0,43.2
1572.0,43.18
1574.0,43.15
1576.0,43.15
1578.0,43.12
1580.0,43.11
1582.0,43.1
1584.0,43.07
1586.0,43.07
1588.0,43.07
1590.0,43.08
1592.0,43.08
1594.0,43.08
1596.0,43.05
1598.0,43.04
1600.0,43.04
1602.0,43.09
1604.0,43.12
1606.0,43.14
1608.0,43.14
1610.0,43.14
1612.0,43.14
1614.0,43.16
1616.0,43.16
1618.0,43.16
1620.0,43.17
1622.0,43.19
1624.0,43.22
1626.0,43.22
1628.0,43.2
1630.0,43.19
1632.0,43.2
1634.0,43.23
1636.0,43.25
1638.0,43.26
1640.0,43.23
1642.0,43.19
1644.0,43.16
1646.0,43.14
1648.0,43.2
1650.0,43.21
1652.0,43.22
1654.0,43.16
1656.0,43.12
1658.0,43.11
1660.0,43.13
1662.0,43.16
1664.0,43.15
1666.0,43.11
1668.0,43.1
1670.0,43.04
1672.0,42.98
1674.0,42.88
1676.0,42.73
1678.0,42.5
1680.0,42.24
1682.0,42.01
1684.0,41.9
1686.0,41.92
1688.0,42.09
1690.0,42.32
1692.0,42.56
1694.0,42.77
1696.0,42.91
1698.0,43.01
1700.0,43.08
1702.0,43.13
1704.0,43.15
1706.0,43.16
1708.0,43.17
1710.0,43.18
1712.0,43.16
1714.0,43.14
1716.0,43.11
1718.0,43.1
1720.0,43.07
1722.0,43.03
1724.0,42.99
1726.0,43.0
1728.0,43.02
1730.0,43.02
1732.0,43.03
1734.0,43.04
1736.0,43.05
1738.0,43.07
1740.0,43.11
1742.0,43.15
1744.0,43.17
1746.0,43.18
1748.0,43.15
1750.0,43.16
1752.0,43.17
1754.0,43.18
1756.0,43.16
1758.0,43.14
1760.0,43.13
1762.0,43.12
1764.0,43.12
1766.0,43.13
1768.0,43.13
1770.0,43.14
1772.0,43.12
1774.0,43.13
1776.0,43.16
1778.0,43.18
1780.0,43.22
1782.0,43.21
1784.0,43.2
1786.0,43.17
1788.0,43.16
1790.0,43.15
1792.0,43.16
1794.0,43.16
1796.0,43.15
1798.0,43.13
1800.0,43.14
1802.0,43.17
1804.0,43.2
1806.0,43.21
1808.0,43.2
1810.0,43.2
1812.0,43.19
1814.0,43.17
1816.0,43.16
1818.0,43.15
1820.0,43.11
1822.0,43.09
1824.0,43.08
1826.0,43.1
1828.0,43.11
1830.0,43.1
1832.0,43.08
1834.0,43.07
1836.0,43.05
1838.0,43.01
1840.0,43.01
1842.0,42.99
1844.0,42.97
1846.0,42.95
1848.0,42.93
1850.0,42.94
1852.0,42.99
