wavelength,reflectivity
1300.0,8.14
1302.0,8.14
1304.0,8.1
1306.0,8.09
1308.0,8.15
1310.0,8.25
1312.0,8.295
1314.0,8.295
1316.0,8.2
1318.0,8.15
1320.0,8.075
1322.0,8.03
1324.0,8.0
1326.0,8.01
1328.0,8.0
1330.0,8.0
1332.0,8.04
1334.0,8.05
1336.0,8.01
1338.0,8.01
1340.0,8.02
1342.0,8.07
1344.0,8.09
1346.0,8.075
1348.0,8.07
1350.0,8.07
1352.0,8.075
1354.0,8.075
1356.0,8.07
1358.0,8.07
1360.0,8.075
1362.0,8.075
1364.0,8.075
1366.0,8.09
1368.0,8.075
1370.0,8.075
1372.0,8.09
1374.0,8.1
1376.0,8.1
1378.0,8.1
1380.0,8.09
1382.0,8.075
1384.0,8.075
1386.0,8.075
1388.0,8.07
1390.0,8.07
1392.0,8.05
1394.0,8.03
1396.0,8.03
1398.0,8.02
1400.0,8.04
1402.0,8.05
1404.0,8.05
1406.0,8.04
1408.0,8.02
1410.0,8.02
1412.0,8.01
1414.0,8.01
1416.0,8.01
1418.0,8.01
1420.0,8.01
1422.0,8.01
1424.0,8.0
1426.0,8.02
1428.0,8.02
1430.0,8.03
1432.0,8.03
1434.0,8.02
1436.0,8.01
1438.0,8.02
1440.0,8.02
1442.0,8.0
1444.0,7.98
1446.0,7.97
1448.0,7.98
1450.0,8.0
1452.0,8.01
1454.0,8.0
1456.0,8.0
1458.0,7.985
1460.0,7.98
1462.0,7.98
1464.0,7.97
1466.0,7.98
1468.0,7.98
1470.0,7.96
1472.0,7.96
1474.0,7.95
1476.0,7.94
1478.0,7.95
1480.0,7.95
1482.0,7.95
1484.0,7.95
1486.0,7.95
1488.0,7.95
1490.0,7.94
1492.0,7.91
1494.0,7.89
1496.0,7.9
1498.0,7.92
1500.0,7.92
1502.0,7.91
1504.0,7.93
1506.0,7.95
1508.0,7.97
1510.0,7.97
1512.0,7.96
1514.0,7.95
1516.0,7.97
1518.0,7.96
1520.0,7.94
1522.0,7.93
1524.0,7.94
1526.0,7.95
1528.0,7.97
1530.0,7.96
1532.0,7.97
1534.0,8.0
1536.0,7.985
1538.0,8.0
1540.0,8.01
1542.0,7.98
1544.0,8.0
1546.0,8.01
1548.0,8.02
1550.0,8.04
1552.0,8.05
1554.0,8.04
1556.0,8.04
1558.0,8.05
1560.0,8.06
1562.0,8.07
1564.0,8.075
1566.0,8.07
1568.0,8.09
1570.0,8.09
1572.0,8.12
1574.0,8.12
1576.0,8.13
1578.0,8.13
1580.0,8.12
1582.0,8.13
1584.0,8.15
1586.0,8.18
1588.0,8.205
1590.0,8.23
1592.0,8.24
1594.0,8.25
1596.0,8.26
1598.0,8.26
1600.0,8.29
1602.0,8.295
1604.0,8.33
1606.0,8.34
1608.0,8.35
1610.0,8.36
1612.0,8.38
1614.0,8.4
1616.0,8.41
1618.0,8.425
1620.0,8.45
1622.0,8.48
1624.0,8.51
1626.0,8.51
1628.0,8.51
1630.0,8.54
1632.0,8.55
1634.0,8.56
1636.0,8.58
1638.0,8.59
1640.0,8.61
1642.0,8.62
1644.0,8.64
1646.0,8.66
1648.0,8.67
1650.0,8.66
1652.0,8.68
1654.0,8.71
1656.0,8.75
1658.0,8.78
1660.0,8.78
1662.0,8.79
1664.0,8.8
1666.0,8.82
1668.0,8.86
1670.0,8.89
1672.0,8.9
1674.0,8.93
1676.0,8.94
1678.0,8.955
1680.0,8.99
1682.0,9.03
1684.0,9.07
1686.0,9.1
1688.0,9.08
1690.0,9.07
1692.0,9.08
1694.0,9.1
1696.0,9.14
1698.0,9.15
1700.0,9.16
1702.0,9.19
1704.0,9.22
1706.0,9.26
1708.0,9.27
1710.0,9.29
1712.0,9.32
1714.0,9.36
1716.0,9.38
1718.0,9.38
1720.0,9.39
1722.0,9.42
1724.0,9.45
1726.0,9.48
1728.0,9.5
1730.0,9.52
1732.0,9.55
1734.0,9.56
1736.0,9.57
1738.0,9.58
1740.0,9.6
1742.0,9.615
1744.0,9.66
1746.0,9.69
1748.0,9.72
1750.0,9.76
1752.0,9.8
1754.0,9.83
1756.0,9.88
1758.0,9.91
1760.0,9.95
1762.0,9.98
1764.0,9.99
1766.0,9.99
1768.0,10.01
1770.0,10.05
1772.0,10.09
1774.0,10.12
1776.0,10.13
1778.0,10.14
1780.0,10.17
1782.0,10.21
1784.0,10.25
1786.0,10.28
1788.0,10.31
1790.0,10.36
1792.0,10.38
1794.0,10.41
1796.0,10.43
1798.0,10.47
1800.0,10.5
1802.0,10.53
1804.0,10.55
1806.0,10.58
1808.0,10.59
1810.0,10.6
1812.0,10.62
1814.0,10.67
1816.0,10.73
1818.0,10.75
1820.0,10.77
1822.0,10.79
1824.0,10.8
1826.0,10.83
1828.0,10.87
1830.0,10.89
1832.0,10.92
1834.0,10.92
1836.0,10.95
1838.0,11.0
1840.0,11.06
1842.0,11.09
1844.0,11.11
1846.0,11.13
1848.0,11.17
1850.0,11.21
1852.0,11.24
1854.0,11.28
1856.0,11.31
1858.0,11.34
1860.0,11.34
1862.0,11.36
1864.0,11.38
1866.0,11.4
1868.0,11.44
1870.0,11.47
1872.0,11.51
1874.0,11.54
1876.0,11.57
1878.0,11.62
1880.0,11.64
1882.0,11.66
1884.0,11.68
1886.0,11.73
1888.0,11.76
1890.0,11.8
1892.0,11.83
1894.0,11.87
1896.0,11.89
1898.0,11.92
1900.0,11.93
1902.0,11.94
1904.0,11.96
1906.0,11.97
1908.0,11.99
1910.0,12.03
1912.0,12.09
1914.0,12.12
1916.0,12.16
1918.0,12.18
1920.0,12.2
1922.0,12.23
1924.0,12.25
1926.0,12.26
1928.0,12.28
1930.0,12.31
1932.0,12.32
1934.0,12.34
1936.0,12.36
1938.0,12.38
1940.0,12.44
1942.0,12.48
1944.0,12.52
1946.0,12.53
1948.0,12.52
1950.0,12.52
1952.0,12.54
1954.0,12.57
1956.0,12.61
1958.0,12.64
1960.0,12.69
1962.0,12.72
1964.0,12.74
1966.0,12.74
1968.0,12.76
1970.0,12.78
1972.0,12.79
1974.0,12.83
1976.0,12.86
1978.0,12.895
1980.0,12.92
1982.0,12.98
1984.0,13.03
1986.0,13.075
1988.0,13.12
1990.0,13.15
1992.0,13.16
1994.0,13.18
1996.0,13.21
1998.0,13.245
2000.0,13.29
2002.0,13.31
2004.0,13.35
2006.0,13.38
2008.0,13.42
2010.0,13.46
2012.0,13.49
2014.0,13.515
2016.0,13.53
2018.0,13.55
2020.0,13.6
2022.0,13.63
2024.0,13.66
2026.0,13.68
2028.0,13.72
2030.0,13.775
2032.0,13.82
2034.0,13.86
2036.0,13.88
2038.0,13.91
2040.0,13.955
2042.0,13.98
2044.0,14.03
2046.0,14.03
2048.0,14.06
2050.0,14.09
2052.0,14.125
2054.0,14.18
2056.0,14.2
2058.0,14.25
2060.0,14.29
2062.0,14.32
2064.0,14.34
2066.0,14.37
2068.0,14.41
2070.0,14.46
2072.0,14.46
2074.0,14.49
2076.0,14.53
2078.0,14.56
2080.0,14.61
2082.0,14.63
2084.0,14.67
2086.0,14.7
2088.0,14.71
2090.0,14.73
2092.0,14.745
2094.0,14.81
2096.0,14.85
2098.0,14.87
2100.0,14.9
2102.0,14.91
2104.0,14.95
2106.0,14.99
2108.0,14.99
2110.0,15.04
2112.0,15.09
2114.0,15.13
2116.0,15.18
2118.0,15.18
2120.0,15.2
2122.0,15.2
2124.0,15.21
2126.0,15.24
2128.0,15.23
2130.0,15.26
2132.0,15.29
2134.0,15.33
2136.0,15.36
2138.0,15.35
2140.0,15.36
2142.0,15.39
2144.0,15.4
2146.0,15.42
2148.0,15.44
2150.0,15.445
2152.0,15.48
2154.0,15.47
2156.0,15.49
2158.0,15.53
2160.0,15.55
2162.0,15.59
2164.0,15.64
2166.0,15.65
2168.0,15.66
2170.0,15.64
2172.0,15.65
2174.0,15.69
2176.0,15.71
2178.0,15.75
2180.0,15.75
2182.0,15.78
2184.0,15.78
2186.0,15.76
2188.0,15.71
2190.0,15.68
2192.0,15.67
2194.0,15.625
2196.0,15.58
2198.0,15.46
2200.0,15.3
2202.0,15.12
2204.0,14.95
2206.0,14.79
2208.0,14.61
2210.0,14.51
2212.0,14.49
2214.0,14.565
2216.0,14.71
2218.0,14.91
2220.0,15.11
2222.0,15.29
2224.0,15.5
2226.0,15.625
2228.0,15.74
2230.0,15.8
2232.0,15.81
2234.0,15.78
2236.0,15.68
2238.0,15.55
2240.0,15.42
2242.0,15.27
2244.0,15.15
2246.0,15.18
2248.0,15.34
2250.0,15.58
2252.0,15.81
2254.0,16.03
2256.0,16.23
2258.0,16.38
2260.0,16.54
2262.0,16.67
2264.0,16.78
2266.0,16.87
2268.0,16.96
2270.0,17.02
2272.0,17.07
2274.0,17.07
2276.0,17.08
2278.0,17.06
2280.0,16.98
2282.0,16.945
2284.0,16.88
2286.0,16.8
2288.0,16.64
2290.0,16.55
2292.0,16.505
2294.0,16.56
2296.0,16.64
2298.0,16.71
2300.0,16.78
2302.0,16.81
2304.0,16.855
2306.0,16.855
2308.0,16.83
2310.0,16.8
2312.0,16.8
2314.0,16.81
2316.0,16.78
2318.0,16.72
2320.0,16.7
2322.0,16.68
2324.0,16.68
2326.0,16.67
2328.0,16.62
2330.0,16.58
2332.0,16.55
2334.0,16.5
2336.0,16.53
2338.0,16.52
2340.0,16.45
2342.0,16.325
2344.0,16.23
2346.0,16.13
2348.0,16.02
2350.0,15.9
2352.0,15.74
2354.0,15.57
2356.0,15.445
2358.0,15.38
2360.0,15.33
2362.0,15.31
2364.0,15.27
2366.0,15.29
2368.0,15.32
2370.0,15.43
2372.0,15.51
2374.0,15.57
2376.0,15.68
2378.0,15.84
2380.0,16.01
2382.0,16.18
2384.0,16.38
2386.0,16.61
2388.0,16.78
2390.0,16.945
2392.0,17.16
2394.0,17.35
2396.0,17.4
2398.0,17.46
2400.0,17.57
2402.0,17.7
2404.0,17.78
2406.0,17.81
2408.0,17.82
2410.0,17.87
2412.0,17.95
2414.0,17.94
2416.0,17.94
2418.0,17.93
2420.0,17.97
2422.0,17.99
2424.0,18.02
2426.0,18.05
2428.0,18.01
2430.0,17.97
2432.0,17.915
2434.0,17.87
2436.0,17.81
2438.0,17.77
2440.0,17.77
2442.0,17.81
2444.0,17.82
2446.0,17.84
2448.0,17.825
2450.0,17.76
2452.0,17.645
2454.0,17.58
2456.0,17.55
2458.0,17.53
2460.0,17.45
2462.0,17.45
2464.0,17.46
2466.0,17.43
2468.0,17.37
2470.0,17.4
2472.0,17.385
2474.0,17.4
2476.0,17.35
2478.0,17.36
2480.0,17.34
2482.0,17.31
2484.0,17.31
2486.0,17.32
2488.0,17.35
2490.0,17.295
2492.0,17.29
2494.0,17.28
2496.0,17.24
2498.0,17.2
2500.0,17.27
