wavelength,reflectivity
1300.0,72.68
1302.0,72.31
1304.0,72.49
1306.0,72.61
1308.0,72.67
1310.0,72.45
1312.0,72.285
1314.0,72.12
1316.0,71.9
1318.0,71.83
1320.0,71.78
1322.0,71.67
1324.0,71.64
1326.0,71.55
1328.0,71.43
1330.0,71.37
1332.0,71.29
1334.0,71.26
1336.0,71.25
1338.0,71.18
1340.0,71.09
1342.0,71.06
1344.0,70.94
1346.0,70.885
1348.0,70.9
1350.0,70.83
1352.0,70.75
1354.0,70.75
1356.0,70.7
1358.0,70.67
1360.0,70.68
1362.0,70.64
1364.0,70.58
1366.0,70.55
1368.0,70.5
1370.0,70.49
1372.0,70.5
1374.0,70.49
1376.0,70.45
1378.0,70.41
1380.0,70.345
1382.0,70.28
1384.0,70.22
1386.0,70.13
1388.0,70.04
1390.0,69.94
1392.0,69.83
1394.0,69.72
1396.0,69.61
1398.0,69.49
1400.0,69.33
1402.0,69.18
1404.0,69.015
1406.0,68.87
1408.0,68.68
1410.0,68.5
1412.0,68.33
1414.0,68.1
1416.0,67.9
1418.0,67.65
1420.0,67.365
1422.0,67.075
1424.0,66.79
1426.0,66.49
1428.0,66.17
1430.0,65.84
1432.0,65.49
1434.0,65.13
1436.0,64.77
1438.0,64.41
1440.0,63.99
1442.0,63.59
1444.0,63.21
1446.0,62.84
1448.0,62.5
1450.0,62.2
1452.0,61.84
1454.0,61.51
1456.0,61.185
1458.0,60.86
1460.0,60.57
1462.0,60.29
1464.0,59.99
1466.0,59.69
1468.0,59.39
1470.0,59.065
1472.0,58.74
1474.0,58.41
1476.0,58.11
1478.0,57.83
1480.0,57.57
1482.0,57.32
1484.0,57.04
1486.0,56.73
1488.0,56.47
1490.0,56.2
1492.0,55.95
1494.0,55.74
1496.0,55.52
1498.0,55.32
1500.0,55.15
1502.0,54.96
1504.0,54.78
1506.0,54.67
1508.0,54.575
1510.0,54.48
1512.0,54.4
1514.0,54.25
1516.0,54.16
1518.0,54.11
1520.0,54.07
1522.0,54.01
1524.0,53.99
1526.0,53.92
1528.0,53.87
1530.0,53.82
1532.0,53.8
1534.0,53.86
1536.0,53.96
1538.0,54.11
1540.0,54.3
1542.0,54.53
1544.0,54.82
1546.0,55.1
1548.0,55.38
1550.0,55.6
1552.0,55.82
1554.0,56.0
1556.0,56.21
1558.0,56.4
1560.0,56.59
1562.0,56.76
1564.0,56.91
1566.0,57.04
1568.0,57.14
1570.0,57.235
1572.0,57.29
1574.0,57.29
1576.0,57.29
1578.0,57.32
1580.0,57.33
1582.0,57.3
1584.0,57.25
1586.0,57.2
1588.0,57.14
1590.0,57.055
1592.0,56.97
1594.0,56.91
1596.0,56.875
1598.0,56.82
1600.0,56.71
1602.0,56.59
1604.0,56.48
1606.0,56.38
1608.0,56.25
1610.0,56.14
1612.0,56.07
1614.0,55.97
1616.0,55.86
1618.0,55.76
1620.0,55.67
1622.0,55.59
1624.0,55.46
1626.0,55.31
1628.0,55.19
1630.0,55.07
1632.0,54.93
1634.0,54.84
1636.0,54.73
1638.0,54.61
1640.0,54.42
1642.0,54.24
1644.0,54.09
1646.0,53.95
1648.0,53.78
1650.0,53.62
1652.0,53.5
1654.0,53.39
1656.0,53.23
1658.0,53.06
1660.0,52.89
1662.0,52.77
1664.0,52.61
1666.0,52.4
1668.0,52.17
1670.0,52.0
1672.0,51.845
1674.0,51.67
1676.0,51.5
1678.0,51.37
1680.0,51.25
1682.0,51.14
1684.0,50.985
1686.0,50.86
1688.0,50.75
1690.0,50.61
1692.0,50.47
1694.0,50.32
1696.0,50.24
1698.0,50.14
1700.0,50.015
1702.0,49.89
1704.0,49.78
1706.0,49.66
1708.0,49.52
1710.0,49.35
1712.0,49.21
1714.0,49.08
1716.0,48.96
1718.0,48.81
1720.0,48.67
1722.0,48.55
1724.0,48.42
1726.0,48.28
1728.0,48.14
1730.0,48.0
1732.0,47.86
1734.0,47.67
1736.0,47.54
1738.0,47.44
1740.0,47.36
1742.0,47.25
1744.0,47.12
1746.0,47.05
1748.0,47.04
1750.0,47.01
1752.0,46.97
1754.0,46.94
1756.0,46.9
1758.0,46.9
1760.0,46.9
1762.0,46.92
1764.0,46.96
1766.0,46.94
1768.0,46.89
1770.0,46.86
1772.0,46.86
1774.0,46.85
1776.0,46.82
1778.0,46.81
1780.0,46.78
1782.0,46.77
1784.0,46.74
1786.0,46.68
1788.0,46.65
1790.0,46.65
1792.0,46.61
1794.0,46.59
1796.0,46.56
1798.0,46.51
1800.0,46.49
1802.0,46.45
1804.0,46.41
1806.0,46.41
1808.0,46.4
1810.0,46.38
1812.0,46.34
1814.0,46.28
1816.0,46.26
1818.0,46.22
1820.0,46.13
1822.0,46.08
1824.0,46.05
1826.0,46.02
1828.0,46.0
1830.0,45.93
1832.0,45.85
1834.0,45.77
1836.0,45.69
1838.0,45.6
1840.0,45.52
1842.0,45.44
1844.0,45.34
1846.0,45.23
1848.0,45.09
1850.0,44.97
1852.0,44.84
1854.0,44.68
1856.0,44.51
1858.0,44.33
1860.0,44.13
1862.0,43.97
1864.0,43.75
1866.0,43.55
1868.0,43.38
1870.0,43.18
1872.0,42.95
1874.0,42.68
1876.0,42.45
1878.0,42.18
1880.0,41.92
1882.0,41.61
1884.0,41.28
1886.0,40.95
1888.0,40.6
1890.0,40.23
1892.0,39.87
1894.0,39.47
1896.0,39.03
1898.0,38.54
1900.0,38.04
1902.0,37.57
1904.0,37.05
1906.0,36.49
1908.0,35.92
1910.0,35.32
1912.0,34.75
1914.0,34.165
1916.0,33.58
1918.0,32.98
1920.0,32.36
1922.0,31.72
1924.0,31.07
1926.0,30.44
1928.0,29.79
1930.0,29.18
1932.0,28.58
1934.0,28.0
1936.0,27.53
1938.0,27.14
1940.0,26.82
1942.0,26.56
1944.0,26.34
1946.0,26.19
1948.0,26.13
1950.0,26.12
1952.0,26.18
1954.0,26.3
1956.0,26.45
1958.0,26.65
1960.0,26.9
1962.0,27.17
1964.0,27.51
1966.0,27.81
1968.0,28.13
1970.0,28.43
1972.0,28.72
1974.0,28.94
1976.0,29.13
1978.0,29.315
1980.0,29.51
1982.0,29.67
1984.0,29.79
1986.0,29.9
1988.0,29.96
1990.0,30.01
1992.0,30.03
1994.0,30.015
1996.0,30.03
1998.0,30.0
2000.0,29.96
2002.0,29.94
2004.0,29.91
2006.0,29.84
2008.0,29.76
2010.0,29.65
2012.0,29.52
2014.0,29.4
2016.0,29.24
2018.0,29.1
2020.0,28.94
2022.0,28.76
2024.0,28.58
2026.0,28.36
2028.0,28.13
2030.0,27.96
2032.0,27.825
2034.0,27.72
2036.0,27.61
2038.0,27.48
2040.0,27.41
2042.0,27.39
2044.0,27.4
2046.0,27.42
2048.0,27.45
2050.0,27.52
2052.0,27.58
2054.0,27.64
2056.0,27.72
2058.0,27.78
2060.0,27.84
2062.0,27.91
2064.0,28.01
2066.0,28.16
2068.0,28.28
2070.0,28.37
2072.0,28.43
2074.0,28.54
2076.0,28.61
2078.0,28.68
2080.0,28.77
2082.0,28.84
2084.0,28.97
2086.0,29.12
2088.0,29.25
2090.0,29.34
2092.0,29.37
2094.0,29.39
2096.0,29.49
2098.0,29.61
2100.0,29.72
2102.0,29.83
2104.0,29.91
2106.0,30.015
2108.0,30.09
2110.0,30.14
2112.0,30.18
2114.0,30.23
2116.0,30.28
2118.0,30.31
2120.0,30.33
2122.0,30.36
2124.0,30.41
2126.0,30.45
2128.0,30.52
2130.0,30.555
2132.0,30.555
2134.0,30.52
2136.0,30.51
2138.0,30.52
2140.0,30.52
2142.0,30.52
2144.0,30.54
2146.0,30.57
2148.0,30.62
2150.0,30.65
2152.0,30.67
2154.0,30.72
2156.0,30.73
2158.0,30.73
2160.0,30.73
2162.0,30.71
2164.0,30.71
2166.0,30.71
2168.0,30.71
2170.0,30.72
2172.0,30.72
2174.0,30.71
2176.0,30.7
2178.0,30.67
2180.0,30.62
2182.0,30.555
2184.0,30.49
2186.0,30.465
2188.0,30.4
2190.0,30.34
2192.0,30.28
2194.0,30.24
2196.0,30.21
2198.0,30.17
2200.0,30.16
2202.0,30.1
2204.0,30.03
2206.0,29.96
2208.0,29.86
2210.0,29.76
2212.0,29.73
2214.0,29.69
2216.0,29.62
2218.0,29.48
2220.0,29.35
2222.0,29.31
2224.0,29.3
2226.0,29.3
2228.0,29.31
2230.0,29.33
2232.0,29.44
2234.0,29.55
2236.0,29.69
2238.0,29.82
2240.0,29.87
2242.0,29.9
2244.0,29.87
2246.0,29.88
2248.0,29.86
2250.0,29.86
2252.0,29.88
2254.0,29.88
2256.0,29.79
2258.0,29.67
2260.0,29.61
2262.0,29.61
2264.0,29.585
2266.0,29.495
2268.0,29.43
2270.0,29.4
2272.0,29.37
2274.0,29.35
2276.0,29.22
2278.0,29.09
2280.0,29.045
2282.0,29.02
2284.0,28.93
2286.0,28.795
2288.0,28.74
2290.0,28.69
2292.0,28.58
2294.0,28.51
2296.0,28.39
2298.0,28.3
2300.0,28.165
2302.0,28.08
2304.0,27.98
2306.0,27.915
2308.0,27.825
2310.0,27.75
2312.0,27.69
2314.0,27.61
2316.0,27.5
2318.0,27.39
2320.0,27.285
2322.0,27.23
2324.0,27.19
2326.0,27.11
2328.0,27.02
2330.0,26.94
2332.0,26.85
2334.0,26.73
2336.0,26.64
2338.0,26.55
2340.0,26.45
2342.0,26.34
