wavelength,reflectivity
1300.0,69.805
1302.0,69.69
1304.0,69.5
1306.0,69.42
1308.0,69.26
1310.0,69.04
1312.0,69.06
1314.0,69.015
1316.0,68.89
1318.0,68.83
1320.0,68.67
1322.0,68.46
1324.0,68.3
1326.0,68.14
1328.0,68.06
1330.0,68.02
1332.0,67.89
1334.0,67.81
1336.0,67.65
1338.0,67.435
1340.0,67.22
1342.0,67.02
1344.0,66.87
1346.0,66.69
1348.0,66.5
1350.0,66.37
1352.0,66.24
1354.0,66.14
1356.0,66.05
1358.0,65.9
1360.0,65.82
1362.0,65.78
1364.0,65.73
1366.0,65.66
1368.0,65.59
1370.0,65.495
1372.0,65.41
1374.0,65.315
1376.0,65.245
1378.0,65.2
1380.0,65.13
1382.0,65.05
1384.0,64.92
1386.0,64.77
1388.0,64.62
1390.0,64.44
1392.0,64.23
1394.0,64.02
1396.0,63.79
1398.0,63.53
1400.0,63.25
1402.0,62.945
1404.0,62.58
1406.0,62.24
1408.0,61.85
1410.0,61.43
1412.0,61.0
1414.0,60.55
1416.0,60.07
1418.0,59.59
1420.0,59.065
1422.0,58.53
1424.0,57.99
1426.0,57.44
1428.0,56.87
1430.0,56.3
1432.0,55.72
1434.0,55.15
1436.0,54.55
1438.0,54.01
1440.0,53.44
1442.0,52.88
1444.0,52.315
1446.0,51.77
1448.0,51.22
1450.0,50.72
1452.0,50.265
1454.0,49.88
1456.0,49.47
1458.0,49.09
1460.0,48.74
1462.0,48.41
1464.0,48.12
1466.0,47.88
1468.0,47.64
1470.0,47.44
1472.0,47.29
1474.0,47.11
1476.0,46.95
1478.0,46.75
1480.0,46.57
1482.0,46.44
1484.0,46.38
1486.0,46.34
1488.0,46.33
1490.0,46.31
1492.0,46.34
1494.0,46.38
1496.0,46.41
1498.0,46.44
1500.0,46.47
1502.0,46.51
1504.0,46.54
1506.0,46.55
1508.0,46.56
1510.0,46.58
1512.0,46.57
1514.0,46.52
1516.0,46.45
1518.0,46.32
1520.0,46.19
1522.0,46.07
1524.0,45.95
1526.0,45.83
1528.0,45.74
1530.0,45.59
1532.0,45.44
1534.0,45.3
1536.0,45.13
1538.0,44.98
1540.0,44.82
1542.0,44.69
1544.0,44.59
1546.0,44.48
1548.0,44.34
1550.0,44.23
1552.0,44.14
1554.0,44.05
1556.0,43.96
1558.0,43.87
