wavelength,reflectivity
1300.0,68.32
1302.0,68.64
1304.0,68.82
1306.0,68.72
1308.0,68.36
1310.0,68.08
1312.0,68.06
1314.0,68.31
1316.0,68.52
1318.0,68.57
1320.0,68.43
1322.0,68.24
1324.0,68.09
1326.0,68.15
1328.0,68.155
1330.0,68.13
1332.0,68.11
1334.0,68.14
1336.0,68.19
1338.0,68.22
1340.0,68.22
1342.0,68.13
1344.0,68.09
1346.0,68.045
1348.0,68.02
1350.0,67.975
1352.0,67.93
1354.0,67.9
1356.0,67.865
1358.0,67.78
1360.0,67.67
1362.0,67.57
1364.0,67.46
1366.0,67.32
1368.0,67.17
1370.0,66.98
1372.0,66.76
1374.0,66.5
1376.0,66.14
1378.0,65.69
1380.0,65.02
1382.0,64.15
1384.0,63.12
1386.0,62.01
1388.0,60.935
1390.0,60.03
1392.0,59.31
1394.0,58.89
1396.0,58.69
1398.0,58.63
1400.0,58.66
1402.0,58.69
1404.0,58.76
1406.0,58.89
1408.0,59.13
1410.0,59.5
1412.0,60.0
1414.0,60.56
1416.0,61.15
1418.0,61.69
1420.0,62.08
1422.0,62.33
1424.0,62.335
1426.0,62.15
1428.0,61.84
1430.0,61.45
1432.0,61.04
1434.0,60.75
1436.0,60.57
1438.0,60.61
1440.0,60.77
1442.0,61.115
1444.0,61.5
1446.0,61.92
1448.0,62.33
1450.0,62.63
1452.0,62.87
1454.0,63.09
1456.0,63.26
1458.0,63.4
1460.0,63.51
1462.0,63.555
1464.0,63.61
1466.0,63.72
1468.0,63.845
1470.0,63.97
1472.0,64.095
1474.0,64.16
1476.0,64.21
1478.0,64.275
1480.0,64.39
1482.0,64.5
1484.0,64.62
1486.0,64.77
1488.0,64.88
1490.0,64.99
1492.0,65.11
1494.0,65.22
1496.0,65.33
1498.0,65.425
1500.0,65.52
1502.0,65.6
1504.0,65.69
1506.0,65.76
1508.0,65.87
1510.0,65.96
1512.0,66.03
1514.0,66.1
1516.0,66.15
1518.0,66.215
1520.0,66.31
1522.0,66.36
1524.0,66.38
1526.0,66.41
1528.0,66.45
1530.0,66.5
1532.0,66.54
1534.0,66.55
1536.0,66.54
1538.0,66.55
1540.0,66.55
1542.0,66.62
1544.0,66.645
1546.0,66.7
1548.0,66.72
1550.0,66.66
1552.0,66.61
1554.0,66.6
1556.0,66.63
1558.0,66.69
1560.0,66.76
1562.0,66.76
1564.0,66.75
1566.0,66.7
1568.0,66.68
1570.0,66.64
1572.0,66.66
1574.0,66.69
1576.0,66.73
1578.0,66.7
1580.0,66.67
1582.0,66.63
1584.0,66.61
1586.0,66.63
1588.0,66.63
1590.0,66.57
1592.0,66.54
1594.0,66.51
1596.0,66.51
1598.0,66.49
1600.0,66.5
1602.0,66.51
1604.0,66.49
1606.0,66.46
1608.0,66.39
1610.0,66.31
1612.0,66.27
1614.0,66.27
1616.0,66.27
1618.0,66.215
1620.0,66.19
1622.0,66.12
1624.0,66.08
1626.0,66.05
1628.0,65.98
1630.0,65.91
1632.0,65.9
1634.0,65.87
1636.0,65.81
1638.0,65.76
1640.0,65.71
1642.0,65.71
1644.0,65.69
1646.0,65.6
1648.0,65.495
1650.0,65.45
1652.0,65.44
1654.0,65.39
1656.0,65.315
1658.0,65.28
1660.0,65.23
1662.0,65.19
1664.0,65.13
1666.0,65.04
1668.0,65.01
1670.0,65.0
1672.0,64.94
1674.0,64.87
1676.0,64.815
1678.0,64.78
1680.0,64.74
1682.0,64.74
1684.0,64.72
1686.0,64.66
1688.0,64.59
1690.0,64.59
1692.0,64.56
1694.0,64.56
1696.0,64.52
1698.0,64.49
1700.0,64.525
1702.0,64.59
1704.0,64.6
1706.0,64.54
1708.0,64.44
1710.0,64.345
1712.0,64.36
1714.0,64.43
1716.0,64.47
1718.0,64.43
1720.0,64.36
1722.0,64.34
1724.0,64.36
1726.0,64.37
1728.0,64.32
1730.0,64.275
1732.0,64.29
1734.0,64.27
1736.0,64.25
1738.0,64.2
1740.0,64.17
1742.0,64.18
1744.0,64.18
1746.0,64.14
1748.0,64.15
1750.0,64.09
1752.0,64.04
1754.0,64.04
1756.0,64.03
1758.0,64.03
1760.0,64.03
1762.0,64.0
1764.0,64.01
1766.0,63.99
1768.0,63.98
1770.0,63.915
1772.0,63.91
1774.0,63.86
1776.0,63.83
1778.0,63.81
1780.0,63.76
1782.0,63.77
1784.0,63.75
1786.0,63.77
1788.0,63.75
1790.0,63.69
1792.0,63.64
1794.0,63.6
1796.0,63.58
1798.0,63.57
1800.0,63.485
1802.0,63.47
1804.0,63.45
1806.0,63.45
1808.0,63.41
1810.0,63.36
1812.0,63.305
1814.0,63.26
1816.0,63.21
1818.0,63.12
1820.0,63.09
1822.0,63.03
1824.0,62.98
1826.0,62.9
1828.0,62.8
1830.0,62.74
1832.0,62.695
1834.0,62.67
1836.0,62.62
1838.0,62.55
1840.0,62.46
1842.0,62.41
1844.0,62.38
1846.0,62.33
1848.0,62.33
1850.0,62.26
1852.0,62.21
1854.0,62.15
1856.0,62.05
1858.0,61.96
1860.0,61.88
1862.0,61.87
1864.0,61.84
1866.0,61.81
1868.0,61.68
1870.0,61.52
1872.0,61.41
1874.0,61.29
1876.0,61.22
1878.0,61.16
1880.0,61.1
1882.0,61.005
1884.0,60.9
1886.0,60.755
1888.0,60.63
1890.0,60.52
1892.0,60.39
1894.0,60.215
1896.0,60.05
1898.0,59.87
1900.0,59.72
1902.0,59.6
1904.0,59.5
1906.0,59.45
1908.0,59.355
1910.0,59.31
1912.0,59.28
1914.0,59.21
1916.0,59.15
1918.0,59.1
1920.0,59.08
1922.0,59.06
1924.0,59.02
1926.0,58.95
1928.0,58.9
1930.0,58.87
1932.0,58.81
1934.0,58.78
1936.0,58.74
1938.0,58.69
1940.0,58.61
1942.0,58.55
1944.0,58.48
1946.0,58.42
1948.0,58.34
1950.0,58.275
1952.0,58.205
1954.0,58.15
1956.0,58.04
1958.0,57.96
1960.0,57.83
1962.0,57.65
1964.0,57.39
1966.0,57.13
1968.0,56.99
1970.0,56.86
1972.0,56.75
1974.0,56.68
1976.0,56.58
1978.0,56.445
1980.0,56.3
1982.0,56.085
1984.0,55.9
1986.0,55.69
1988.0,55.475
1990.0,55.35
1992.0,55.29
1994.0,55.36
1996.0,55.54
1998.0,55.76
2000.0,55.99
2002.0,56.15
2004.0,56.3
2006.0,56.42
2008.0,56.49
2010.0,56.56
2012.0,56.59
2014.0,56.64
2016.0,56.66
2018.0,56.66
2020.0,56.72
2022.0,56.79
2024.0,56.84
2026.0,56.89
2028.0,56.9
2030.0,56.96
2032.0,57.04
2034.0,57.09
2036.0,57.14
2038.0,57.11
2040.0,57.055
2042.0,56.99
2044.0,56.89
2046.0,56.87
2048.0,56.82
2050.0,56.77
2052.0,56.72
2054.0,56.65
2056.0,56.61
2058.0,56.56
2060.0,56.53
2062.0,56.51
2064.0,56.47
2066.0,56.42
2068.0,56.36
2070.0,56.28
2072.0,56.23
2074.0,56.14
2076.0,56.04
2078.0,55.95
2080.0,55.85
2082.0,55.74
2084.0,55.6
2086.0,55.46
2088.0,55.32
2090.0,55.13
2092.0,54.93
2094.0,54.72
2096.0,54.5
2098.0,54.31
2100.0,54.09
2102.0,53.83
2104.0,53.57
2106.0,53.31
2108.0,53.06
2110.0,52.76
2112.0,52.49
2114.0,52.2
2116.0,51.94
2118.0,51.66
2120.0,51.345
2122.0,51.08
2124.0,50.79
2126.0,50.53
2128.0,50.23
2130.0,49.91
2132.0,49.6
2134.0,49.33
2136.0,49.06
2138.0,48.79
2140.0,48.51
2142.0,48.26
2144.0,48.06
2146.0,47.9
2148.0,47.77
2150.0,47.66
2152.0,47.58
2154.0,47.59
2156.0,47.63
2158.0,47.64
2160.0,47.63
2162.0,47.64
2164.0,47.67
2166.0,47.67
2168.0,47.63
2170.0,47.6
2172.0,47.54
2174.0,47.48
2176.0,47.38
2178.0,47.24
2180.0,47.07
2182.0,46.88
2184.0,46.73
2186.0,46.61
2188.0,46.49
2190.0,46.34
2192.0,46.17
2194.0,45.99
2196.0,45.78
2198.0,45.5
2200.0,45.21
2202.0,44.85
2204.0,44.47
2206.0,44.03
2208.0,43.59
2210.0,43.13
2212.0,42.75
2214.0,42.4
2216.0,42.14
2218.0,41.98
2220.0,41.86
2222.0,41.83
2224.0,41.81
2226.0,41.82
2228.0,41.76
2230.0,41.63
2232.0,41.48
2234.0,41.36
2236.0,41.17
2238.0,41.01
2240.0,40.82
2242.0,40.7
2244.0,40.56
2246.0,40.35
2248.0,40.1
2250.0,39.82
2252.0,39.56
2254.0,39.265
2256.0,38.97
2258.0,38.63
2260.0,38.32
2262.0,38.08
2264.0,37.88
2266.0,37.71
2268.0,37.52
2270.0,37.325
2272.0,37.11
2274.0,36.9
2276.0,36.74
2278.0,36.57
2280.0,36.42
2282.0,36.26
2284.0,36.07
2286.0,35.8
2288.0,35.46
2290.0,35.14
2292.0,34.81
2294.0,34.46
2296.0,34.14
2298.0,33.91
2300.0,33.7
2302.0,33.52
2304.0,33.35
2306.0,33.26
2308.0,33.19
2310.0,33.16
2312.0,33.1
2314.0,33.07
2316.0,33.03
